Date,Open,High,Low,Close,Volume,Adj Close,Return
1997-01-13,9.03,9.03,9.03,9.03,17200,4.52,0.0
1997-01-14,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-01-15,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-01-16,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-01-17,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-01-20,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-01-21,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-01-22,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-01-23,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-01-24,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-01-27,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-01-28,9.03,9.03,9.0,9.03,12600,4.52,0.0
1997-01-29,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-01-30,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-01-31,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-02-03,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-02-04,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-02-05,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-02-06,9.03,9.03,9.03,9.03,0,4.52,0.0
1997-02-07,8.94,8.94,8.88,8.94,4800,4.47,-0.011061946902654829
1997-02-10,8.88,8.88,8.88,8.88,12000,4.44,-0.006711409395973034
1997-02-11,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-02-12,8.88,8.88,8.88,8.88,3800,4.44,0.0
1997-02-13,8.88,8.88,8.88,8.88,400,4.44,0.0
1997-02-14,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-02-18,8.88,8.88,8.88,8.88,3800,4.44,0.0
1997-02-19,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-02-20,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-02-21,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-02-24,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-02-25,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-02-26,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-02-27,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-02-28,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-03,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-04,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-05,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-06,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-07,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-10,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-11,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-12,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-13,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-14,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-17,8.88,8.88,8.88,8.88,1800,4.44,0.0
1997-03-18,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-19,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-20,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-21,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-24,8.88,8.88,8.88,8.88,0,4.44,0.0
1997-03-25,8.88,8.88,8.88,8.88,25200,4.44,0.0
1997-03-26,9.06,9.06,9.0,9.06,7200,4.53,0.020270270270270174
1997-03-27,9.06,9.06,9.06,9.06,0,4.53,0.0
1997-03-31,9.06,9.06,9.06,9.06,0,4.53,0.0
1997-04-01,9.06,9.06,9.06,9.06,0,4.53,0.0
1997-04-02,9.06,9.06,9.06,9.06,0,4.53,0.0
1997-04-03,9.06,9.06,9.06,9.06,0,4.53,0.0
1997-04-04,9.06,9.06,9.06,9.06,0,4.53,0.0
1997-04-07,9.0,9.0,9.0,9.0,2000,4.5,-0.0066225165562914245
1997-04-08,9.06,9.06,9.0,9.06,8000,4.53,0.006666666666666821
1997-04-09,9.06,9.06,9.06,9.06,0,4.53,0.0
1997-04-10,9.06,9.06,9.0,9.06,4000,4.53,0.0
1997-04-11,9.06,9.06,9.06,9.06,0,4.53,0.0
1997-04-14,9.06,9.06,9.06,9.06,0,4.53,0.0
1997-04-15,9.06,9.06,9.06,9.06,0,4.53,0.0
1997-04-16,9.06,9.06,9.0,9.06,4000,4.53,0.0
1997-04-17,9.19,9.19,9.19,9.19,1000,4.59,0.013245033112582627
1997-04-18,9.19,9.19,9.19,9.19,0,4.59,0.0
1997-04-21,9.25,9.25,9.19,9.25,12000,4.62,0.006535947712418277
1997-04-22,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-04-23,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-04-24,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-04-25,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-04-28,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-04-29,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-04-30,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-05-01,9.25,9.25,9.25,9.25,10000,4.62,0.0
1997-05-02,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-05-05,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-05-06,9.25,9.25,9.25,9.25,3800,4.62,0.0
1997-05-07,9.19,9.19,9.19,9.19,2000,4.59,-0.006493506493506551
1997-05-08,9.19,9.19,9.19,9.19,0,4.59,0.0
1997-05-09,9.25,9.25,9.19,9.25,16600,4.62,0.006535947712418277
1997-05-12,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-05-13,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-05-14,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-05-15,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-05-16,9.25,9.25,9.19,9.25,9000,4.62,0.0
1997-05-19,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-05-20,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-05-21,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-05-22,9.19,9.19,9.19,9.19,400,4.59,-0.006493506493506551
1997-05-23,9.19,9.19,9.19,9.19,0,4.59,0.0
1997-05-27,9.19,9.19,9.19,9.19,0,4.59,0.0
1997-05-28,9.19,9.19,9.19,9.19,0,4.59,0.0
1997-05-29,9.19,9.19,9.19,9.19,0,4.59,0.0
1997-05-30,9.19,9.19,9.19,9.19,0,4.59,0.0
1997-06-02,9.19,9.19,9.19,9.19,0,4.59,0.0
1997-06-03,9.19,9.19,9.19,9.19,0,4.59,0.0
1997-06-04,9.19,9.19,9.19,9.19,0,4.59,0.0
1997-06-05,9.25,9.25,9.25,9.25,5600,4.62,0.006535947712418277
1997-06-06,9.25,9.25,9.25,9.25,0,4.62,0.0
1997-06-09,9.25,9.25,9.25,9.25,0,4.62,0.0
