Date,Open,High,Low,Close,Volume,Adj Close,Return
1989-06-30,5.01,5.01,4.95,4.95,11000,0.58,0.0
1989-07-03,4.95,5.06,4.95,5.01,14300,0.59,0.01724137931034475
1989-07-05,4.95,5.06,4.95,5.01,12500,0.59,0.0
1989-07-06,5.06,5.06,5.01,5.06,16000,0.59,0.0
1989-07-07,5.06,5.06,5.01,5.01,6400,0.59,0.0
1989-07-10,5.06,5.12,5.06,5.06,56500,0.59,0.0
1989-07-11,5.04,5.09,5.04,5.09,20400,0.61,0.033898305084745894
1989-07-12,5.04,5.09,4.98,4.98,33100,0.59,-0.032786885245901676
1989-07-13,5.04,5.04,4.98,4.98,19500,0.59,0.0
1989-07-14,4.98,5.09,4.98,5.04,7400,0.6,0.016949152542372836
1989-07-17,5.04,5.04,4.93,4.98,16200,0.59,-0.01666666666666672
1989-07-18,5.04,5.04,4.87,4.93,31400,0.59,0.0
1989-07-19,4.87,5.04,4.87,4.98,26100,0.59,0.0
1989-07-20,4.98,5.04,4.87,4.87,16500,0.58,-0.016949152542372947
1989-07-21,4.87,4.98,4.87,4.93,6400,0.59,0.01724137931034475
1989-07-24,4.93,4.98,4.93,4.98,20200,0.59,0.0
1989-07-25,5.04,5.04,4.93,4.98,17900,0.59,0.0
1989-07-26,4.93,5.04,4.93,5.04,11000,0.6,0.016949152542372836
1989-07-27,4.98,4.98,4.93,4.98,9600,0.59,-0.01666666666666672
1989-07-28,4.98,4.98,4.87,4.93,21700,0.59,0.0
1989-07-31,4.93,5.04,4.93,5.04,40800,0.6,0.016949152542372836
1989-08-01,4.98,5.09,4.98,5.04,50800,0.6,0.0
1989-08-02,5.09,5.14,5.04,5.14,30600,0.61,0.016666666666666607
1989-08-03,5.09,5.14,5.09,5.14,14700,0.61,0.0
1989-08-04,5.09,5.14,5.09,5.09,12900,0.61,0.0
1989-08-07,5.14,5.14,5.09,5.09,9300,0.61,0.0
1989-08-08,5.09,5.2,5.04,5.04,35600,0.6,-0.016393442622950838
1989-08-09,5.09,5.09,5.04,5.04,22200,0.6,0.0
1989-08-10,5.04,5.09,4.98,4.98,13400,0.59,-0.01666666666666672
1989-08-11,5.04,5.04,4.98,4.98,11100,0.59,0.0
1989-08-14,5.01,5.01,4.95,4.95,9500,0.6,0.016949152542372836
1989-08-15,4.95,5.01,4.95,5.01,15500,0.6,0.0
1989-08-16,4.95,5.01,4.9,4.9,17200,0.59,-0.01666666666666672
1989-08-17,4.9,5.01,4.9,4.95,23900,0.6,0.016949152542372836
1989-08-18,4.95,4.95,4.9,4.95,45700,0.6,0.0
1989-08-21,4.95,4.95,4.84,4.84,23900,0.58,-0.033333333333333326
1989-08-22,4.84,4.95,4.84,4.9,19900,0.59,0.01724137931034475
1989-08-23,4.9,4.95,4.9,4.9,9900,0.59,0.0
1989-08-24,4.9,4.95,4.9,4.95,30400,0.6,0.016949152542372836
1989-08-25,4.95,5.01,4.9,4.95,20800,0.6,0.0
1989-08-28,5.01,5.01,4.9,5.01,8300,0.6,0.0
1989-08-29,4.95,4.95,4.9,4.95,4400,0.6,0.0
1989-08-30,4.95,4.95,4.95,4.95,2700,0.6,0.0
1989-08-31,4.9,4.95,4.9,4.95,15700,0.6,0.0
1989-09-01,4.95,5.01,4.95,4.95,6100,0.6,0.0
1989-09-05,4.95,4.95,4.84,4.84,54900,0.58,-0.033333333333333326
1989-09-06,4.84,4.9,4.84,4.84,23300,0.58,0.0
1989-09-07,4.84,4.9,4.79,4.9,42800,0.59,0.01724137931034475
1989-09-08,4.84,4.95,4.84,4.95,16700,0.6,0.016949152542372836
1989-09-11,4.93,4.93,4.82,4.87,14200,0.6,0.0
1989-09-12,4.82,4.93,4.82,4.93,9000,0.6,0.0
1989-09-13,4.87,4.98,4.87,4.87,25100,0.6,0.0
1989-09-14,4.87,4.87,4.82,4.87,20600,0.6,0.0
1989-09-15,4.76,4.82,4.76,4.76,50300,0.58,-0.033333333333333326
1989-09-18,4.82,4.82,4.76,4.82,17100,0.59,0.01724137931034475
1989-09-19,4.76,4.82,4.71,4.82,29900,0.59,0.0
1989-09-20,4.82,4.82,4.76,4.76,22200,0.58,-0.016949152542372947
1989-09-21,4.76,4.82,4.71,4.76,20800,0.58,0.0
1989-09-22,4.76,4.82,4.65,4.65,39200,0.57,-0.017241379310344862
1989-09-25,4.65,4.76,4.65,4.76,46400,0.58,0.01754385964912286
1989-09-26,4.71,4.76,4.65,4.71,31400,0.58,0.0
1989-09-27,4.76,4.76,4.65,4.65,34100,0.57,-0.017241379310344862
1989-09-28,4.71,4.82,4.65,4.71,33100,0.58,0.01754385964912286
1989-09-29,4.76,4.82,4.76,4.82,36000,0.59,0.01724137931034475
