Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-03-26,3.0,3.13,2.88,2.88,105000,0.79,0.0
1990-03-27,3.0,3.0,2.75,2.75,126600,0.76,-0.03797468354430378
1990-03-28,2.88,3.13,2.75,3.13,58200,0.86,0.13157894736842102
1990-03-29,3.13,3.13,3.0,3.0,78800,0.83,-0.03488372093023262
1990-03-30,3.13,3.13,3.0,3.0,124000,0.83,0.0
1990-04-02,3.0,3.0,3.0,3.0,67800,0.83,0.0
1990-04-03,3.0,3.0,2.88,3.0,51200,0.83,0.0
1990-04-04,3.0,3.13,3.0,3.0,90600,0.83,0.0
1990-04-05,3.13,3.13,3.13,3.13,26600,0.86,0.03614457831325302
1990-04-06,3.13,3.13,3.0,3.0,115600,0.83,-0.03488372093023262
1990-04-09,3.0,3.0,3.0,3.0,23400,0.83,0.0
1990-04-10,3.0,3.0,2.88,2.94,49000,0.81,-0.02409638554216853
1990-04-11,3.0,3.0,2.88,3.0,80000,0.83,0.024691358024691246
1990-04-12,3.06,3.38,3.06,3.38,234000,0.93,0.12048192771084354
1990-04-16,3.38,3.81,3.38,3.69,163200,1.02,0.09677419354838701
1990-04-17,3.69,3.94,3.5,3.94,158200,1.08,0.05882352941176472
1990-04-18,4.0,4.25,4.0,4.06,223800,1.12,0.03703703703703698
1990-04-19,4.0,4.06,3.94,4.0,99000,1.1,-0.017857142857142905
1990-04-20,4.06,4.06,3.56,3.63,82200,1.0,-0.09090909090909094
1990-04-23,3.63,3.63,3.38,3.44,84600,0.95,-0.050000000000000044
1990-04-24,3.5,3.5,3.38,3.38,64000,0.93,-0.021052631578947323
1990-04-25,3.5,3.5,3.38,3.38,346200,0.93,0.0
1990-04-26,3.5,3.5,3.31,3.5,64000,0.96,0.032258064516129004
1990-04-27,3.31,3.38,3.13,3.25,124000,0.89,-0.07291666666666663
1990-04-30,3.19,3.25,3.13,3.13,64600,0.86,-0.03370786516853941
1990-05-01,3.06,3.31,3.06,3.25,158400,0.89,0.03488372093023262
1990-05-02,3.19,3.31,3.13,3.13,161800,0.86,-0.03370786516853941
1990-05-03,3.19,3.19,3.06,3.06,72800,0.84,-0.023255813953488413
1990-05-04,3.06,3.13,3.0,3.13,43400,0.86,0.023809523809523725
1990-05-07,3.13,3.13,2.81,2.81,161600,0.77,-0.10465116279069764
1990-05-08,2.94,3.06,2.75,3.06,225600,0.84,0.09090909090909083
1990-05-09,3.06,3.06,2.88,2.88,26600,0.79,-0.05952380952380942
1990-05-10,3.06,3.06,2.94,3.06,54000,0.84,0.06329113924050622
1990-05-11,3.06,3.06,3.0,3.0,35600,0.83,-0.011904761904761862
1990-05-14,3.0,3.25,3.0,3.06,126200,0.84,0.012048192771084265
1990-05-15,3.0,3.13,3.0,3.13,23800,0.86,0.023809523809523725
1990-05-16,3.06,3.19,3.06,3.13,109600,0.86,0.0
1990-05-17,3.19,3.31,3.19,3.31,87800,0.91,0.058139534883721034
1990-05-18,3.31,3.31,3.19,3.25,158800,0.89,-0.02197802197802201
1990-05-21,3.25,3.25,3.19,3.25,8800,0.89,0.0
1990-05-22,3.25,3.25,3.06,3.19,68400,0.88,-0.011235955056179803
1990-05-23,3.06,3.19,3.06,3.13,37800,0.86,-0.022727272727272707
1990-05-24,3.19,3.19,3.06,3.13,33200,0.86,0.0
1990-05-25,3.13,3.13,3.0,3.13,44400,0.86,0.0
1990-05-29,3.0,3.0,2.88,3.0,203400,0.83,-0.03488372093023262
1990-05-30,3.06,3.06,2.94,2.94,51200,0.81,-0.02409638554216853
1990-05-31,3.06,3.06,3.0,3.06,116000,0.84,0.03703703703703698
1990-06-01,3.06,3.06,3.0,3.06,48800,0.84,0.0
1990-06-04,3.0,3.06,3.0,3.0,23800,0.83,-0.011904761904761862
