Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-09-30,49.5,49.62,48.5,49.62,5400,48.9,0.0
2013-10-01,49.0,49.5,48.99,49.5,170600,48.78,-0.0024539877300613355
2013-10-02,49.0,50.1,48.63,49.53,165400,48.81,0.0006150061500616033
2013-10-03,49.7,49.7,49.1,49.68,81800,48.96,0.003073140749846326
2013-10-04,49.0,49.5,49.0,49.5,400,48.78,-0.003676470588235281
2013-10-07,49.38,49.99,49.35,49.65,79200,48.93,0.0030750307503075724
2013-10-08,49.5,49.99,49.0,49.49,3000,48.77,-0.0032699775189044544
2013-10-09,48.8,48.8,48.8,48.8,300,48.09,-0.013942997744515018
2013-10-10,49.0,49.0,49.0,49.0,10300,48.29,0.0041588687876896735
2013-10-11,49.0,49.01,49.0,49.01,1100,48.3,0.00020708221163801
2013-10-14,49.25,49.25,49.25,49.25,50500,48.54,0.00496894409937898
2013-10-15,49.25,49.25,48.7,48.8,25500,48.09,-0.009270704573547506
2013-10-16,48.01,48.85,48.01,48.8,56300,48.09,0.0
2013-10-17,48.6,49.09,48.28,48.8,4900,48.09,0.0
2013-10-18,48.65,48.65,48.51,48.63,45200,47.92,-0.003535038469536289
2013-10-21,48.32,48.7,48.32,48.55,600,47.85,-0.001460767946577679
2013-10-22,49.0,49.25,46.7,48.62,28700,47.92,0.001462904911180729
2013-10-23,48.15,48.25,47.8,48.05,6900,47.35,-0.011894824707846419
2013-10-24,48.25,48.25,47.82,47.82,1900,47.13,-0.004646251319957773
2013-10-25,47.77,47.77,47.77,47.77,100,47.08,-0.0010608953957140788
2013-10-28,48.58,48.61,47.8,47.85,11600,47.16,0.001699235344095218
2013-10-29,47.61,48.05,47.61,47.9,68200,47.21,0.0010602205258694042
2013-10-30,47.65,47.65,47.12,47.55,15000,46.86,-0.007413683541622529
2013-10-31,47.0,47.5,46.81,46.81,25900,46.13,-0.015578318395219726
2013-11-01,46.37,46.41,46.01,46.02,248100,45.35,-0.01690873618035993
2013-11-04,46.0,46.37,46.0,46.37,1400,45.7,0.007717750826901959
2013-11-05,47.14,47.55,46.9,47.25,385500,46.56,0.018818380743982566
2013-11-06,47.82,47.82,46.63,47.04,4600,46.36,-0.004295532646048206
2013-11-07,48.41,48.75,47.91,48.06,79700,47.36,0.021570319240724833
2013-11-08,47.89,49.32,47.89,49.11,2700,48.4,0.02195945945945943
2013-11-11,49.5,50.05,49.48,50.02,121900,49.29,0.018388429752066227
2013-11-12,50.18,50.23,49.75,50.0,264500,49.28,-0.00020288090890641097
2013-11-13,50.2,50.31,49.56,49.87,103600,49.15,-0.0026379870129871197
2013-11-14,49.9,50.0,49.4,50.0,1100,49.28,0.002644964394710181
2013-11-15,50.1,50.42,49.8,50.41,106100,49.68,0.008116883116883189
2013-11-18,50.4,50.4,49.62,49.71,1600,48.99,-0.01388888888888884
2013-11-19,49.6,49.6,49.6,49.6,1100,48.88,-0.002245356195141879
2013-11-20,49.7,50.5,49.7,50.18,183900,49.45,0.01166121112929619
2013-11-21,50.5,51.82,50.5,51.12,51900,50.38,0.018806875631951492
2013-11-22,51.36,51.36,50.75,51.12,1900,50.38,0.0
2013-11-25,51.62,51.97,51.16,51.38,1000,50.64,0.005160778086542139
2013-11-26,51.21,51.26,50.12,50.61,4900,50.61,-0.0005924170616113944
2013-11-27,50.23,50.9,50.22,50.78,27900,50.78,0.003359019956530318
2013-11-29,50.81,50.81,50.37,50.37,200,50.37,-0.008074044899566868
2013-12-02,49.73,49.73,49.0,49.03,1600,49.03,-0.026603136787770376
2013-12-03,48.85,49.8,48.85,49.29,33500,49.29,0.005302875790332395
2013-12-04,49.05,51.49,48.09,49.32,15500,49.32,0.0006086427267193439
2013-12-05,49.56,49.64,49.03,49.3,5600,49.3,-0.00040551500405516805
2013-12-06,49.8,49.94,49.36,49.38,800,49.38,0.0016227180527383922
2013-12-09,49.41,49.72,49.41,49.72,7700,49.72,0.0068853786958282814
