Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-08-18,10.77,10.77,10.66,10.66,18600,3.06,0.0
1995-08-21,10.66,10.66,10.55,10.55,31900,3.05,-0.0032679738562092497
1995-08-22,10.55,10.66,10.55,10.55,41000,3.05,0.0
1995-08-23,10.55,10.66,10.55,10.66,42700,3.08,0.009836065573770592
1995-08-24,10.66,10.66,10.55,10.55,21200,3.05,-0.009740259740259827
1995-08-25,10.66,10.77,10.66,10.66,47900,3.08,0.009836065573770592
1995-08-28,10.77,10.77,10.66,10.77,70100,3.12,0.012987012987013102
1995-08-29,10.77,10.88,10.66,10.88,22000,3.15,0.009615384615384581
1995-08-30,10.77,10.88,10.66,10.66,20100,3.08,-0.022222222222222143
1995-08-31,10.66,10.88,10.66,10.77,27300,3.12,0.012987012987013102
1995-09-01,10.77,10.88,10.77,10.82,96400,3.13,0.0032051282051281937
1995-09-05,10.77,10.99,10.77,10.99,43900,3.18,0.015974440894568787
1995-09-06,10.88,10.99,10.77,10.77,25800,3.12,-0.018867924528301883
1995-09-07,10.88,10.99,10.88,10.88,46700,3.15,0.009615384615384581
1995-09-08,10.99,10.99,10.88,10.99,23300,3.18,0.009523809523809712
1995-09-11,10.99,10.99,10.88,10.88,18500,3.15,-0.009433962264151052
1995-09-12,10.99,10.99,10.88,10.99,70400,3.18,0.009523809523809712
1995-09-13,10.99,10.99,10.88,10.88,19500,3.15,-0.009433962264151052
1995-09-14,10.88,10.99,10.88,10.99,18800,3.18,0.009523809523809712
1995-09-15,10.99,10.99,10.88,10.99,25000,3.18,0.0
1995-09-18,10.88,10.99,10.88,10.99,8900,3.18,0.0
1995-09-19,10.99,10.99,10.77,10.88,41500,3.15,-0.009433962264151052
1995-09-20,10.77,10.88,10.77,10.88,23500,3.17,0.006349206349206327
1995-09-21,10.77,10.88,10.66,10.66,51100,3.1,-0.02208201892744477
1995-09-22,10.66,10.77,10.55,10.66,45500,3.1,0.0
1995-09-25,10.55,10.66,10.55,10.55,33700,3.07,-0.00967741935483879
1995-09-26,10.66,10.77,10.66,10.66,24300,3.1,0.009771986970684043
1995-09-27,10.66,10.77,10.55,10.77,52900,3.14,0.012903225806451646
1995-09-28,10.77,10.77,10.66,10.77,16500,3.14,0.0
1995-09-29,10.77,10.77,10.66,10.77,69700,3.14,0.0
1995-10-02,10.77,10.88,10.77,10.88,28400,3.17,0.009554140127388422
1995-10-03,10.77,10.88,10.77,10.88,59100,3.17,0.0
1995-10-04,10.88,10.88,10.77,10.88,20100,3.17,0.0
1995-10-05,10.88,10.88,10.77,10.88,29700,3.17,0.0
1995-10-06,10.77,10.88,10.77,10.88,74700,3.17,0.0
1995-10-09,10.77,10.88,10.77,10.88,40300,3.17,0.0
1995-10-10,10.88,10.88,10.77,10.88,41100,3.17,0.0
1995-10-11,10.88,10.99,10.77,10.88,49400,3.17,0.0
1995-10-12,10.88,10.99,10.88,10.99,17400,3.2,0.009463722397476504
1995-10-13,10.99,11.1,10.99,10.99,122700,3.2,0.0
1995-10-16,11.1,11.1,10.99,10.99,10400,3.2,0.0
1995-10-17,10.99,11.1,10.99,11.1,50900,3.23,0.009374999999999911
1995-10-18,10.99,10.99,10.88,10.99,62300,3.22,-0.003095975232198067
1995-10-19,10.88,11.1,10.88,11.1,65900,3.25,0.009316770186335255
1995-10-20,11.1,11.1,10.88,10.99,39600,3.22,-0.009230769230769154
1995-10-23,10.88,10.99,10.88,10.88,49100,3.19,-0.009316770186335477
1995-10-24,10.99,11.1,10.99,11.04,56000,3.24,0.015673981191222763
1995-10-25,10.99,11.1,10.99,11.04,40500,3.24,0.0
1995-10-26,10.99,11.1,10.99,11.1,30900,3.25,0.0030864197530864335
1995-10-27,10.99,11.1,10.99,10.99,35700,3.22,-0.009230769230769154
1995-10-30,11.1,11.21,10.99,11.1,76300,3.25,0.009316770186335255
1995-10-31,11.1,11.21,10.99,11.1,127600,3.25,0.0
1995-11-01,11.1,11.21,11.1,11.1,24900,3.25,0.0
1995-11-02,11.1,11.21,11.1,11.1,23200,3.25,0.0
1995-11-03,11.1,11.21,11.1,11.1,14600,3.25,0.0
1995-11-06,11.21,11.21,11.1,11.1,35200,3.25,0.0
1995-11-07,11.1,11.21,11.1,11.1,92800,3.25,0.0
1995-11-08,11.15,11.21,11.1,11.1,48000,3.25,0.0
1995-11-09,11.1,11.21,10.99,11.1,74400,3.25,0.0
1995-11-10,10.99,11.1,10.99,10.99,18000,3.22,-0.009230769230769154
1995-11-13,11.1,11.21,10.99,11.1,70600,3.25,0.009316770186335255
1995-11-14,11.1,11.21,11.1,11.21,51600,3.29,0.012307692307692353
1995-11-15,11.21,11.21,11.1,11.21,57000,3.29,0.0
1995-11-16,11.21,11.21,11.1,11.21,241200,3.29,0.0
1995-11-17,11.32,11.43,11.21,11.32,180300,3.32,0.00911854103343468
1995-11-20,11.43,11.54,11.32,11.43,199400,3.35,0.009036144578313365
1995-11-21,11.32,11.43,11.32,11.32,74900,3.34,-0.0029850746268657025
1995-11-22,11.32,11.43,11.21,11.43,79800,3.37,0.008982035928143839
1995-11-24,11.32,11.43,11.32,11.43,18400,3.37,0.0
1995-11-27,11.32,11.43,11.32,11.43,79900,3.37,0.0
1995-11-28,11.43,11.43,11.32,11.43,131600,3.37,0.0
1995-11-29,11.43,11.43,11.32,11.43,53300,3.37,0.0
1995-11-30,11.43,11.54,11.32,11.43,118500,3.37,0.0
1995-12-01,11.54,11.65,11.43,11.65,101100,3.44,0.020771513353115667
1995-12-04,11.54,11.76,11.54,11.54,126700,3.4,-0.011627906976744207
1995-12-05,11.65,11.65,11.54,11.65,123300,3.44,0.0117647058823529
1995-12-06,11.65,11.65,11.54,11.54,108500,3.4,-0.011627906976744207
1995-12-07,11.65,11.65,11.54,11.54,74300,3.4,0.0
1995-12-08,11.65,11.65,11.54,11.54,63600,3.4,0.0
1995-12-11,11.65,11.65,11.54,11.65,60700,3.44,0.0117647058823529
1995-12-12,11.54,11.65,11.54,11.65,146200,3.44,0.0
1995-12-13,11.65,11.65,11.54,11.65,63500,3.44,0.0
1995-12-14,11.65,11.65,11.54,11.54,80500,3.4,-0.011627906976744207
1995-12-15,11.54,11.76,11.54,11.76,143500,3.47,0.020588235294117796
1995-12-18,11.65,11.76,11.43,11.54,61000,3.4,-0.02017291066282434
1995-12-19,11.43,11.54,11.43,11.43,73800,3.37,-0.008823529411764675
1995-12-20,11.43,11.54,11.32,11.43,94100,3.39,0.005934718100890191
1995-12-21,11.32,11.43,11.32,11.43,94400,3.39,0.0
1995-12-22,11.43,11.43,11.32,11.43,65100,3.39,0.0
1995-12-26,11.32,11.43,11.32,11.32,55900,3.36,-0.008849557522124019
1995-12-27,11.32,11.43,11.32,11.32,65000,3.36,0.0
1995-12-28,11.32,11.43,11.21,11.21,82200,3.33,-0.008928571428571397
1995-12-29,11.21,11.43,11.21,11.43,93600,3.39,0.018018018018018056
1996-01-02,11.43,11.54,11.43,11.54,43400,3.43,0.01179941002949847
1996-01-03,11.54,11.54,11.43,11.54,16700,3.43,0.0
1996-01-04,11.43,11.54,11.43,11.54,22100,3.43,0.0
1996-01-05,11.54,11.54,11.43,11.54,20600,3.43,0.0
1996-01-08,11.43,11.54,11.43,11.43,18700,3.39,-0.011661807580174988
1996-01-09,11.54,11.65,11.54,11.54,38800,3.43,0.01179941002949847
1996-01-10,11.54,11.65,11.43,11.54,72500,3.43,0.0
1996-01-11,11.54,11.54,11.43,11.43,21000,3.39,-0.011661807580174988
1996-01-12,11.43,11.54,11.43,11.43,24400,3.39,0.0
1996-01-15,11.43,11.54,11.43,11.43,27800,3.39,0.0
1996-01-16,11.43,11.54,11.43,11.54,67400,3.43,0.01179941002949847
1996-01-17,11.54,11.65,11.43,11.65,21000,3.48,0.014577259475218707
1996-01-18,11.54,11.65,11.43,11.54,27800,3.45,-0.008620689655172376
1996-01-19,11.43,11.65,11.43,11.65,47200,3.48,0.008695652173912993
1996-01-22,11.54,11.65,11.54,11.54,35000,3.45,-0.008620689655172376
1996-01-23,11.54,11.65,11.54,11.65,29000,3.48,0.008695652173912993
1996-01-24,11.54,11.65,11.54,11.65,58500,3.48,0.0
1996-01-25,11.65,11.76,11.65,11.76,38200,3.51,0.008620689655172376
1996-01-26,11.65,11.76,11.65,11.76,53700,3.51,0.0
1996-01-29,11.76,11.76,11.65,11.76,29900,3.51,0.0
1996-01-30,11.65,11.76,11.65,11.65,76900,3.48,-0.008547008547008517
1996-01-31,11.65,11.76,11.65,11.76,77400,3.51,0.008620689655172376
1996-02-01,11.76,11.87,11.65,11.87,83600,3.55,0.01139601139601143
1996-02-02,11.87,11.87,11.76,11.87,23400,3.55,0.0
1996-02-05,11.87,11.87,11.76,11.87,45600,3.55,0.0
1996-02-06,11.76,11.87,11.76,11.87,69000,3.55,0.0
1996-02-07,11.87,11.98,11.87,11.98,92900,3.58,0.008450704225352101
1996-02-08,11.98,12.09,11.87,12.09,22900,3.61,0.008379888268156277
1996-02-09,11.98,12.09,11.98,11.98,30400,3.58,-0.008310249307479145
1996-02-12,12.09,12.2,11.98,12.2,79300,3.65,0.019553072625698276
1996-02-13,12.2,12.2,12.09,12.2,31700,3.65,0.0
1996-02-14,12.09,12.31,12.09,12.31,89600,3.68,0.008219178082191858
1996-02-15,12.2,12.42,12.2,12.31,75900,3.7,0.005434782608695565
1996-02-16,12.2,12.31,12.2,12.31,27800,3.7,0.0
1996-02-20,12.31,12.31,12.09,12.09,74300,3.64,-0.016216216216216273
1996-02-21,12.09,12.31,12.09,12.09,97500,3.64,0.0
1996-02-22,12.2,12.2,12.09,12.2,61700,3.67,0.008241758241758212
1996-02-23,12.2,12.31,12.09,12.2,80400,3.67,0.0
1996-02-26,12.2,12.2,11.98,12.09,141700,3.64,-0.008174386920980825
1996-02-27,12.09,12.09,11.98,12.09,37300,3.64,0.0
1996-02-28,11.98,12.2,11.98,11.98,50900,3.6,-0.01098901098901095
1996-02-29,11.98,12.09,11.98,12.09,28600,3.64,0.011111111111111072
1996-03-01,12.09,12.2,12.09,12.2,37200,3.67,0.008241758241758212
1996-03-04,12.2,12.2,12.09,12.2,30700,3.67,0.0
1996-03-05,12.09,12.2,12.09,12.09,77400,3.64,-0.008174386920980825
1996-03-06,12.09,12.2,12.09,12.2,35300,3.67,0.008241758241758212
1996-03-07,12.2,12.2,12.09,12.2,55900,3.67,0.0
1996-03-08,12.09,12.09,11.65,11.65,123800,3.5,-0.0463215258855586
1996-03-11,11.65,11.98,11.54,11.98,92900,3.6,0.028571428571428692
1996-03-12,11.87,11.87,11.65,11.87,90900,3.57,-0.008333333333333415
1996-03-13,11.76,11.87,11.65,11.76,31700,3.54,-0.008403361344537785
1996-03-14,11.76,11.87,11.76,11.76,22100,3.54,0.0
1996-03-15,11.65,11.76,11.65,11.65,31100,3.53,-0.0028248587570621764
1996-03-18,11.76,11.87,11.76,11.76,34100,3.56,0.008498583569405138
1996-03-19,11.76,11.87,11.65,11.76,45500,3.56,0.0
1996-03-20,11.76,11.87,11.76,11.87,28400,3.59,0.008426966292134797
1996-03-21,11.87,11.98,11.87,11.87,100300,3.59,0.0
1996-03-22,11.87,11.98,11.87,11.92,35500,3.61,0.0055710306406684396
1996-03-25,11.98,11.98,11.87,11.87,67000,3.59,-0.005540166204986208
1996-03-26,11.87,11.98,11.87,11.87,32700,3.59,0.0
1996-03-27,11.98,11.98,11.76,11.87,48300,3.59,0.0
1996-03-28,11.76,11.76,11.65,11.65,63700,3.53,-0.01671309192200554
1996-03-29,11.65,11.87,11.65,11.87,71500,3.59,0.016997167138810276
1996-04-01,11.87,11.87,11.76,11.87,16300,3.59,0.0
1996-04-02,11.76,11.87,11.65,11.65,48600,3.53,-0.01671309192200554
1996-04-03,11.76,11.76,11.65,11.65,55900,3.53,0.0
1996-04-04,11.65,11.65,11.54,11.65,69000,3.53,0.0
1996-04-08,11.21,11.32,11.1,11.21,193100,3.39,-0.03966005665722372
1996-04-09,11.32,11.43,11.21,11.32,74800,3.43,0.01179941002949847
1996-04-10,11.32,11.32,11.21,11.21,67500,3.39,-0.011661807580174988
1996-04-11,11.21,11.32,11.21,11.32,23800,3.43,0.01179941002949847
1996-04-12,11.32,11.43,11.32,11.32,34700,3.43,0.0
1996-04-15,11.32,11.43,11.32,11.32,30300,3.43,0.0
1996-04-16,11.43,11.54,11.32,11.32,26400,3.43,0.0
1996-04-17,11.43,11.43,11.32,11.43,32100,3.49,0.017492711370262315
1996-04-18,11.32,11.54,11.32,11.54,24200,3.52,0.008595988538681931
1996-04-19,11.54,11.76,11.43,11.65,97800,3.55,0.008522727272727293
1996-04-22,11.65,11.87,11.65,11.76,48300,3.59,0.011267605633802802
1996-04-23,11.76,11.76,11.65,11.65,76600,3.55,-0.011142061281337101
1996-04-24,11.76,11.76,11.65,11.65,13100,3.55,0.0
1996-04-25,11.65,11.76,11.65,11.65,32500,3.55,0.0
1996-04-26,11.65,11.76,11.65,11.76,10700,3.59,0.011267605633802802
1996-04-29,11.65,11.76,11.65,11.76,69000,3.59,0.0
1996-04-30,11.76,11.87,11.65,11.76,61200,3.59,0.0
1996-05-01,11.76,11.87,11.76,11.76,82700,3.59,0.0
1996-05-02,11.87,11.87,11.76,11.76,59600,3.59,0.0
1996-05-03,11.76,11.87,11.65,11.65,19100,3.55,-0.011142061281337101
1996-05-06,11.65,11.76,11.65,11.65,31200,3.55,0.0
1996-05-07,11.76,11.87,11.76,11.87,40100,3.62,0.019718309859154903
1996-05-08,11.76,11.87,11.76,11.76,14200,3.59,-0.008287292817679592
1996-05-09,11.76,11.87,11.76,11.76,32700,3.59,0.0
1996-05-10,11.87,11.98,11.87,11.87,22100,3.62,0.008356545961002881
1996-05-13,11.98,11.98,11.87,11.87,29000,3.62,0.0
1996-05-14,11.87,11.98,11.76,11.98,21800,3.65,0.008287292817679592
1996-05-15,11.87,11.98,11.76,11.76,18700,3.59,-0.016438356164383605
1996-05-16,11.76,11.87,11.76,11.87,9700,3.62,0.008356545961002881
1996-05-17,11.76,11.87,11.76,11.87,7000,3.64,0.005524861878453136
1996-05-20,11.76,11.87,11.76,11.87,19400,3.64,0.0
1996-05-21,11.76,11.76,11.65,11.65,28500,3.57,-0.019230769230769273
1996-05-22,11.65,11.76,11.65,11.65,28700,3.57,0.0
1996-05-23,11.65,11.76,11.54,11.54,9300,3.54,-0.008403361344537785
1996-05-24,11.54,11.65,11.54,11.65,20700,3.57,0.008474576271186418
1996-05-28,11.54,11.76,11.54,11.65,23000,3.57,0.0
1996-05-29,11.65,11.76,11.54,11.54,28700,3.54,-0.008403361344537785
1996-05-30,11.65,11.65,11.54,11.65,14900,3.57,0.008474576271186418
1996-05-31,11.65,11.65,11.54,11.54,53700,3.54,-0.008403361344537785
1996-06-03,11.54,11.65,11.54,11.65,12000,3.57,0.008474576271186418
1996-06-04,11.54,11.65,11.54,11.65,9100,3.57,0.0
1996-06-05,11.54,11.65,11.54,11.54,8700,3.54,-0.008403361344537785
1996-06-06,11.65,11.65,11.54,11.54,34200,3.54,0.0
1996-06-07,11.43,11.43,11.32,11.43,31400,3.51,-0.008474576271186529
1996-06-10,11.43,11.43,11.32,11.32,13500,3.47,-0.011396011396011319
1996-06-11,11.32,11.43,11.32,11.32,34900,3.47,0.0
1996-06-12,11.32,11.43,11.21,11.32,64800,3.47,0.0
1996-06-13,11.21,11.21,11.1,11.21,33700,3.44,-0.008645533141210415
1996-06-14,11.1,11.1,10.99,11.1,59200,3.43,-0.0029069767441859407
1996-06-17,11.1,11.1,10.99,10.99,17600,3.4,-0.008746355685131268
1996-06-18,11.1,11.1,10.99,10.99,19300,3.4,0.0
1996-06-19,11.1,11.1,10.99,10.99,16800,3.4,0.0
1996-06-20,11.1,11.21,10.99,11.1,30000,3.43,0.008823529411764675
1996-06-21,11.21,11.21,11.1,11.21,7400,3.46,0.008746355685131046
1996-06-24,11.21,11.21,11.1,11.21,21800,3.46,0.0
1996-06-25,11.21,11.21,11.1,11.21,19200,3.46,0.0
1996-06-26,11.21,11.21,11.1,11.21,28800,3.46,0.0
1996-06-27,11.1,11.21,11.1,11.21,9200,3.46,0.0
1996-06-28,11.21,11.32,11.21,11.32,81300,3.5,0.011560693641618602
1996-07-01,11.32,11.43,11.21,11.43,53500,3.53,0.008571428571428452
1996-07-02,11.43,11.43,11.32,11.43,82900,3.53,0.0
1996-07-03,11.43,11.43,11.32,11.32,13100,3.5,-0.008498583569405027
1996-07-05,11.21,11.21,11.1,11.1,25700,3.43,-0.019999999999999907
1996-07-08,11.1,11.32,11.1,11.32,24400,3.5,0.020408163265306145
1996-07-09,11.32,11.32,11.21,11.32,29200,3.5,0.0
1996-07-10,11.32,11.43,11.21,11.32,47800,3.5,0.0
1996-07-11,11.43,11.43,11.32,11.32,86500,3.5,0.0
1996-07-12,11.32,11.43,11.32,11.43,55900,3.53,0.008571428571428452
1996-07-15,11.54,11.54,11.43,11.54,4000,3.56,0.008498583569405138
1996-07-16,11.54,11.54,11.43,11.54,55100,3.56,0.0
1996-07-17,11.54,11.54,11.43,11.54,44300,3.56,0.0
1996-07-18,11.54,11.65,11.43,11.65,48100,3.62,0.016853932584269593
1996-07-19,11.54,11.65,11.54,11.54,10900,3.59,-0.008287292817679592
1996-07-22,11.65,11.65,11.54,11.65,49200,3.62,0.008356545961002881
1996-07-23,11.65,11.76,11.65,11.65,23900,3.62,0.0
1996-07-24,11.65,11.76,11.65,11.65,22100,3.62,0.0
1996-07-25,11.65,11.76,11.65,11.76,29900,3.66,0.011049723756906049
1996-07-26,11.87,11.87,11.76,11.76,15800,3.66,0.0
1996-07-29,11.76,11.87,11.76,11.76,23600,3.66,0.0
1996-07-30,11.87,11.87,11.76,11.76,23700,3.66,0.0
1996-07-31,11.87,11.87,11.76,11.87,94400,3.69,0.008196721311475308
1996-08-01,11.87,11.98,11.87,11.87,36600,3.69,0.0
1996-08-02,11.87,11.98,11.87,11.98,35000,3.72,0.008130081300813163
1996-08-05,11.87,11.98,11.87,11.87,12700,3.69,-0.008064516129032362
1996-08-06,11.87,11.98,11.87,11.98,7400,3.72,0.008130081300813163
1996-08-07,11.87,11.98,11.87,11.87,26200,3.69,-0.008064516129032362
1996-08-08,11.87,11.98,11.87,11.87,9700,3.69,0.0
1996-08-09,11.87,11.98,11.87,11.87,35000,3.69,0.0
1996-08-12,11.87,11.98,11.87,11.87,20300,3.69,0.0
1996-08-13,11.98,11.98,11.87,11.87,18000,3.69,0.0
1996-08-14,11.87,11.98,11.87,11.98,20200,3.72,0.008130081300813163
1996-08-15,11.87,11.87,11.76,11.76,14400,3.68,-0.010752688172043001
1996-08-16,11.76,11.87,11.76,11.87,11500,3.71,0.008152173913043459
1996-08-19,11.87,11.87,11.76,11.76,18000,3.68,-0.008086253369272156
1996-08-20,11.87,11.87,11.76,11.76,19700,3.68,0.0
1996-08-21,11.87,11.87,11.76,11.76,16100,3.68,0.0
1996-08-22,11.87,11.87,11.76,11.87,38700,3.71,0.008152173913043459
1996-08-23,11.76,11.87,11.76,11.87,18200,3.71,0.0
1996-08-26,11.76,11.87,11.76,11.76,9300,3.68,-0.008086253369272156
1996-08-27,11.87,11.87,11.76,11.76,27800,3.68,0.0
1996-08-28,11.76,11.87,11.65,11.87,32700,3.71,0.008152173913043459
1996-08-29,11.76,11.87,11.76,11.76,18200,3.68,-0.008086253369272156
1996-08-30,11.76,11.87,11.76,11.76,64700,3.68,0.0
1996-09-03,11.65,11.87,11.65,11.76,34000,3.68,0.0
1996-09-04,11.87,11.87,11.76,11.76,9500,3.68,0.0
1996-09-05,11.65,11.76,11.65,11.65,14000,3.65,-0.00815217391304357
1996-09-06,11.76,11.76,11.65,11.76,27400,3.68,0.008219178082191858
