Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-03-22,19.0,19.95,16.26,16.26,10992000,16.26,0.0
2013-03-25,16.65,16.65,15.15,15.87,1244200,15.87,-0.023985239852398643
2013-03-26,16.15,17.38,16.01,17.04,349100,17.04,0.07372400756143671
2013-03-27,17.0,17.0,16.49,16.55,202900,16.55,-0.028755868544600882
2013-03-28,16.56,16.71,16.15,16.43,111100,16.43,-0.007250755287009136
2013-04-01,16.19,16.43,15.88,15.99,124000,15.99,-0.026780279975654242
2013-04-02,15.99,16.08,15.6,15.61,163000,15.61,-0.023764853033145794
2013-04-03,15.6,15.71,14.68,14.8,640800,14.8,-0.05188981422165273
2013-04-04,14.77,15.37,14.65,15.35,180900,15.35,0.03716216216216206
2013-04-05,14.67,15.22,14.67,15.12,107200,15.12,-0.014983713355048889
2013-04-08,15.04,15.83,15.04,15.75,124600,15.75,0.04166666666666674
2013-04-09,15.55,15.9,15.55,15.7,93500,15.7,-0.0031746031746032743
2013-04-10,15.55,15.8,15.37,15.55,128000,15.55,-0.009554140127388422
2013-04-11,15.5,15.54,14.94,15.44,171700,15.44,-0.0070739549839229365
2013-04-12,15.36,15.5,14.74,14.9,590400,14.9,-0.03497409326424861
2013-04-15,14.7,15.04,14.7,14.73,201500,14.73,-0.01140939597315438
2013-04-16,15.13,15.23,14.85,14.95,628500,14.95,0.014935505770536261
2013-04-17,14.96,15.5,14.67,14.89,694000,14.89,-0.004013377926421313
2013-04-18,14.99,15.17,14.61,14.62,164700,14.62,-0.018132975151108233
2013-04-19,14.9,15.1,14.55,14.91,203300,14.91,0.019835841313269542
2013-04-22,14.89,15.06,14.61,14.61,128300,14.61,-0.02012072434607648
2013-04-23,14.61,14.96,14.61,14.96,143400,14.96,0.023956194387406038
2013-04-24,14.99,15.02,14.66,14.73,105700,14.73,-0.015374331550802145
2013-04-25,14.71,14.9,14.5,14.52,115500,14.52,-0.014256619144602856
2013-04-26,14.65,14.65,14.05,14.14,167300,14.14,-0.026170798898071612
