Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-06-28,32.0,39.7,32.0,36.75,7726400,36.75,0.0
2013-07-01,38.73,40.69,38.15,38.47,1064200,38.47,0.04680272108843542
2013-07-02,42.32,51.97,40.4,47.2,2940200,47.2,0.2269300753834158
2013-07-03,49.99,51.4,43.01,45.0,2723900,45.0,-0.04661016949152552
2013-07-05,47.0,47.6,43.15,44.32,1245700,44.32,-0.015111111111111075
2013-07-08,43.0,43.48,40.0,40.06,2090200,40.06,-0.09611913357400714
2013-07-09,40.5,42.6,40.26,41.14,974600,41.14,0.026959560659011395
2013-07-10,41.8,44.36,40.28,44.13,801500,44.13,0.07267865824015551
2013-07-11,44.97,45.0,43.2,43.68,900800,43.68,-0.010197144799456215
2013-07-12,43.95,44.0,42.12,42.93,464700,42.93,-0.01717032967032972
2013-07-15,42.56,43.43,42.32,42.7,342900,42.7,-0.0053575588166782095
2013-07-16,42.6,43.38,41.13,42.9,571800,42.9,0.004683840749414525
2013-07-17,42.15,44.67,42.09,44.0,462900,44.0,0.025641025641025772
2013-07-18,44.85,44.99,42.5,42.76,569200,42.76,-0.028181818181818197
2013-07-19,43.1,43.38,41.86,42.7,301900,42.7,-0.001403180542563054
2013-07-22,43.1,45.95,41.78,42.12,896500,42.12,-0.013583138173302256
2013-07-23,42.89,44.35,41.5,44.22,698400,44.22,0.049857549857549976
2013-07-24,43.27,44.6,43.27,43.38,446100,43.38,-0.01899592944369055
2013-07-25,43.73,44.2,42.75,43.98,232300,43.98,0.013831258644536604
2013-07-26,44.2,44.2,42.5,43.0,272100,43.0,-0.022282855843565152
2013-07-29,43.28,43.48,42.72,43.01,162000,43.01,0.00023255813953482196
2013-07-30,43.0,43.1,42.8,43.05,112400,43.05,0.0009300162752847729
2013-07-31,43.47,46.72,42.83,43.37,846600,43.37,0.007433217189314778
2013-08-01,43.84,44.82,43.6,44.3,232900,44.3,0.02144339405118756
2013-08-02,44.5,45.87,44.5,45.67,295000,45.67,0.030925507900677385
2013-08-05,46.0,49.15,45.61,45.74,1099000,45.74,0.0015327348368732174
2013-08-06,46.27,46.44,44.24,44.52,756600,44.52,-0.026672496720594685
2013-08-07,44.1,46.3,43.5,46.14,556900,46.14,0.03638814016172498
2013-08-08,47.26,48.39,46.0,47.27,1047900,47.27,0.024490680537494702
2013-08-09,44.0,45.0,42.02,42.31,1713500,42.31,-0.10492913052676112
2013-08-12,42.4,42.84,40.65,41.01,709800,41.01,-0.030725596785630027
2013-08-13,40.88,41.41,38.9,40.17,934300,40.17,-0.02048280907095823
2013-08-14,40.0,40.52,38.99,40.25,420200,40.25,0.001991535972118541
2013-08-15,40.0,40.43,39.05,39.81,375000,39.81,-0.010931677018633512
2013-08-16,39.81,41.5,39.07,41.25,220900,41.25,0.036171816126601364
2013-08-19,41.43,42.19,41.0,41.73,204100,41.73,0.011636363636363667
2013-08-20,41.99,42.73,41.75,42.17,179600,42.17,0.010543973160795694
2013-08-21,42.18,42.18,39.85,39.98,319500,39.98,-0.0519326535451744
2013-08-22,40.5,41.0,40.07,40.22,113900,40.22,0.006003001500750393
2013-08-23,40.62,41.43,40.45,41.22,139700,41.22,0.024863252113376477
2013-08-26,42.08,43.09,41.31,42.21,273300,42.21,0.02401746724890841
2013-08-27,41.76,43.55,41.25,43.04,498700,43.04,0.019663586827765922
2013-08-28,43.15,44.95,43.0,44.75,561800,44.75,0.039730483271375405
2013-08-29,46.0,46.7,45.35,46.17,665700,46.17,0.03173184357541903
2013-08-30,47.0,47.35,45.5,45.66,521700,45.66,-0.011046133853151452
2013-09-03,46.16,46.57,44.0,44.76,420800,44.76,-0.019710906701708275
2013-09-04,44.94,45.61,44.0,44.38,319300,44.38,-0.00848972296693462
2013-09-05,44.29,46.2,43.15,45.76,537800,45.76,0.0310950878774221
2013-09-06,46.35,46.92,44.5,45.42,581400,45.42,-0.007430069930069894
2013-09-09,45.7,46.4,44.78,45.06,334300,45.06,-0.007926023778071278
2013-09-10,45.69,45.69,44.06,44.36,404600,44.36,-0.015534842432312512
2013-09-11,44.38,44.61,43.47,43.64,268300,43.64,-0.0162308385933273
2013-09-12,43.64,45.45,43.64,44.99,289400,44.99,0.030934922089825845
2013-09-13,45.04,45.99,44.5,45.72,302600,45.72,0.0162258279617693
2013-09-16,46.34,46.6,43.79,44.48,383700,44.48,-0.027121609798775204
2013-09-17,44.38,45.6,43.83,44.92,293500,44.92,0.009892086330935301
2013-09-18,44.89,45.89,44.75,45.5,404000,45.5,0.01291184327693684
2013-09-19,45.89,45.9,45.0,45.51,415200,45.51,0.00021978021978008577
2013-09-20,45.67,49.45,43.73,43.92,2374200,43.92,-0.034937376400790976
2013-09-23,44.07,44.43,41.09,43.35,1128600,43.35,-0.012978142076502719
2013-09-24,43.4,43.71,41.81,42.44,481300,42.44,-0.020991926182237663
2013-09-25,42.37,43.77,42.29,43.14,210400,43.14,0.016493873704052753
2013-09-26,43.4,44.4,42.81,44.36,431700,44.36,0.02828001854427442
2013-09-27,44.1,45.24,43.8,44.33,347200,44.33,-0.0006762849413887162
2013-09-30,43.9,43.9,42.58,42.86,833500,42.86,-0.03316038799909771
2013-10-01,42.67,43.35,42.25,42.97,377300,42.97,0.0025664955669622014
2013-10-02,42.92,43.56,42.45,43.15,240700,43.15,0.004188969048173119
2013-10-03,42.85,43.5,42.5,43.03,301800,43.03,-0.0027809965237542977
