Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-03-26,43.13,43.13,43.13,43.13,1600,3.74,0.0
1990-03-27,44.0,44.0,43.13,44.0,2400,3.81,0.018716577540106805
1990-03-28,44.0,44.0,43.13,44.0,16000,3.81,0.0
1990-03-29,43.35,43.35,43.35,43.35,0,3.76,-0.013123359580052618
1990-03-30,43.57,44.44,43.57,44.0,59200,3.81,0.013297872340425565
1990-04-02,43.57,43.57,43.13,43.57,27200,3.78,-0.007874015748031593
1990-04-03,43.79,44.0,43.13,43.13,1600,3.74,-0.01058201058201047
1990-04-04,43.13,43.46,42.7,43.13,104000,3.74,0.0
1990-04-05,42.7,42.7,42.26,42.26,51200,3.66,-0.021390374331550777
1990-04-06,42.26,43.35,42.26,43.35,9600,3.76,0.027322404371584508
1990-04-09,42.26,43.13,42.26,43.13,14400,3.74,-0.005319148936170137
1990-04-10,42.26,43.13,42.26,43.13,1600,3.74,0.0
1990-04-11,42.26,42.26,42.26,42.26,8000,3.66,-0.021390374331550777
1990-04-12,42.26,42.91,42.26,42.48,59200,3.68,0.005464480874316946
1990-04-16,42.26,43.13,42.26,42.26,5600,3.66,-0.005434782608695676
1990-04-17,42.26,42.26,42.26,42.26,4800,3.66,0.0
1990-04-18,43.13,43.13,41.82,41.82,29600,3.62,-0.010928961748633892
1990-04-19,42.26,42.26,41.39,41.39,28000,3.59,-0.008287292817679592
1990-04-20,41.39,41.82,41.39,41.82,209600,3.62,0.008356545961002881
1990-04-23,41.39,41.39,41.39,41.39,6400,3.59,-0.008287292817679592
1990-04-24,41.39,42.26,41.39,41.39,12800,3.59,0.0
1990-04-25,41.39,42.26,41.39,41.82,25600,3.62,0.008356545961002881
1990-04-26,41.39,41.82,41.39,41.39,23200,3.59,-0.008287292817679592
1990-04-27,41.39,41.39,41.39,41.39,1600,3.59,0.0
1990-04-30,40.52,41.39,40.52,41.28,7200,3.58,-0.0027855153203342198
1990-05-01,40.52,41.39,40.52,41.39,40000,3.59,0.0027932960893854997
1990-05-02,40.95,41.82,40.95,41.39,228800,3.59,0.0
1990-05-03,40.95,41.39,40.95,40.95,11200,3.55,-0.011142061281337101
