Date,Open,High,Low,Close,Volume,Adj Close,Return
2006-10-18,1.2,1.2,1.1,1.1,200,8.25,0.0
2006-10-19,1.1,1.1,1.01,1.01,100,7.57,-0.0824242424242424
2006-10-20,1.01,1.01,1.01,1.01,0,7.57,0.0
2006-10-23,0.75,0.75,0.75,0.75,100,5.62,-0.2575957727873184
2006-10-24,0.75,0.75,0.75,0.75,0,5.62,0.0
2006-10-25,0.75,0.75,0.75,0.75,0,5.62,0.0
2006-10-26,0.75,0.75,0.75,0.75,0,5.62,0.0
2006-10-27,0.75,0.75,0.75,0.75,0,5.62,0.0
2006-10-30,0.75,0.75,0.75,0.75,0,5.62,0.0
2006-10-31,0.75,0.75,0.75,0.75,0,5.62,0.0
2006-11-01,0.75,0.75,0.75,0.75,0,5.62,0.0
2006-11-02,0.6,0.6,0.6,0.6,300,4.5,-0.19928825622775803
2006-11-03,0.6,0.6,0.6,0.6,0,4.5,0.0
2006-11-06,0.6,0.6,0.6,0.6,0,4.5,0.0
2006-11-07,0.6,0.6,0.6,0.6,0,4.5,0.0
2006-11-08,0.6,0.6,0.6,0.6,0,4.5,0.0
2006-11-09,0.51,0.51,0.51,0.51,0,3.82,-0.1511111111111112
2006-11-10,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-11-13,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-11-14,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-11-15,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-11-16,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-11-17,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-11-20,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-11-21,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-11-22,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-11-24,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-11-27,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-11-28,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-11-29,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-11-30,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-12-01,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-12-04,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-12-05,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-12-06,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-12-07,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-12-08,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-12-11,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-12-12,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-12-13,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-12-14,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-12-15,0.51,0.51,0.51,0.51,0,3.82,0.0
2006-12-18,0.8,0.8,0.8,0.8,0,6.0,0.5706806282722514
2006-12-19,0.8,0.8,0.8,0.8,0,6.0,0.0
2006-12-20,0.8,0.8,0.8,0.8,0,6.0,0.0
2006-12-21,0.8,0.8,0.8,0.8,0,6.0,0.0
2006-12-22,0.8,0.8,0.8,0.8,0,6.0,0.0
2006-12-26,0.8,0.8,0.8,0.8,0,6.0,0.0
2006-12-27,0.8,0.8,0.8,0.8,0,6.0,0.0
2006-12-28,0.8,0.8,0.8,0.8,0,6.0,0.0
2006-12-29,0.51,0.51,0.51,0.51,0,3.82,-0.3633333333333334
2007-01-03,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-04,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-05,0.51,0.51,0.51,0.51,200,3.82,0.0
2007-01-08,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-09,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-10,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-11,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-12,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-16,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-17,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-18,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-19,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-22,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-23,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-24,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-25,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-26,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-29,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-30,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-01-31,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-01,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-02,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-05,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-06,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-07,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-08,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-09,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-12,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-13,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-14,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-15,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-16,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-20,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-21,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-22,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-23,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-26,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-27,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-02-28,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-01,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-02,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-05,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-06,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-07,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-08,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-09,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-12,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-13,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-14,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-15,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-16,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-19,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-20,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-21,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-22,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-23,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-26,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-27,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-28,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-29,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-03-30,0.51,0.51,0.51,0.51,100,3.82,0.0
2007-04-02,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-04-03,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-04-04,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-04-05,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-04-09,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-04-10,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-04-11,0.51,0.51,0.51,0.51,0,3.82,0.0
2007-04-12,0.65,0.75,0.65,0.75,400,5.62,0.47120418848167556
2007-04-13,0.75,0.75,0.75,0.75,0,5.62,0.0
2007-04-16,0.75,0.75,0.75,0.75,0,5.62,0.0
2007-04-17,0.75,0.75,0.75,0.75,0,5.62,0.0
2007-04-18,0.75,0.75,0.75,0.75,0,5.62,0.0
2007-04-19,0.75,0.75,0.75,0.75,0,5.62,0.0
2007-04-20,0.75,0.75,0.75,0.75,0,5.62,0.0
2007-04-23,0.75,0.75,0.75,0.75,0,5.62,0.0
2007-04-24,0.75,0.75,0.75,0.75,0,5.62,0.0
2007-04-25,0.75,0.75,0.75,0.75,0,5.62,0.0
2007-04-26,0.75,0.75,0.75,0.75,0,5.62,0.0
2007-04-27,0.75,0.75,0.75,0.75,0,5.62,0.0
2007-04-30,0.75,0.75,0.75,0.75,0,5.62,0.0
2007-05-01,0.7,0.7,0.7,0.7,400,5.25,-0.06583629893238441
2007-05-02,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-03,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-04,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-07,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-08,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-09,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-10,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-11,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-14,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-15,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-16,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-17,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-18,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-21,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-22,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-23,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-24,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-25,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-29,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-30,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-05-31,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-06-01,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-06-04,0.7,0.7,0.7,0.7,0,5.25,0.0
2007-06-05,0.7,0.7,0.7,0.7,0,5.25,0.0
