Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-12-06,14.9,14.95,14.84,14.88,1509000,14.24,0.0
2012-12-07,14.91,14.91,14.85,14.89,249400,14.25,0.000702247191011196
2012-12-10,14.9,14.9,14.85,14.9,124100,14.26,0.00070175438596487
2012-12-11,14.9,14.9,14.85,14.85,163600,14.21,-0.003506311360448766
2012-12-12,14.87,14.93,14.82,14.84,191100,14.2,-0.0007037297677693344
2012-12-13,14.9,14.9,14.8,14.85,149900,14.21,0.0007042253521127861
2012-12-14,14.89,14.9,14.85,14.89,118400,14.25,0.0028149190710766714
2012-12-17,14.9,14.92,14.85,14.92,183700,14.28,0.00210526315789461
2012-12-18,14.9,14.96,14.85,14.95,100900,14.31,0.0021008403361344463
2012-12-19,14.99,14.99,14.94,14.99,69200,14.35,0.002795248078266921
2012-12-20,14.99,15.0,14.93,14.99,70300,14.35,0.0
2012-12-21,14.9,14.96,14.8,14.9,74600,14.26,-0.006271777003484358
2012-12-24,14.98,14.98,14.88,14.9,60500,14.26,0.0
2012-12-26,14.89,14.98,14.88,14.97,40700,14.33,0.004908835904628317
2012-12-27,14.98,14.98,14.92,14.94,29900,14.3,-0.002093510118632236
2012-12-28,14.95,14.95,14.88,14.95,65500,14.31,0.0006993006993005757
2012-12-31,14.95,14.98,14.93,14.98,58300,14.34,0.002096436058700135
2013-01-02,15.0,15.0,14.95,15.0,104900,14.36,0.001394700139470073
2013-01-03,15.0,15.02,14.98,15.0,69900,14.36,0.0
2013-01-04,15.04,15.04,14.96,14.99,45900,14.35,-0.0006963788300835549
2013-01-07,15.04,15.04,14.93,14.95,40300,14.31,-0.0027874564459929863
2013-01-08,14.98,14.98,14.93,14.93,17800,14.29,-0.0013976240391335715
2013-01-09,15.0,15.0,14.95,15.0,57600,14.36,0.004898530440867743
2013-01-10,15.0,15.0,14.9,15.0,88600,14.36,0.0
2013-01-11,14.95,15.0,14.9,15.0,118000,14.36,0.0
2013-01-14,14.99,15.0,14.93,15.0,96000,14.36,0.0
2013-01-15,14.99,15.0,14.95,15.0,114400,14.36,0.0
2013-01-16,14.99,15.02,14.96,15.0,135300,14.36,0.0
2013-01-17,15.02,15.04,14.98,15.0,95100,14.36,0.0
2013-01-18,15.02,15.04,15.0,15.04,34600,14.39,0.002089136490250665
2013-01-22,15.02,15.15,15.0,15.05,89400,14.4,0.0006949270326614965
2013-01-23,15.04,15.1,14.92,14.97,90400,14.33,-0.004861111111111094
2013-01-24,15.05,15.11,14.98,15.0,77600,14.36,0.0020935101186321248
2013-01-25,15.0,15.01,14.82,14.85,113100,14.21,-0.010445682451253435
2013-01-28,14.8,14.85,14.5,14.83,148700,14.19,-0.0014074595355384467
2013-01-29,14.82,14.85,14.78,14.85,36700,14.21,0.0014094432699085502
2013-01-30,14.85,14.85,14.72,14.77,70100,14.14,-0.0049261083743842304
2013-01-31,14.83,15.0,14.72,14.76,54900,14.13,-0.0007072135785006761
2013-02-01,14.76,14.85,14.75,14.84,22600,14.2,0.004953998584571684
2013-02-04,14.84,14.85,14.75,14.79,28100,14.15,-0.0035211267605632646
2013-02-05,14.96,14.96,14.76,14.78,34100,14.14,-0.0007067137809186885
2013-02-06,14.76,14.84,14.7,14.79,56200,14.15,0.0007072135785006761
2013-02-07,14.95,14.95,14.75,14.94,31000,14.3,0.010600706713780994
2013-02-08,14.81,15.0,14.71,14.75,71400,14.12,-0.012587412587412694
2013-02-11,14.82,15.0,14.7,14.75,60600,14.12,0.0
2013-02-12,14.98,14.98,14.45,14.85,177000,14.21,0.006373937677053965
2013-02-13,14.9,14.9,14.72,14.85,100300,14.26,0.0035186488388458947
2013-02-14,14.75,14.85,14.69,14.8,46700,14.22,-0.0028050490883589907
