Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-01-11,7.22,7.28,7.22,7.22,4300,1.03,0.0
1990-01-12,7.22,7.28,7.22,7.22,3800,1.03,0.0
1990-01-15,7.22,7.22,7.16,7.22,9600,1.03,0.0
1990-01-16,7.22,7.22,7.16,7.16,9700,1.02,-0.009708737864077666
1990-01-17,7.22,7.22,7.22,7.22,2100,1.03,0.009803921568627416
1990-01-18,7.16,7.22,7.16,7.16,3000,1.02,-0.009708737864077666
1990-01-19,7.16,7.16,7.04,7.1,21600,1.01,-0.009803921568627416
1990-01-22,7.16,7.22,7.16,7.16,12700,1.02,0.00990099009900991
1990-01-23,7.16,7.22,7.16,7.16,3000,1.02,0.0
1990-01-24,7.16,7.22,7.16,7.16,7400,1.02,0.0
1990-01-25,7.16,7.22,7.16,7.16,4100,1.02,0.0
1990-01-26,7.22,7.22,7.1,7.16,6600,1.02,0.0
1990-01-29,7.22,7.22,7.22,7.22,1000,1.03,0.009803921568627416
1990-01-30,7.22,7.22,7.1,7.22,10500,1.03,0.0
1990-01-31,7.16,7.16,7.1,7.1,8500,1.01,-0.01941747572815533
1990-02-01,7.1,7.16,7.1,7.1,3400,1.01,0.0
1990-02-02,7.1,7.16,7.1,7.16,2600,1.02,0.00990099009900991
1990-02-05,7.1,7.1,6.98,6.98,6100,0.99,-0.02941176470588236
1990-02-06,7.04,7.16,7.04,7.16,4000,1.02,0.030303030303030276
1990-02-07,7.16,7.28,7.16,7.16,10100,1.02,0.0
1990-02-08,7.22,7.22,7.16,7.22,4600,1.03,0.009803921568627416
1990-02-09,7.2,7.2,7.02,7.02,6000,1.01,-0.01941747572815533
1990-02-12,7.02,7.08,6.9,6.96,4400,1.0,-0.00990099009900991
1990-02-13,6.96,6.96,6.84,6.96,9400,1.0,0.0
1990-02-14,7.02,7.2,6.96,7.08,14300,1.02,0.020000000000000018
1990-02-15,7.08,7.14,7.08,7.14,5600,1.03,0.009803921568627416
1990-02-16,7.14,7.14,7.08,7.14,7900,1.03,0.0
1990-02-20,7.14,7.14,7.08,7.14,5500,1.03,0.0
1990-02-21,7.14,7.14,6.96,6.96,17000,1.0,-0.029126213592232997
1990-02-22,6.96,7.02,6.9,6.96,7500,1.0,0.0
