Date,Open,High,Low,Close,Volume,Adj Close,Return
2001-04-20,28.25,28.4,27.4,27.85,57300,11.38,0.0
2001-04-23,27.93,28.65,27.65,27.66,73600,11.31,-0.0061511423550087985
2001-04-24,27.8,28.23,27.6,28.1,82700,11.49,0.01591511936339529
2001-04-25,28.3,28.5,27.95,28.5,72900,11.65,0.013925152306353272
2001-04-26,28.5,29.3,28.5,29.0,96800,11.85,0.01716738197424883
2001-04-27,29.1,29.15,28.4,28.8,48900,11.77,-0.006751054852320637
2001-04-30,28.8,29.0,28.7,28.9,62100,11.81,0.003398470688190436
2001-05-01,28.95,29.25,28.8,28.85,98600,11.79,-0.0016934801016089684
2001-05-02,28.95,29.0,28.5,28.9,49100,11.81,0.0016963528413911355
2001-05-03,28.8,28.8,28.25,28.48,30200,11.64,-0.014394580863674844
2001-05-04,28.52,28.7,28.05,28.15,59000,11.51,-0.011168384879725157
2001-05-07,28.6,29.87,28.6,29.7,229300,12.14,0.05473501303214601
2001-05-08,29.75,31.15,29.5,30.83,172300,12.6,0.03789126853377267
2001-05-09,30.75,32.4,30.4,31.95,210600,13.06,0.0365079365079366
2001-05-10,31.3,31.8,30.9,31.06,91100,12.7,-0.027565084226646386
2001-05-11,31.02,31.2,30.7,30.8,56000,12.59,-0.008661417322834652
2001-05-14,31.0,31.0,30.25,30.3,62200,12.38,-0.016679904686258906
2001-05-15,30.55,30.55,29.75,29.95,90800,12.24,-0.011308562197092087
2001-05-16,29.95,30.3,29.8,30.3,63400,12.38,0.011437908496731986
2001-05-17,30.4,30.6,30.0,30.35,69000,12.4,0.001615508885298933
2001-05-18,30.55,31.7,30.4,31.0,53300,12.67,0.021774193548387055
2001-05-21,31.1,31.65,31.0,31.23,85100,12.76,0.00710339384372527
2001-05-22,30.75,31.65,30.25,31.3,93200,12.79,0.0023510971786833146
2001-05-23,31.15,31.35,31.0,31.23,33300,12.76,-0.0023455824863173325
2001-05-24,31.83,31.9,31.05,31.15,69300,12.73,-0.0023510971786833146
2001-05-25,31.25,31.3,30.45,30.7,40300,12.55,-0.014139827179890041
2001-05-29,30.7,30.7,30.05,30.45,34200,12.45,-0.007968127490039945
2001-05-30,30.48,30.5,29.1,29.48,155000,12.05,-0.032128514056224744
2001-05-31,29.73,29.95,29.55,29.7,54200,12.14,0.007468879668049766
2001-06-01,29.7,29.74,29.2,29.6,60800,12.1,-0.0032948929159802853
2001-06-04,30.0,30.21,29.6,29.98,53100,12.25,0.012396694214876103
2001-06-05,30.05,30.15,29.69,29.9,50200,12.22,-0.002448979591836653
2001-06-06,30.1,30.15,29.65,29.9,68300,12.22,0.0
2001-06-07,30.0,30.0,29.45,29.75,26500,12.16,-0.004909983633387904
2001-06-08,29.9,30.0,29.7,29.81,59000,12.18,0.00164473684210531
2001-06-11,29.95,30.0,29.7,29.94,51800,12.24,0.0049261083743843415
2001-06-12,30.0,30.05,29.5,29.5,16900,12.06,-0.014705882352941124
2001-06-13,29.7,30.0,29.45,29.81,54000,12.18,0.00995024875621886
2001-06-14,29.78,30.0,29.4,29.85,27900,12.2,0.0016420361247946325
2001-06-15,29.75,30.0,29.63,29.78,40200,12.17,-0.0024590163934425924
2001-06-18,29.7,29.7,29.4,29.6,56400,12.1,-0.005751848808545623
2001-06-19,29.7,29.75,29.4,29.5,37300,12.06,-0.0033057851239668423
2001-06-20,29.5,29.6,29.25,29.5,45700,12.06,0.0
2001-06-21,29.45,29.7,29.4,29.55,53300,12.08,0.0016583747927030323
2001-06-22,29.6,29.65,29.4,29.5,42700,12.06,-0.0016556291390728006
2001-06-25,29.65,29.8,29.45,29.72,26700,12.15,0.00746268656716409
2001-06-26,29.75,30.0,29.65,29.9,21600,12.22,0.0057613168724279795
2001-06-27,30.05,30.08,29.84,29.93,23600,12.23,0.0008183306055646877
2001-06-28,29.85,30.05,29.85,29.9,33700,12.22,-0.0008176614881438837
2001-06-29,29.9,30.0,29.85,29.9,19000,12.22,0.0
2001-07-02,29.95,30.01,29.86,30.0,28800,12.26,0.003273322422258529
