Date,Open,High,Low,Close,Volume,Adj Close,Return
1985-07-01,14.19,14.41,14.19,14.19,48000,0.31,0.0
1985-07-02,14.24,14.47,14.24,14.47,38400,0.32,0.032258064516129004
1985-07-03,14.47,14.58,14.47,14.52,32800,0.32,0.0
1985-07-05,14.52,14.58,14.24,14.24,62400,0.31,-0.03125
1985-07-08,14.24,14.3,13.96,14.24,30400,0.31,0.0
1985-07-09,14.24,14.41,14.19,14.24,64000,0.31,0.0
1985-07-10,14.24,14.35,14.19,14.24,64000,0.31,0.0
1985-07-11,14.24,14.41,14.13,14.3,92000,0.31,0.0
1985-07-12,14.3,14.41,14.24,14.41,43200,0.31,0.0
1985-07-15,14.41,14.41,14.24,14.41,44800,0.31,0.0
1985-07-16,14.41,14.52,14.35,14.52,58400,0.32,0.032258064516129004
1985-07-17,14.52,14.63,14.47,14.47,148800,0.32,0.0
1985-07-18,14.47,14.58,14.35,14.52,52000,0.32,0.0
1985-07-19,14.52,14.52,14.3,14.41,99200,0.31,-0.03125
1985-07-22,14.41,14.41,14.3,14.35,1608800,0.31,0.0
1985-07-23,14.35,14.35,14.19,14.3,64000,0.31,0.0
1985-07-24,14.3,14.3,14.13,14.3,46400,0.31,0.0
1985-07-25,14.19,14.19,14.02,14.13,44800,0.32,0.032258064516129004
1985-07-26,14.13,14.3,14.02,14.3,32800,0.33,0.03125
1985-07-29,14.3,14.3,14.08,14.08,33600,0.32,-0.030303030303030276
1985-07-30,14.08,14.13,14.02,14.08,14400,0.32,0.0
1985-07-31,14.08,14.13,13.91,14.08,40800,0.32,0.0
1985-08-01,14.08,14.19,14.02,14.13,51200,0.32,0.0
1985-08-02,14.02,14.02,13.79,13.85,27200,0.32,0.0
1985-08-05,13.85,13.91,13.11,13.16,76800,0.3,-0.0625
1985-08-06,13.16,13.28,13.05,13.05,115200,0.3,0.0
1985-08-07,13.05,13.34,12.88,13.22,83200,0.3,0.0
1985-08-08,13.22,13.28,13.11,13.11,38400,0.3,0.0
1985-08-09,13.11,13.22,13.11,13.11,28000,0.3,0.0
1985-08-12,13.11,13.22,13.11,13.16,80000,0.3,0.0
1985-08-13,13.16,13.28,13.16,13.16,38400,0.3,0.0
1985-08-14,13.16,13.51,13.16,13.34,86400,0.3,0.0
1985-08-15,13.34,13.51,13.28,13.51,112800,0.31,0.03333333333333344
1985-08-16,13.51,13.51,13.28,13.34,24000,0.3,-0.032258064516129115
1985-08-19,13.34,13.51,13.28,13.39,31200,0.31,0.03333333333333344
1985-08-20,13.39,13.62,13.34,13.56,23200,0.31,0.0
1985-08-21,13.56,13.62,13.56,13.62,25600,0.31,0.0
