Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-12-21,4.5,4.75,4.25,4.25,1307000,4.25,0.0
2010-12-22,4.37,4.37,4.05,4.25,216800,4.25,0.0
2010-12-23,4.25,4.32,4.12,4.22,112400,4.22,-0.007058823529411784
2010-12-27,4.29,4.4,4.22,4.29,79800,4.29,0.0165876777251186
2010-12-28,4.29,4.35,4.21,4.21,75200,4.21,-0.018648018648018683
2010-12-29,4.36,5.39,4.26,4.9,618300,4.9,0.16389548693586709
2010-12-30,5.89,6.11,4.91,5.0,2743100,5.0,0.020408163265306145
2010-12-31,4.91,5.05,4.7,4.74,378200,4.74,-0.051999999999999935
2011-01-03,4.85,5.25,4.81,4.98,635300,4.98,0.05063291139240511
2011-01-04,5.2,5.2,4.65,4.74,351400,4.74,-0.048192771084337394
2011-01-05,4.65,5.05,4.56,4.65,241000,4.65,-0.01898734177215189
2011-01-06,4.92,4.92,4.45,4.57,282500,4.57,-0.017204301075268824
2011-01-07,4.67,4.67,4.48,4.55,90600,4.55,-0.004376367614879806
2011-01-10,4.65,4.7,4.49,4.5,90900,4.5,-0.01098901098901095
2011-01-11,4.51,4.62,4.49,4.56,70600,4.56,0.013333333333333197
2011-01-12,4.6,4.69,4.51,4.57,73400,4.57,0.002192982456140413
2011-01-13,4.68,4.68,4.36,4.38,113300,4.38,-0.04157549234135671
2011-01-14,4.38,4.57,4.3,4.54,132000,4.54,0.0365296803652968
2011-01-18,4.4,4.62,4.4,4.55,50900,4.55,0.0022026431718060735
2011-01-19,4.55,4.55,4.2,4.51,218500,4.51,-0.00879120879120876
2011-01-20,4.48,4.51,4.35,4.51,169600,4.51,0.0
2011-01-21,4.42,4.58,4.25,4.3,167400,4.3,-0.04656319290465627
2011-01-24,4.32,4.38,4.2,4.25,81100,4.25,-0.011627906976744096
2011-01-25,4.25,4.25,4.15,4.19,22100,4.19,-0.014117647058823457
2011-01-26,4.16,4.29,4.15,4.25,27000,4.25,0.014319809069212264
2011-01-27,4.23,4.4,4.23,4.28,24300,4.28,0.007058823529411784
2011-01-28,4.35,4.35,4.1,4.25,46900,4.25,-0.007009345794392607
2011-01-31,4.25,4.35,4.15,4.3,144300,4.3,0.0117647058823529
2011-02-01,4.29,4.77,4.29,4.5,274700,4.5,0.04651162790697683
2011-02-02,4.55,4.68,4.27,4.5,213200,4.5,0.0
2011-02-03,4.52,4.56,4.4,4.49,119500,4.49,-0.0022222222222221255
2011-02-04,4.45,4.47,4.3,4.37,87300,4.37,-0.026726057906458767
2011-02-07,4.48,4.57,4.3,4.4,62900,4.4,0.006864988558352492
2011-02-08,4.37,4.59,4.34,4.55,49200,4.55,0.03409090909090895
2011-02-09,4.5,4.58,4.4,4.5,35700,4.5,-0.01098901098901095
2011-02-10,4.4,4.48,4.31,4.48,46600,4.48,-0.004444444444444362
2011-02-11,4.45,4.5,4.31,4.36,59600,4.36,-0.0267857142857143
2011-02-14,4.41,4.41,4.25,4.3,57300,4.3,-0.013761467889908396
2011-02-15,4.3,4.45,4.3,4.35,52900,4.35,0.011627906976744207
