Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-12-13,28.0,28.17,26.0,26.25,8799200,25.21,0.0
2012-12-14,26.25,27.5,26.25,27.02,1012200,25.95,0.02935343117810385
2012-12-17,27.5,28.43,27.31,28.04,93400,26.93,0.03776493256262037
2012-12-18,28.04,28.59,27.52,27.87,924800,26.76,-0.006312662458224927
2012-12-19,27.63,28.13,27.0,27.6,1128800,26.5,-0.009715994020926821
2012-12-20,27.4,28.11,27.12,27.83,1004300,26.72,0.008301886792452695
2012-12-21,27.45,27.94,27.27,27.92,401000,26.81,0.0033682634730538563
2012-12-24,28.0,28.0,27.5,27.89,15600,26.78,-0.0011189854531890031
2012-12-26,28.07,28.5,27.71,28.06,189900,26.94,0.005974607916355401
2012-12-27,28.24,28.3,27.59,28.3,199200,27.18,0.00890868596881944
2012-12-28,28.0,28.07,27.75,27.81,103700,26.7,-0.017660044150110354
2012-12-31,27.69,29.05,27.65,29.05,203500,27.9,0.04494382022471899
2013-01-02,29.54,29.8,28.1,29.35,439400,28.18,0.01003584229390686
2013-01-03,29.2,29.26,28.02,28.3,431000,27.18,-0.03548616039744501
2013-01-04,28.19,28.61,28.0,28.07,156400,26.95,-0.008462104488594524
2013-01-07,27.9,28.38,27.25,27.5,502300,26.41,-0.020037105751391393
2013-01-08,27.69,27.71,27.19,27.35,306700,26.26,-0.005679666792881455
2013-01-09,27.82,27.93,27.1,27.47,388800,26.38,0.004569687738004369
2013-01-10,27.13,27.65,27.13,27.56,157700,26.46,0.0030326004548901775
2013-01-11,27.93,28.23,27.46,28.12,789800,27.0,0.020408163265306145
2013-01-14,28.15,28.21,27.82,28.02,164900,26.91,-0.0033333333333332993
2013-01-15,27.63,28.96,27.62,28.77,480600,27.63,0.026755852842809347
2013-01-16,28.9,29.5,28.72,29.21,710900,28.05,0.015200868621064068
2013-01-17,29.15,29.97,28.36,29.42,431000,28.25,0.007130124777183555
2013-01-18,29.3,29.54,28.2,28.5,525000,27.37,-0.031150442477876017
2013-01-22,28.76,29.68,28.5,29.05,918500,27.9,0.01936426744610875
2013-01-23,28.84,29.33,28.25,28.94,479600,27.79,-0.003942652329749108
2013-01-24,29.0,29.92,28.71,29.47,480200,28.3,0.018351925152932713
2013-01-25,29.43,30.28,29.14,29.95,496200,28.76,0.016254416961130724
2013-01-28,30.12,32.9,30.11,31.89,1455500,30.62,0.06467315716272592
2013-01-29,31.98,33.13,31.66,33.0,530300,31.69,0.03494448073154799
2013-01-30,33.0,33.67,32.76,33.2,580500,31.88,0.005995582202587446
2013-01-31,32.8,33.4,32.43,33.4,508100,32.07,0.005959849435382747
2013-02-01,34.0,34.13,32.98,33.3,710700,31.98,-0.00280636108512633
2013-02-04,33.35,33.74,33.02,33.62,508600,32.28,0.009380863039399667
2013-02-05,33.99,36.05,33.76,35.92,1569200,34.49,0.068463444857497
2013-02-06,35.96,36.25,35.59,35.88,336600,34.45,-0.0011597564511451885
2013-02-07,36.22,36.48,35.68,36.35,865300,34.91,0.013352685050798119
2013-02-08,36.36,39.1,36.36,38.76,941000,37.22,0.06617015181896302
2013-02-11,39.08,40.0,37.61,38.17,1206100,36.65,-0.015314347125201522
2013-02-12,38.09,38.09,36.88,37.78,816200,36.28,-0.010095497953615196
2013-02-13,37.98,38.57,37.98,38.55,463000,37.02,0.020396912899669273
2013-02-14,38.78,38.78,38.0,38.5,530000,36.97,-0.0013506212857915534
2013-02-15,38.84,39.01,37.9,38.43,458600,36.9,-0.0018934271030565109
2013-02-19,38.83,38.84,38.02,38.7,346400,37.16,0.00704607046070449
2013-02-20,39.12,39.43,37.85,38.25,540100,36.73,-0.011571582346609266
2013-02-21,39.0,39.78,36.64,38.17,1302800,36.65,-0.0021780560849441466
2013-02-22,38.52,40.33,38.52,40.17,2060000,38.57,0.052387448840381934
2013-02-25,40.86,40.93,39.13,39.33,669100,37.77,-0.020741508944775666
2013-02-26,40.29,40.48,38.53,40.0,1293400,38.41,0.016944665078104215
2013-02-27,40.49,41.5,40.07,40.68,874200,39.06,0.016922676386357915
2013-02-28,40.98,42.5,40.89,41.75,830000,40.09,0.026369687660010355
2013-03-01,41.0,42.07,40.62,41.35,707300,39.99,-0.00249438762783738
2013-03-04,41.28,41.98,40.53,41.98,965600,40.6,0.015253813453363296
2013-03-05,42.41,42.49,40.98,41.25,451000,39.9,-0.017241379310344862
2013-03-06,41.65,41.88,40.01,40.29,683000,38.97,-0.023308270676691722
