Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-08-18,2.62,2.62,2.37,2.37,13400,7.12,0.0
1995-08-21,2.37,2.53,2.37,2.5,6100,7.5,0.05337078651685401
1995-08-22,2.37,2.62,2.37,2.62,6700,7.87,0.04933333333333345
1995-08-23,2.56,2.56,2.37,2.56,4800,7.69,-0.022871664548919868
1995-08-24,2.56,2.56,2.37,2.37,3400,7.12,-0.07412223667100137
1995-08-25,2.5,2.5,2.37,2.5,3600,7.5,0.05337078651685401
1995-08-28,2.5,2.56,2.44,2.56,8100,7.69,0.02533333333333343
1995-08-29,2.44,2.62,2.37,2.44,17600,7.31,-0.04941482444733425
1995-08-30,2.56,2.56,2.37,2.56,800,7.69,0.051983584131326976
1995-08-31,2.37,2.5,2.25,2.31,9400,6.94,-0.0975292587776333
1995-09-01,2.44,2.44,2.31,2.44,900,7.31,0.05331412103746391
1995-09-05,2.44,2.44,2.31,2.44,1600,7.31,0.0
1995-09-06,2.44,2.44,2.31,2.31,1200,6.94,-0.05061559507523927
1995-09-07,2.44,2.44,2.31,2.31,1400,6.94,0.0
1995-09-08,2.44,2.44,2.31,2.44,900,7.31,0.05331412103746391
1995-09-11,2.44,2.44,2.31,2.37,2700,7.12,-0.025991792065663377
1995-09-12,2.37,2.44,2.31,2.44,4200,7.31,0.026685393258427004
1995-09-13,2.31,2.31,2.31,2.31,200,6.94,-0.05061559507523927
1995-09-14,2.44,2.44,2.31,2.31,2100,6.94,0.0
1995-09-15,2.31,2.44,2.31,2.31,4500,6.94,0.0
1995-09-18,2.44,2.44,2.31,2.37,2300,7.12,0.025936599423631135
1995-09-19,2.31,2.44,2.31,2.37,6400,7.12,0.0
1995-09-20,2.44,2.44,2.31,2.31,3600,6.94,-0.0252808988764045
1995-09-21,2.31,2.37,2.31,2.37,500,7.12,0.025936599423631135
1995-09-22,2.31,2.44,2.31,2.44,1100,7.31,0.026685393258427004
1995-09-25,2.44,2.44,2.44,2.44,100,7.31,0.0
1995-09-26,2.31,2.44,2.31,2.44,1400,7.31,0.0
1995-09-27,2.31,2.37,2.31,2.31,900,6.94,-0.05061559507523927
1995-09-28,2.31,2.37,2.31,2.31,800,6.94,0.0
1995-09-29,2.44,2.44,2.31,2.31,3200,6.94,0.0
1995-10-02,2.44,2.44,2.31,2.31,700,6.94,0.0
1995-10-03,2.31,2.37,2.19,2.19,4900,6.56,-0.05475504322766578
1995-10-04,2.31,2.31,2.19,2.25,2100,6.75,0.028963414634146423
1995-10-06,2.25,2.31,2.25,2.31,1100,6.94,0.028148148148148255
1995-10-09,2.12,2.31,2.12,2.31,1100,6.94,0.0
1995-10-10,2.12,2.12,2.12,2.12,300,6.37,-0.08213256484149856
1995-10-11,2.25,2.37,2.19,2.19,4300,6.56,0.029827315541601118
1995-10-12,2.19,2.19,2.19,2.19,100,6.56,0.0
1995-10-13,2.37,2.37,2.19,2.25,4000,6.75,0.028963414634146423
1995-10-16,2.31,2.31,2.31,2.31,300,6.94,0.028148148148148255
1995-10-17,2.31,2.31,2.28,2.28,400,6.84,-0.014409221902017322
1995-10-18,2.19,2.19,2.19,2.19,500,6.56,-0.040935672514619936
1995-10-19,2.37,2.44,2.25,2.44,12000,7.31,0.11432926829268286
1995-10-20,2.44,2.44,2.37,2.44,2500,7.31,0.0
1995-10-23,2.37,2.37,2.19,2.19,4600,6.56,-0.10259917920656636
1995-10-24,2.44,2.44,2.25,2.31,900,6.94,0.057926829268292845
1995-10-25,2.37,2.37,2.25,2.25,1300,6.75,-0.02737752161383289
1995-10-26,2.37,2.37,2.19,2.19,2200,6.56,-0.028148148148148255
1995-10-27,2.37,2.37,2.37,2.37,700,7.12,0.08536585365853666
1995-10-30,2.37,2.62,2.37,2.59,18700,7.78,0.0926966292134832
1995-10-31,2.56,2.75,2.56,2.56,3400,7.69,-0.011568123393316143
1995-11-01,2.75,2.75,2.5,2.5,6300,7.5,-0.024707412223667125
1995-11-02,2.5,2.69,2.5,2.66,5900,7.97,0.06266666666666665
1995-11-03,2.69,2.69,2.56,2.66,3900,7.97,0.0
1995-11-06,2.69,2.75,2.56,2.62,3400,7.87,-0.012547051442910906
1995-11-07,2.56,2.75,2.56,2.62,2000,7.87,0.0
1995-11-08,2.81,3.0,2.75,3.0,12500,9.0,0.14358322744599739
1995-11-09,3.0,3.0,2.81,2.87,7700,8.62,-0.04222222222222227
1995-11-10,2.94,3.0,2.81,2.81,15100,8.44,-0.02088167053364265
1995-11-13,2.81,2.87,2.81,2.87,2100,8.62,0.021327014218009532
1995-11-14,2.94,2.94,2.75,2.94,7200,8.81,0.022041763341067444
1995-11-15,2.94,2.94,2.75,2.87,4000,8.62,-0.02156640181611824
1995-11-16,2.87,2.87,2.69,2.81,4400,8.44,-0.02088167053364265
1995-11-17,2.69,2.75,2.69,2.75,200,8.25,-0.02251184834123221
1995-11-20,2.69,2.81,2.69,2.75,2300,8.25,0.0
1995-11-22,2.81,2.81,2.69,2.75,8400,8.25,0.0
1995-11-24,2.81,2.87,2.75,2.75,3800,8.25,0.0
1995-11-27,2.78,2.87,2.69,2.87,6500,8.62,0.04484848484848469
1995-11-28,2.94,3.0,2.75,2.94,26500,8.81,0.022041763341067444
1995-11-29,2.94,3.0,2.87,3.0,12000,9.0,0.02156640181611791
1995-11-30,3.0,3.19,2.94,3.0,30300,9.0,0.0
1995-12-01,3.19,3.19,2.94,2.94,14900,8.81,-0.02111111111111108
1995-12-04,3.06,3.06,2.94,3.06,2600,9.19,0.04313280363223604
1995-12-05,2.94,3.12,2.94,3.06,12900,9.19,0.0
1995-12-06,3.12,3.44,3.0,3.25,16000,9.75,0.06093579978237229
1995-12-07,3.37,3.75,3.37,3.56,22900,10.69,0.09641025641025647
1995-12-08,3.44,3.56,3.37,3.37,6000,10.12,-0.05332086061739949
1995-12-11,3.5,3.5,3.19,3.44,16900,10.31,0.018774703557312478
1995-12-12,3.5,3.5,3.31,3.37,13000,10.12,-0.018428709990300773
1995-12-13,3.44,3.44,3.37,3.37,2700,10.12,0.0
1995-12-14,3.31,3.5,3.31,3.44,7700,10.31,0.018774703557312478
1995-12-15,3.31,3.44,3.31,3.37,15500,10.12,-0.018428709990300773
1995-12-18,3.5,3.5,3.19,3.19,4600,9.56,-0.05533596837944654
1995-12-19,3.25,3.44,3.25,3.44,3500,10.31,0.07845188284518834
1995-12-20,3.44,3.56,3.44,3.56,12000,10.69,0.036857419980601325
1995-12-21,3.56,3.56,3.44,3.5,4600,10.5,-0.017773620205799756
1995-12-22,3.5,3.56,3.44,3.56,3900,10.69,0.018095238095237942
1995-12-26,3.5,3.56,3.44,3.44,3400,10.31,-0.03554724041159951
1995-12-27,3.56,3.62,3.44,3.56,7200,10.69,0.036857419980601325
1995-12-28,3.62,3.62,3.44,3.62,2600,10.87,0.016838166510757757
1995-12-29,3.62,3.62,3.5,3.5,1400,10.5,-0.034038638454461756
1996-01-02,3.75,3.75,3.5,3.69,1300,11.06,0.053333333333333455
1996-01-03,3.69,3.69,3.44,3.44,1000,10.31,-0.06781193490054249
1996-01-04,3.44,3.69,3.44,3.62,1600,10.87,0.054316197866149274
1996-01-05,3.56,3.62,3.44,3.62,3600,10.87,0.0
1996-01-08,3.62,3.62,3.62,3.62,300,10.87,0.0
1996-01-09,3.44,3.94,3.44,3.75,19700,11.25,0.034958601655933785
1996-01-10,3.69,3.87,3.69,3.69,8500,11.06,-0.016888888888888842
1996-01-11,3.75,4.0,3.62,3.87,23000,11.62,0.05063291139240489
1996-01-12,3.87,4.0,3.87,3.87,6100,11.62,0.0
1996-01-15,4.0,4.0,3.75,3.87,23900,11.62,0.0
