Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-02-10,14.75,15.74,14.37,15.6,4343100,12.58,0.0
2010-02-11,15.57,15.92,15.28,15.75,889900,12.71,0.010333863275039823
2010-02-12,15.83,21.01,15.58,16.0,805500,12.91,0.015735641227379915
2010-02-16,16.75,16.98,15.77,16.4,392500,13.23,0.02478698683191327
2010-02-17,16.51,16.54,15.98,16.54,644100,13.34,0.008314436885865417
2010-02-18,16.3,17.25,16.3,17.25,819200,13.92,0.04347826086956519
2010-02-19,17.25,18.0,16.8,17.87,2028600,14.42,0.03591954022988508
2010-02-22,17.83,17.99,16.82,17.0,1016600,13.71,-0.049237170596393875
2010-02-23,16.78,17.33,16.75,16.97,258100,13.69,-0.0014587892049600093
2010-02-24,16.9,16.97,15.97,16.88,614400,13.62,-0.0051132213294375894
2010-02-25,16.7,17.28,16.4,16.94,282900,13.67,0.0036710719530104186
2010-02-26,17.0,17.0,16.6,16.75,260100,13.51,-0.011704462326261877
2010-03-01,16.8,17.19,16.72,17.0,225500,13.71,0.014803849000740277
2010-03-02,16.96,18.2,16.6,17.82,465800,14.38,0.04886943836615609
2010-03-03,17.51,17.65,17.02,17.05,305800,13.75,-0.04381084840055638
2010-03-04,17.03,17.25,16.9,17.2,217500,13.88,0.009454545454545604
2010-03-05,17.19,17.5,17.11,17.4,278200,14.04,0.011527377521613813
2010-03-08,17.25,17.5,17.2,17.34,214700,13.99,-0.0035612535612534746
2010-03-09,17.1,17.65,17.1,17.6,455900,14.2,0.015010721944245908
2010-03-10,17.32,18.04,17.32,17.68,222100,14.26,0.004225352112676051
2010-03-11,17.4,17.76,17.28,17.55,377100,14.41,0.01051893408134652
2010-03-12,17.35,17.92,17.35,17.65,314500,14.5,0.006245662734212232
2010-03-15,17.7,17.95,17.55,17.85,349100,14.66,0.011034482758620623
2010-03-16,17.84,18.82,17.82,18.59,758000,15.27,0.04160982264665747
2010-03-17,18.51,19.05,18.5,19.05,340400,15.65,0.024885396201702825
2010-03-18,18.97,19.25,18.92,19.18,306500,15.75,0.006389776357827559
2010-03-19,19.23,19.45,18.57,19.39,1700000,15.93,0.011428571428571344
2010-03-22,19.47,19.67,19.0,19.56,251600,16.07,0.00878844946641566
2010-03-23,19.4,19.55,19.0,19.35,204700,15.89,-0.011200995644057188
2010-03-24,19.25,19.68,19.25,19.34,405800,15.89,0.0
2010-03-25,19.3,19.58,19.25,19.34,450200,15.89,0.0
2010-03-26,19.35,19.88,19.28,19.86,429600,16.31,0.026431718061673992
2010-03-29,19.74,20.48,19.68,20.2,733000,16.59,0.017167381974249052
2010-03-30,20.08,20.25,19.31,19.52,311900,16.03,-0.033755274261603296
2010-03-31,19.42,20.0,19.23,19.85,2044300,16.3,0.016843418590143378
2010-04-01,19.75,19.97,19.48,19.64,290400,16.13,-0.010429447852760787
2010-04-05,19.77,19.9,19.6,19.75,685300,16.22,0.0055796652200867936
2010-04-06,19.65,20.0,19.65,19.8,668900,16.26,0.002466091245376223
2010-04-07,19.87,20.1,19.38,19.59,218000,16.09,-0.010455104551045591
2010-04-08,19.5,20.1,19.47,19.78,157900,16.25,0.009944064636420169
2010-04-09,19.89,20.2,19.6,20.14,154700,16.54,0.017846153846153845
2010-04-12,20.0,20.23,19.73,20.14,126000,16.54,0.0
2010-04-13,20.01,20.28,19.75,20.02,275200,16.44,-0.006045949214026458
2010-04-14,20.01,20.12,19.77,20.1,282900,16.51,0.0042579075425790425
2010-04-15,19.94,20.1,19.18,19.81,285100,16.27,-0.014536644457904369
