Date,Open,High,Low,Close,Volume,Adj Close,Return
1996-05-17,13.21,13.21,12.51,12.86,420200,8.28,0.0
1996-05-20,13.21,13.21,12.51,12.98,46400,8.35,0.008454106280193274
1996-05-21,12.98,13.21,12.74,12.86,92000,8.28,-0.008383233532934131
1996-05-22,13.21,13.21,12.74,12.74,70800,8.2,-0.009661835748792313
1996-05-23,12.86,13.44,12.74,13.21,48500,8.5,0.03658536585365857
1996-05-24,13.21,13.21,12.74,12.74,24300,8.2,-0.03529411764705892
1996-05-28,12.86,13.21,12.74,13.21,16700,8.5,0.03658536585365857
1996-05-29,13.21,13.21,12.74,12.74,38100,8.2,-0.03529411764705892
1996-05-30,13.21,13.21,12.74,12.98,33900,8.35,0.018292682926829285
1996-05-31,12.74,13.21,12.74,12.74,26100,8.2,-0.017964071856287456
1996-06-03,12.74,13.21,12.74,12.74,38800,8.2,0.0
1996-06-04,12.74,13.21,12.74,12.86,43800,8.28,0.009756097560975618
1996-06-05,12.86,13.21,12.74,13.21,15100,8.5,0.026570048309178862
1996-06-06,13.21,13.21,12.74,12.98,21400,8.35,-0.01764705882352946
1996-06-07,12.98,12.98,12.51,12.86,29600,8.28,-0.008383233532934131
1996-06-10,12.98,12.98,12.51,12.51,12300,8.05,-0.027777777777777568
1996-06-11,12.98,12.98,12.51,12.74,5900,8.2,0.01863354037267073
1996-06-12,12.98,12.98,12.51,12.51,13000,8.05,-0.018292682926829062
1996-06-13,12.98,12.98,12.51,12.98,5100,8.35,0.03726708074534146
1996-06-14,12.51,12.98,12.51,12.98,21300,8.35,0.0
1996-06-17,12.51,12.98,12.51,12.86,20400,8.28,-0.008383233532934131
1996-06-18,12.74,12.98,12.51,12.51,24600,8.05,-0.027777777777777568
1996-06-19,12.51,12.98,12.51,12.51,19900,8.05,0.0
1996-06-20,12.63,12.98,12.51,12.51,16500,8.14,0.011180124223602483
1996-06-21,12.98,12.98,12.51,12.86,20200,8.36,0.027027027027026973
1996-06-24,12.63,12.98,12.63,12.98,14500,8.44,0.009569377990430672
1996-06-25,12.98,12.98,12.51,12.51,25200,8.14,-0.03554502369668233
1996-06-26,12.98,12.98,12.51,12.51,10200,8.14,0.0
1996-06-27,12.98,12.98,12.51,12.51,4100,8.14,0.0
1996-06-28,12.98,12.98,12.51,12.51,2700,8.14,0.0
