Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-12-12,25.2,25.25,25.02,25.09,589400,23.58,0.0
2012-12-13,25.06,25.11,24.97,24.98,68200,23.48,-0.004240882103477395
2012-12-14,24.96,25.02,24.95,24.98,192400,23.48,0.0
2012-12-17,25.0,25.15,24.99,25.09,214600,23.58,0.004258943781942026
2012-12-18,25.14,25.15,25.04,25.06,290100,23.55,-0.0012722646310431296
2012-12-19,25.03,25.19,25.03,25.18,224700,23.66,0.004670912951167727
2012-12-20,25.19,25.21,25.12,25.2,174100,23.68,0.0008453085376161074
2012-12-21,25.12,25.22,25.11,25.15,139200,23.64,-0.0016891891891891442
2012-12-24,25.17,25.18,25.1,25.16,36800,23.64,0.0
2012-12-26,25.11,25.16,25.1,25.14,90600,23.63,-0.0004230118443316888
2012-12-27,25.14,25.16,25.06,25.15,108000,23.64,0.00042319085907749354
2012-12-28,25.12,25.14,25.06,25.06,104100,23.55,-0.0038071065989847552
2012-12-31,25.14,25.5,25.05,25.5,185800,23.96,0.017409766454352438
2013-01-02,25.3,25.37,25.23,25.29,147300,23.77,-0.007929883138564353
2013-01-03,25.34,25.55,25.3,25.5,467300,23.96,0.00799326882625162
2013-01-04,25.56,25.57,25.41,25.45,159600,23.92,-0.0016694490818029983
2013-01-07,25.53,25.73,25.46,25.57,436100,24.03,0.00459866220735794
2013-01-08,25.63,25.68,25.5,25.6,211800,24.06,0.0012484394506866447
2013-01-09,25.58,25.7,25.58,25.69,265500,24.14,0.0033250207813799726
2013-01-10,25.73,26.23,25.7,25.97,261000,24.41,0.01118475559237786
2013-01-11,25.99,26.1,25.73,25.82,298900,24.27,-0.005735354362966016
2013-01-14,25.81,25.89,25.65,25.74,178600,24.19,-0.003296250515039123
2013-01-15,25.73,25.73,25.54,25.7,173400,24.15,-0.0016535758577925774
2013-01-16,25.65,25.75,25.5,25.66,273200,24.11,-0.0016563146997928824
2013-01-17,25.62,25.77,25.57,25.73,535500,24.18,0.002903359601825084
2013-01-18,25.75,25.83,25.65,25.8,681000,24.25,0.0028949545078578165
2013-01-22,25.78,25.8,25.59,25.8,324400,24.25,0.0
2013-01-23,25.75,25.8,25.6,25.66,173500,24.11,-0.0057731958762886615
2013-01-24,25.73,25.77,25.5,25.59,251100,24.05,-0.002488593944421358
2013-01-25,25.62,25.65,25.42,25.49,148200,23.95,-0.004158004158004269
2013-01-28,25.45,25.57,25.3,25.3,186900,23.78,-0.007098121085594933
2013-01-29,25.3,25.37,25.23,25.23,201800,23.71,-0.002943650126156494
2013-01-30,25.05,25.19,25.03,25.15,307400,23.64,-0.002952340784479146
2013-01-31,25.2,25.43,25.13,25.34,170000,23.81,0.007191201353637933
2013-02-01,25.44,25.5,25.43,25.49,152300,23.95,0.0058798824023520435
2013-02-04,25.48,25.64,25.31,25.59,116100,24.05,0.0041753653444676075
2013-02-05,25.61,25.69,25.4,25.5,121700,23.96,-0.003742203742203687
2013-02-06,25.5,25.52,25.26,25.37,136600,23.84,-0.005008347245409106
2013-02-07,25.4,25.6,25.35,25.59,104600,24.05,0.008808724832214843
2013-02-08,25.51,25.6,25.46,25.6,75600,24.06,0.0004158004158003603
2013-02-11,25.58,25.59,25.42,25.49,90300,23.95,-0.004571903574397296
2013-02-12,25.44,25.6,25.44,25.6,74400,24.06,0.004592901878914368
2013-02-13,25.6,25.6,25.5,25.55,75900,24.01,-0.0020781379883623163
2013-02-14,25.55,25.65,25.48,25.61,118200,24.07,0.002498958767180204
2013-02-15,25.64,25.65,25.56,25.65,48800,24.11,0.0016618196925632933
2013-02-19,25.69,25.7,25.65,25.7,66400,24.15,0.0016590626296142386
2013-02-20,25.7,25.7,25.53,25.55,59100,24.01,-0.005797101449275255
2013-02-21,25.58,25.68,25.54,25.65,63700,24.11,0.004164931278633821
2013-02-22,25.67,25.74,25.6,25.6,87200,24.06,-0.0020738282870178537
2013-02-25,25.67,25.81,25.58,25.79,154100,24.24,0.007481296758104827
2013-02-26,25.8,25.8,25.55,25.63,124100,24.09,-0.006188118811881083
2013-02-27,25.25,25.38,25.17,25.25,20400,24.11,0.0008302200083021294
2013-02-28,25.29,25.34,25.18,25.18,120400,24.04,-0.002903359601824973
2013-03-01,25.26,25.29,25.2,25.27,84200,24.13,0.0037437603993344393
2013-03-04,25.28,25.44,25.27,25.37,56400,24.22,0.003729796933278129
2013-03-05,25.36,25.45,25.28,25.39,119500,24.24,0.0008257638315440907
2013-03-06,25.43,25.48,25.37,25.42,69000,24.27,0.0012376237623763497
2013-03-07,25.36,25.36,25.07,25.12,560800,23.98,-0.011948908117016876
2013-03-08,25.16,25.2,25.14,25.2,114100,24.06,0.0033361134278564464
2013-03-11,25.22,25.25,25.14,25.2,124200,24.06,0.0
2013-03-12,25.23,25.24,25.1,25.15,290800,24.01,-0.0020781379883623163
