Date,Open,High,Low,Close,Volume,Adj Close,Return
1996-09-25,11.12,11.12,10.25,10.25,3777300,10.25,0.0
1996-09-26,10.37,11.0,10.37,10.88,1340600,10.88,0.061463414634146396
1996-09-27,10.88,11.25,10.88,11.12,1273600,11.12,0.022058823529411686
1996-09-30,11.5,11.5,11.12,11.5,813000,11.5,0.03417266187050361
1996-10-01,11.12,11.5,11.12,11.5,565300,11.5,0.0
1996-10-02,11.62,11.62,11.12,11.12,167000,11.12,-0.03304347826086962
1996-10-03,11.12,11.5,11.12,11.12,89500,11.12,0.0
1996-10-04,11.5,11.5,11.0,11.12,80000,11.12,0.0
1996-10-07,11.38,11.38,10.88,10.88,44400,10.88,-0.021582733812949506
1996-10-08,11.12,11.87,10.88,11.5,658700,11.5,0.05698529411764697
1996-10-09,11.62,11.75,11.25,11.31,185600,11.31,-0.016521739130434754
1996-10-10,11.25,11.62,11.0,11.12,130700,11.12,-0.01679929266136171
1996-10-11,11.12,11.75,11.12,11.75,637400,11.75,0.05665467625899279
1996-10-14,12.0,12.5,11.75,12.5,181400,12.5,0.06382978723404253
1996-10-15,12.88,13.0,12.38,12.88,204600,12.88,0.030399999999999983
1996-10-16,12.75,13.0,12.0,12.0,88500,12.0,-0.06832298136645965
1996-10-17,12.0,12.5,12.0,12.0,80500,12.0,0.0
1996-10-18,12.0,12.5,12.0,12.0,19300,12.0,0.0
1996-10-21,12.0,12.5,12.0,12.13,63800,12.13,0.010833333333333472
1996-10-22,12.5,12.5,10.75,11.0,300900,11.0,-0.09315746084089038
1996-10-23,11.0,11.0,10.5,10.5,76400,10.5,-0.045454545454545414
1996-10-24,10.5,11.0,10.5,10.63,25900,10.63,0.012380952380952381
1996-10-25,10.75,11.0,10.75,10.75,35300,10.75,0.011288805268109048
1996-10-28,10.75,11.0,10.5,10.88,94500,10.88,0.012093023255814073
1996-10-29,10.63,10.88,10.63,10.63,191700,10.63,-0.022977941176470562
1996-10-30,10.88,10.88,10.5,10.5,53600,10.5,-0.012229539040451654
1996-10-31,10.25,10.75,10.25,10.63,373700,10.63,0.012380952380952381
1996-11-01,10.63,11.38,10.5,11.0,92100,11.0,0.03480714957666975
1996-11-04,11.0,11.25,10.88,11.12,32400,11.12,0.010909090909090757
1996-11-05,10.88,11.0,10.88,10.94,55000,10.94,-0.01618705035971224
1996-11-06,10.75,12.06,10.75,12.0,128100,12.0,0.09689213893967108
1996-11-07,11.75,12.62,11.62,12.5,136700,12.5,0.04166666666666674
1996-11-08,12.25,12.62,12.0,12.0,22900,12.0,-0.040000000000000036
1996-11-11,12.0,12.38,12.0,12.13,51900,12.13,0.010833333333333472
1996-11-12,12.38,12.38,12.13,12.13,8100,12.13,0.0
1996-11-13,12.13,12.5,12.13,12.13,38100,12.13,0.0
1996-11-14,12.13,13.37,12.13,13.0,324600,13.0,0.0717230008244023
1996-11-15,13.12,13.88,12.5,12.62,116000,12.62,-0.029230769230769282
1996-11-18,12.5,12.75,12.25,12.75,54200,12.75,0.01030110935023787
1996-11-19,13.0,13.25,12.75,13.0,95700,13.0,0.019607843137254832
1996-11-20,13.0,13.25,12.5,12.5,62600,12.5,-0.038461538461538436
1996-11-21,12.5,12.5,12.0,12.13,45600,12.13,-0.02959999999999996
1996-11-22,12.13,12.13,11.75,11.75,12900,11.75,-0.031327287716405694
1996-11-25,11.75,12.5,11.75,12.38,24100,12.38,0.053617021276595844
1996-11-26,12.62,12.62,12.0,12.0,19000,12.0,-0.030694668820678617
1996-11-27,12.62,13.25,12.62,12.75,119800,12.75,0.0625
1996-11-29,13.0,13.0,12.75,13.0,9500,13.0,0.019607843137254832
1996-12-02,13.0,13.0,12.5,12.62,73600,12.62,-0.029230769230769282
1996-12-03,13.0,13.5,13.0,13.37,112000,13.37,0.059429477020602306
1996-12-04,13.5,14.25,13.0,14.0,223400,14.0,0.04712041884816753
1996-12-05,14.25,14.38,13.75,13.88,93500,13.88,-0.008571428571428563
1996-12-06,13.25,13.5,12.88,13.25,13000,13.25,-0.04538904899135454
1996-12-09,13.37,13.5,13.37,13.37,10500,13.37,0.00905660377358486
1996-12-10,13.37,13.5,13.37,13.37,47100,13.37,0.0
1996-12-11,12.75,13.25,12.75,13.25,41600,13.25,-0.008975317875841382
1996-12-12,13.12,13.5,13.12,13.5,60000,13.5,0.018867924528301883
1996-12-13,13.25,13.75,13.25,13.63,16900,13.63,0.009629629629629655
1996-12-16,13.5,13.5,13.25,13.5,11000,13.5,-0.009537784299339713
1996-12-17,13.0,14.25,13.0,14.25,15200,14.25,0.05555555555555558
1996-12-18,14.25,14.25,13.75,13.75,50400,13.75,-0.03508771929824561
1996-12-19,14.38,14.75,14.25,14.75,45500,14.75,0.07272727272727275
1996-12-20,14.75,15.0,14.25,14.5,20100,14.5,-0.016949152542372836
1996-12-23,15.0,15.75,14.5,15.5,47300,15.5,0.06896551724137923
1996-12-24,15.75,15.75,15.75,15.75,6100,15.75,0.016129032258064502
1996-12-26,16.12,17.5,16.12,17.38,254400,17.38,0.10349206349206352
1996-12-27,18.25,18.38,17.25,17.5,200900,17.5,0.0069044879171462625
1996-12-30,17.87,17.87,17.25,17.5,147200,17.5,0.0
1996-12-31,17.25,17.25,16.5,17.0,137500,17.0,-0.02857142857142858
