Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-04-07,25.7,26.01,25.7,25.71,3600,24.93,0.0
2010-04-08,25.5,25.59,25.5,25.59,1500,24.81,-0.004813477737665495
2010-04-09,25.65,25.65,25.65,25.65,300,24.87,0.002418379685610761
2010-04-12,25.81,25.85,25.81,25.82,1800,25.04,0.006835544833132312
2010-04-13,25.73,25.73,25.72,25.72,400,24.94,-0.003993610223642086
2010-04-14,25.72,25.72,25.72,25.72,0,24.94,0.0
2010-04-15,25.72,25.72,25.72,25.72,0,24.94,0.0
2010-04-16,26.47,26.47,25.92,25.92,1400,25.13,0.007618283881315024
2010-04-19,25.9,25.9,25.45,25.73,800,24.95,-0.007162753680859502
2010-04-20,26.07,26.28,26.03,26.27,7300,25.47,0.020841683366733532
2010-04-21,26.35,26.53,26.29,26.53,4100,25.72,0.009815469179426772
2010-04-22,26.36,26.9,26.29,26.9,2400,26.08,0.013996889580093264
2010-04-23,27.35,27.37,27.35,27.35,500,26.52,0.016871165644171793
2010-04-26,27.55,27.6,27.45,27.45,2300,26.62,0.0037707390648566985
2010-04-27,27.15,27.15,26.35,26.35,11200,25.55,-0.04019534184823437
2010-04-28,26.53,26.78,26.53,26.62,2400,25.81,0.010176125244618417
2010-04-29,26.98,27.02,26.98,27.02,300,26.2,0.015110422316931382
2010-04-30,27.42,27.42,26.69,26.69,9100,25.88,-0.012213740458015265
2010-05-03,26.95,27.12,26.91,27.12,18100,26.3,0.016228748068006338
2010-05-04,26.8,26.8,26.21,26.21,1000,25.41,-0.033840304182509495
2010-05-05,25.45,25.88,25.44,25.48,3000,24.71,-0.02754820936639113
2010-05-06,25.28,25.28,24.01,24.64,24000,23.89,-0.0331849453662485
2010-05-07,24.93,24.93,24.07,24.07,2500,23.34,-0.023022185014650476
2010-05-10,25.19,25.59,25.18,25.59,9900,24.81,0.06298200514138808
2010-05-11,25.73,26.05,25.61,25.61,1400,24.83,0.0008061265618701796
2010-05-12,26.11,26.36,26.07,26.36,3100,25.56,0.029399919452275602
2010-05-13,26.83,26.83,26.56,26.56,2700,25.75,0.007433489827856077
2010-05-14,26.28,26.28,25.59,25.59,800,24.81,-0.03650485436893214
2010-05-17,25.99,25.99,25.74,25.74,500,24.96,0.006045949214026791
2010-05-18,25.91,25.91,25.26,25.26,900,24.49,-0.018830128205128305
2010-05-19,25.1,25.1,24.34,24.79,1300,24.04,-0.018374846876275996
2010-05-20,23.7,24.28,23.7,24.02,11400,23.29,-0.031198003327786994
2010-05-21,24.02,24.02,24.02,24.02,0,23.29,0.0
2010-05-24,24.02,24.02,24.02,24.02,0,23.29,0.0
2010-05-25,22.87,23.38,22.83,23.38,7400,22.67,-0.026620867325032105
2010-05-26,24.06,24.06,24.06,24.06,200,23.33,0.029113365681517234
2010-05-27,23.93,24.77,23.93,24.77,800,24.02,0.029575653664809298
2010-05-28,24.77,24.77,24.77,24.77,0,24.02,0.0
2010-06-01,24.77,24.77,24.77,24.77,0,24.02,0.0
2010-06-02,23.83,23.95,23.38,23.95,2000,23.22,-0.033305578684429626
2010-06-03,24.07,24.07,23.95,23.95,200,23.22,0.0
2010-06-04,23.37,23.37,23.08,23.08,200,22.38,-0.036175710594315236
2010-06-07,22.74,22.74,22.62,22.62,2000,21.93,-0.020107238605898137
2010-06-08,21.89,21.89,21.89,21.89,200,21.22,-0.03237574099407203
2010-06-09,21.89,21.89,21.89,21.89,0,21.22,0.0
2010-06-10,21.89,21.89,21.89,21.89,0,21.22,0.0
2010-06-11,21.89,21.89,21.89,21.89,0,21.22,0.0
2010-06-14,23.98,24.12,23.64,23.65,4800,22.93,0.08058435438265787
2010-06-15,23.69,24.18,23.69,24.17,800,23.44,0.022241604884430943
2010-06-16,24.0,24.0,24.0,24.0,200,23.27,-0.007252559726962482
2010-06-17,24.0,24.0,24.0,24.0,0,23.27,0.0
2010-06-18,24.0,24.0,24.0,24.0,0,23.3,0.0012892135797164528
2010-06-21,24.16,24.29,23.73,23.73,1300,23.04,-0.011158798283261828
2010-06-22,23.79,23.95,23.3,23.3,1800,22.62,-0.01822916666666663
2010-06-23,23.3,23.3,23.3,23.3,0,22.62,0.0
2010-06-24,23.3,23.3,23.3,23.3,0,22.62,0.0
2010-06-25,22.64,22.7,22.51,22.7,21000,22.04,-0.025641025641025772
2010-06-28,22.63,22.63,22.63,22.63,200,21.97,-0.0031760435571688284
2010-06-29,21.96,21.96,21.96,21.96,1000,21.32,-0.029585798816567976
2010-06-30,21.34,21.35,21.34,21.35,3000,20.73,-0.02767354596622884
2010-07-01,21.25,21.25,21.2,21.2,1300,20.58,-0.007235890014471891
2010-07-02,21.2,21.2,21.2,21.2,0,20.58,0.0
2010-07-06,21.2,21.2,21.2,21.2,0,20.58,0.0
2010-07-07,21.2,21.2,21.2,21.2,0,20.58,0.0
2010-07-08,21.2,21.2,21.2,21.2,0,20.58,0.0
2010-07-09,22.03,22.03,22.03,22.03,200,21.39,0.0393586005830906
2010-07-12,22.03,22.03,22.03,22.03,0,21.39,0.0
2010-07-13,22.07,22.65,22.07,22.65,1100,21.99,0.02805049088359035
2010-07-14,22.65,22.65,22.65,22.65,0,21.99,0.0
2010-07-15,21.88,22.23,21.88,22.14,1300,21.49,-0.022737608003638
2010-07-16,21.36,21.36,21.23,21.23,3400,20.61,-0.04094927873429499
2010-07-19,21.23,21.23,21.23,21.23,0,20.61,0.0
2010-07-20,21.56,22.14,21.56,22.14,6100,21.49,0.04269771955361468
2010-07-21,21.84,22.1,21.84,21.98,28400,21.34,-0.00697999069334565
2010-07-22,22.78,22.8,22.65,22.8,1600,22.13,0.037019681349578226
2010-07-23,22.8,22.8,22.8,22.8,0,22.13,0.0
2010-07-26,23.74,23.74,23.69,23.69,900,23.0,0.03931314957071863
2010-07-27,23.69,23.69,23.69,23.69,0,23.0,0.0
2010-07-28,23.23,23.29,23.16,23.18,800,22.5,-0.021739130434782594
2010-07-29,23.41,23.48,23.41,23.45,600,22.76,0.011555555555555541
2010-07-30,23.45,23.45,23.45,23.45,0,22.76,0.0
2010-08-02,23.84,24.03,23.84,24.03,1500,23.33,0.025043936731107053
2010-08-03,24.03,24.03,24.03,24.03,0,23.33,0.0
2010-08-04,24.03,24.03,24.03,24.03,0,23.33,0.0
2010-08-05,23.92,23.92,23.62,23.62,3100,22.93,-0.017145306472353128
2010-08-06,23.23,23.23,23.23,23.23,200,22.55,-0.016572176188399457
2010-08-09,23.23,23.23,23.23,23.23,0,22.55,0.0
2010-08-10,23.68,23.7,23.26,23.26,500,22.58,0.001330376940132938
2010-08-11,23.2,23.2,22.38,22.43,1700,21.77,-0.0358724534986713
2010-08-12,22.17,22.42,22.09,22.39,500,21.74,-0.0013780431786862835
2010-08-13,22.39,22.39,22.39,22.39,0,21.74,0.0
2010-08-16,22.05,22.25,21.65,22.25,500,21.6,-0.006439742410303428
2010-08-17,22.67,22.95,22.67,22.95,700,22.28,0.031481481481481444
2010-08-18,23.1,23.1,22.92,22.92,500,22.25,-0.0013464991023339756
2010-08-19,22.92,22.92,22.92,22.92,0,22.25,0.0
2010-08-20,22.01,22.01,21.7,21.7,2100,21.07,-0.05303370786516848
2010-08-23,22.11,22.11,22.11,22.11,200,21.46,0.018509729473184633
2010-08-24,21.09,21.43,21.09,21.43,1600,20.8,-0.03075489282385835
2010-08-25,20.86,21.19,20.86,21.19,5000,20.57,-0.01105769230769238
2010-08-26,21.77,21.77,21.54,21.54,2100,20.91,0.016528925619834656
2010-08-27,21.7,22.22,21.56,22.22,1500,21.57,0.031563845050215145
2010-08-30,22.22,22.22,22.22,22.22,0,21.57,0.0
2010-08-31,22.22,22.22,22.22,22.22,0,21.57,0.0
2010-09-01,22.22,22.22,22.22,22.22,0,21.57,0.0
2010-09-02,22.22,22.22,22.22,22.22,0,21.57,0.0
2010-09-03,23.67,23.67,23.54,23.54,900,22.85,0.05934167825683834
2010-09-07,23.54,23.54,23.54,23.54,0,22.85,0.0
2010-09-08,23.54,23.54,23.54,23.54,0,22.85,0.0
2010-09-09,23.13,23.14,23.13,23.14,7000,22.46,-0.017067833698030666
2010-09-10,23.54,23.54,23.41,23.41,18600,22.73,0.012021371326803143
2010-09-13,23.91,23.91,23.91,23.91,100,23.21,0.02111746590409158
2010-09-14,23.91,23.91,23.91,23.91,0,23.21,0.0
2010-09-15,23.91,23.91,23.91,23.91,0,23.21,0.0
2010-09-16,23.91,23.91,23.91,23.91,0,23.21,0.0
2010-09-17,23.6,23.74,23.59,23.74,26800,23.1,-0.004739336492890933
2010-09-20,24.1,24.1,24.1,24.1,100,23.45,0.015151515151515138
2010-09-21,24.15,24.15,24.05,24.05,400,23.4,-0.002132196162046962
2010-09-22,23.9,23.9,23.9,23.9,100,23.26,-0.005982905982905851
2010-09-23,23.95,23.95,23.49,23.5,500,22.87,-0.016766981943250214
2010-09-24,23.5,23.5,23.5,23.5,0,22.87,0.0
2010-09-27,24.14,24.55,24.14,24.55,1700,23.89,0.044599912549191156
2010-09-28,24.0,24.75,24.0,24.73,900,24.06,0.007115948095437252
2010-09-29,24.78,24.78,24.78,24.78,300,24.11,0.0020781379883625384
2010-09-30,24.78,24.78,24.78,24.78,0,24.11,0.0
2010-10-01,24.78,24.78,24.78,24.78,0,24.11,0.0
2010-10-04,24.28,24.28,24.21,24.24,7700,23.59,-0.021567814184985434
2010-10-05,25.0,25.0,25.0,25.0,100,24.33,0.0313692242475625
2010-10-06,25.32,25.34,25.26,25.26,800,24.58,0.01027538018906693
2010-10-07,25.26,25.26,25.26,25.26,0,24.58,0.0
2010-10-08,25.26,25.26,25.26,25.26,0,24.58,0.0
2010-10-11,25.66,25.68,25.5,25.68,400,24.99,0.016680227827502003
2010-10-12,25.71,25.71,25.71,25.71,200,25.02,0.0012004801920768582
2010-10-13,26.36,26.36,26.35,26.35,500,25.64,0.024780175859312692
2010-10-14,26.35,26.35,26.35,26.35,0,25.64,0.0
2010-10-15,26.19,26.19,26.19,26.19,200,25.48,-0.006240249609984372
2010-10-18,26.19,26.19,26.19,26.19,0,25.48,0.0
2010-10-19,26.19,26.19,26.19,26.19,0,25.48,0.0
2010-10-20,26.19,26.19,26.19,26.19,0,25.48,0.0
2010-10-21,25.86,25.86,25.86,25.86,1500,25.16,-0.012558869701726816
2010-10-22,25.86,25.86,25.86,25.86,0,25.16,0.0
2010-10-25,25.86,25.86,25.86,25.86,0,25.16,0.0
2010-10-26,25.87,26.22,25.87,26.22,300,25.51,0.013910969793322847
2010-10-27,26.22,26.22,26.22,26.22,0,25.51,0.0
2010-10-28,26.22,26.22,26.22,26.22,0,25.51,0.0
2010-10-29,26.22,26.22,26.22,26.22,0,25.51,0.0
2010-11-01,26.22,26.22,26.22,26.22,0,25.51,0.0
2010-11-02,26.22,26.22,26.22,26.22,0,25.51,0.0
2010-11-03,26.42,26.56,26.42,26.56,2000,25.84,0.012936103488827788
2010-11-04,27.45,27.45,27.45,27.45,100,26.71,0.033668730650154854
2010-11-05,27.99,27.99,27.79,27.79,1000,27.04,0.012354923249719096
2010-11-08,27.79,27.79,27.79,27.79,0,27.04,0.0
2010-11-09,27.79,27.79,27.79,27.79,0,27.04,0.0
2010-11-10,27.79,27.79,27.79,27.79,0,27.04,0.0
2010-11-11,27.79,27.79,27.79,27.79,0,27.04,0.0
2010-11-12,27.79,27.79,27.79,27.79,0,27.04,0.0
2010-11-15,27.12,27.25,27.12,27.14,1600,26.41,-0.02329881656804733
2010-11-16,26.17,26.22,26.02,26.22,1200,25.51,-0.03407800075728884
2010-11-17,26.23,26.23,26.23,26.23,100,25.52,0.0003920031360249432
2010-11-18,26.8,26.8,26.8,26.8,200,26.08,0.021943573667711602
2010-11-19,26.8,26.8,26.8,26.8,0,26.08,0.0
2010-11-22,26.96,26.98,26.96,26.97,4100,26.24,0.006134969325153339
2010-11-23,26.56,26.59,26.56,26.57,104800,25.85,-0.014862804878048697
2010-11-24,27.35,27.35,27.33,27.33,1000,26.59,0.02862669245647953
2010-11-26,27.33,27.33,27.33,27.33,0,26.59,0.0
2010-11-29,26.71,27.0,26.71,27.0,2100,26.27,-0.012034599473486285
2010-11-30,27.02,27.02,26.9,26.9,1500,26.17,-0.003806623524933328
2010-12-01,27.47,27.47,27.47,27.47,300,26.73,0.02139854795567442
2010-12-02,27.86,27.93,27.86,27.92,14100,27.17,0.016460905349794386
2010-12-03,27.92,27.92,27.92,27.92,0,27.17,0.0
2010-12-06,27.73,27.88,27.73,27.88,200,27.13,-0.0014722119985278725
2010-12-07,28.32,28.43,28.16,28.18,2900,27.42,0.010689273866568483
2010-12-08,28.18,28.18,28.18,28.18,0,27.42,0.0
2010-12-09,28.1,28.1,28.1,28.1,700,27.34,-0.0029175784099197966
2010-12-10,28.39,28.4,28.32,28.32,8500,27.56,0.008046817849304944
2010-12-13,28.51,28.51,28.51,28.51,200,27.74,0.006531204644412147
2010-12-14,28.53,28.53,28.42,28.42,700,27.65,-0.0032444124008651487
2010-12-15,28.42,28.42,28.42,28.42,0,27.65,0.0
2010-12-16,27.95,28.41,27.95,28.38,700,27.61,-0.0014466546112115175
2010-12-17,28.61,28.61,28.61,28.61,600,27.88,0.009779065555957978
2010-12-20,28.97,28.97,28.61,28.89,1700,28.15,0.009684361549497922
2010-12-21,29.16,29.16,29.14,29.14,800,28.39,0.00852575488454721
2010-12-22,29.08,29.12,29.02,29.07,3100,28.32,-0.002465656921451176
2010-12-23,28.85,28.98,28.85,28.98,1400,28.24,-0.0028248587570621764
2010-12-27,28.77,28.99,28.77,28.89,2100,28.15,-0.0031869688385268713
2010-12-28,28.92,28.92,28.74,28.78,1000,28.04,-0.003907637655417351
2010-12-29,28.78,28.78,28.78,28.78,0,28.04,0.0
2010-12-30,28.78,28.78,28.78,28.78,0,28.04,0.0
2010-12-31,28.81,28.81,28.76,28.76,16500,28.02,-0.0007132667617688604
2011-01-03,29.51,29.51,29.45,29.45,2100,28.69,0.023911491791577477
