Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-04-12,33.25,34.21,32.0,34.0,654700,32.93,0.0
2012-04-13,34.0,37.45,33.91,37.0,1685000,35.84,0.08836926814454915
2012-04-16,37.0,37.0,35.99,36.55,550200,35.4,-0.01227678571428581
2012-04-17,36.4,36.75,36.0,36.0,179600,34.87,-0.014971751412429457
2012-04-18,36.0,36.44,34.5,36.0,207100,34.87,0.0
2012-04-19,36.0,37.22,35.8,36.0,598100,34.87,0.0
2012-04-20,36.1,37.0,36.1,36.32,149700,35.18,0.008890163464295942
2012-04-23,36.24,36.24,35.42,35.68,95700,34.56,-0.017623649801023267
2012-04-24,36.0,36.0,34.68,34.75,124500,33.66,-0.02604166666666685
2012-04-25,34.8,35.5,34.5,34.75,266200,33.66,0.0
2012-04-26,34.61,34.99,34.44,34.95,183900,33.85,0.005644682115270472
2012-04-27,35.25,35.25,33.97,34.11,536000,33.04,-0.023929098966026685
2012-04-30,34.34,34.9,34.0,34.05,4105700,32.98,-0.001815980629540026
2012-05-01,33.74,34.1,32.58,32.76,6878600,31.73,-0.037901758641600836
2012-05-02,32.6,32.67,31.63,32.0,11287600,30.99,-0.02332177749763642
2012-05-03,31.93,31.98,31.05,31.39,11800000,30.4,-0.01903839948370445
2012-05-04,30.85,31.09,30.12,30.16,10881000,29.21,-0.03914473684210518
2012-05-07,30.1,30.55,29.25,29.35,12257200,28.43,-0.026703183841150335
2012-05-08,29.09,30.41,28.75,30.1,14601300,29.15,0.0253253605346464
2012-05-09,29.81,32.89,29.73,32.49,13990000,31.47,0.0795883361921097
2012-05-10,33.05,33.35,31.52,32.48,8862000,31.46,-0.0003177629488401168
2012-05-11,31.73,32.15,31.4,31.83,4460100,30.83,-0.02002542911633831
2012-05-14,31.19,31.58,30.77,31.32,6398200,30.33,-0.016217969510217367
2012-05-15,31.35,32.32,31.06,31.67,6362800,30.67,0.011210023079459397
2012-05-16,31.46,32.39,31.25,32.1,6118600,31.09,0.013694163677861138
2012-05-17,31.89,32.0,31.2,31.26,5850500,30.28,-0.026053393374075196
2012-05-18,31.43,31.69,30.99,31.38,7940800,30.39,0.003632760898282683
2012-05-21,31.23,32.34,30.95,32.19,5480100,31.18,0.0259953932214545
2012-05-22,31.88,32.27,31.33,31.63,5415000,30.64,-0.01731879409878123
2012-05-23,31.35,31.49,30.88,31.41,5268900,30.42,-0.007180156657963455
2012-05-24,31.42,31.44,30.75,31.13,4210400,30.15,-0.00887573964497057
2012-05-25,31.01,31.41,30.83,31.3,3217900,30.32,0.00563847429519071
2012-05-29,31.28,31.72,30.86,31.01,3979600,30.03,-0.009564643799472305
2012-05-30,30.79,30.83,30.18,30.44,6000600,29.48,-0.01831501831501836
2012-05-31,30.26,30.35,29.72,30.03,8098000,29.09,-0.013229308005427431
2012-06-01,29.5,30.17,29.38,29.92,5701700,28.98,-0.003781368167755206
2012-06-04,29.3,30.19,29.25,29.53,4844900,28.6,-0.013112491373360902
2012-06-05,29.37,30.1,29.32,29.9,4046500,28.96,0.012587412587412583
2012-06-06,30.03,32.0,29.82,31.53,8609400,30.54,0.05455801104972369
2012-06-07,32.07,32.75,31.74,31.83,7694300,30.83,0.009495743287491809
2012-06-08,31.66,32.35,31.51,32.12,4302100,31.11,0.009082062925721779
2012-06-11,32.45,33.05,32.23,32.6,5999000,31.57,0.01478624236579873
2012-06-12,32.56,33.74,32.49,33.49,6809900,32.44,0.02755780804561292
2012-06-13,33.27,33.49,32.54,32.77,3696800,31.74,-0.02157829839704062
2012-06-14,32.77,33.64,32.31,33.53,4460000,32.48,0.023314429741650766
2012-06-15,33.6,34.91,33.38,34.9,9892400,33.8,0.04064039408866993
2012-06-18,34.38,34.5,33.83,33.86,4254400,32.79,-0.029881656804733647
