Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-06-20,1.58,1.74,1.56,1.65,3371700,1.65,0.0
2013-06-21,1.67,1.77,1.65,1.75,181700,1.75,0.06060606060606055
2013-06-24,1.73,1.78,1.63,1.74,146300,1.74,-0.005714285714285672
2013-06-25,1.74,1.79,1.74,1.75,116400,1.75,0.005747126436781658
2013-06-26,16.82,17.0,15.7,16.05,1056200,16.05,8.171428571428573
2013-06-27,16.1,16.19,13.03,13.63,580600,13.63,-0.15077881619937694
2013-06-28,13.48,15.18,13.48,15.0,166200,15.0,0.1005135730007336
2013-07-01,14.85,15.07,14.42,15.0,59100,15.0,0.0
2013-07-02,15.51,17.39,15.04,16.13,90800,16.13,0.07533333333333325
2013-07-03,16.24,16.24,15.16,15.16,13000,15.16,-0.060136391816491
2013-07-05,15.85,16.23,15.02,15.2,12600,15.2,0.0026385224274405594
2013-07-08,15.2,15.92,15.19,15.92,72900,15.92,0.047368421052631726
2013-07-09,15.97,15.99,15.31,15.52,13900,15.52,-0.025125628140703515
2013-07-10,15.5,15.8,15.2,15.8,45400,15.8,0.01804123711340222
2013-07-11,16.03,16.5,15.83,16.34,87200,16.34,0.03417721518987338
2013-07-12,16.94,16.95,16.31,16.94,82200,16.94,0.0367197062423501
2013-07-15,17.37,17.7,16.22,17.17,188800,17.17,0.01357733175914988
2013-07-16,18.5,18.5,16.51,16.57,249800,16.57,-0.034944670937682054
2013-07-17,16.78,17.82,16.75,17.82,210900,17.82,0.07543753771876882
2013-07-18,18.0,18.47,17.88,18.4,149400,18.4,0.032547699214365844
2013-07-19,17.78,18.41,17.09,17.75,251400,17.75,-0.03532608695652162
2013-07-22,17.7,17.7,16.75,16.98,172100,16.98,-0.043380281690140854
2013-07-23,17.02,17.22,16.4,16.77,148800,16.77,-0.012367491166077826
2013-07-24,16.74,16.74,15.91,16.1,93800,16.1,-0.039952295766249146
2013-07-25,16.11,16.23,15.5,16.14,84300,16.14,0.00248447204968949
2013-07-26,16.18,17.33,16.18,16.57,61400,16.57,0.02664188351920682
2013-07-29,16.67,16.87,16.35,16.55,15400,16.55,-0.001207000603500319
2013-07-30,16.77,16.89,15.58,15.58,239300,15.58,-0.05861027190332335
2013-07-31,15.49,16.04,14.41,15.66,87800,15.66,0.005134788189987249
2013-08-01,15.64,16.1,14.26,14.62,183100,14.62,-0.06641123882503197
2013-08-02,14.73,14.73,13.88,14.06,186800,14.06,-0.03830369357045138
2013-08-05,14.06,15.17,14.0,14.92,47000,14.92,0.061166429587482085
2013-08-06,15.0,15.2,14.31,14.53,195000,14.53,-0.026139410187667633
2013-08-07,14.49,15.83,14.42,14.86,156100,14.86,0.02271163110805241
2013-08-08,15.08,15.7,14.71,14.95,206700,14.95,0.00605652759084796
2013-08-09,15.2,16.0,15.2,15.42,18700,15.42,0.03143812709030103
2013-08-12,15.35,15.71,14.86,15.46,52600,15.46,0.0025940337224383825
2013-08-13,15.58,15.58,14.56,15.0,103000,15.0,-0.02975420439844767
2013-08-14,15.18,15.75,14.35,15.64,179300,15.64,0.04266666666666663
2013-08-15,15.02,15.58,15.02,15.55,17300,15.55,-0.005754475703324768
2013-08-16,15.58,16.1,15.44,15.66,19900,15.66,0.0070739549839227145
2013-08-19,15.5,16.0,15.5,15.86,15700,15.86,0.012771392081736943
2013-08-20,15.99,16.03,15.44,15.63,43900,15.63,-0.014501891551071844
2013-08-21,15.56,15.75,15.34,15.59,6200,15.59,-0.002559181062060212
2013-08-22,15.73,16.16,15.0,16.15,27100,16.15,0.035920461834509254
2013-08-23,15.94,16.52,15.04,15.82,6800,15.82,-0.02043343653250762
2013-08-26,16.03,16.99,15.56,16.2,24000,16.2,0.02402022756005051
2013-08-27,16.36,16.91,16.36,16.57,15500,16.57,0.022839506172839474
2013-08-28,16.54,17.32,16.34,16.62,43400,16.62,0.0030175015087507973
2013-08-29,16.96,17.51,16.96,17.49,25300,17.49,0.05234657039711177
2013-08-30,17.64,18.25,17.64,17.94,91200,17.94,0.025728987993139052
2013-09-03,19.09,19.09,17.76,18.15,84300,18.15,0.011705685618728978
2013-09-04,18.3,18.95,17.95,18.74,237800,18.74,0.032506887052341504
2013-09-05,18.95,19.25,18.6,19.1,32600,19.1,0.019210245464247766
2013-09-06,19.45,19.45,18.67,19.07,11600,19.07,-0.0015706806282722585
2013-09-09,19.11,21.01,18.13,20.88,142600,20.88,0.09491347666491867
2013-09-10,21.01,22.37,20.83,21.86,151400,21.86,0.046934865900383205
2013-09-11,21.99,21.99,19.58,20.4,65200,20.4,-0.06678865507776766
2013-09-12,20.49,20.85,20.0,20.42,70300,20.42,0.0009803921568629637
2013-09-13,21.2,21.9,20.3,21.34,69400,21.34,0.045053868756121274
2013-09-16,21.43,21.44,20.3,20.78,82600,20.78,-0.026241799437675684
2013-09-17,20.35,20.89,19.39,19.76,58900,19.76,-0.04908565928777664
2013-09-18,19.66,19.74,18.35,19.73,69900,19.73,-0.0015182186234818928
2013-09-19,19.77,20.15,19.03,19.52,47400,19.52,-0.010643689812468327
2013-09-20,18.77,19.32,17.46,17.88,125000,17.88,-0.08401639344262302
2013-09-23,17.9,24.38,17.9,22.48,552500,22.48,0.25727069351230436
2013-09-24,22.37,23.0,20.25,21.39,212300,21.39,-0.048487544483985734
2013-09-25,21.4,22.23,20.84,21.84,126400,21.84,0.02103786816269282
2013-09-26,21.99,22.51,20.53,21.45,124400,21.45,-0.017857142857142905
2013-09-27,21.77,21.77,20.17,21.37,168100,21.37,-0.0037296037296036255
2013-09-30,21.31,21.79,19.85,21.46,906000,21.46,0.004211511464670137
2013-10-01,21.45,22.42,20.78,22.39,182100,22.39,0.043336439888163936
2013-10-02,22.3,22.3,20.19,20.36,95000,20.36,-0.09066547565877625
2013-10-03,20.31,20.6,19.2,19.39,109900,19.39,-0.047642436149312295
2013-10-04,19.27,19.6,18.84,19.03,75400,19.03,-0.018566271273852464
2013-10-07,18.83,19.34,18.83,19.11,51000,19.11,0.004203888596952199
2013-10-08,19.05,19.84,16.52,16.84,159000,16.84,-0.118785975928833
2013-10-09,16.8,17.22,15.35,16.87,248800,16.87,0.0017814726840856832
2013-10-10,17.24,17.59,15.59,17.43,140700,17.43,0.03319502074688785
2013-10-11,18.41,18.41,16.45,17.2,104700,17.2,-0.01319563970166382
2013-10-14,17.05,18.28,16.81,17.76,113300,17.76,0.032558139534883956
2013-10-15,17.67,18.91,16.9,18.28,88300,18.28,0.029279279279279313
2013-10-16,18.21,18.64,17.39,18.44,63500,18.44,0.00875273522975939
2013-10-17,18.41,19.67,18.41,19.47,91400,19.47,0.05585683297180033
2013-10-18,19.47,19.79,18.67,19.24,48600,19.24,-0.011813045711350778
2013-10-21,19.2,20.75,18.5,20.52,76700,20.52,0.06652806652806653
2013-10-22,20.5,21.93,20.39,21.24,263300,21.24,0.0350877192982455
2013-10-23,21.08,21.95,17.74,20.73,105700,20.73,-0.02401129943502811
2013-10-24,20.66,20.78,20.35,20.48,71700,20.48,-0.012059816690786263
2013-10-25,20.57,20.77,20.34,20.71,429300,20.71,0.01123046875
2013-10-28,20.66,20.98,19.93,20.43,56600,20.43,-0.013520038628681896
