Date,Open,High,Low,Close,Volume,Adj Close,Return
1997-07-22,8.0,8.5,8.0,8.25,123600,66.0,0.0
1997-07-23,8.5,8.5,8.12,8.25,16600,66.0,0.0
1997-07-24,8.38,8.38,8.12,8.12,11100,65.0,-0.015151515151515138
1997-07-25,8.25,8.25,8.0,8.12,11900,65.0,0.0
1997-07-28,8.25,8.25,8.0,8.12,12700,65.0,0.0
1997-07-29,8.19,8.25,8.0,8.0,11800,64.0,-0.01538461538461533
1997-07-30,8.25,8.25,8.0,8.0,2200,64.0,0.0
1997-07-31,8.03,8.12,8.0,8.12,29400,65.0,0.015625
1997-08-01,8.12,8.5,8.12,8.5,17700,68.0,0.04615384615384621
1997-08-04,8.5,8.75,8.5,8.75,2100,70.0,0.02941176470588225
1997-08-05,8.75,9.88,8.62,9.5,60200,76.0,0.08571428571428563
1997-08-06,9.88,10.12,9.62,9.88,26800,79.0,0.03947368421052633
1997-08-07,10.12,10.12,9.62,9.62,12700,77.0,-0.025316455696202556
1997-08-08,9.62,10.0,9.25,9.5,10000,76.0,-0.012987012987012991
1997-08-11,9.25,9.5,9.25,9.25,2400,74.0,-0.02631578947368418
1997-08-12,9.25,9.38,9.25,9.25,300,74.0,0.0
1997-08-13,9.5,9.5,8.75,9.0,14000,72.0,-0.027027027027026973
1997-08-14,8.87,9.0,8.75,8.75,500,70.0,-0.02777777777777779
1997-08-15,8.75,8.75,8.75,8.75,3800,70.0,0.0
1997-08-18,8.75,8.87,8.62,8.81,3700,70.5,0.0071428571428571175
1997-08-19,9.0,9.38,8.75,9.13,3700,73.0,0.03546099290780136
1997-08-20,9.38,9.38,8.87,8.87,3000,71.0,-0.0273972602739726
1997-08-21,9.25,9.25,9.0,9.0,800,72.0,0.014084507042253502
1997-08-22,8.87,9.25,8.87,9.25,400,74.0,0.02777777777777768
1997-08-25,9.25,9.25,9.0,9.0,2300,72.0,-0.027027027027026973
1997-08-26,9.0,9.13,8.87,8.87,3100,71.0,-0.01388888888888884
1997-08-27,8.87,9.0,8.87,8.87,600,71.0,0.0
1997-08-28,8.87,9.0,8.87,9.0,500,72.0,0.014084507042253502
1997-08-29,8.87,9.13,8.87,9.13,1600,73.0,0.01388888888888884
1997-09-02,9.0,9.38,9.0,9.13,7400,73.0,0.0
1997-09-03,9.13,9.75,9.0,9.75,16700,78.0,0.06849315068493156
1997-09-04,9.75,10.75,9.62,10.63,23800,85.0,0.08974358974358965
1997-09-05,10.75,10.75,10.0,10.0,8200,80.0,-0.05882352941176472
1997-09-08,10.63,10.63,9.88,10.25,1100,82.0,0.02499999999999991
1997-09-09,10.25,10.37,10.0,10.0,1800,80.0,-0.024390243902439046
1997-09-10,10.37,10.37,10.0,10.25,700,82.0,0.02499999999999991
1997-09-11,10.25,11.62,10.0,11.5,9300,92.0,0.12195121951219523
1997-09-12,11.62,12.75,11.25,12.75,15500,102.0,0.10869565217391308
1997-09-15,12.75,13.0,12.13,12.25,4400,98.0,-0.039215686274509776
1997-09-16,12.25,12.62,12.25,12.62,13500,101.0,0.030612244897959107
1997-09-17,12.62,13.0,12.25,12.88,14600,103.0,0.01980198019801982
1997-09-18,13.0,13.0,12.62,12.62,2900,101.0,-0.01941747572815533
1997-09-19,12.62,13.0,12.62,13.0,1200,104.0,0.02970297029702973
1997-09-22,12.88,12.88,12.0,12.0,4500,96.0,-0.07692307692307687
1997-09-23,12.13,12.5,12.0,12.0,16000,96.0,0.0
1997-09-24,12.0,12.5,12.0,12.25,17200,98.0,0.02083333333333326
1997-09-25,12.25,12.38,12.0,12.13,6600,97.0,-0.010204081632653073
1997-09-26,12.38,12.38,12.0,12.13,5800,97.0,0.0
1997-09-29,12.13,12.25,11.87,11.87,5600,95.0,-0.020618556701030966
1997-09-30,11.75,12.25,11.75,12.0,12900,96.0,0.010526315789473717
1997-10-01,12.38,12.38,12.0,12.0,1400,96.0,0.0
1997-10-02,12.38,12.38,11.62,11.62,1000,93.0,-0.03125
1997-10-03,11.75,12.0,11.75,11.75,2700,94.0,0.010752688172043001
1997-10-06,11.75,12.0,11.62,11.75,13400,94.0,0.0
1997-10-07,12.13,12.38,11.75,12.25,11700,98.0,0.042553191489361764
1997-10-08,12.13,12.38,12.13,12.25,7100,98.0,0.0
1997-10-09,12.25,13.25,12.25,13.0,28900,104.0,0.061224489795918435
1997-10-10,13.12,14.0,13.0,13.63,15200,109.0,0.04807692307692313
1997-10-13,13.75,14.12,13.5,13.94,18000,111.5,0.022935779816513735
1997-10-14,13.5,13.75,13.5,13.56,1600,108.5,-0.026905829596412523
1997-10-15,13.75,13.75,13.0,13.12,10900,105.0,-0.032258064516129004
1997-10-16,13.0,13.12,13.0,13.0,8900,104.0,-0.00952380952380949
1997-10-17,13.0,13.0,12.62,12.62,11600,101.0,-0.028846153846153855
1997-10-20,12.62,12.88,12.38,12.88,32600,103.0,0.01980198019801982
1997-10-21,12.88,13.75,12.88,13.63,12000,109.0,0.058252427184465994
1997-10-22,13.88,14.38,13.5,14.0,6100,112.0,0.02752293577981657
1997-10-23,14.0,14.34,13.0,13.12,9400,105.0,-0.0625
1997-10-24,13.37,13.63,12.88,13.12,5700,105.0,0.0
1997-10-27,12.5,12.5,10.75,10.88,20500,87.0,-0.17142857142857137
1997-10-28,10.75,12.0,10.25,11.5,18900,92.0,0.05747126436781613
1997-10-29,12.0,13.12,11.87,12.88,8400,103.0,0.11956521739130443
1997-10-30,12.25,12.38,11.5,11.5,8200,92.0,-0.10679611650485432
1997-10-31,11.87,12.0,11.38,12.0,31300,96.0,0.04347826086956519
1997-11-03,12.0,12.25,11.5,11.75,10100,94.0,-0.02083333333333337
1997-11-04,11.38,11.75,11.38,11.5,2000,92.0,-0.021276595744680882
1997-11-05,11.25,11.5,11.25,11.5,1000,92.0,0.0
1997-11-06,11.25,11.25,10.88,11.0,5000,88.0,-0.04347826086956519
1997-11-07,10.5,11.0,10.37,10.63,4700,85.0,-0.03409090909090906
1997-11-10,10.63,11.12,10.5,11.12,1300,89.0,0.04705882352941182
1997-11-11,11.25,11.5,11.0,11.5,1200,92.0,0.03370786516853941
1997-11-12,11.0,11.38,10.75,11.0,5600,88.0,-0.04347826086956519
1997-11-13,10.88,10.94,10.75,10.94,1700,87.5,-0.005681818181818232
1997-11-14,11.0,11.0,11.0,11.0,100,88.0,0.005714285714285783
1997-11-17,11.0,11.0,11.0,11.0,0,88.0,0.0
1997-11-18,10.75,10.75,10.75,10.75,900,86.0,-0.022727272727272707
1997-11-20,11.0,11.0,10.75,10.75,3800,86.0,0.0
1997-11-21,10.75,10.88,10.75,10.88,300,87.0,0.011627906976744207
1997-11-24,10.88,11.5,10.63,10.75,12500,86.0,-0.011494252873563204
1997-11-25,10.75,10.88,10.12,10.12,2600,81.0,-0.05813953488372092
1997-11-26,10.25,10.25,9.88,9.94,14900,79.5,-0.01851851851851849
1997-11-28,9.94,9.94,9.88,9.94,0,79.5,0.0
1997-12-01,10.25,10.25,9.88,9.88,3600,79.0,-0.0062893081761006275
1997-12-02,9.88,9.88,9.88,9.88,200,79.0,0.0
1997-12-03,9.88,9.88,9.0,9.17,5200,73.37,-0.07126582278481008
1997-12-04,9.13,9.13,8.75,8.87,4700,71.0,-0.03230203080278049
1997-12-05,9.13,9.44,9.0,9.25,600,74.0,0.04225352112676051
1997-12-08,9.5,10.63,9.5,10.63,4600,85.0,0.14864864864864868
1997-12-09,10.37,10.63,10.37,10.63,600,85.0,0.0
1997-12-10,10.12,10.12,10.0,10.12,6100,81.0,-0.04705882352941182
1997-12-11,10.0,10.0,9.62,10.0,6700,80.0,-0.012345679012345734
1997-12-12,9.62,9.69,9.62,9.62,700,77.0,-0.03749999999999998
1997-12-15,9.62,9.62,9.62,9.62,100,77.0,0.0
1997-12-16,10.12,10.12,9.62,9.62,0,77.0,0.0
1997-12-17,9.75,9.75,9.5,9.75,4600,78.0,0.01298701298701288
1997-12-18,10.12,10.12,9.62,9.62,1400,77.0,-0.012820512820512775
1997-12-19,10.12,10.12,9.62,9.62,100,77.0,0.0
