Date,Open,High,Low,Close,Volume,Adj Close,Return
1992-06-26,21.0,22.25,20.5,21.5,112281600,0.64,0.0
1992-06-29,21.75,23.5,21.25,23.0,29504000,0.68,0.0625
1992-06-30,23.5,23.75,22.0,22.25,17449600,0.66,-0.02941176470588236
1992-07-01,22.5,23.0,21.75,22.75,9270400,0.67,0.015151515151515138
1992-07-02,23.0,23.0,22.25,22.75,7155200,0.67,0.0
1992-07-06,22.5,22.75,22.25,22.75,3056000,0.67,0.0
1992-07-07,22.75,22.75,22.25,22.75,5449600,0.67,0.0
1992-07-08,22.75,22.75,22.0,22.25,7788800,0.66,-0.014925373134328401
1992-07-09,22.5,23.0,22.25,23.0,1984000,0.68,0.030303030303030276
1992-07-10,23.0,23.5,22.5,23.25,5564800,0.69,0.014705882352941124
1992-07-13,23.25,23.75,23.0,23.75,3065600,0.7,0.01449275362318847
1992-07-14,23.75,24.5,23.5,23.75,8649600,0.7,0.0
1992-07-15,24.0,24.5,23.75,24.5,2640000,0.72,0.028571428571428692
1992-07-16,24.5,26.5,24.25,26.12,8649600,0.77,0.06944444444444442
1992-07-17,26.25,28.0,25.5,27.5,7920000,0.81,0.051948051948051965
1992-07-20,27.37,28.0,26.75,27.75,10025600,0.82,0.012345679012345512
1992-07-21,28.0,28.5,27.5,28.0,3920000,0.83,0.012195121951219523
1992-07-22,27.75,28.0,27.0,27.75,5449600,0.82,-0.012048192771084376
1992-07-23,27.75,28.25,27.25,28.25,5235200,0.83,0.012195121951219523
1992-07-24,27.75,28.75,27.5,28.5,3529600,0.84,0.012048192771084265
1992-07-27,28.75,29.75,28.5,29.12,5868800,0.86,0.023809523809523725
1992-07-28,29.5,29.75,27.5,28.0,9030400,0.83,-0.03488372093023262
1992-07-29,28.0,28.0,26.0,26.62,15459200,0.79,-0.04819277108433728
1992-07-30,26.25,26.75,25.75,26.5,5929600,0.78,-0.012658227848101222
1992-07-31,26.5,26.75,26.0,26.62,3580800,0.79,0.012820512820512775
1992-08-03,26.25,27.25,26.25,26.87,2515200,0.79,0.0
1992-08-04,27.0,27.5,26.37,27.37,3529600,0.81,0.025316455696202445
1992-08-05,27.25,27.25,25.75,26.25,4915200,0.78,-0.03703703703703709
1992-08-06,26.0,26.25,25.5,26.25,1971200,0.78,0.0
1992-08-07,26.25,27.25,25.5,27.25,4553600,0.8,0.025641025641025772
1992-08-10,26.75,27.75,26.5,27.25,2979200,0.8,0.0
1992-08-11,27.75,27.75,27.0,27.5,2160000,0.81,0.012499999999999956
1992-08-12,27.0,27.25,25.75,26.25,6531200,0.78,-0.03703703703703709
1992-08-13,26.25,26.62,25.75,26.25,24249600,0.78,0.0
1992-08-14,26.0,26.5,24.5,24.75,9084800,0.73,-0.06410256410256421
1992-08-17,25.0,25.25,24.5,25.25,1376000,0.75,0.027397260273972712
1992-08-18,24.5,25.0,24.5,25.0,1513600,0.74,-0.013333333333333308
1992-08-19,24.5,25.0,24.5,25.0,1321600,0.74,0.0
1992-08-20,25.0,25.62,24.25,24.75,1404800,0.73,-0.013513513513513487
1992-08-21,24.75,24.75,24.25,24.25,1059200,0.72,-0.013698630136986356
1992-08-24,24.5,24.75,24.0,24.5,3593600,0.72,0.0
1992-08-25,24.0,24.5,24.0,24.25,2144000,0.72,0.0
1992-08-26,24.0,24.5,23.0,24.0,9744000,0.71,-0.01388888888888895
1992-08-27,24.25,24.75,24.0,24.5,3200000,0.72,0.014084507042253502
1992-08-28,24.5,25.0,24.25,25.0,1769600,0.74,0.0277777777777779
1992-08-31,25.0,25.25,24.5,24.87,2390400,0.73,-0.013513513513513487
1992-09-01,25.0,25.75,24.75,25.25,1324800,0.75,0.027397260273972712
