Date,Open,High,Low,Close,Volume,Adj Close,Return
1987-12-30,8.79,8.9,8.68,8.79,13500,6.41,0.0
1987-12-31,8.68,8.79,8.56,8.68,8700,6.33,-0.012480499219968855
1988-01-04,8.68,9.13,8.68,9.13,2500,6.66,0.05213270142180093
1988-01-05,9.35,9.58,9.35,9.58,5400,6.98,0.048048048048048075
1988-01-06,9.58,9.8,9.58,9.8,6200,7.15,0.024355300859598916
1988-01-07,9.8,9.8,9.8,9.8,900,7.15,0.0
1988-01-08,9.69,9.8,9.13,9.13,6200,6.66,-0.06853146853146852
1988-01-11,9.24,9.24,9.13,9.13,3700,6.66,0.0
1988-01-12,9.01,9.01,8.9,9.01,1700,6.57,-0.013513513513513487
1988-01-13,9.01,9.01,8.9,9.01,2400,6.57,0.0
1988-01-14,9.01,9.13,9.01,9.01,1400,6.57,0.0
1988-01-15,9.24,9.35,9.24,9.24,1500,6.74,0.025875190258751957
1988-01-18,9.46,9.46,9.35,9.35,3700,6.82,0.011869436201780381
1988-01-19,9.46,9.69,9.46,9.69,7200,7.07,0.03665689149560114
1988-01-20,9.58,9.8,9.58,9.58,3900,6.98,-0.012729844413012725
1988-01-21,9.69,9.69,9.69,9.69,1700,7.07,0.012893982808023008
1988-01-22,9.58,9.69,9.58,9.69,1000,7.07,0.0
1988-01-25,9.8,9.8,9.8,9.8,100,7.15,0.011315417256011262
1988-01-26,9.8,9.92,9.8,9.92,16900,7.23,0.01118881118881121
1988-01-27,9.8,9.8,9.8,9.8,3600,7.15,-0.011065006915629283
1988-01-28,9.8,9.8,9.8,9.8,5700,7.15,0.0
1988-01-29,9.92,10.03,9.92,10.03,4800,7.31,0.022377622377622197
1988-02-01,10.14,10.59,10.03,10.37,45500,7.56,0.03419972640218871
1988-02-02,10.59,11.15,10.59,11.04,32400,8.05,0.06481481481481488
1988-02-03,11.04,11.15,11.04,11.04,4000,8.05,0.0
1988-02-04,10.82,10.82,10.82,10.82,23500,7.89,-0.0198757763975157
1988-02-05,10.82,10.82,10.82,10.82,900,7.89,0.0
1988-02-08,10.82,10.82,10.7,10.7,2700,7.81,-0.010139416983523497
1988-02-09,10.7,10.82,10.7,10.7,3800,7.81,0.0
1988-02-10,10.82,10.93,10.82,10.82,700,7.89,0.010243277848911658
1988-02-11,10.93,10.93,10.7,10.93,1500,7.97,0.010139416983523386
1988-02-12,10.7,10.7,10.7,10.7,2500,7.81,-0.020075282308657516
1988-02-16,10.7,10.7,10.48,10.59,2700,7.72,-0.011523687580025643
1988-02-17,10.59,10.82,10.59,10.7,11900,7.81,0.011658031088082943
1988-02-18,10.7,10.7,10.48,10.48,17400,7.64,-0.0217669654289373
1988-02-19,10.48,10.48,10.48,10.48,1400,7.64,0.0
1988-02-22,10.59,10.59,10.48,10.59,6000,7.72,0.010471204188481575
1988-02-23,10.59,10.59,10.37,10.37,6600,7.56,-0.020725388601036343
1988-02-24,10.48,10.48,10.48,10.48,4700,7.64,0.010582010582010692
1988-02-25,10.37,10.7,10.37,10.59,10600,7.72,0.010471204188481575
1988-02-26,10.7,10.7,10.7,10.7,200,7.81,0.011658031088082943
1988-02-29,10.7,10.7,10.7,10.7,1600,7.81,0.0
