Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-04-19,32.0,35.85,30.91,35.48,14124400,35.48,0.0
2012-04-20,35.25,36.64,33.5,36.2,1796600,36.2,0.020293122886133164
2012-04-23,36.78,37.24,35.76,35.93,930700,35.93,-0.0074585635359116775
2012-04-24,36.04,37.34,34.65,35.8,506200,35.8,-0.003618146395769628
2012-04-25,36.78,37.15,34.57,34.72,520500,34.72,-0.03016759776536304
2012-04-26,34.59,35.3,33.34,35.11,234000,35.11,0.011232718894009341
2012-04-27,36.0,36.97,35.02,35.06,380800,35.06,-0.001424095699230854
2012-04-30,36.13,36.13,33.6,33.95,301600,33.95,-0.03166001140901309
2012-05-01,34.29,36.94,33.93,35.91,679500,35.91,0.05773195876288639
2012-05-02,35.51,36.2,35.2,35.28,260000,35.28,-0.01754385964912264
2012-05-03,36.5,36.5,32.2,32.68,1026700,32.68,-0.07369614512471656
2012-05-04,32.32,32.59,31.76,32.07,439300,32.07,-0.018665850673194595
2012-05-07,31.75,33.03,31.75,32.93,285900,32.93,0.0268163392578733
2012-05-08,33.0,34.15,32.31,32.75,329300,32.75,-0.005466140297600952
2012-05-09,32.01,34.17,32.01,32.86,356800,32.86,0.0033587786259541286
2012-05-10,33.32,33.95,31.53,31.79,383000,31.79,-0.03256238587948879
2012-05-11,31.33,32.23,29.47,31.36,1023400,31.36,-0.013526266121421826
2012-05-14,31.28,32.92,30.43,31.02,702600,31.02,-0.010841836734693855
2012-05-15,31.39,31.85,31.2,31.62,351900,31.62,0.01934235976789167
2012-05-16,31.64,31.9,30.41,30.97,238000,30.97,-0.02055660974067053
2012-05-17,31.11,31.18,29.87,30.62,404400,30.62,-0.011301259283177156
2012-05-18,31.09,31.09,28.49,29.06,814000,29.06,-0.05094709340300463
2012-05-21,29.48,30.14,28.82,30.02,599000,30.02,0.0330350997935307
2012-05-22,30.42,32.55,30.09,31.63,508400,31.63,0.05363091272484999
2012-05-23,31.1,35.8,30.0,34.89,799000,34.89,0.10306670882073976
2012-05-24,35.5,36.5,33.58,34.59,534800,34.59,-0.008598452278589797
2012-05-25,35.08,36.34,34.43,35.93,296500,35.93,0.03873952009251225
2012-05-29,36.72,37.57,35.94,36.38,564000,36.38,0.012524352908433123
2012-05-30,36.08,36.08,33.57,34.3,882500,34.3,-0.05717427157779009
2012-05-31,34.25,34.99,31.36,32.56,988100,32.56,-0.05072886297376078
2012-06-01,31.56,31.97,26.97,27.24,1778900,27.24,-0.16339066339066355
2012-06-04,27.8,28.0,25.15,27.0,706200,27.0,-0.008810572687224627
2012-06-05,27.26,28.85,26.8,28.59,610400,28.59,0.05888888888888899
2012-06-06,28.9,32.0,28.1,30.15,869300,30.15,0.05456453305351516
2012-06-07,30.56,31.41,28.65,29.77,455200,29.77,-0.012603648424543867
2012-06-08,30.1,32.06,29.22,32.01,626600,32.01,0.07524353375881754
2012-06-11,32.69,32.88,29.77,30.01,378500,30.01,-0.06248047485160879
2012-06-12,30.69,30.99,29.83,30.43,298700,30.43,0.01399533488837057
2012-06-13,30.48,31.95,30.02,30.75,233900,30.75,0.010515938218862875
2012-06-14,30.9,31.92,30.76,31.66,273500,31.66,0.029593495934959302
2012-06-15,31.84,33.04,31.18,32.73,396800,32.73,0.03379658875552738
2012-06-18,32.35,32.72,31.76,32.13,318200,32.13,-0.018331805682859637
2012-06-19,32.65,32.67,31.84,31.96,387900,31.96,-0.005291005291005346
2012-06-20,31.93,32.02,30.81,31.68,311000,31.68,-0.008760951188986232
2012-06-21,31.52,32.02,29.32,29.54,569300,29.54,-0.06755050505050508
2012-06-22,30.0,31.2,29.11,29.27,1561100,29.27,-0.009140148950575466
2012-06-25,28.84,28.94,27.84,28.26,657300,28.26,-0.03450632046463953
2012-06-26,28.41,28.41,27.53,27.78,490400,27.78,-0.01698513800424628
2012-06-27,27.62,28.38,27.62,28.0,351100,28.0,0.007919366450683807
2012-06-28,26.98,27.59,25.82,26.49,1178700,26.49,-0.05392857142857144
2012-06-29,27.1,28.36,27.01,28.1,458300,28.1,0.060777651944129873
2012-07-02,28.15,29.49,27.44,29.13,350800,29.13,0.03665480427046264
2012-07-03,29.06,29.25,28.8,29.04,138900,29.04,-0.003089598352214229
2012-07-05,28.89,30.53,28.68,29.86,152100,29.86,0.028236914600551
2012-07-06,29.29,29.86,28.88,29.63,444500,29.63,-0.007702612190221059
2012-07-09,29.17,29.59,27.42,28.07,814000,28.07,-0.05264934188322645
2012-07-10,28.24,28.24,26.51,26.83,694900,26.83,-0.04417527609547567
2012-07-11,26.83,27.41,26.25,26.59,350400,26.59,-0.008945210585165841
2012-07-12,26.32,27.5,25.9,27.1,247000,27.1,0.01918014291086889
2012-07-13,27.24,28.74,27.02,28.19,354600,28.19,0.04022140221402215
2012-07-16,28.05,29.32,27.94,28.43,422400,28.43,0.008513657325292634
2012-07-17,27.89,28.29,27.49,27.97,653100,27.97,-0.016180091452690837
2012-07-18,27.86,29.45,27.5,28.92,910600,28.92,0.033964962459778425
2012-07-19,29.0,29.36,28.47,29.19,846600,29.19,0.009336099585062207
2012-07-20,29.12,29.57,28.06,28.55,6141100,28.55,-0.021925316889345736
2012-07-23,28.25,28.63,28.0,28.06,1015000,28.06,-0.017162872154115605
2012-07-24,28.15,28.25,27.75,27.96,365400,27.96,-0.0035637918745544672
2012-07-25,28.11,28.47,27.6,28.25,396100,28.25,0.0103719599427754
2012-07-26,28.83,28.93,27.99,28.37,644500,28.37,0.004247787610619502
2012-07-27,28.64,29.9,28.05,29.27,770700,29.27,0.03172365174480074
2012-07-30,29.18,29.28,28.37,28.75,322500,28.75,-0.01776563033823031
