Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-11-19,2.87,2.87,2.86,2.86,11200,2.86,0.0
2009-11-20,2.88,2.89,2.84,2.87,33500,2.87,0.0034965034965035446
2009-11-23,2.9,3.04,2.9,3.02,112800,3.02,0.05226480836236935
2009-11-24,3.0,3.45,2.97,3.3,183900,3.3,0.0927152317880795
2009-11-25,3.3,3.35,3.13,3.18,35400,3.18,-0.036363636363636265
2009-11-27,3.0,3.2,3.0,3.2,25100,3.2,0.0062893081761006275
2009-11-30,3.25,3.25,3.05,3.19,13200,3.19,-0.0031250000000000444
2009-12-01,3.29,3.29,3.05,3.19,31700,3.19,0.0
2009-12-02,3.15,3.3,3.1,3.2,44600,3.2,0.0031347962382446415
2009-12-03,3.19,3.2,3.16,3.18,28000,3.18,-0.006249999999999978
2009-12-04,3.19,3.34,3.19,3.24,116100,3.24,0.018867924528301883
2009-12-07,3.3,3.3,3.18,3.18,28300,3.18,-0.01851851851851849
2009-12-08,3.2,3.2,3.1,3.1,16200,3.1,-0.02515723270440251
2009-12-09,3.12,3.2,3.12,3.17,51100,3.17,0.022580645161290214
2009-12-10,3.25,3.25,3.12,3.14,34800,3.14,-0.009463722397476282
2009-12-11,3.14,3.19,3.12,3.16,23000,3.16,0.006369426751592355
2009-12-14,3.17,3.17,3.13,3.16,27000,3.16,0.0
2009-12-15,3.17,3.78,3.17,3.43,375500,3.43,0.08544303797468356
2009-12-16,3.53,3.79,3.53,3.62,270800,3.62,0.055393586005830775
2009-12-17,3.65,3.79,3.5,3.65,89800,3.65,0.008287292817679592
2009-12-18,3.65,3.65,3.47,3.57,37200,3.57,-0.021917808219178103
2009-12-21,3.59,3.66,3.54,3.57,74000,3.57,0.0
2009-12-22,3.45,3.98,3.45,3.71,93200,3.71,0.03921568627450989
2009-12-23,3.72,3.89,3.72,3.84,53600,3.84,0.03504043126684642
2009-12-24,3.86,3.99,3.81,3.97,56000,3.97,0.03385416666666674
2009-12-28,3.99,3.99,3.79,3.87,38400,3.87,-0.02518891687657432
2009-12-29,3.92,4.04,3.85,4.0,91400,4.0,0.03359173126614978
2009-12-30,3.99,4.1,3.97,4.1,44600,4.1,0.02499999999999991
2009-12-31,4.32,4.32,4.06,4.12,55300,4.12,0.004878048780487809
2010-01-04,4.15,4.2,4.12,4.15,90600,4.15,0.00728155339805836
2010-01-05,4.3,4.35,4.11,4.35,146300,4.35,0.04819277108433728
2010-01-06,4.32,4.62,4.32,4.59,111400,4.59,0.05517241379310356
2010-01-07,4.64,5.15,4.64,5.04,288800,5.04,0.0980392156862746
2010-01-08,5.26,5.59,5.04,5.52,455600,5.52,0.09523809523809512
2010-01-11,5.65,5.75,5.23,5.49,412300,5.49,-0.005434782608695565
2010-01-12,5.5,5.6,5.42,5.5,159400,5.5,0.0018214936247722413
2010-01-13,5.55,5.55,5.36,5.5,108100,5.5,0.0
2010-01-14,5.49,5.57,5.32,5.57,142900,5.57,0.012727272727272698
2010-01-15,5.64,5.64,5.42,5.48,110700,5.48,-0.016157989228007152
2010-01-19,6.0,7.12,6.0,7.0,1236400,7.0,0.2773722627737225
2010-01-20,6.99,7.36,6.8,7.0,497000,7.0,0.0
2010-01-21,7.06,7.25,6.51,6.51,255200,6.51,-0.07000000000000006
2010-01-22,6.77,7.27,6.6,6.96,377000,6.96,0.06912442396313367
2010-01-25,6.96,7.06,6.04,6.28,336700,6.28,-0.09770114942528729
2010-01-26,6.2,6.3,6.05,6.11,142200,6.11,-0.027070063694267454
2010-01-27,6.14,6.17,5.65,5.72,175700,5.72,-0.06382978723404265
2010-01-28,5.75,5.78,5.26,5.59,176200,5.59,-0.022727272727272707
2010-01-29,5.57,5.8,5.35,5.38,112000,5.38,-0.03756708407871201
2010-02-01,5.39,5.59,5.1,5.38,64600,5.38,0.0
2010-02-02,5.54,5.65,5.29,5.65,64100,5.65,0.05018587360594795
2010-02-03,6.14,6.3,5.83,6.3,177400,6.3,0.11504424778761058
2010-02-04,6.18,6.2,5.82,5.85,79900,5.85,-0.07142857142857151
2010-02-05,5.84,6.25,5.71,6.25,71900,6.25,0.06837606837606836
