Date,Open,High,Low,Close,Volume,Adj Close,Return
1998-06-29,25.08,25.64,24.8,25.36,6307500,13.58,0.0
1998-06-30,25.25,25.25,24.64,24.69,1537600,13.22,-0.026509572901325384
1998-07-01,24.64,24.86,24.08,24.75,593100,13.25,0.0022692889561271024
1998-07-02,24.64,24.64,24.19,24.58,563600,13.16,-0.0067924528301887
1998-07-06,24.58,24.58,24.08,24.14,616800,12.93,-0.01747720364741645
1998-07-07,24.14,24.19,23.91,24.03,623500,12.87,-0.004640371229698403
1998-07-08,24.03,24.19,23.97,24.19,392300,12.96,0.006993006993007089
1998-07-09,24.08,24.14,23.75,23.97,293100,12.84,-0.0092592592592593
1998-07-10,23.97,23.97,23.36,23.97,384300,12.84,0.0
1998-07-13,23.75,23.91,23.36,23.86,385500,12.78,-0.004672897196261738
1998-07-14,23.8,24.08,23.53,23.97,668400,12.84,0.0046948356807512415
1998-07-15,23.86,23.91,23.58,23.91,232800,12.81,-0.002336448598130758
1998-07-16,23.8,23.86,23.53,23.64,403600,12.66,-0.011709601873536313
1998-07-17,23.64,23.64,23.36,23.53,543500,12.6,-0.004739336492891044
1998-07-20,23.36,23.42,23.08,23.36,542000,12.51,-0.0071428571428571175
1998-07-21,23.25,23.36,22.97,23.08,218800,12.36,-0.011990407673860948
1998-07-22,23.14,23.14,22.86,23.14,506500,12.39,0.0024271844660195274
1998-07-23,23.14,23.42,23.14,23.36,446200,12.51,0.009685230024212954
1998-07-24,23.19,23.25,23.08,23.19,515800,12.42,-0.007194244604316502
1998-07-27,23.08,23.3,22.92,23.25,384800,12.45,0.0024154589371980784
1998-07-28,23.14,23.25,22.53,22.86,816900,12.24,-0.016867469879518038
1998-07-29,22.69,22.86,22.25,22.64,522200,12.12,-0.009803921568627527
1998-07-30,22.53,23.03,22.47,22.86,467900,12.24,0.00990099009900991
1998-07-31,22.86,22.86,22.19,22.36,386800,11.97,-0.022058823529411686
1998-08-03,22.19,22.31,21.81,22.08,649200,11.83,-0.011695906432748537
1998-08-04,21.92,21.92,21.09,21.36,617600,11.44,-0.03296703296703296
1998-08-05,21.53,22.31,21.42,22.31,501300,11.95,0.044580419580419584
1998-08-06,22.31,22.31,21.75,21.97,568500,11.77,-0.015062761506276168
1998-08-07,21.86,22.03,21.53,21.7,351500,11.62,-0.01274426508071369
1998-08-10,21.75,22.19,21.75,21.97,749400,11.77,0.012908777969018903
1998-08-11,21.75,21.81,21.31,21.47,358400,11.5,-0.022939677145284554
1998-08-12,21.47,22.31,21.42,22.31,399000,11.95,0.03913043478260869
1998-08-13,22.08,22.25,21.92,22.14,206500,11.86,-0.007531380753138084
1998-08-14,21.92,22.08,21.75,21.97,195700,11.77,-0.007588532883642474
1998-08-17,22.19,22.47,22.03,22.42,520500,12.0,0.01954120645709434
1998-08-18,22.36,22.42,21.97,22.19,450900,11.89,-0.009166666666666656
1998-08-19,22.14,22.14,21.86,22.08,302700,11.83,-0.005046257359125339
1998-08-20,22.19,22.31,22.08,22.25,631900,11.92,0.0076077768385460764
1998-08-21,22.08,22.42,22.03,22.42,459000,12.0,0.006711409395973256
1998-08-24,22.53,22.75,22.47,22.53,377900,12.06,0.0050000000000001155
1998-08-25,22.58,22.86,22.53,22.86,585800,12.24,0.014925373134328401
1998-08-26,22.75,22.81,22.64,22.75,346000,12.18,-0.004901960784313819
1998-08-27,22.75,22.97,22.69,22.69,723600,12.15,-0.0024630541871920597
1998-08-28,22.75,22.75,22.58,22.75,346100,12.18,0.0024691358024691024
1998-08-31,22.69,22.69,22.08,22.58,1312100,12.09,-0.00738916256157629
1998-09-01,22.36,22.47,21.81,22.47,446000,12.03,-0.00496277915632759
1998-09-02,22.25,22.31,21.86,22.25,1301000,11.92,-0.009143807148794592
1998-09-03,22.03,22.25,21.81,22.19,267200,11.89,-0.00251677852348986
1998-09-04,22.31,22.42,22.03,22.31,359300,11.95,0.005046257359125228
1998-09-08,22.25,22.47,21.97,22.47,198700,12.03,0.006694560669456173
1998-09-09,22.47,22.47,22.19,22.42,216700,12.0,-0.0024937655860348684
1998-09-10,22.31,22.53,22.19,22.47,327200,12.03,0.0024999999999999467
1998-09-11,22.31,22.58,22.14,22.53,232300,12.06,0.0024937655860350905
