Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-08-09,14.76,15.5,14.25,14.43,3484600,14.43,0.0
2013-08-12,14.42,15.09,14.42,14.6,346700,14.6,0.011781011781011763
2013-08-13,14.69,14.99,14.15,14.3,211700,14.3,-0.020547945205479423
2013-08-14,14.58,14.58,13.48,14.02,199700,14.02,-0.019580419580419672
2013-08-15,14.18,14.29,13.32,14.01,113600,14.01,-0.0007132667617688604
2013-08-16,14.0,14.26,13.38,13.51,49400,13.51,-0.035688793718772316
2013-08-19,13.49,13.49,12.74,12.87,133400,12.87,-0.04737231680236864
2013-08-20,12.86,13.36,12.85,13.0,35100,13.0,0.010101010101010166
2013-08-21,13.01,13.35,12.9,12.9,122300,12.9,-0.007692307692307665
2013-08-22,13.25,13.48,12.93,13.07,27300,13.07,0.01317829457364339
2013-08-23,13.1,13.85,13.1,13.51,129100,13.51,0.03366488140780399
2013-08-26,13.5,14.4,13.07,14.35,14200,14.35,0.06217616580310881
2013-08-27,14.24,14.35,13.51,14.01,54500,14.01,-0.02369337979094077
2013-08-28,14.72,14.99,13.95,14.27,71500,14.27,0.01855817273376159
2013-08-29,14.38,14.8,14.33,14.5,60900,14.5,0.016117729502452827
2013-08-30,14.74,14.8,14.0,14.24,42700,14.24,-0.017931034482758568
2013-09-03,14.39,14.8,13.05,13.2,161500,13.2,-0.0730337078651686
2013-09-04,13.47,13.94,12.94,13.05,182000,13.05,-0.011363636363636243
2013-09-05,13.25,13.55,13.24,13.34,21900,13.34,0.022222222222222143
2013-09-06,13.35,13.55,13.26,13.51,64900,13.51,0.012743628185907019
2013-09-09,13.51,14.11,13.4,13.79,56900,13.79,0.02072538860103612
2013-09-10,13.75,13.75,13.5,13.66,43100,13.66,-0.00942712110224797
2013-09-11,13.55,13.88,13.46,13.64,29000,13.64,-0.0014641288433381305
2013-09-12,13.61,14.09,13.45,13.65,176800,13.65,0.0007331378299120228
2013-09-13,13.73,14.09,13.33,13.66,99000,13.66,0.00073260073260073
2013-09-16,13.87,14.09,13.59,13.77,109000,13.77,0.008052708638360162
2013-09-17,13.99,14.03,13.32,13.75,71900,13.75,-0.001452432824981864
2013-09-18,13.78,14.24,13.31,13.97,185500,13.97,0.016000000000000014
2013-09-19,13.88,13.95,13.02,13.43,92000,13.43,-0.038654259126700174
2013-09-20,13.46,14.01,13.14,13.15,207600,13.15,-0.02084884586746083
2013-09-23,13.17,13.86,13.14,13.34,115000,13.34,0.01444866920152088
2013-09-24,13.39,13.71,13.39,13.47,118900,13.47,0.009745127436281864
2013-09-25,13.59,13.73,13.52,13.62,50600,13.62,0.011135857461024301
2013-09-26,13.68,13.78,13.45,13.64,173200,13.64,0.001468428781204123
2013-09-27,13.54,13.78,13.2,13.34,104100,13.34,-0.021994134897360795
2013-09-30,13.18,13.66,12.88,13.14,757800,13.14,-0.014992503748125885
2013-10-01,13.06,13.6,12.45,12.65,360000,12.65,-0.03729071537290718
2013-10-02,12.64,13.28,12.46,12.75,110600,12.75,0.007905138339920903
2013-10-03,12.77,13.27,12.6,13.21,63800,13.21,0.03607843137254907
2013-10-04,13.17,13.73,13.05,13.58,60200,13.58,0.028009084027251996
2013-10-07,13.52,13.78,13.52,13.65,152000,13.65,0.005154639175257714
2013-10-08,13.45,13.77,13.37,13.61,184400,13.61,-0.002930402930403031
2013-10-09,13.7,13.75,13.51,13.58,288400,13.58,-0.0022042615723731895
