Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-02-10,15.0,15.5,15.0,15.5,192000,3.51,0.0
1994-02-11,14.5,15.5,14.5,15.5,3600,3.51,0.0
1994-02-14,15.5,15.5,14.75,15.5,13600,3.51,0.0
1994-02-15,14.75,15.75,14.75,15.0,28800,3.39,-0.03418803418803407
1994-02-16,15.0,15.5,15.0,15.5,6400,3.51,0.03539823008849541
1994-02-17,15.25,15.5,15.25,15.5,52800,3.51,0.0
1994-02-18,15.38,16.0,15.38,16.0,48000,3.62,0.031339031339031376
1994-02-22,15.0,15.5,15.0,15.0,52000,3.39,-0.06353591160220995
1994-02-23,14.62,14.62,14.5,14.5,11200,3.28,-0.03244837758112107
1994-02-24,15.25,15.25,14.75,14.75,2400,3.34,0.018292682926829285
1994-02-25,14.25,14.5,14.0,14.37,54000,3.25,-0.026946107784431073
1994-02-28,14.5,14.5,14.0,14.5,7600,3.28,0.009230769230769154
1994-03-01,14.25,14.37,13.5,14.25,100400,3.22,-0.018292682926829174
1994-03-02,14.25,14.25,13.5,13.5,2800,3.05,-0.052795031055900776
1994-03-03,14.0,14.25,13.25,13.25,20000,3.0,-0.016393442622950727
1994-03-04,13.25,14.25,13.25,13.75,35200,3.11,0.036666666666666625
1994-03-07,13.5,13.5,13.5,13.5,1600,3.05,-0.019292604501607746
1994-03-09,14.25,14.25,14.25,14.25,800,3.22,0.05573770491803298
1994-03-10,14.25,14.25,14.25,14.25,26000,3.22,0.0
1994-03-11,13.25,14.25,13.25,14.25,19200,3.22,0.0
1994-03-14,14.25,15.25,13.75,15.25,64000,3.45,0.0714285714285714
1994-03-15,15.25,15.25,14.5,14.75,12400,3.34,-0.03188405797101457
1994-03-16,14.25,15.25,14.25,14.75,5600,3.34,0.0
1994-03-17,15.0,15.0,15.0,15.0,800,3.39,0.014970059880239583
1994-03-18,14.25,14.25,14.25,14.25,2800,3.22,-0.05014749262536866
1994-03-23,14.25,14.25,14.25,14.25,2400,3.22,0.0
1994-03-25,14.5,15.25,14.5,15.25,3200,3.45,0.0714285714285714
1994-03-28,14.5,14.5,14.5,14.5,3600,3.28,-0.049275362318840665
1994-03-29,15.25,15.75,15.0,15.75,48400,3.56,0.08536585365853666
1994-03-30,15.75,15.75,15.75,15.75,16000,3.56,0.0
1994-03-31,15.87,15.87,15.5,15.5,19200,3.51,-0.014044943820224809
1994-04-04,14.88,15.0,13.25,13.25,74000,3.0,-0.14529914529914523
1994-04-05,13.62,14.0,13.5,14.0,76800,3.17,0.05666666666666664
1994-04-06,14.0,14.0,14.0,14.0,400,3.17,0.0
1994-04-07,14.0,14.0,14.0,14.0,1200,3.17,0.0
1994-04-08,13.25,14.0,13.25,13.5,25200,3.05,-0.03785488958990535
1994-04-11,13.0,13.38,13.0,13.38,10000,3.03,-0.006557377049180357
1994-04-12,13.0,13.0,13.0,13.0,2400,2.94,-0.02970297029702962
1994-04-13,13.0,13.0,13.0,13.0,2000,2.94,0.0
1994-04-14,13.0,14.0,13.0,14.0,1600,3.17,0.07823129251700678
1994-04-15,13.0,13.0,13.0,13.0,2000,2.94,-0.0725552050473186
1994-04-19,14.0,14.0,13.75,13.75,20800,3.11,0.05782312925170063
1994-04-20,14.0,14.0,13.75,13.75,4800,3.11,0.0
1994-04-21,13.75,14.5,13.75,14.5,6400,3.28,0.05466237942122176
1994-04-22,13.75,13.75,13.75,13.75,2400,3.11,-0.05182926829268286
1994-04-25,13.75,13.75,13.75,13.75,4000,3.11,0.0
1994-04-26,13.75,14.0,13.5,13.5,17200,3.05,-0.019292604501607746
1994-04-28,13.5,13.5,13.5,13.5,16400,3.05,0.0
1994-04-29,14.0,14.0,13.5,13.75,3600,3.11,0.01967213114754096
1994-05-03,14.25,14.5,13.5,14.5,39200,3.28,0.05466237942122176
1994-05-04,14.37,14.75,13.75,13.75,24000,3.11,-0.05182926829268286
1994-05-09,14.25,14.25,13.75,13.75,3200,3.11,0.0
1994-05-10,13.75,13.75,13.75,13.75,2000,3.11,0.0
