Date,Open,High,Low,Close,Volume,Adj Close,Return
2000-11-15,9.0,9.0,8.88,8.88,222400,7.39,0.0
2000-11-16,9.12,9.12,9.0,9.0,193800,7.49,0.013531799729364025
2000-11-17,8.94,8.94,8.75,8.81,158800,7.34,-0.020026702269692942
2000-11-20,8.75,8.75,8.38,8.38,102000,6.97,-0.05040871934604907
2000-11-21,8.38,8.56,8.38,8.5,199200,7.08,0.015781922525107683
2000-11-22,8.5,8.5,8.31,8.44,54500,7.02,-0.008474576271186529
2000-11-24,8.38,8.62,8.31,8.62,34400,7.18,0.02279202279202286
2000-11-27,8.62,8.75,8.56,8.56,128500,7.13,-0.0069637883008356605
2000-11-28,8.69,8.69,8.5,8.56,170200,7.13,0.0
2000-11-29,8.56,8.69,8.56,8.56,109500,7.13,0.0
2000-11-30,8.81,8.88,8.81,8.81,161200,7.34,0.029453015427769902
2000-12-01,8.81,8.94,8.81,8.88,49900,7.39,0.006811989100817373
2000-12-04,8.94,9.0,8.88,8.94,76000,7.44,0.006765899864682012
2000-12-05,9.0,9.06,9.0,9.0,55300,7.49,0.006720430107526765
2000-12-06,8.88,8.94,8.81,8.94,84600,7.44,-0.006675567423230944
2000-12-07,9.06,9.25,8.88,9.19,2180400,7.65,0.02822580645161299
2000-12-08,9.06,9.56,9.06,9.56,1947100,7.96,0.04052287581699332
2000-12-11,9.56,9.56,9.38,9.44,1147900,7.86,-0.012562814070351758
2000-12-12,9.38,9.44,9.31,9.44,1865300,7.86,0.0
2000-12-13,9.38,9.38,9.25,9.25,927100,7.7,-0.020356234096692183
2000-12-14,9.31,9.44,9.25,9.31,748700,7.75,0.006493506493506551
2000-12-15,9.25,9.38,9.19,9.25,560500,7.7,-0.006451612903225823
2000-12-18,9.38,9.56,9.31,9.56,168100,7.96,0.033766233766233666
2000-12-19,9.5,10.0,9.5,9.81,1732200,8.17,0.02638190954773867
2000-12-20,9.56,9.62,9.44,9.56,477100,7.96,-0.025703794369644983
2000-12-21,9.62,9.75,9.62,9.75,125600,8.12,0.02010050251256268
2000-12-22,9.75,10.19,9.75,10.19,352800,8.48,0.044334975369458185
2000-12-26,10.19,10.19,10.12,10.19,88200,8.48,0.0
2000-12-27,10.25,10.44,10.25,10.44,193300,8.69,0.024764150943396013
2000-12-28,10.94,10.94,10.62,10.81,256000,9.0,0.03567318757192184
2000-12-29,10.81,11.0,10.81,10.94,197900,9.11,0.012222222222222134
2001-01-02,11.0,11.19,11.0,11.12,581200,9.26,0.016465422612513825
2001-01-03,11.31,11.5,11.25,11.44,485200,9.52,0.02807775377969768
2001-01-04,11.38,11.44,11.19,11.31,425100,9.42,-0.010504201680672232
2001-01-05,11.31,11.44,11.19,11.44,57200,9.52,0.010615711252653925
2001-01-08,11.81,12.12,11.69,12.0,388800,9.99,0.04936974789915971
2001-01-09,11.94,12.06,11.69,12.0,364000,9.99,0.0
2001-01-10,11.94,11.94,11.62,11.75,325100,9.78,-0.021021021021021102
2001-01-11,11.62,11.94,11.62,11.88,305200,9.89,0.011247443762781417
2001-01-12,11.75,11.81,11.56,11.69,116400,9.73,-0.016177957532861442
2001-01-16,11.56,11.69,11.44,11.5,182600,9.57,-0.016443987667009274
2001-01-17,11.5,11.5,11.31,11.5,149900,9.57,0.0
2001-01-18,11.56,11.81,11.56,11.75,470500,9.78,0.021943573667711602
2001-01-19,11.56,11.56,11.31,11.44,86400,9.52,-0.026584867075664653
2001-01-22,11.25,11.5,11.25,11.5,100000,9.57,0.005252100840336116
2001-01-23,11.38,11.56,11.31,11.56,588500,9.63,0.006269592476489061
2001-01-24,11.62,11.75,11.56,11.75,951100,9.78,0.015576323987538832
2001-01-25,11.81,12.12,11.75,12.12,663200,10.09,0.0316973415132924
2001-01-26,12.12,12.19,11.88,12.12,597000,10.09,0.0
2001-01-29,12.15,12.25,12.04,12.1,307100,10.07,-0.001982160555004886
