Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-01-22,25.1,25.4,25.1,25.22,222700,23.76,0.0
2013-01-23,25.22,25.42,25.15,25.34,288800,23.87,0.004629629629629539
2013-01-24,25.43,25.7,25.2,25.69,301500,24.2,0.013824884792626557
2013-01-25,25.7,25.78,25.55,25.62,156400,24.13,-0.002892561983471098
2013-01-28,25.62,25.75,25.56,25.56,108900,24.08,-0.0020721094073767876
2013-01-29,25.6,25.6,25.3,25.48,103200,24.0,-0.0033222591362125353
2013-01-30,25.5,25.5,25.35,25.37,50100,23.9,-0.004166666666666763
2013-01-31,25.35,25.6,25.35,25.48,43900,24.0,0.004184100418409997
2013-02-01,25.56,25.7,25.48,25.51,51200,24.03,0.0012499999999999734
2013-02-04,25.4,25.54,25.4,25.48,77500,24.0,-0.0012484394506866447
2013-02-05,25.6,25.6,25.42,25.5,43700,24.02,0.0008333333333332416
2013-02-06,25.5,25.6,25.41,25.48,37400,24.0,-0.0008326394671107629
2013-02-07,25.57,25.57,25.36,25.45,47500,23.97,-0.0012500000000000844
2013-02-08,25.46,25.57,25.45,25.54,17800,24.06,0.003754693366708306
2013-02-11,25.46,25.57,25.46,25.57,36200,24.09,0.0012468827930174342
2013-02-12,25.54,25.9,25.51,25.63,34400,24.14,0.0020755500207554345
2013-02-13,25.61,25.75,25.55,25.63,23800,24.14,0.0
2013-02-14,25.73,25.73,25.53,25.64,16200,24.15,0.0004142502071249332
2013-02-15,25.6,25.75,25.52,25.63,36000,24.14,-0.0004140786749481373
2013-02-19,25.63,25.67,25.54,25.6,27400,24.11,-0.0012427506213753547
2013-02-20,25.67,25.67,25.53,25.53,34100,24.05,-0.002488593944421358
2013-02-21,25.53,25.53,25.36,25.43,42400,23.95,-0.004158004158004269
2013-02-22,25.44,25.52,25.41,25.45,30500,23.97,0.0008350730688935215
2013-02-25,25.49,25.75,25.49,25.52,24200,24.04,0.002920317062995448
2013-02-26,25.67,25.68,25.57,25.62,20300,24.13,0.0037437603993344393
2013-02-27,25.67,25.7,25.6,25.7,14300,24.21,0.0033153750518029046
2013-02-28,25.62,25.83,25.62,25.83,19000,24.33,0.004956629491945419
2013-03-01,25.91,25.91,25.56,25.6,37300,24.11,-0.009042334566378929
2013-03-04,25.6,25.74,25.59,25.7,15700,24.21,0.004147656574035707
2013-03-05,25.72,25.75,25.52,25.61,48900,24.12,-0.0037174721189591198
2013-03-06,25.6,25.69,25.52,25.55,37400,24.07,-0.0020729684908790125
2013-03-07,25.52,25.8,25.52,25.72,24200,24.23,0.006647278770253395
2013-03-08,25.69,25.71,25.64,25.64,8100,24.15,-0.0033016921172100977
2013-03-11,25.71,25.71,25.62,25.68,7100,24.19,0.0016563146997929934
2013-03-12,25.8,25.8,25.7,25.71,12600,24.22,0.0012401818933442943
2013-03-13,25.75,25.75,25.68,25.7,16400,24.21,-0.00041288191577204536
2013-03-14,25.69,25.8,25.67,25.77,15800,24.27,0.0024783147459725985
2013-03-15,25.83,25.91,25.61,25.68,28200,24.19,-0.003296250515039123
2013-03-18,25.76,25.9,25.7,25.87,72400,24.37,0.00744109136006621
2013-03-19,25.92,25.92,25.75,25.8,25500,24.3,-0.0028723840787854282
2013-03-20,25.67,25.89,25.67,25.86,30300,24.36,0.0024691358024691024
2013-03-21,25.96,26.05,25.7,25.89,39200,24.39,0.0012315270935960854
2013-03-22,25.8,25.99,25.8,25.99,13600,24.48,0.0036900369003689537
2013-03-25,26.0,26.0,25.85,25.98,24600,24.47,-0.00040849673202625336
2013-03-26,25.93,26.05,25.93,26.04,12400,24.53,0.002451982018798704
2013-03-27,25.49,25.83,25.49,25.65,26800,24.65,0.004891969017529529
2013-03-28,25.74,25.8,25.69,25.7,13400,24.7,0.0020283975659229903
2013-04-01,25.67,25.82,25.67,25.8,19100,24.79,0.003643724696356321
2013-04-02,25.83,26.05,25.83,25.96,24600,24.95,0.006454215409439357
2013-04-03,26.0,26.03,25.8,25.85,21200,24.84,-0.004408817635270568
2013-04-04,25.9,26.49,25.88,26.19,21300,25.17,0.013285024154589431
2013-04-05,26.02,26.06,25.94,26.06,26000,25.04,-0.005164878823996966
2013-04-08,26.19,26.25,26.1,26.18,50200,25.16,0.004792332268370725
2013-04-09,26.19,26.25,26.13,26.25,29300,25.23,0.002782193958664525
2013-04-10,26.19,26.4,26.19,26.32,28400,25.29,0.0023781212841853527
2013-04-11,26.24,26.29,26.24,26.29,16900,25.26,-0.0011862396204032066
2013-04-12,26.32,26.32,26.27,26.3,11000,25.27,0.00039588281868563335
2013-04-15,26.18,26.45,26.18,26.44,41600,25.41,0.005540166204986097
2013-04-16,26.32,26.81,26.25,26.6,213700,25.56,0.005903187721369552
2013-04-17,26.6,26.6,26.25,26.33,86900,25.3,-0.010172143974960801
2013-04-18,26.41,26.45,26.12,26.2,94900,25.18,-0.004743083003952653
2013-04-19,26.16,26.63,26.16,26.62,193200,25.58,0.015885623510722757
2013-04-22,26.5,26.64,26.4,26.64,33200,25.6,0.0007818608287726292
2013-04-23,26.62,26.75,26.47,26.6,33700,25.56,-0.0015625000000001332
2013-04-24,26.64,26.7,26.53,26.7,25900,25.66,0.00391236306729259
2013-04-25,26.33,26.73,26.33,26.56,62400,25.52,-0.005455962587685104
2013-04-26,26.55,26.73,26.55,26.73,9900,25.69,0.006661442006269613
2013-04-29,26.72,26.72,26.66,26.71,40800,25.67,-0.0007785130400933538
2013-04-30,26.71,26.85,26.66,26.85,33000,25.8,0.005064277366575665
2013-05-01,26.82,26.83,26.52,26.59,32500,25.55,-0.009689922480620172
2013-05-02,26.67,26.81,26.41,26.75,53600,25.71,0.006262230919765077
2013-05-03,27.01,27.21,26.95,27.02,90900,25.97,0.010112796577207206
2013-05-06,27.09,27.25,27.09,27.25,34900,26.19,0.008471313053523444
2013-05-07,27.2,27.23,27.01,27.21,54500,26.15,-0.00152730049637273
2013-05-08,27.25,27.25,27.05,27.12,33300,26.06,-0.0034416826003823564
2013-05-09,27.1,27.25,27.05,27.14,24300,26.08,0.0007674597083653367
2013-05-10,27.24,27.24,27.14,27.19,11800,26.13,0.0019171779141105016
2013-05-13,27.2,27.21,27.15,27.21,21100,26.15,0.0007654037504782885
2013-05-14,27.16,27.23,27.13,27.19,21600,26.13,-0.000764818355640573
2013-05-15,27.19,27.22,27.0,27.0,21200,25.95,-0.006888633754305373
2013-05-16,27.02,27.12,27.0,27.08,22000,26.02,0.002697495183044296
2013-05-17,27.05,27.18,27.05,27.15,20200,26.09,0.0026902382782474366
2013-05-20,27.18,27.18,27.06,27.15,22000,26.09,0.0
2013-05-21,27.17,27.32,27.13,27.13,11500,26.07,-0.0007665772326561626
2013-05-22,27.17,27.3,27.05,27.09,34800,26.03,-0.0015343306482547003
2013-05-23,27.1,27.18,27.0,27.14,29900,26.08,0.0019208605455243166
2013-05-24,27.16,27.18,27.08,27.17,15400,26.11,0.0011503067484663898
2013-05-28,27.18,27.18,27.09,27.09,16800,26.03,-0.003063960168517732
2013-05-29,27.01,27.14,26.82,26.97,55300,25.92,-0.004225893200153652
2013-05-30,26.99,27.09,26.8,26.8,21300,25.75,-0.006558641975308754
2013-05-31,26.8,27.02,26.75,26.85,17200,25.8,0.001941747572815622
2013-06-03,26.88,26.89,26.65,26.82,31400,25.77,-0.0011627906976744429
2013-06-04,26.72,26.97,26.65,26.75,5500,25.71,-0.002328288707799664
2013-06-05,26.78,26.89,26.56,26.57,13800,25.53,-0.007001166861143493
2013-06-06,26.79,26.79,26.56,26.6,4600,25.56,0.001175088131609714
2013-06-07,26.8,27.0,26.7,26.95,25500,25.9,0.013302034428795073
2013-06-10,27.0,27.03,26.72,26.81,21500,25.76,-0.005405405405405239
2013-06-11,26.84,26.84,26.1,26.5,65200,25.47,-0.011257763975155433
2013-06-12,26.49,26.49,25.8,25.82,58500,24.81,-0.025912838633686652
2013-06-13,25.92,26.24,25.74,25.88,13300,24.87,0.002418379685610761
2013-06-14,26.15,26.48,26.15,26.21,19900,25.19,0.012866907921190274
2013-06-17,26.32,26.47,26.21,26.44,12500,25.41,0.008733624454148492
2013-06-18,26.4,26.52,26.26,26.49,18800,25.46,0.001967729240456517
2013-06-19,26.36,26.55,26.3,26.3,9600,25.27,-0.007462686567164201
2013-06-20,26.18,26.47,25.8,26.3,40600,25.27,0.0
2013-06-21,26.39,26.55,26.17,26.32,80900,25.29,0.000791452314998109
2013-06-24,26.25,26.31,26.06,26.23,42500,25.21,-0.00316330565440881
2013-06-25,26.4,26.4,26.07,26.07,32100,25.05,-0.006346687822292751
