Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-01-11,13.38,13.61,13.26,13.61,379700,5.13,0.0
1990-01-12,13.15,13.26,12.12,12.46,234700,4.7,-0.08382066276803113
1990-01-15,13.26,13.38,13.15,13.15,136300,4.96,0.05531914893617018
1990-01-16,13.26,13.26,12.81,13.26,102300,5.0,0.008064516129032251
1990-01-17,13.26,13.38,12.69,12.69,117400,4.78,-0.04399999999999993
1990-01-18,12.69,12.69,12.23,12.46,65700,4.7,-0.01673640167364021
1990-01-19,12.58,13.15,12.58,12.81,97500,4.83,0.02765957446808498
1990-01-22,12.92,13.26,12.46,12.58,118600,4.74,-0.01863354037267073
1990-01-23,13.04,13.61,13.04,13.61,167600,5.13,0.08227848101265822
1990-01-24,13.04,13.38,12.69,13.38,178200,5.04,-0.01754385964912275
1990-01-25,13.38,13.61,12.69,12.81,110600,4.83,-0.04166666666666663
1990-01-26,12.92,12.92,12.23,12.35,89800,4.65,-0.037267080745341574
1990-01-29,12.23,12.23,12.01,12.23,89700,4.61,-0.008602150537634468
1990-01-30,12.58,12.58,12.12,12.12,58300,4.57,-0.008676789587852451
1990-01-31,12.35,12.58,12.35,12.46,43000,4.7,0.02844638949671774
1990-02-01,12.46,12.81,12.46,12.69,33500,4.78,0.017021276595744705
1990-02-02,13.49,13.49,13.15,13.26,101300,5.0,0.046025104602510414
1990-02-05,13.49,13.61,13.26,13.38,141100,5.04,0.008000000000000007
1990-02-06,13.26,13.38,13.04,13.04,150200,4.91,-0.025793650793650813
1990-02-07,13.15,13.15,13.04,13.04,18400,4.91,0.0
1990-02-08,12.81,12.92,12.81,12.92,48500,4.87,-0.008146639511201648
1990-02-09,12.92,12.92,12.46,12.58,83700,4.74,-0.026694045174537995
1990-02-12,12.69,13.04,12.69,13.04,48000,4.91,0.03586497890295348
1990-02-13,12.81,12.81,12.58,12.81,51900,4.83,-0.016293279022403295
1990-02-14,12.81,12.81,12.35,12.46,23300,4.7,-0.026915113871635588
1990-02-15,12.58,12.81,12.58,12.69,45500,4.78,0.017021276595744705
1990-02-16,12.69,12.81,12.58,12.81,112600,4.83,0.010460251046024993
1990-02-20,12.81,12.81,12.58,12.81,88000,4.83,0.0
1990-02-21,12.58,12.58,12.35,12.46,46500,4.7,-0.026915113871635588
1990-02-22,12.58,12.69,12.23,12.23,27800,4.61,-0.019148936170212738
1990-02-23,12.01,12.23,11.89,12.12,17900,4.57,-0.008676789587852451
1990-02-26,11.66,11.66,10.41,10.41,102800,3.92,-0.1422319474835887
1990-02-27,10.52,10.98,10.52,10.86,41400,4.09,0.04336734693877542
1990-02-28,10.98,11.21,10.98,11.21,67500,4.22,0.0317848410757946
1990-03-01,11.43,11.66,11.32,11.43,39000,4.31,0.021327014218009532
1990-03-02,11.21,11.32,11.21,11.21,10100,4.22,-0.02088167053364265
1990-03-05,10.98,11.21,10.98,11.21,15000,4.22,0.0
1990-03-06,11.21,11.32,11.09,11.09,36700,4.18,-0.009478672985781977
1990-03-07,10.98,11.09,10.86,10.98,36300,4.14,-0.009569377990430672
1990-03-08,10.52,10.86,10.52,10.75,35600,4.05,-0.021739130434782594
1990-03-09,10.63,10.86,10.63,10.86,8000,4.09,0.009876543209876631
1990-03-12,10.52,10.52,10.29,10.41,56900,3.92,-0.041564792176039145
1990-03-13,10.29,10.41,10.29,10.41,28200,3.92,0.0
1990-03-14,10.41,10.41,10.29,10.29,12000,3.88,-0.010204081632653073
1990-03-15,10.29,10.52,10.29,10.52,106700,3.96,0.020618556701030855
1990-03-16,10.63,10.98,10.63,10.98,18700,4.14,0.045454545454545414
1990-03-19,10.75,10.98,10.75,10.98,60100,4.14,0.0
1990-03-20,10.86,11.09,10.86,10.98,35100,4.14,0.0
1990-03-21,10.86,11.09,10.63,10.98,75900,4.14,0.0
1990-03-22,10.75,10.98,10.63,10.75,66100,4.05,-0.021739130434782594
1990-03-23,10.63,10.86,10.63,10.75,35600,4.05,0.0
1990-03-26,10.75,10.86,10.63,10.75,54600,4.05,0.0
1990-03-27,10.75,10.75,10.75,10.75,3400,4.05,0.0
1990-03-28,10.75,10.75,10.63,10.75,4000,4.05,0.0
1990-03-29,10.63,10.63,10.18,10.41,31700,3.92,-0.032098765432098775
1990-03-30,10.41,10.52,10.29,10.52,17000,3.96,0.010204081632652962
1990-04-02,10.18,10.29,10.18,10.18,23300,3.84,-0.030303030303030276
1990-04-03,10.06,10.18,9.72,9.83,37400,3.71,-0.03385416666666663
1990-04-04,9.95,9.95,9.72,9.83,14300,3.71,0.0
1990-04-05,9.72,9.83,9.6,9.6,12600,3.62,-0.02425876010781669
1990-04-06,9.6,9.6,9.15,9.15,33800,3.45,-0.046961325966850764
1990-04-09,9.38,9.72,9.38,9.72,51300,3.66,0.0608695652173914
1990-04-10,9.26,9.38,9.15,9.15,48700,3.45,-0.05737704918032782
1990-04-11,9.26,9.38,9.26,9.38,15600,3.53,0.02318840579710124
1990-04-12,9.26,9.6,9.26,9.6,23100,3.62,0.025495750708215414
1990-04-16,9.72,9.72,9.6,9.72,9900,3.66,0.011049723756906049
1990-04-17,9.83,10.29,9.83,10.29,55900,3.88,0.060109289617486183
1990-04-18,9.83,10.06,9.83,10.06,30500,3.79,-0.02319587628865971
1990-04-19,10.18,10.18,10.18,10.18,5100,3.84,0.01319261213720302
1990-04-20,10.06,10.18,10.06,10.06,39500,3.79,-0.01302083333333326
1990-04-23,10.06,10.06,9.95,9.95,62700,3.75,-0.01055408970976257
