Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-08-15,12.25,13.5,12.25,13.06,14029300,13.06,0.0
2013-08-16,13.0,14.19,13.0,13.3,2509200,13.3,0.018376722817764257
2013-08-19,13.23,13.46,13.03,13.07,829000,13.07,-0.017293233082706805
2013-08-20,13.06,13.2,12.8,12.96,383900,12.96,-0.008416220351950998
2013-08-21,12.95,13.4,12.93,13.16,832800,13.16,0.015432098765431945
2013-08-22,13.26,13.48,13.07,13.25,326400,13.25,0.006838905775075954
2013-08-23,13.21,13.4,13.17,13.35,133300,13.35,0.007547169811320753
2013-08-26,13.6,13.74,13.3,13.41,169400,13.41,0.004494382022471877
2013-08-27,13.29,13.45,13.15,13.26,136000,13.26,-0.011185682326621982
2013-08-28,13.31,13.34,12.85,12.94,430100,12.94,-0.02413273001508298
2013-08-29,12.92,13.1,12.86,13.05,464000,13.05,0.008500772797527034
2013-08-30,13.3,13.45,13.15,13.19,333800,13.19,0.010727969348658828
2013-09-03,13.35,13.49,13.27,13.29,188600,13.29,0.007581501137225111
2013-09-04,13.27,13.28,13.03,13.1,207300,13.1,-0.014296463506395796
2013-09-05,13.25,13.29,13.02,13.03,193000,13.03,-0.005343511450381699
2013-09-06,13.03,13.23,12.88,12.88,427000,12.88,-0.011511895625479607
2013-09-09,13.04,13.14,12.91,13.01,947300,13.01,0.010093167701863193
2013-09-10,13.2,13.25,13.06,13.25,417900,13.25,0.01844734819369709
2013-09-11,13.25,13.33,13.17,13.2,471800,13.2,-0.0037735849056603765
2013-09-12,13.3,13.3,13.04,13.2,179400,13.2,0.0
2013-09-13,13.25,13.34,13.19,13.32,214500,13.32,0.00909090909090926
2013-09-16,13.5,13.81,13.5,13.74,613900,13.74,0.03153153153153143
2013-09-17,13.8,14.05,13.78,13.87,511000,13.87,0.009461426491994107
2013-09-18,13.97,13.98,13.41,13.88,410700,13.88,0.0007209805335257613
2013-09-19,13.98,14.12,13.6,13.81,252100,13.81,-0.005043227665706085
2013-09-20,13.94,13.94,13.78,13.79,200600,13.79,-0.0014482259232441175
2013-09-23,13.86,14.09,13.54,14.03,460300,14.03,0.017403915881073262
2013-09-24,14.0,14.09,13.9,14.04,391900,14.04,0.0007127583749109156
2013-09-25,14.1,14.11,13.79,14.08,410800,14.08,0.002849002849002913
2013-09-26,14.16,15.08,14.15,14.55,565400,14.55,0.03338068181818188
2013-09-27,14.53,14.74,14.29,14.58,373900,14.58,0.0020618556701030855
2013-09-30,14.51,14.65,14.17,14.49,1922100,14.49,-0.006172839506172867
2013-10-01,14.59,14.99,14.53,14.94,438100,14.94,0.03105590062111796
2013-10-02,14.85,14.89,14.63,14.85,294600,14.85,-0.0060240963855421326
2013-10-03,14.84,15.0,14.42,14.46,445400,14.46,-0.02626262626262621
2013-10-04,14.43,14.66,14.38,14.44,399500,14.44,-0.0013831258644537714
2013-10-07,14.4,14.97,14.4,14.75,289700,14.75,0.021468144044321402
2013-10-08,14.82,14.86,14.46,14.67,564100,14.67,-0.0054237288135593476
2013-10-09,14.7,14.86,14.55,14.64,622200,14.64,-0.002044989775051076
2013-10-10,14.77,15.01,14.76,14.9,315700,14.9,0.01775956284153013
2013-10-11,14.91,15.05,14.79,15.03,190700,15.03,0.008724832214765055
2013-10-14,15.02,15.42,14.92,15.29,347500,15.29,0.017298735861610126
2013-10-15,15.31,15.54,15.18,15.35,380800,15.35,0.003924133420536435
2013-10-16,15.41,15.45,15.27,15.35,263700,15.35,0.0
2013-10-17,15.34,15.6,15.25,15.51,247700,15.51,0.01042345276872969
2013-10-18,15.7,15.7,15.43,15.57,249600,15.57,0.003868471953578423
2013-10-21,15.57,15.7,15.46,15.66,163900,15.66,0.005780346820809301
2013-10-22,15.64,16.04,15.61,15.96,310100,15.96,0.019157088122605304
2013-10-23,15.96,15.97,15.79,15.9,147700,15.9,-0.003759398496240629
2013-10-24,15.97,16.01,15.59,15.98,209500,15.98,0.005031446540880502
2013-10-25,16.04,16.07,15.85,15.9,118200,15.9,-0.005006257822277815
2013-10-28,16.02,16.02,15.58,15.75,128700,15.75,-0.009433962264150941
2013-10-29,15.76,16.0,15.76,15.97,91600,15.97,0.013968253968253963
2013-10-30,16.01,16.11,15.68,15.9,108700,15.9,-0.004383218534752653
2013-10-31,15.86,16.04,15.6,15.6,173600,15.6,-0.018867924528301883
2013-11-01,15.56,15.78,15.09,15.22,215300,15.22,-0.024358974358974272
2013-11-04,15.31,15.73,14.95,15.38,335400,15.38,0.010512483574244502
2013-11-05,15.38,15.86,15.38,15.72,301600,15.72,0.022106631989596837
2013-11-06,15.82,15.86,15.67,15.75,239100,15.75,0.00190839694656475
2013-11-07,15.77,15.83,15.7,15.79,124300,15.79,0.0025396825396823974
2013-11-08,15.77,16.04,15.41,15.58,261200,15.58,-0.013299556681443891
2013-11-11,15.58,15.59,15.01,15.12,139600,15.12,-0.029525032092426295
2013-11-12,16.49,16.49,14.97,15.1,350500,15.1,-0.001322751322751281
2013-11-13,15.07,15.72,14.95,15.34,237500,15.34,0.015894039735099286
2013-11-14,15.28,15.6,15.0,15.03,212600,15.03,-0.020208604954367715
2013-11-15,15.09,15.2,15.0,15.03,157600,15.03,0.0
2013-11-18,15.0,15.44,14.96,15.33,353400,15.33,0.019960079840319445
2013-11-19,15.29,16.37,15.24,16.21,285600,16.21,0.05740378343118069
2013-11-20,16.21,16.29,15.54,15.82,238800,15.82,-0.024059222702035865
2013-11-21,15.84,16.31,15.84,16.21,185700,16.21,0.02465233881163087
2013-11-22,16.27,16.77,16.25,16.45,151900,16.45,0.01480567550894496
2013-11-25,16.55,17.09,16.51,16.72,24200,16.72,0.01641337386018238
2013-11-26,16.79,17.25,16.67,16.78,425700,16.78,0.0035885167464115852
2013-11-27,16.84,17.15,16.54,16.76,250100,16.76,-0.0011918951132300348
2013-11-29,16.87,17.07,16.63,16.66,113000,16.66,-0.005966587112171906
2013-12-02,16.75,16.89,16.48,16.63,241300,16.63,-0.0018007202881152873
2013-12-03,16.66,16.7,16.34,16.46,268300,16.46,-0.010222489476849006
2013-12-04,16.57,17.07,16.54,16.81,326200,16.81,0.021263669501822458
2013-12-05,16.86,17.31,16.82,16.97,339900,16.97,0.009518143961927406
2013-12-06,17.13,17.88,17.02,17.56,262300,17.56,0.034767236299351856
2013-12-09,17.63,17.85,17.12,17.26,328800,17.26,-0.01708428246013649
