Date,Open,High,Low,Close,Volume,Adj Close,Return
2006-04-11,13.66,13.69,13.65,13.65,6600,11.12,0.0
2006-04-12,13.25,13.3,13.25,13.3,500,10.83,-0.02607913669064743
2006-04-13,13.3,13.3,13.29,13.29,300,10.83,0.0
2006-04-17,13.5,13.6,11.79,13.03,32300,10.61,-0.02031394275161591
2006-04-18,12.63,13.01,12.02,12.79,49900,10.42,-0.01790763430725728
2006-04-19,12.9,12.9,12.42,12.77,3500,10.4,-0.0019193857965450478
2006-04-20,12.75,12.75,12.74,12.75,800,10.39,-0.0009615384615384581
2006-04-21,12.75,12.75,12.75,12.75,0,10.39,0.0
2006-04-24,12.6,12.69,12.46,12.69,1500,10.34,-0.004812319538017418
2006-04-25,12.25,12.7,12.25,12.7,2900,10.34,0.0
2006-04-26,12.5,12.5,12.31,12.5,13700,10.18,-0.015473887814313358
2006-04-27,12.5,12.94,12.5,12.51,1200,10.19,0.0009823182711197198
2006-04-28,12.75,12.75,12.75,12.75,100,10.39,0.01962708537782154
2006-05-01,12.75,12.75,12.75,12.75,0,10.39,0.0
2006-05-02,12.85,13.25,12.76,12.99,2900,10.58,0.018286814244465877
2006-05-03,12.99,13.0,12.99,13.0,2800,10.59,0.000945179584120881
2006-05-04,13.0,13.0,12.25,12.28,6100,10.0,-0.05571293673276678
2006-05-05,12.3,12.3,11.55,11.66,11200,9.5,-0.050000000000000044
2006-05-08,11.99,12.73,11.0,11.0,7000,8.96,-0.056842105263157805
2006-05-09,11.0,11.05,10.75,10.75,4400,8.76,-0.022321428571428714
2006-05-10,10.75,11.0,10.68,10.68,1400,8.7,-0.006849315068493178
2006-05-11,10.55,10.7,10.5,10.57,4200,8.61,-0.010344827586206917
2006-05-12,10.56,10.56,10.35,10.55,11300,8.59,-0.0023228803716608404
2006-05-15,10.55,11.18,10.35,10.6,23400,8.63,0.00465657741559955
2006-05-16,10.84,11.15,10.82,10.95,18000,8.92,0.03360370799536483
2006-05-17,10.94,11.05,10.93,11.05,3100,9.0,0.008968609865470878
2006-05-18,11.24,11.24,10.84,10.84,1600,8.83,-0.018888888888888844
2006-05-19,10.84,10.84,10.28,10.28,4100,8.37,-0.05209513023782564
2006-05-22,10.35,10.63,10.35,10.63,12400,8.66,0.0346475507765831
2006-05-23,10.85,11.05,10.4,11.05,2700,9.0,0.03926096997690531
2006-05-24,11.05,11.05,11.05,11.05,400,9.0,0.0
2006-05-25,11.05,11.05,11.05,11.05,0,9.0,0.0
2006-05-26,11.0,11.49,11.0,11.49,900,9.36,0.040000000000000036
2006-05-30,10.8,10.8,10.8,10.8,100,8.8,-0.05982905982905973
2006-05-31,10.89,11.5,10.89,11.5,4200,9.37,0.0647727272727272
2006-06-01,11.55,11.55,10.78,11.0,1500,8.96,-0.04375667022411933
2006-06-02,11.29,11.29,10.76,10.97,1000,8.94,-0.0022321428571430157
2006-06-05,10.99,11.01,10.5,10.75,4200,8.76,-0.020134228187919434
2006-06-06,10.5,10.55,10.5,10.55,900,8.59,-0.019406392694063967
2006-06-07,10.64,10.65,10.64,10.65,1200,8.67,0.0093131548311991
2006-06-08,10.7,10.7,10.7,10.7,1300,8.72,0.005767012687428075
2006-06-09,10.25,10.25,10.25,10.25,3300,8.35,-0.04243119266055062
2006-06-12,10.3,10.3,10.3,10.3,3700,8.39,0.004790419161676773
2006-06-13,10.28,10.6,10.28,10.6,2900,8.63,0.028605482717520836
2006-06-14,10.3,10.35,10.3,10.35,600,8.43,-0.023174971031286296
2006-06-15,10.5,10.5,10.25,10.5,6500,8.55,0.014234875444840034
2006-06-16,10.5,10.5,10.5,10.5,0,8.55,0.0
2006-06-19,10.98,11.09,10.98,11.09,400,9.03,0.05614035087719271
2006-06-20,10.87,11.7,10.87,11.0,6100,8.96,-0.007751937984495916
2006-06-21,11.3,11.78,11.0,11.0,10700,8.96,0.0
