Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-03-26,30.75,30.75,30.75,30.75,25700,0.77,0.0
1990-03-27,29.5,29.87,29.5,29.87,257500,0.75,-0.025974025974025983
1990-03-28,29.75,29.75,29.75,29.75,2600,0.75,0.0
1990-03-29,30.75,30.75,30.75,30.75,2600,0.77,0.026666666666666616
1990-03-30,30.0,30.0,29.62,29.62,181500,0.74,-0.038961038961038974
1990-04-02,30.75,31.0,30.25,30.25,135200,0.76,0.027027027027026973
1990-04-03,30.0,30.0,30.0,30.0,78500,0.75,-0.013157894736842146
1990-04-04,30.5,30.5,30.5,30.5,10300,0.76,0.01333333333333342
1990-04-05,30.5,30.5,30.5,30.5,2600,0.76,0.0
1990-04-06,29.75,30.0,29.75,30.0,20600,0.75,-0.013157894736842146
1990-04-09,29.75,30.5,29.75,30.5,70800,0.76,0.01333333333333342
1990-04-10,30.5,30.5,30.5,30.5,6400,0.76,0.0
1990-04-11,29.75,30.5,29.75,29.75,21900,0.75,-0.013157894736842146
1990-04-12,29.75,29.75,29.75,29.75,3900,0.75,0.0
1990-04-16,29.75,29.75,29.75,29.75,0,0.75,0.0
1990-04-17,29.75,29.75,29.75,29.75,0,0.75,0.0
1990-04-18,30.25,30.25,30.0,30.0,56600,0.75,0.0
1990-04-19,30.5,30.5,30.5,30.5,20600,0.76,0.01333333333333342
1990-04-20,30.0,30.0,30.0,30.0,10300,0.75,-0.013157894736842146
1990-04-23,30.0,30.5,30.0,30.0,60500,0.75,0.0
1990-04-24,30.75,30.75,30.0,30.0,11600,0.75,0.0
1990-04-25,30.0,30.0,30.0,30.0,0,0.75,0.0
1990-04-26,30.75,30.75,30.75,30.75,2600,0.77,0.026666666666666616
1990-04-27,30.0,30.5,30.0,30.5,28300,0.76,-0.012987012987012991
1990-04-30,30.5,30.5,30.5,30.5,0,0.76,0.0
1990-05-01,30.0,30.0,30.0,30.0,3900,0.75,-0.013157894736842146
1990-05-02,30.0,31.0,30.0,31.0,39900,0.78,0.040000000000000036
1990-05-03,31.0,31.0,31.0,31.0,0,0.78,0.0
1990-05-04,31.0,31.0,30.0,30.5,110700,0.76,-0.02564102564102566
1990-05-07,30.5,30.5,30.5,30.5,0,0.76,0.0
1990-05-08,30.0,30.75,30.0,30.0,86200,0.75,-0.013157894736842146
1990-05-09,30.75,30.75,30.75,30.75,3900,0.77,0.026666666666666616
1990-05-10,30.75,30.75,30.75,30.75,0,0.77,0.0
1990-05-11,30.0,30.0,30.0,30.0,6400,0.75,-0.025974025974025983
1990-05-14,30.0,30.0,30.0,30.0,0,0.75,0.0
1990-05-15,30.0,30.0,30.0,30.0,0,0.75,0.0
1990-05-16,30.0,30.0,30.0,30.0,0,0.75,0.0
1990-05-17,30.0,30.0,30.0,30.0,6400,0.75,0.0
1990-05-18,30.12,30.5,30.12,30.25,21900,0.76,0.01333333333333342
1990-05-21,30.75,30.75,29.75,29.75,6400,0.75,-0.013157894736842146
1990-05-22,29.75,29.75,29.75,29.75,2600,0.75,0.0
1990-05-23,30.25,30.25,30.25,30.25,6400,0.76,0.01333333333333342
1990-05-24,29.75,30.25,29.75,30.25,68200,0.76,0.0
