Date,Open,High,Low,Close,Volume,Adj Close,Return
2000-09-20,14.0,15.0,13.75,14.87,3348400,8.92,0.0
2000-09-21,14.87,15.19,14.56,14.87,2802600,8.92,0.0
2000-09-22,13.75,14.13,13.44,14.06,1952200,8.44,-0.053811659192825156
2000-09-25,14.06,14.06,13.69,13.88,1636900,8.32,-0.01421800947867291
2000-09-26,13.94,14.06,13.13,13.19,2230500,7.91,-0.049278846153846145
2000-09-27,13.44,13.75,13.06,13.19,2167500,7.91,0.0
2000-09-28,12.75,13.06,12.38,12.75,1102900,7.65,-0.03286978508217442
2000-09-29,12.19,12.25,11.81,11.88,1196400,7.12,-0.06928104575163396
2000-10-02,11.88,11.88,10.5,10.63,1640300,6.37,-0.1053370786516854
2000-10-03,11.25,11.44,10.31,10.56,1902500,6.34,-0.004709576138147598
2000-10-04,10.38,11.37,9.75,10.94,1316400,6.56,0.034700315457413256
2000-10-05,11.69,12.25,11.44,12.25,2102100,7.35,0.12042682926829262
2000-10-06,12.88,13.69,12.81,13.0,2161000,7.8,0.061224489795918435
2000-10-09,12.56,12.75,12.19,12.5,1188900,7.5,-0.038461538461538436
2000-10-10,12.38,12.44,11.44,11.5,1564800,6.9,-0.07999999999999996
2000-10-11,11.13,11.5,10.94,11.19,1647700,6.71,-0.02753623188405807
2000-10-12,11.25,11.31,11.0,11.13,728500,6.67,-0.005961251862891204
2000-10-13,11.0,11.88,10.88,11.81,1344300,7.09,0.06296851574212892
2000-10-16,11.19,11.19,9.5,9.88,840800,5.92,-0.1650211565585331
2000-10-17,10.0,10.0,9.44,9.88,723400,5.92,0.0
2000-10-18,9.06,9.88,8.69,9.56,774500,5.74,-0.030405405405405372
2000-10-19,10.5,11.63,10.13,11.06,2256500,6.64,0.15679442508710784
2000-10-20,10.88,11.63,10.88,11.44,2635500,6.86,0.03313253012048212
2000-10-23,11.69,11.75,11.06,11.75,896400,7.05,0.027696793002915276
2000-10-24,12.31,12.81,12.25,12.75,1391900,7.65,0.08510638297872353
2000-10-25,12.56,12.81,12.13,12.25,964200,7.35,-0.03921568627450989
2000-10-26,12.13,12.44,11.75,12.31,654800,7.39,0.0054421768707482165
2000-10-27,11.63,11.75,10.94,11.06,872600,6.64,-0.10148849797023007
2000-10-30,10.31,10.81,10.06,10.69,715600,6.41,-0.034638554216867457
2000-10-31,10.56,11.5,10.5,11.37,878700,6.82,0.06396255850234
2000-11-01,10.94,11.25,10.88,11.25,1004100,6.75,-0.01026392961876832
2000-11-02,11.75,12.38,11.75,12.38,769900,7.42,0.09925925925925916
2000-11-03,12.88,13.06,12.63,12.69,1124600,7.61,0.025606469002695365
