Date,Open,High,Low,Close,Volume,Adj Close,Return
1988-01-05,22.25,22.75,22.25,22.75,9200,4.87,0.0
1988-01-06,23.25,23.25,23.25,23.25,42000,4.98,0.022587268993840004
1988-01-07,23.25,23.25,23.25,23.25,0,4.98,0.0
1988-01-08,23.25,23.25,23.25,23.25,11200,4.98,0.0
1988-01-11,23.25,23.5,23.25,23.5,12000,5.03,0.010040160642570184
1988-01-12,23.25,23.25,23.25,23.25,5600,4.98,-0.00994035785288272
1988-01-13,23.25,23.25,23.25,23.25,16800,4.98,0.0
1988-01-14,23.25,23.75,23.25,23.75,23200,5.08,0.02008032128514059
1988-01-15,24.0,24.75,24.0,24.75,41200,5.3,0.04330708661417315
1988-01-18,25.0,25.5,25.0,25.5,102400,5.46,0.030188679245283012
1988-01-19,25.25,25.25,25.25,25.25,11200,5.4,-0.01098901098901095
1988-01-20,25.5,25.5,25.25,25.5,11200,5.46,0.011111111111111072
1988-01-21,25.25,25.25,25.25,25.25,26400,5.4,-0.01098901098901095
1988-01-22,25.25,25.25,25.0,25.0,48800,5.35,-0.009259259259259411
1988-01-25,25.0,25.0,25.0,25.0,4800,5.35,0.0
1988-01-26,25.0,25.5,25.0,25.5,14400,5.46,0.020560747663551426
1988-01-27,25.5,25.5,25.5,25.5,0,5.46,0.0
1988-01-28,25.5,25.5,25.5,25.5,4800,5.46,0.0
1988-01-29,25.5,26.0,25.5,26.0,10000,5.56,0.01831501831501825
1988-02-01,26.5,26.5,26.25,26.25,14800,5.62,0.010791366906474975
1988-02-02,26.12,26.12,26.12,26.12,3600,5.59,-0.005338078291814985
1988-02-03,26.5,26.5,26.5,26.5,3600,5.67,0.014311270125223707
1988-02-04,26.25,26.25,26.25,26.25,7600,5.62,-0.008818342151675429
1988-02-05,26.75,26.75,26.75,26.75,32400,5.73,0.019572953736654908
1988-02-08,26.75,26.75,26.5,26.5,2400,5.67,-0.010471204188481797
1988-02-09,26.25,26.25,26.25,26.25,3600,5.62,-0.008818342151675429
1988-02-10,26.25,26.25,26.25,26.25,4800,5.62,0.0
1988-02-11,26.0,26.25,26.0,26.25,108000,5.62,0.0
1988-02-12,26.12,26.25,26.0,26.0,18000,5.56,-0.01067615658362997
1988-02-16,26.12,26.12,26.12,26.12,6800,5.59,0.0053956834532373765
1988-02-17,26.12,26.12,26.12,26.12,0,5.59,0.0
1988-02-18,26.12,26.12,26.12,26.12,0,5.59,0.0
1988-02-19,26.0,26.25,26.0,26.25,96800,5.62,0.005366726296959001
1988-02-22,26.5,26.5,26.25,26.25,14400,5.62,0.0
1988-02-23,26.0,26.25,26.0,26.25,6400,5.62,0.0
1988-02-24,26.25,26.25,26.25,26.25,8800,5.62,0.0
1988-02-25,26.5,26.5,26.12,26.12,26800,5.59,-0.005338078291814985
1988-02-26,26.12,26.12,26.12,26.12,6800,5.59,0.0
1988-02-29,26.12,26.37,26.12,26.37,3600,5.64,0.008944543828264706
1988-03-01,26.5,26.5,26.25,26.25,6800,5.62,-0.0035460992907800915
1988-03-02,26.25,26.25,25.5,26.0,102000,5.56,-0.01067615658362997
1988-03-03,26.25,26.25,26.12,26.12,13200,5.59,0.0053956834532373765
1988-03-04,26.0,26.0,26.0,26.0,1200,5.56,-0.00536672629695889
1988-03-07,26.0,26.0,26.0,26.0,0,5.56,0.0
1988-03-08,26.12,26.12,26.12,26.12,7600,5.59,0.0053956834532373765
1988-03-09,25.87,25.87,25.75,25.75,10000,5.52,-0.012522361359570744
1988-03-10,26.0,26.0,25.87,25.87,91200,5.55,0.005434782608695787
1988-03-11,25.87,26.0,25.87,26.0,1200,5.58,0.00540540540540535
1988-03-14,25.87,25.87,25.75,25.75,10800,5.52,-0.010752688172043112
1988-03-15,25.87,26.0,25.5,25.5,20000,5.47,-0.009057971014492683
