Date,Open,High,Low,Close,Volume,Adj Close,Return
1986-11-06,22.56,22.86,21.96,22.36,5792000,3.33,0.0
1986-11-07,22.36,22.36,21.86,22.26,6288000,3.31,-0.006006006006005982
1986-11-10,22.06,22.06,21.56,21.66,3060000,3.22,-0.027190332326283984
1986-11-11,21.66,21.96,21.66,21.96,1130000,3.27,0.01552795031055898
1986-11-12,21.96,22.16,21.76,21.96,2082800,3.27,0.0
1986-11-13,21.86,21.86,21.76,21.76,891200,3.24,-0.00917431192660545
1986-11-14,21.76,21.96,21.66,21.96,952000,3.27,0.0092592592592593
1986-11-17,21.76,21.86,21.56,21.56,1055200,3.21,-0.01834862385321101
1986-11-18,21.56,21.66,21.06,21.16,2426400,3.15,-0.01869158878504673
1986-11-19,21.16,21.16,20.77,20.86,2026000,3.11,-0.012698412698412764
1986-11-20,21.06,21.26,20.86,21.16,3253600,3.15,0.012861736334405238
1986-11-21,21.46,21.46,21.26,21.46,639600,3.2,0.01587301587301604
1986-11-24,21.36,21.46,21.26,21.26,660000,3.17,-0.009375000000000022
1986-11-25,21.26,21.46,20.96,21.36,1080000,3.18,0.003154574132492094
1986-11-26,21.36,21.56,20.96,21.36,963200,3.18,0.0
1986-11-28,21.36,21.46,21.26,21.46,521600,3.2,0.0062893081761006275
1986-12-01,21.36,21.56,21.36,21.56,662000,3.21,0.0031249999999998224
1986-12-02,21.56,21.96,21.56,21.96,1161200,3.27,0.01869158878504673
1986-12-03,21.96,22.56,21.96,22.26,1210400,3.31,0.012232415902140747
1986-12-04,22.26,22.26,21.96,22.06,1446400,3.28,-0.009063444108761365
1986-12-05,21.96,22.06,21.86,21.86,737600,3.25,-0.009146341463414531
1986-12-08,21.76,21.86,21.56,21.56,703600,3.21,-0.012307692307692353
1986-12-09,21.56,21.66,21.56,21.56,444800,3.21,0.0
1986-12-10,21.56,21.66,21.46,21.46,902400,3.2,-0.0031152647975076775
1986-12-11,21.56,21.66,21.06,21.36,550400,3.18,-0.006249999999999978
1986-12-12,21.36,21.56,21.26,21.56,356800,3.21,0.00943396226415083
1986-12-15,21.46,21.56,21.26,21.46,521200,3.2,-0.0031152647975076775
1986-12-16,21.36,21.46,21.16,21.26,835600,3.17,-0.009375000000000022
1986-12-17,21.26,21.26,21.16,21.16,803600,3.15,-0.006309148264984188
1986-12-18,21.16,21.26,20.86,21.06,1108000,3.14,-0.0031746031746030523
1986-12-19,20.77,21.16,20.77,21.16,556000,3.15,0.0031847133757960666
1986-12-22,20.96,20.96,20.77,20.96,1456000,3.12,-0.00952380952380949
1986-12-23,20.86,20.96,20.77,20.96,574000,3.12,0.0
1986-12-24,21.36,21.36,20.77,20.86,322400,3.11,-0.0032051282051283048
1986-12-26,20.77,20.96,20.77,20.96,486000,3.12,0.003215434083601254
1986-12-29,20.86,20.86,20.67,20.86,693200,3.11,-0.0032051282051283048
1986-12-30,20.86,20.96,20.57,20.96,910000,3.12,0.003215434083601254
1986-12-31,20.77,21.46,20.77,21.46,841600,3.2,0.025641025641025772
1987-01-02,21.36,21.76,21.16,21.76,264800,3.24,0.012499999999999956
1987-01-05,21.76,22.26,21.76,22.16,668400,3.3,0.01851851851851838
1987-01-06,21.96,22.26,21.86,22.26,554400,3.31,0.003030303030303161
1987-01-07,22.16,22.86,22.16,22.86,748400,3.4,0.027190332326283873
1987-01-08,22.76,24.16,22.66,24.16,596800,3.6,0.05882352941176472
1987-01-09,24.06,24.76,23.66,24.36,759600,3.63,0.008333333333333304
1987-01-12,24.16,24.86,24.16,24.36,1196800,3.63,0.0
1987-01-13,24.16,24.26,23.46,23.66,504800,3.52,-0.030303030303030276
1987-01-14,23.86,24.26,23.76,23.96,611600,3.57,0.014204545454545414
1987-01-15,23.86,24.26,23.86,23.96,463200,3.57,0.0
1987-01-16,24.06,24.46,23.76,24.36,412800,3.63,0.01680672268907557
1987-01-19,24.16,24.36,23.96,24.16,161600,3.6,-0.008264462809917328
1987-01-20,24.34,24.44,24.14,24.34,642000,3.64,0.011111111111111072
1987-01-21,24.24,24.44,24.14,24.14,505200,3.61,-0.008241758241758323
1987-01-22,24.14,24.14,23.64,23.84,618000,3.56,-0.013850415512465353
1987-01-23,23.94,24.44,23.84,24.44,573200,3.65,0.02528089887640439
1987-01-26,24.04,24.04,23.64,23.64,594800,3.53,-0.0328767123287671
1987-01-27,23.44,24.04,23.34,23.94,488400,3.58,0.014164305949008638
1987-01-28,23.84,24.14,23.84,23.84,462000,3.56,-0.005586592178770999
1987-01-29,23.74,24.04,23.64,23.64,574000,3.53,-0.008426966292134908
1987-01-30,23.64,23.94,23.54,23.64,265600,3.53,0.0
1987-02-02,24.04,24.14,23.54,24.14,900000,3.61,0.022662889518413554
1987-02-03,24.24,24.44,24.04,24.14,1131600,3.61,0.0
1987-02-04,24.04,24.04,23.74,23.94,498800,3.58,-0.008310249307479145
1987-02-05,23.54,24.14,23.44,23.74,1638800,3.55,-0.008379888268156499
1987-02-06,23.84,24.14,23.74,24.14,673600,3.61,0.016901408450704203
1987-02-09,23.94,24.24,23.74,24.04,487600,3.59,-0.005540166204986208
1987-02-10,23.94,24.04,23.84,23.94,300800,3.58,-0.0027855153203342198
1987-02-11,23.94,24.14,23.94,24.04,228000,3.59,0.0027932960893854997
1987-02-12,24.14,24.34,24.04,24.14,324800,3.61,0.0055710306406684396
1987-02-13,24.14,24.84,24.14,24.84,402800,3.71,0.027700831024930705
1987-02-17,24.84,25.04,24.04,24.04,933200,3.59,-0.03234501347708896
1987-02-18,24.24,24.24,23.54,23.64,702400,3.53,-0.01671309192200554
1987-02-19,23.44,25.14,22.74,24.84,1086400,3.71,0.05099150141643061
1987-02-20,24.84,24.84,23.04,23.24,3002000,3.47,-0.0646900269541778
1987-02-23,22.94,22.94,22.44,22.44,1918000,3.35,-0.03458213256484155
1987-02-24,22.54,22.54,22.24,22.34,962400,3.34,-0.0029850746268657025
1987-02-25,22.34,22.44,22.24,22.44,559200,3.35,0.0029940119760478723
1987-02-26,22.54,22.54,22.14,22.24,506800,3.32,-0.008955223880597107
1987-02-27,22.34,22.44,21.84,22.14,1080400,3.31,-0.0030120481927710108
1987-03-02,22.04,22.24,22.04,22.24,962800,3.32,0.0030211480362536403
1987-03-03,22.04,22.04,21.64,22.04,1147600,3.29,-0.009036144578313143
1987-03-04,22.04,22.04,21.74,22.04,1585200,3.29,0.0
1987-03-05,21.94,22.04,21.64,22.04,1385200,3.29,0.0
1987-03-06,22.04,22.34,21.94,22.34,925600,3.34,0.015197568389057725
1987-03-09,22.24,22.24,21.74,22.04,308800,3.29,-0.014970059880239472
1987-03-10,22.04,22.04,21.84,22.04,274800,3.29,0.0
1987-03-11,22.04,22.04,21.54,21.64,606800,3.23,-0.01823708206686936
1987-03-12,21.64,21.64,20.93,21.64,1380000,3.23,0.0
1987-03-13,21.43,21.54,20.83,21.03,2095200,3.14,-0.02786377708978327
1987-03-16,20.83,20.93,20.43,20.63,633200,3.08,-0.019108280254777066
1987-03-17,20.43,20.53,19.73,20.03,5080000,2.99,-0.029220779220779147
1987-03-18,20.13,20.13,19.93,20.03,1716000,2.99,0.0
1987-03-19,19.93,20.03,19.83,19.93,1080800,2.98,-0.0033444816053512794
1987-03-20,20.03,20.13,19.83,19.83,2166000,2.96,-0.006711409395973145
1987-03-23,19.93,20.53,19.43,20.33,1253200,3.04,0.027027027027026973
1987-03-24,20.33,20.33,19.73,19.73,989200,2.95,-0.02960526315789469
1987-03-25,19.83,19.83,19.13,19.23,4800000,2.87,-0.027118644067796627
1987-03-26,19.43,20.63,19.43,20.23,2068400,3.02,0.05226480836236935
1987-03-27,20.43,20.63,20.23,20.23,1125200,3.02,0.0
1987-03-30,19.63,20.23,19.63,19.73,1591200,2.95,-0.023178807947019764
1987-03-31,19.73,20.03,19.63,19.83,2194800,2.96,0.003389830508474523
1987-04-01,19.53,19.93,19.33,19.43,507600,2.9,-0.020270270270270285
1987-04-02,20.03,20.03,19.63,20.03,2248400,2.99,0.031034482758620863
1987-04-03,20.03,20.63,20.03,20.43,1008000,3.05,0.020066889632106788
1987-04-06,20.63,20.63,19.93,19.93,526400,2.98,-0.022950819672131084
1987-04-07,19.93,20.03,19.53,19.83,485200,2.96,-0.006711409395973145
1987-04-08,19.93,19.93,19.63,19.63,373200,2.93,-0.010135135135135087
1987-04-09,19.73,19.93,19.63,19.83,819200,2.96,0.010238907849829282
1987-04-10,19.63,19.73,19.63,19.73,434800,2.95,-0.0033783783783782884
1987-04-13,19.63,19.63,19.03,19.03,1598400,2.84,-0.03728813559322042
1987-04-14,18.83,18.83,17.53,18.43,554400,2.75,-0.03169014084507038
1987-04-15,18.73,18.73,18.63,18.73,293200,2.8,0.018181818181818077
1987-04-16,18.83,18.83,18.63,18.73,418800,2.8,0.0
1987-04-20,18.53,18.93,18.53,18.83,255600,2.81,0.0035714285714285587
1987-04-21,18.61,18.81,18.51,18.61,228800,2.8,-0.003558718861210064
1987-04-22,17.7,18.01,17.7,17.7,1181600,2.66,-0.04999999999999993
1987-04-23,17.8,17.91,17.4,17.5,474800,2.63,-0.011278195488721887
1987-04-24,17.4,17.5,17.2,17.4,985200,2.62,-0.0038022813688212143
1987-04-27,17.3,17.8,17.3,17.6,1000000,2.65,0.011450381679389166
1987-04-28,17.6,17.7,17.1,17.2,379600,2.59,-0.02264150943396226
1987-04-29,17.2,17.5,17.2,17.5,794000,2.63,0.015444015444015413
1987-04-30,17.5,17.5,17.2,17.2,512800,2.59,-0.01520912547528519
1987-05-01,17.2,17.2,16.7,16.9,402000,2.54,-0.019305019305019266
1987-05-04,16.9,16.9,16.4,16.4,627200,2.46,-0.03149606299212604
1987-05-05,16.4,17.3,16.4,17.2,958000,2.59,0.05284552845528445
1987-05-06,17.0,17.3,16.7,17.0,458800,2.55,-0.015444015444015413
1987-05-07,17.3,17.7,16.8,17.1,1118000,2.57,0.007843137254901933
1987-05-08,17.2,18.51,17.0,18.21,1123600,2.74,0.0661478599221792
1987-05-11,18.41,18.41,17.6,18.31,386400,2.75,0.0036496350364962904
1987-05-12,18.21,18.31,18.01,18.31,381200,2.75,0.0
1987-05-13,18.31,18.41,18.31,18.31,485600,2.75,0.0
1987-05-14,18.41,18.61,18.41,18.51,446000,2.78,0.010909090909090757
1987-05-15,18.51,18.51,18.11,18.31,280400,2.75,-0.010791366906474753
1987-05-18,18.21,18.31,18.11,18.11,319600,2.72,-0.010909090909090868
1987-05-19,18.11,18.21,18.01,18.11,484800,2.72,0.0
1987-05-20,17.91,17.91,17.4,17.4,549600,2.62,-0.03676470588235292
1987-05-21,17.5,17.91,17.4,17.8,293600,2.68,0.022900763358778553
1987-05-22,17.7,17.8,17.7,17.8,409200,2.68,0.0
1987-05-26,17.91,18.51,17.91,18.51,730400,2.78,0.03731343283582067
1987-05-27,18.61,18.81,18.51,18.61,240000,2.8,0.007194244604316502
1987-05-28,18.61,19.01,18.61,18.81,234400,2.83,0.010714285714285898
1987-05-29,19.01,19.31,18.91,18.91,311600,2.84,0.0035335689045936647
1987-06-01,18.91,18.91,18.41,18.41,1511200,2.77,-0.02464788732394363
1987-06-02,18.61,18.61,17.91,17.91,706800,2.69,-0.028880866425992857
1987-06-03,18.11,18.21,18.01,18.11,301600,2.72,0.01115241635687747
1987-06-04,18.11,18.31,18.01,18.11,450400,2.72,0.0
