Date,Open,High,Low,Close,Volume,Adj Close,Return
2004-10-18,0.74,0.83,0.73,0.83,36000,33.2,0.0
2004-10-19,0.82,0.83,0.76,0.78,4200,31.2,-0.06024096385542177
2004-10-20,0.77,0.8,0.71,0.75,5500,30.0,-0.038461538461538436
2004-10-21,0.74,0.79,0.74,0.79,3900,31.6,0.053333333333333455
2004-10-22,0.79,0.8,0.76,0.79,700,31.6,0.0
2004-10-25,0.79,0.79,0.69,0.73,4300,29.2,-0.07594936708860767
2004-10-26,0.76,0.76,0.67,0.7,5500,28.0,-0.041095890410958846
2004-10-27,0.68,0.68,0.66,0.66,2000,26.4,-0.05714285714285716
2004-10-28,0.68,0.68,0.64,0.65,6000,26.0,-0.015151515151515138
2004-10-29,0.65,0.7,0.63,0.65,8000,26.0,0.0
2004-11-01,0.65,0.7,0.63,0.7,12300,28.0,0.07692307692307687
2004-11-02,0.7,0.73,0.7,0.72,18700,28.8,0.028571428571428692
2004-11-03,0.72,0.77,0.72,0.73,27000,29.2,0.01388888888888884
2004-11-04,0.74,0.75,0.7,0.73,85000,29.2,0.0
2004-11-05,0.73,0.77,0.72,0.76,12200,30.4,0.041095890410958846
2004-11-08,0.74,0.77,0.71,0.75,55200,30.0,-0.013157894736842035
2004-11-09,0.75,0.77,0.64,0.68,11400,27.2,-0.09333333333333338
2004-11-10,0.65,0.69,0.65,0.66,4300,26.4,-0.02941176470588236
2004-11-11,0.68,0.7,0.6,0.7,3700,28.0,0.06060606060606055
2004-11-12,0.68,0.76,0.68,0.74,12300,29.6,0.05714285714285716
2004-11-15,0.73,0.76,0.7,0.73,14300,29.2,-0.013513513513513598
2004-11-16,0.73,0.75,0.69,0.73,14900,29.2,0.0
2004-11-17,0.71,0.74,0.71,0.74,5400,29.6,0.013698630136986356
2004-11-18,0.73,0.84,0.71,0.71,8800,28.4,-0.04054054054054068
2004-11-19,0.71,0.74,0.68,0.73,4400,29.2,0.028169014084507005
2004-11-22,0.73,0.76,0.73,0.74,12600,29.6,0.013698630136986356
2004-11-23,0.76,0.84,0.75,0.81,34500,32.4,0.09459459459459452
2004-11-24,0.82,0.83,0.8,0.82,13300,32.8,0.012345679012345734
2004-11-26,0.83,0.85,0.8,0.83,29700,33.2,0.012195121951219745
2004-11-29,0.84,0.84,0.77,0.8,5700,32.0,-0.03614457831325313
2004-11-30,0.77,0.82,0.77,0.82,4200,32.8,0.02499999999999991
2004-12-01,0.8,0.84,0.79,0.84,19900,33.6,0.024390243902439046
2004-12-02,0.85,0.98,0.81,0.88,62500,35.2,0.04761904761904767
2004-12-03,0.9,0.9,0.8,0.82,11000,32.8,-0.06818181818181834
2004-12-06,0.83,0.88,0.83,0.86,3600,34.4,0.04878048780487809
2004-12-07,0.84,0.84,0.83,0.84,14600,33.6,-0.023255813953488302
2004-12-08,0.82,0.83,0.78,0.8,7900,32.0,-0.04761904761904767
2004-12-09,0.79,0.79,0.78,0.79,2200,31.6,-0.012499999999999956
2004-12-10,0.78,0.84,0.78,0.79,7500,31.6,0.0
2004-12-13,0.79,0.81,0.77,0.77,13000,30.8,-0.025316455696202556
2004-12-14,0.77,0.79,0.76,0.77,7300,30.8,0.0
2004-12-15,0.76,0.78,0.76,0.77,5800,30.8,0.0
2004-12-16,0.77,0.78,0.75,0.76,3400,30.4,-0.012987012987013102
2004-12-17,0.76,0.76,0.73,0.75,8600,30.0,-0.013157894736842035
2004-12-20,0.74,0.75,0.73,0.74,1300,29.6,-0.013333333333333308
2004-12-21,0.75,0.76,0.73,0.73,7100,29.2,-0.013513513513513598
2004-12-22,0.75,0.75,0.72,0.72,6000,28.8,-0.013698630136986245
2004-12-23,0.71,0.72,0.7,0.71,28000,28.4,-0.01388888888888895
2004-12-27,0.72,0.72,0.71,0.71,10800,28.4,0.0
2004-12-28,0.71,0.72,0.7,0.72,17400,28.8,0.014084507042253502
2004-12-29,0.72,0.73,0.71,0.73,3300,29.2,0.01388888888888884
2004-12-30,0.72,0.74,0.69,0.7,22700,28.0,-0.041095890410958846
2004-12-31,0.73,0.75,0.7,0.73,6800,29.2,0.04285714285714293
2005-01-03,0.74,0.76,0.71,0.72,34400,28.8,-0.013698630136986245
2005-01-04,0.72,0.8,0.71,0.71,25900,28.4,-0.01388888888888895
2005-01-05,0.72,0.74,0.71,0.73,12700,29.2,0.028169014084507005
2005-01-06,0.74,0.74,0.72,0.74,8000,29.6,0.013698630136986356
2005-01-07,0.75,0.78,0.73,0.75,22400,30.0,0.013513513513513375
2005-01-10,0.75,0.76,0.73,0.75,5900,30.0,0.0
2005-01-11,0.75,0.76,0.73,0.74,8800,29.6,-0.013333333333333308
2005-01-12,0.74,0.76,0.73,0.74,24700,29.6,0.0
2005-01-13,0.72,0.75,0.72,0.75,4500,30.0,0.013513513513513375
2005-01-14,0.74,0.77,0.74,0.75,15500,30.0,0.0
2005-01-18,0.76,0.78,0.75,0.78,17800,31.2,0.040000000000000036
2005-01-19,0.79,0.88,0.77,0.85,53400,34.0,0.08974358974358987
2005-01-20,0.85,0.87,0.78,0.82,7400,32.8,-0.03529411764705892
2005-01-21,0.84,0.86,0.82,0.84,10100,33.6,0.024390243902439046
2005-01-24,0.85,0.89,0.85,0.88,22300,35.2,0.04761904761904767
2005-01-25,0.88,0.9,0.87,0.9,38200,36.0,0.022727272727272707
2005-01-26,0.9,0.97,0.89,0.9,49100,36.0,0.0
2005-01-27,0.92,0.94,0.83,0.91,18400,36.4,0.011111111111111072
2005-01-28,0.91,0.91,0.89,0.91,2300,36.4,0.0
2005-01-31,0.92,0.92,0.87,0.87,15600,34.8,-0.04395604395604402
2005-02-01,0.86,0.88,0.82,0.84,3600,33.6,-0.0344827586206895
2005-02-02,0.84,0.84,0.79,0.83,9200,33.2,-0.011904761904761862
2005-02-03,0.84,0.85,0.81,0.84,10100,33.6,0.012048192771084265
2005-02-04,0.84,0.89,0.83,0.88,28800,35.2,0.04761904761904767
2005-02-07,0.89,0.91,0.87,0.88,11700,35.2,0.0
2005-02-08,0.88,0.91,0.86,0.9,23100,36.0,0.022727272727272707
2005-02-09,0.91,0.91,0.85,0.86,4800,34.4,-0.04444444444444451
2005-02-10,0.86,0.87,0.82,0.83,7700,33.2,-0.0348837209302324
2005-02-11,0.84,0.84,0.78,0.8,18200,32.0,-0.03614457831325313
2005-02-14,0.83,0.83,0.74,0.74,38200,29.6,-0.07499999999999996
2005-02-15,0.74,0.76,0.71,0.76,19900,30.4,0.027027027027026973
2005-02-16,0.75,0.76,0.73,0.73,14000,29.2,-0.03947368421052633
2005-02-17,0.73,0.73,0.71,0.72,6600,28.8,-0.013698630136986245
2005-02-18,0.73,0.75,0.72,0.73,72700,29.2,0.01388888888888884
2005-02-22,0.73,0.81,0.73,0.78,17200,31.2,0.06849315068493156
2005-02-23,0.78,0.78,0.74,0.76,16600,30.4,-0.02564102564102566
2005-02-24,0.76,0.83,0.75,0.83,38300,33.2,0.09210526315789491
2005-02-25,0.84,0.93,0.83,0.92,96300,36.8,0.10843373493975883
2005-02-28,0.92,0.94,0.84,0.89,61200,35.6,-0.032608695652173836
2005-03-01,0.89,0.9,0.85,0.87,32400,34.8,-0.022471910112359716
2005-03-02,0.89,0.89,0.83,0.84,7100,33.6,-0.0344827586206895
2005-03-03,0.84,0.85,0.77,0.81,32600,32.4,-0.03571428571428581
2005-03-04,0.81,0.84,0.81,0.83,31500,33.2,0.024691358024691468
