Date,Open,High,Low,Close,Volume,Adj Close,Return
2004-05-05,0.7,0.7,0.7,0.7,100,0.7,0.0
2004-05-06,0.7,0.7,0.7,0.7,0,0.7,0.0
2004-05-07,2.5,2.5,2.5,2.5,1200,2.5,2.5714285714285716
2004-05-10,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-05-11,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-05-12,2.5,2.5,2.5,2.5,1100,2.5,0.0
2004-05-13,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-05-14,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-05-17,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-05-18,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-05-19,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-05-20,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-05-21,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-05-24,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-05-25,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-05-26,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-05-27,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-05-28,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-06-01,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-06-02,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-06-03,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-06-04,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-06-07,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-06-08,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-06-09,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-06-10,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-06-14,2.5,2.5,2.5,2.5,0,2.5,0.0
2004-06-15,1.85,1.85,1.75,1.75,300,1.75,-0.30000000000000004
2004-06-16,1.85,1.85,1.75,1.75,2900,1.75,0.0
2004-06-17,1.75,1.75,1.75,1.75,0,1.75,0.0
2004-06-18,1.25,1.25,1.25,1.25,300,1.25,-0.2857142857142857
2004-06-21,1.25,1.25,1.25,1.25,0,1.25,0.0
2004-06-22,1.25,1.25,1.25,1.25,0,1.25,0.0
2004-06-23,1.25,1.25,1.25,1.25,0,1.25,0.0
2004-06-24,0.55,1.01,0.55,1.01,8600,1.01,-0.19199999999999995
2004-06-25,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-06-28,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-06-29,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-06-30,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-07-01,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-07-02,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-07-06,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-07-07,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-07-08,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-07-09,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-07-12,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-07-13,0.51,0.51,0.51,0.51,1900,0.51,-0.49504950495049505
2004-07-14,0.51,0.51,0.51,0.51,0,0.51,0.0
2004-07-15,0.51,0.51,0.51,0.51,0,0.51,0.0
2004-07-16,2.4,2.4,2.4,2.4,100,2.4,3.7058823529411766
2004-07-19,2.4,2.4,2.4,2.4,0,2.4,0.0
2004-07-20,1.01,1.01,1.01,1.01,100,1.01,-0.5791666666666666
2004-07-21,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-07-22,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-07-23,1.01,1.01,1.01,1.01,0,1.01,0.0
2004-07-26,2.4,2.4,2.4,2.4,500,2.4,1.3762376237623761
2004-07-27,0.51,0.51,0.51,0.51,500,0.51,-0.7875
2004-07-28,0.51,0.51,0.51,0.51,0,0.51,0.0
2004-07-29,0.51,0.51,0.51,0.51,0,0.51,0.0
2004-07-30,0.51,0.51,0.51,0.51,0,0.51,0.0
2004-08-02,0.51,0.51,0.51,0.51,0,0.51,0.0
2004-08-03,0.51,0.51,0.51,0.51,0,0.51,0.0
2004-08-04,0.51,0.51,0.51,0.51,0,0.51,0.0
2004-08-05,0.51,0.51,0.51,0.51,0,0.51,0.0
2004-08-06,0.51,0.51,0.51,0.51,0,0.51,0.0
2004-08-09,0.51,0.51,0.51,0.51,0,0.51,0.0
2004-08-10,1.27,1.27,0.83,0.83,400,0.83,0.6274509803921569
2004-08-11,0.83,0.83,0.83,0.83,0,0.83,0.0
2004-08-12,0.83,0.83,0.83,0.83,0,0.83,0.0
2004-08-13,0.83,0.87,0.83,0.87,2800,0.87,0.048192771084337505
2004-08-16,0.87,0.87,0.87,0.87,0,0.87,0.0
2004-08-17,0.83,0.87,0.83,0.83,1800,0.83,-0.04597701149425293
2004-08-18,0.83,0.83,0.83,0.83,0,0.83,0.0
2004-08-19,0.83,0.83,0.83,0.83,0,0.83,0.0
2004-08-20,0.83,0.83,0.83,0.83,0,0.83,0.0
2004-08-23,0.83,0.83,0.83,0.83,0,0.83,0.0
2004-08-24,0.83,0.83,0.83,0.83,0,0.83,0.0
2004-08-25,0.83,0.83,0.83,0.83,0,0.83,0.0
2004-08-26,0.83,0.83,0.83,0.83,0,0.83,0.0
2004-08-27,0.83,0.83,0.83,0.83,0,0.83,0.0
2004-08-30,0.83,0.83,0.83,0.83,0,0.83,0.0
