Date,Open,High,Low,Close,Volume,Adj Close,Return
1988-01-05,19.42,20.12,19.26,19.65,54000,3.05,0.0
1988-01-06,19.65,20.35,19.65,20.28,58000,3.14,0.029508196721311553
1988-01-07,20.43,20.43,20.12,20.2,15400,3.13,-0.0031847133757962887
1988-01-08,20.35,20.35,19.26,19.26,42000,2.99,-0.04472843450479225
1988-01-11,19.18,19.18,19.1,19.18,16000,2.97,-0.006688963210702337
1988-01-12,19.18,19.34,19.18,19.18,24800,2.97,0.0
1988-01-13,19.34,19.42,19.18,19.18,13600,2.97,0.0
1988-01-14,19.26,19.26,19.1,19.26,15600,2.99,0.006734006734006703
1988-01-15,19.26,19.42,19.26,19.42,17800,3.01,0.006688963210702115
1988-01-18,19.34,19.34,19.1,19.1,27000,2.96,-0.01661129568106301
1988-01-19,19.18,19.42,19.1,19.26,20600,2.99,0.01013513513513531
1988-01-20,19.34,19.34,18.87,18.87,32200,2.93,-0.02006688963210701
1988-01-21,18.79,18.79,18.01,18.01,48600,2.79,-0.04778156996587035
1988-01-22,18.08,18.08,17.85,18.01,158000,2.79,0.0
1988-01-25,18.16,18.32,18.16,18.24,18600,2.83,0.014336917562723928
1988-01-26,18.4,18.63,18.32,18.32,18800,2.84,0.0035335689045936647
1988-01-27,18.48,18.48,18.32,18.32,56200,2.84,0.0
1988-01-28,18.32,18.63,18.32,18.48,4600,2.86,0.007042253521126751
1988-01-29,18.48,18.55,18.32,18.32,8400,2.84,-0.006993006993006978
1988-02-01,18.48,18.71,18.4,18.48,27000,2.86,0.007042253521126751
1988-02-02,18.63,18.71,18.48,18.71,63400,2.9,0.013986013986013957
1988-02-03,18.71,18.95,18.55,18.55,23200,2.88,-0.006896551724137945
1988-02-04,18.63,18.63,18.48,18.55,9000,2.88,0.0
1988-02-05,18.71,18.87,18.63,18.87,33600,2.93,0.01736111111111116
1988-02-08,18.79,18.87,18.63,18.63,10200,2.89,-0.013651877133105783
1988-02-09,18.79,18.79,18.4,18.4,117000,2.85,-0.01384083044982698
1988-02-10,18.4,18.55,18.4,18.55,9200,2.88,0.010526315789473717
1988-02-11,18.4,18.63,18.4,18.63,54200,2.89,0.003472222222222321
1988-02-12,18.71,18.71,18.48,18.48,9000,2.86,-0.01038062283737029
1988-02-16,18.55,18.55,18.4,18.48,19600,2.86,0.0
1988-02-17,18.55,18.55,18.24,18.4,56800,2.85,-0.0034965034965034336
1988-02-18,18.24,18.48,18.24,18.24,10600,2.83,-0.007017543859649145
1988-02-19,18.24,18.48,18.24,18.32,22800,2.84,0.0035335689045936647
1988-02-22,18.4,18.48,18.24,18.48,11600,2.86,0.007042253521126751
1988-02-23,18.4,18.63,18.4,18.48,27600,2.86,0.0
1988-02-24,18.4,18.48,18.24,18.32,28000,2.84,-0.006993006993006978
1988-02-25,18.48,18.55,18.48,18.55,2200,2.88,0.014084507042253502
1988-02-26,18.4,18.48,18.32,18.48,16400,2.86,-0.00694444444444442
1988-02-29,18.4,18.71,18.4,18.55,11800,2.88,0.006993006993007089
1988-03-01,18.63,19.02,18.63,18.87,29800,2.93,0.01736111111111116
1988-03-02,19.1,19.42,18.95,19.26,33000,2.99,0.020477815699658786
1988-03-03,19.42,19.42,19.26,19.34,53600,3.0,0.0033444816053511683
1988-03-04,19.42,19.57,19.42,19.57,30400,3.03,0.010000000000000009
1988-03-07,19.57,19.65,19.49,19.65,2200,3.05,0.0066006600660066805
1988-03-08,19.73,19.73,19.57,19.73,10800,3.06,0.003278688524590345
1988-03-09,19.57,19.73,19.42,19.42,68200,3.01,-0.016339869281045805
1988-03-10,19.42,19.42,19.42,19.42,10400,3.01,0.0
1988-03-11,19.26,19.26,18.79,18.95,24200,2.94,-0.023255813953488302
1988-03-14,18.79,18.79,18.55,18.55,11600,2.88,-0.020408163265306145
1988-03-15,18.71,18.71,18.48,18.55,40000,2.88,0.0
1988-03-16,18.71,18.95,18.71,18.95,28400,2.94,0.02083333333333326
1988-03-17,18.87,19.1,18.87,19.02,12600,2.95,0.003401360544217802
1988-03-18,19.1,19.1,18.95,18.95,28200,2.94,-0.003389830508474634
1988-03-21,18.95,18.95,18.79,18.87,1800,2.93,-0.00340136054421758
1988-03-22,19.02,19.1,18.87,19.02,26000,2.95,0.006825938566553003
1988-03-23,18.79,18.95,18.79,18.95,52000,2.94,-0.003389830508474634
1988-03-24,19.1,19.42,19.1,19.1,41200,2.96,0.006802721088435382
1988-03-25,19.07,19.15,18.75,18.99,37800,2.99,0.01013513513513531
1988-03-28,18.99,19.15,18.91,18.99,43000,2.99,0.0
1988-03-29,19.15,19.3,18.99,18.99,24000,2.99,0.0
1988-03-30,19.07,19.23,18.99,19.07,22400,3.01,0.006688963210702115
1988-03-31,18.99,19.38,18.83,18.91,43600,2.98,-0.009966777408637828
1988-04-04,19.07,19.78,19.07,19.62,54200,3.09,0.03691275167785224
1988-04-05,19.78,19.86,19.7,19.78,38600,3.12,0.009708737864077666
1988-04-06,19.62,20.02,19.62,19.86,25800,3.13,0.0032051282051281937
1988-04-07,20.02,20.17,19.94,20.17,17600,3.18,0.015974440894568787
1988-04-08,20.1,20.1,19.78,20.1,17200,3.17,-0.003144654088050425
1988-04-11,20.1,20.1,19.78,19.94,20400,3.14,-0.009463722397476282
1988-04-12,19.94,20.1,19.78,20.1,34600,3.17,0.009554140127388422
1988-04-13,20.25,20.25,19.86,20.02,66600,3.16,-0.003154574132492094
1988-04-14,19.86,20.02,19.86,19.94,2600,3.14,-0.006329113924050667
1988-04-15,19.94,19.94,19.86,19.94,13800,3.14,0.0
1988-04-18,19.78,19.78,19.62,19.7,8800,3.11,-0.009554140127388644
1988-04-19,19.7,19.7,19.62,19.62,10400,3.09,-0.006430868167202619
1988-04-20,19.62,20.02,19.62,20.02,60600,3.16,0.02265372168284796
1988-04-21,20.02,20.02,19.94,19.94,33600,3.14,-0.006329113924050667
1988-04-22,19.94,20.25,19.94,20.17,41800,3.18,0.01273885350318471
1988-04-25,20.41,20.41,20.1,20.41,54600,3.22,0.012578616352201255
1988-04-26,20.25,20.49,20.17,20.41,13800,3.22,0.0
1988-04-27,20.41,20.49,20.25,20.41,43000,3.22,0.0
1988-04-28,20.25,20.33,20.1,20.25,42600,3.19,-0.009316770186335477
1988-04-29,20.1,20.17,19.94,20.17,20000,3.18,-0.0031347962382444194
1988-05-02,20.02,20.17,19.86,19.86,15200,3.13,-0.01572327044025168
1988-05-03,19.86,19.86,19.62,19.62,27800,3.09,-0.012779552715655007
1988-05-04,19.7,19.86,19.62,19.62,59600,3.09,0.0
1988-05-05,19.86,19.86,19.62,19.62,16800,3.09,0.0
1988-05-06,19.62,19.62,19.3,19.3,23200,3.04,-0.016181229773462702
1988-05-09,19.38,19.62,19.23,19.46,23400,3.07,0.009868421052631415
1988-05-10,19.3,19.3,19.15,19.23,29400,3.03,-0.013029315960912058
1988-05-11,18.99,18.99,18.75,18.99,27000,2.99,-0.013201320132013028
1988-05-12,19.07,19.07,18.91,18.99,16800,2.99,0.0
1988-05-13,19.15,19.3,19.15,19.15,7000,3.02,0.010033444816053505
1988-05-16,19.3,19.62,19.15,19.46,29200,3.07,0.01655629139072845
1988-05-17,19.62,19.62,19.07,19.07,20400,3.01,-0.019543973941368087
1988-05-18,19.07,19.07,18.75,18.75,9400,2.96,-0.01661129568106301
1988-05-19,18.91,18.91,18.59,18.59,76000,2.93,-0.010135135135135087
1988-05-20,18.75,18.75,18.51,18.67,21200,2.94,0.0034129692832762792
1988-05-23,18.59,18.59,18.36,18.51,16200,2.92,-0.006802721088435382
1988-05-24,18.51,18.59,18.36,18.43,16000,2.91,-0.003424657534246478
1988-05-25,18.59,18.59,18.43,18.51,74000,2.92,0.0034364261168384758
1988-05-26,18.43,18.59,18.43,18.59,16200,2.93,0.0034246575342467
1988-05-27,18.51,18.59,18.43,18.59,6200,2.93,0.0
1988-05-31,18.43,18.75,18.43,18.75,24800,2.96,0.010238907849829282
1988-06-01,18.83,18.91,18.75,18.91,7200,2.98,0.006756756756756799
1988-06-02,19.07,19.07,18.99,18.99,34200,2.99,0.003355704697986628
1988-06-03,18.99,19.15,18.83,18.83,69600,2.97,-0.006688963210702337
1988-06-06,18.83,18.91,18.75,18.83,11600,2.97,0.0
1988-06-07,18.91,18.91,18.75,18.83,15000,2.97,0.0
1988-06-08,18.83,18.91,18.75,18.75,81000,2.96,-0.0033670033670034627
1988-06-09,18.91,18.91,18.75,18.83,34400,2.97,0.0033783783783785104
1988-06-10,18.75,18.83,18.67,18.75,51600,2.96,-0.0033670033670034627
1988-06-13,18.67,18.83,18.67,18.75,84000,2.96,0.0
1988-06-14,18.83,18.83,18.43,18.51,20800,2.92,-0.013513513513513487
1988-06-15,18.67,18.67,18.51,18.51,13000,2.92,0.0
1988-06-16,18.43,18.59,18.28,18.36,18200,2.89,-0.010273972602739656
1988-06-17,18.36,18.36,18.28,18.36,14600,2.89,0.0
1988-06-20,18.36,18.59,18.28,18.43,12400,2.91,0.006920415224913601
1988-06-21,18.43,18.51,18.28,18.36,10400,2.89,-0.0068728522336769515
1988-06-22,18.51,18.75,18.51,18.59,39600,2.93,0.01384083044982698
1988-06-23,18.75,18.91,18.67,18.67,26000,2.94,0.0034129692832762792
1988-06-24,18.67,18.67,18.67,18.67,17200,2.94,0.0
1988-06-27,18.72,18.96,18.72,18.8,15800,3.02,0.027210884353741527
1988-06-28,18.64,19.52,18.64,19.28,40400,3.09,0.023178807947019875
1988-06-29,19.36,19.52,19.28,19.28,52400,3.09,0.0
1988-06-30,19.44,19.44,19.2,19.28,28200,3.09,0.0
1988-07-01,19.12,19.28,19.04,19.2,11800,3.08,-0.003236245954692518
1988-07-05,19.2,19.2,19.04,19.2,17600,3.08,0.0
1988-07-06,19.28,19.36,19.2,19.2,198000,3.08,0.0
1988-07-07,19.44,19.44,19.2,19.44,165800,3.12,0.012987012987013102
1988-07-08,19.52,19.52,19.12,19.36,34000,3.11,-0.0032051282051283048
1988-07-11,19.04,19.04,18.88,18.88,23400,3.03,-0.025723472668810365
1988-07-12,18.88,19.04,18.88,18.96,23600,3.04,0.0033003300330034513
1988-07-13,19.04,19.2,18.96,19.04,22600,3.05,0.0032894736842103978
1988-07-14,18.96,19.28,18.88,18.88,22200,3.03,-0.006557377049180357
1988-07-15,18.88,19.04,18.88,18.88,33800,3.03,0.0
1988-07-18,19.12,19.12,18.88,18.96,80000,3.04,0.0033003300330034513
1988-07-19,19.04,19.04,18.88,18.88,7000,3.03,-0.00328947368421062
1988-07-20,18.8,18.88,18.56,18.56,7200,2.98,-0.01650165016501648
1988-07-21,18.4,18.56,18.16,18.24,21000,2.93,-0.016778523489932806
1988-07-22,18.4,18.4,18.16,18.16,10600,2.91,-0.0068259385665528916
1988-07-25,18.0,18.08,17.92,17.92,7000,2.87,-0.013745704467354014
1988-07-26,17.84,18.16,17.84,18.0,11400,2.89,0.006968641114982521
1988-07-27,17.92,18.32,17.92,18.32,7800,2.94,0.01730103806228378
1988-07-28,18.48,19.04,18.48,18.88,32400,3.03,0.030612244897959107
1988-07-29,18.96,18.96,18.48,18.96,22000,3.04,0.0033003300330034513
1988-08-01,19.12,19.12,18.96,18.96,31800,3.04,0.0
1988-08-02,19.12,19.2,18.96,18.96,16200,3.04,0.0
1988-08-03,19.04,19.12,19.04,19.12,2200,3.07,0.009868421052631415
1988-08-04,19.2,19.52,19.12,19.12,33800,3.07,0.0
1988-08-05,18.96,19.12,18.96,18.96,25400,3.04,-0.009771986970683932
1988-08-08,19.04,19.04,18.8,18.8,23000,3.02,-0.006578947368421018
1988-08-09,18.96,18.96,18.56,18.88,10000,3.03,0.0033112582781456013
1988-08-10,18.72,18.88,18.48,18.48,12400,2.96,-0.02310231023102305
1988-08-11,18.64,18.64,18.4,18.56,5200,2.98,0.006756756756756799
1988-08-12,18.4,18.4,18.4,18.4,2000,2.95,-0.010067114093959662
1988-08-15,18.4,18.56,18.4,18.56,18400,2.98,0.010169491525423568
1988-08-16,18.4,18.48,18.4,18.48,9600,2.96,-0.006711409395973145
1988-08-17,18.48,18.48,18.4,18.4,2800,2.95,-0.0033783783783782884
1988-08-18,18.48,18.72,18.32,18.72,41400,3.0,0.016949152542372836
1988-08-19,18.8,18.8,18.64,18.64,27600,2.99,-0.0033333333333332993
1988-08-22,18.32,18.4,18.16,18.16,17600,2.91,-0.026755852842809347
1988-08-23,18.16,18.16,18.16,18.16,1600,2.91,0.0
1988-08-24,18.16,18.56,18.16,18.56,38200,2.98,0.02405498281786933
1988-08-25,18.4,18.48,18.32,18.48,48800,2.96,-0.006711409395973145
1988-08-26,18.4,18.48,18.32,18.48,8600,2.96,0.0
1988-08-29,18.4,18.56,18.4,18.4,37600,2.95,-0.0033783783783782884
1988-08-30,18.48,18.48,18.4,18.48,14400,2.96,0.003389830508474523
1988-08-31,18.56,18.56,18.48,18.48,26400,2.96,0.0
1988-09-01,18.4,18.56,18.4,18.48,10000,2.96,0.0
1988-09-02,18.32,18.4,18.16,18.4,32400,2.95,-0.0033783783783782884
1988-09-06,18.4,18.56,18.08,18.16,41200,2.91,-0.013559322033898313
1988-09-07,18.32,18.48,18.24,18.4,28400,2.95,0.013745704467353903
1988-09-08,18.32,18.48,18.32,18.4,20200,2.95,0.0
1988-09-09,18.4,18.48,18.4,18.48,4800,2.96,0.003389830508474523
