Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-09-22,51.84,51.86,51.48,51.48,50200,48.8,0.0
2010-09-23,51.06,51.47,50.95,50.95,13700,48.3,-0.010245901639344246
2010-09-24,51.54,52.03,51.54,52.01,22900,49.3,0.020703933747411973
2010-09-27,52.09,52.1,51.85,52.1,24400,49.39,0.0018255578093306912
2010-09-28,51.6,51.89,51.6,51.82,6000,49.12,-0.005466693662684818
2010-09-29,51.85,51.95,51.85,51.95,17000,49.25,0.0026465798045602895
2010-09-30,52.25,52.37,51.79,51.79,2300,49.1,-0.003045685279187804
2010-10-01,52.28,52.28,52.01,52.02,1900,49.31,0.004276985743380868
2010-10-04,51.92,51.95,51.54,51.59,4400,48.91,-0.008111944838775198
2010-10-05,52.12,52.64,52.12,52.64,2400,49.9,0.02024125945614408
2010-10-06,52.57,52.57,52.57,52.57,1000,49.83,-0.001402805611222413
2010-10-07,52.85,52.85,52.3,52.55,31100,49.82,-0.00020068231988756846
2010-10-08,52.58,52.9,52.55,52.9,19600,50.15,0.006623845845042053
2010-10-11,52.92,53.04,52.92,53.04,6500,50.28,0.0025922233300099684
2010-10-12,52.7,53.18,52.5,53.18,25900,50.41,0.002585521081940989
2010-10-13,53.46,53.73,53.37,53.63,8600,50.84,0.008530053560801498
2010-10-14,53.45,53.45,53.1,53.21,9600,50.44,-0.007867820613690069
2010-10-15,53.04,53.39,53.04,53.39,7700,50.61,0.0033703409992069666
2010-10-18,53.39,53.39,53.39,53.39,0,50.61,0.0
2010-10-19,53.33,53.39,52.72,52.72,600,49.98,-0.012448132780083054
2010-10-20,53.37,53.72,53.37,53.62,1700,50.83,0.017006802721088565
2010-10-21,53.88,53.88,53.25,53.25,2100,50.48,-0.006885697422781889
2010-10-22,53.66,53.67,53.64,53.64,1500,50.85,0.007329635499207621
2010-10-25,54.02,54.06,53.9,53.9,2300,51.1,0.004916420845624492
2010-10-26,53.53,53.94,53.53,53.87,36900,51.07,-0.0005870841487279899
2010-10-27,53.56,53.69,53.35,53.59,5800,50.8,-0.005286861170941903
2010-10-28,53.91,53.92,53.58,53.81,6600,51.01,0.004133858267716617
2010-10-29,53.78,53.91,53.69,53.91,2400,51.1,0.0017643599294256962
2010-11-01,54.25,54.25,53.63,53.63,3600,50.84,-0.0050880626223092085
2010-11-02,54.32,54.41,54.15,54.31,60400,51.48,0.012588512981903888
2010-11-03,54.16,54.43,54.09,54.43,1100,51.6,0.002331002331002363
2010-11-04,55.18,55.34,55.18,55.32,2300,52.44,0.016279069767441756
2010-11-05,55.64,55.68,55.64,55.68,1200,52.78,0.006483600305110748
2010-11-08,55.64,55.7,55.61,55.62,7000,52.73,-0.0009473285335355186
2010-11-09,55.73,55.73,55.12,55.12,3700,52.25,-0.009102977432201675
2010-11-10,55.0,55.44,55.0,55.41,8700,52.53,0.00535885167464123
2010-11-11,54.97,55.37,54.97,55.28,10800,52.4,-0.0024747763182944027
2010-11-12,54.93,55.11,54.48,54.51,5000,51.67,-0.013931297709923629
2010-11-15,54.96,54.96,54.68,54.68,900,51.83,0.00309657441455391
2010-11-16,54.28,54.28,53.61,53.64,5800,50.85,-0.01890796835809372
2010-11-17,53.72,53.95,53.71,53.86,2900,51.06,0.004129793510324609
2010-11-18,54.45,54.7,54.45,54.53,5900,51.69,0.012338425381903662
2010-11-19,54.41,54.75,54.31,54.75,6500,51.9,0.004062681369704002
2010-11-22,54.56,54.7,54.2,54.6,9700,51.76,-0.002697495183044296
2010-11-23,54.09,54.11,53.81,53.92,11100,51.11,-0.012557959814528563
2010-11-24,54.49,54.75,54.43,54.72,5000,51.87,0.014869888475836479
2010-11-26,54.28,54.53,54.27,54.48,10900,51.65,-0.004241372662425302
2010-11-29,53.99,54.45,53.73,54.33,67500,51.5,-0.0029041626331074433
2010-11-30,53.79,54.28,53.73,54.05,21500,51.24,-0.005048543689320395
