Date,Open,High,Low,Close,Volume,Adj Close,Return
1984-10-26,15.32,15.32,15.08,15.32,190800,0.54,0.0
1984-10-29,15.26,15.26,14.97,15.03,752400,0.53,-0.01851851851851849
1984-10-30,15.03,15.14,14.79,14.85,3979200,0.52,-0.018867924528301883
1984-10-31,14.5,14.85,14.5,14.67,2503200,0.51,-0.019230769230769273
1984-11-01,14.32,14.55,14.32,14.38,941400,0.5,-0.019607843137254943
1984-11-02,14.5,14.55,14.38,14.55,783600,0.51,0.020000000000000018
1984-11-05,14.55,14.73,14.55,14.73,369000,0.52,0.019607843137254832
1984-11-06,14.67,14.97,14.67,14.97,129000,0.52,0.0
1984-11-07,14.91,14.97,14.73,14.73,453600,0.52,0.0
1984-11-08,14.73,14.91,14.67,14.73,260400,0.52,0.0
1984-11-09,14.85,14.91,14.73,14.73,245400,0.52,0.0
1984-11-12,14.73,14.79,14.67,14.73,98400,0.52,0.0
1984-11-13,14.79,14.79,14.61,14.61,415800,0.51,-0.019230769230769273
1984-11-14,14.55,14.61,14.5,14.55,160800,0.51,0.0
1984-11-15,14.5,14.67,14.5,14.61,818400,0.51,0.0
1984-11-16,14.55,14.61,14.5,14.5,747000,0.51,0.0
1984-11-19,14.5,14.55,14.38,14.44,316800,0.51,0.0
1984-11-20,14.32,14.5,14.32,14.44,858600,0.51,0.0
1984-11-21,14.32,14.44,14.26,14.32,1343400,0.5,-0.019607843137254943
1984-11-23,14.38,14.55,14.38,14.5,1510200,0.51,0.020000000000000018
1984-11-26,14.55,14.61,14.5,14.55,1132200,0.51,0.0
1984-11-27,14.61,14.61,14.55,14.55,248400,0.51,0.0
1984-11-28,14.61,14.67,14.55,14.61,697800,0.51,0.0
1984-11-29,14.61,14.67,14.61,14.61,290400,0.51,0.0
1984-11-30,14.55,14.61,14.5,14.55,313800,0.51,0.0
1984-12-03,14.61,14.61,14.44,14.5,2022000,0.51,0.0
1984-12-04,14.44,14.55,14.38,14.44,327600,0.51,0.0
1984-12-05,14.44,14.5,14.32,14.44,337800,0.51,0.0
1984-12-06,14.38,14.5,14.38,14.5,69000,0.51,0.0
1984-12-07,14.5,14.5,14.38,14.44,408600,0.51,0.0
1984-12-10,14.5,14.61,14.5,14.61,1078800,0.51,0.0
1984-12-11,14.61,14.61,14.5,14.61,243000,0.51,0.0
1984-12-12,14.61,14.67,14.55,14.55,452400,0.51,0.0
1984-12-13,14.55,14.67,14.55,14.67,385200,0.51,0.0
1984-12-14,14.67,14.67,14.55,14.67,524400,0.51,0.0
1984-12-17,14.61,14.67,14.55,14.67,150000,0.51,0.0
1984-12-18,14.67,14.97,14.61,14.97,256800,0.52,0.019607843137254832
1984-12-19,14.97,15.08,14.85,15.08,283200,0.53,0.019230769230769162
1984-12-20,15.08,15.2,15.03,15.03,150600,0.53,0.0
1984-12-21,15.08,15.2,15.03,15.03,282600,0.53,0.0
1984-12-24,15.03,15.08,15.03,15.03,70200,0.53,0.0
1984-12-26,15.03,15.03,14.91,14.91,26400,0.52,-0.018867924528301883
1984-12-27,14.85,14.85,14.73,14.79,54000,0.52,0.0
1984-12-28,14.85,14.97,14.73,14.79,99000,0.52,0.0
1984-12-31,14.79,14.79,14.67,14.67,70800,0.51,-0.019230769230769273
1985-01-02,14.79,14.79,14.67,14.73,135600,0.52,0.019607843137254832
1985-01-03,14.67,14.79,14.67,14.73,282600,0.52,0.0
1985-01-04,14.67,14.73,14.61,14.61,222600,0.51,-0.019230769230769273
1985-01-07,14.67,14.73,14.67,14.73,82800,0.52,0.019607843137254832
1985-01-08,14.73,14.79,14.67,14.79,204600,0.52,0.0
1985-01-09,14.79,14.85,14.73,14.85,121200,0.52,0.0
1985-01-10,14.91,15.03,14.85,14.97,406800,0.52,0.0
1985-01-11,15.03,15.03,14.85,14.97,393000,0.52,0.0
1985-01-14,15.03,15.2,14.91,15.08,304800,0.53,0.019230769230769162
1985-01-15,15.2,15.26,15.08,15.2,144600,0.53,0.0
1985-01-16,15.14,15.2,15.08,15.08,95400,0.53,0.0
1985-01-17,15.2,15.2,15.08,15.14,470400,0.53,0.0
1985-01-18,15.14,15.2,15.14,15.14,206400,0.53,0.0
1985-01-21,15.14,15.2,15.08,15.14,1193400,0.53,0.0
1985-01-22,15.08,15.2,15.08,15.14,400200,0.53,0.0
1985-01-23,15.14,15.14,14.85,14.97,221400,0.52,-0.018867924528301883
1985-01-24,14.79,15.03,14.73,14.85,866400,0.52,0.0
1985-01-25,14.73,14.91,14.73,14.79,446400,0.52,0.0
1985-01-28,14.85,14.97,14.85,14.91,858000,0.52,0.0
1985-01-29,15.03,15.03,14.91,14.91,94200,0.52,0.0
1985-01-30,14.91,15.08,14.91,14.91,2022000,0.52,0.0
1985-01-31,14.97,15.03,14.91,14.97,161400,0.52,0.0
1985-02-01,14.61,14.67,14.5,14.67,126000,0.51,-0.019230769230769273
1985-02-04,14.61,14.85,14.61,14.73,408000,0.52,0.019607843137254832
1985-02-05,14.67,14.79,14.61,14.61,76200,0.51,-0.019230769230769273
1985-02-06,14.67,14.73,14.61,14.67,93600,0.51,0.0
1985-02-07,14.67,14.79,14.67,14.79,387600,0.52,0.019607843137254832
1985-02-08,14.85,14.97,14.85,14.91,322200,0.52,0.0
1985-02-11,14.85,14.91,14.44,14.79,340200,0.52,0.0
1985-02-12,14.85,14.97,14.79,14.91,184200,0.52,0.0
1985-02-13,14.97,14.97,14.79,14.91,694200,0.52,0.0
1985-02-14,14.97,15.03,14.91,14.97,276000,0.52,0.0
1985-02-15,14.97,15.03,14.91,14.97,277200,0.52,0.0
1985-02-19,14.85,15.03,14.85,14.97,235200,0.52,0.0
1985-02-20,14.91,15.03,14.85,14.91,813600,0.52,0.0
1985-02-21,15.03,15.08,14.97,14.97,277800,0.52,0.0
1985-02-22,15.03,15.03,14.91,14.91,201600,0.52,0.0
1985-02-25,14.79,14.85,14.79,14.79,478800,0.52,0.0
1985-02-26,14.85,14.85,14.79,14.79,334800,0.52,0.0
1985-02-27,14.85,14.91,14.79,14.85,267600,0.52,0.0
1985-02-28,14.91,14.97,14.79,14.79,102000,0.52,0.0
1985-03-01,14.91,15.03,14.85,14.97,751200,0.52,0.0
1985-03-04,15.08,15.08,14.91,14.97,368400,0.52,0.0
1985-03-05,14.97,15.03,14.91,15.03,382800,0.53,0.019230769230769162
1985-03-06,14.97,15.03,14.91,15.03,52800,0.53,0.0
1985-03-07,14.97,15.03,14.91,15.03,109200,0.53,0.0
1985-03-08,15.03,15.03,14.91,14.97,337800,0.52,-0.018867924528301883
1985-03-11,14.85,14.97,14.79,14.91,130200,0.52,0.0
1985-03-12,14.79,14.85,14.67,14.67,222600,0.51,-0.019230769230769273
1985-03-13,14.73,14.85,14.61,14.73,182400,0.52,0.019607843137254832
1985-03-14,14.79,14.85,14.73,14.85,76200,0.52,0.0
1985-03-15,14.73,14.91,14.73,14.85,404400,0.52,0.0
1985-03-18,14.85,14.97,14.79,14.97,1509000,0.52,0.0
1985-03-19,14.97,15.2,14.97,15.14,307800,0.53,0.019230769230769162
1985-03-20,15.38,15.38,15.2,15.2,249000,0.53,0.0
1985-03-21,15.14,15.26,15.03,15.26,126000,0.53,0.0
1985-03-22,15.2,15.44,15.14,15.32,570000,0.54,0.018867924528301883
1985-03-25,15.32,15.44,15.32,15.44,196800,0.54,0.0
1985-03-26,15.32,15.38,15.2,15.32,511800,0.54,0.0
1985-03-27,15.32,15.44,15.32,15.44,616800,0.54,0.0
1985-03-28,15.44,15.44,15.26,15.38,226200,0.54,0.0
1985-03-29,15.32,15.44,15.2,15.38,441600,0.54,0.0
1985-04-01,15.44,15.56,15.32,15.5,352800,0.54,0.0
1985-04-02,15.56,15.67,15.38,15.67,774600,0.55,0.0185185185185186
1985-04-03,15.73,15.79,15.67,15.73,360600,0.55,0.0
1985-04-04,15.67,15.79,15.67,15.79,158400,0.55,0.0
1985-04-08,15.79,15.85,15.67,15.79,361200,0.55,0.0
1985-04-09,15.79,15.79,15.67,15.73,58200,0.55,0.0
1985-04-10,15.67,15.79,15.67,15.67,194400,0.55,0.0
1985-04-11,15.67,15.79,15.67,15.73,310800,0.55,0.0
1985-04-12,15.85,15.85,15.67,15.85,174000,0.55,0.0
1985-04-15,15.79,15.85,15.73,15.85,361800,0.55,0.0
1985-04-16,15.85,15.91,15.73,15.85,254400,0.55,0.0
1985-04-17,15.91,15.97,15.79,15.91,550200,0.56,0.0181818181818183
1985-04-18,15.91,16.03,15.91,15.91,81600,0.56,0.0
1985-04-19,15.91,15.97,15.85,15.91,129000,0.56,0.0
1985-04-22,15.73,15.97,15.73,15.97,942000,0.56,0.0
1985-04-23,15.97,15.97,15.91,15.91,430200,0.56,0.0
1985-04-24,15.85,16.03,15.85,15.97,140400,0.56,0.0
1985-04-25,16.03,16.32,16.03,16.26,59400,0.57,0.01785714285714257
1985-04-26,16.2,16.26,16.15,16.2,567600,0.57,0.0
1985-04-29,16.15,16.26,16.15,16.26,291000,0.57,0.0
1985-04-30,16.2,16.32,16.2,16.26,1581000,0.57,0.0
1985-05-01,15.91,16.26,15.85,16.03,556200,0.56,-0.01754385964912264
1985-05-02,15.97,16.09,15.91,16.03,834600,0.56,0.0
1985-05-03,16.03,16.2,16.03,16.15,211200,0.57,0.01785714285714257
1985-05-06,16.2,16.32,16.15,16.32,78600,0.57,0.0
1985-05-07,16.38,16.62,16.32,16.62,459600,0.58,0.01754385964912286
1985-05-08,16.62,16.68,16.56,16.56,259800,0.58,0.0
1985-05-09,16.68,16.73,16.56,16.68,172200,0.58,0.0
1985-05-10,16.73,16.79,16.73,16.73,299400,0.59,0.01724137931034475
1985-05-13,16.85,16.91,16.62,16.73,173400,0.59,0.0
1985-05-14,16.79,16.85,16.68,16.79,367800,0.59,0.0
1985-05-15,16.79,16.97,16.73,16.79,126000,0.59,0.0
1985-05-16,16.97,17.21,16.97,16.97,804600,0.59,0.0
1985-05-17,17.03,17.44,16.97,17.38,782400,0.61,0.033898305084745894
1985-05-20,17.74,18.09,17.74,17.8,804000,0.62,0.016393442622950838
1985-05-21,17.91,17.91,17.44,17.44,313200,0.61,-0.016129032258064502
1985-05-22,17.44,17.62,17.44,17.56,219600,0.61,0.0
1985-05-23,17.56,17.62,17.5,17.5,194400,0.61,0.0
1985-05-24,17.56,17.56,17.32,17.38,168000,0.61,0.0
1985-05-28,17.27,17.38,17.21,17.32,415200,0.61,0.0
1985-05-29,17.21,17.38,17.21,17.32,88200,0.61,0.0
1985-05-30,17.27,17.38,17.27,17.38,440400,0.61,0.0
1985-05-31,17.38,17.56,17.32,17.56,627600,0.61,0.0
1985-06-03,17.5,17.74,17.5,17.62,635400,0.62,0.016393442622950838
1985-06-04,17.62,17.8,17.56,17.62,70800,0.62,0.0
1985-06-05,17.74,17.91,17.68,17.91,112800,0.63,0.016129032258064502
1985-06-06,17.91,18.03,17.68,17.74,346200,0.62,-0.015873015873015928
1985-06-07,17.8,17.8,17.44,17.56,502200,0.61,-0.016129032258064502
1985-06-10,17.44,17.56,17.32,17.38,297600,0.61,0.0
1985-06-11,17.5,17.5,17.32,17.44,82800,0.61,0.0
1985-06-12,17.44,17.56,17.44,17.5,92400,0.61,0.0
1985-06-13,17.44,17.56,17.32,17.44,199800,0.61,0.0
1985-06-14,17.38,17.56,17.38,17.56,133200,0.61,0.0
1985-06-17,17.62,17.68,17.56,17.68,102000,0.62,0.016393442622950838
1985-06-18,17.68,18.03,17.21,17.91,183600,0.63,0.016129032258064502
1985-06-19,17.91,18.03,17.8,17.91,187200,0.63,0.0
1985-06-20,17.8,17.91,17.68,17.8,46800,0.62,-0.015873015873015928
1985-06-21,17.85,18.03,17.74,17.97,130200,0.63,0.016129032258064502
1985-06-24,17.85,17.97,17.68,17.85,786000,0.62,-0.015873015873015928
1985-06-25,17.97,17.97,17.62,17.85,104400,0.62,0.0
1985-06-26,17.97,17.97,17.8,17.8,252600,0.62,0.0
1985-06-27,17.85,17.91,17.8,17.8,21600,0.62,0.0
1985-06-28,17.74,17.97,17.74,17.97,219600,0.63,0.016129032258064502
1985-07-01,17.85,18.5,17.85,18.38,724200,0.64,0.015873015873015817
1985-07-02,18.5,18.56,18.44,18.5,335400,0.65,0.015625
1985-07-03,18.56,18.62,18.5,18.56,124200,0.65,0.0
1985-07-05,18.91,18.91,18.74,18.8,228000,0.66,0.01538461538461533
1985-07-08,18.74,18.8,18.74,18.74,87600,0.66,0.0
1985-07-09,18.8,18.8,18.5,18.56,466200,0.65,-0.015151515151515138
1985-07-10,18.5,18.62,18.44,18.56,266400,0.65,0.0
1985-07-11,18.5,18.68,18.5,18.62,683400,0.65,0.0
1985-07-12,18.56,18.74,18.56,18.62,265800,0.65,0.0
1985-07-15,18.62,19.09,18.62,18.86,624000,0.66,0.01538461538461533
1985-07-16,18.97,18.97,18.86,18.97,450600,0.66,0.0
1985-07-17,18.97,19.03,18.74,18.86,212400,0.66,0.0
1985-07-18,18.74,18.86,18.68,18.68,292200,0.65,-0.015151515151515138
1985-07-19,18.68,18.8,18.62,18.62,383400,0.65,0.0
1985-07-22,18.62,18.68,18.56,18.62,425400,0.65,0.0
