Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-09-19,5.0,5.75,5.0,5.75,2700,5.75,0.0
1994-09-20,5.75,5.75,5.0,5.0,900,5.0,-0.13043478260869568
1994-09-21,5.75,5.75,5.25,5.75,1100,5.75,0.1499999999999999
1994-09-22,5.0,5.75,5.0,5.25,7400,5.25,-0.08695652173913049
1994-09-23,5.25,6.0,5.25,5.5,1200,5.5,0.04761904761904767
1994-09-26,5.5,5.75,5.0,5.0,2800,5.0,-0.09090909090909094
1994-09-27,5.5,5.75,5.5,5.75,600,5.75,0.1499999999999999
1994-09-28,5.75,5.75,5.75,5.75,200,5.75,0.0
1994-09-29,5.0,5.0,5.0,5.0,600,5.0,-0.13043478260869568
1994-09-30,5.75,5.75,5.75,5.75,100,5.75,0.1499999999999999
1994-10-03,5.0,5.5,5.0,5.5,900,5.5,-0.04347826086956519
1994-10-04,5.5,5.5,5.5,5.5,500,5.5,0.0
1994-10-05,5.0,5.5,5.0,5.5,300,5.5,0.0
1994-10-06,5.5,5.5,5.5,5.5,500,5.5,0.0
1994-10-07,5.5,5.5,5.0,5.0,800,5.0,-0.09090909090909094
1994-10-10,5.5,5.5,5.0,5.5,1600,5.5,0.10000000000000009
1994-10-11,5.5,5.5,5.0,5.5,1200,5.5,0.0
1994-10-12,5.5,5.5,5.5,5.5,500,5.5,0.0
1994-10-13,5.5,5.5,5.5,5.5,300,5.5,0.0
1994-10-14,5.5,5.5,5.5,5.5,700,5.5,0.0
1994-10-17,5.5,5.75,5.25,5.25,3900,5.25,-0.045454545454545414
1994-10-18,5.75,5.75,5.5,5.5,600,5.5,0.04761904761904767
1994-10-20,5.0,5.75,5.0,5.75,1100,5.75,0.045454545454545414
1994-10-21,5.0,5.0,5.0,5.0,300,5.0,-0.13043478260869568
1994-10-24,5.75,5.75,5.0,5.0,1000,5.0,0.0
1994-10-25,5.75,5.75,5.75,5.75,100,5.75,0.1499999999999999
1994-10-26,5.0,5.75,5.0,5.5,1900,5.5,-0.04347826086956519
1994-10-28,5.0,5.75,5.0,5.75,2900,5.75,0.045454545454545414
1994-10-31,5.0,5.0,5.0,5.0,900,5.0,-0.13043478260869568
1994-11-01,5.0,5.0,5.0,5.0,3000,5.0,0.0
1994-11-02,5.75,5.75,5.0,5.0,2200,5.0,0.0
1994-11-07,5.75,5.75,5.5,5.75,900,5.75,0.1499999999999999
1994-11-08,5.5,5.75,5.0,5.75,1100,5.75,0.0
1994-11-14,5.5,5.5,5.5,5.5,100,5.5,-0.04347826086956519
1994-11-15,5.5,5.5,5.5,5.5,1300,5.5,0.0
1994-11-16,5.0,5.0,5.0,5.0,4000,5.0,-0.09090909090909094
1994-11-17,5.0,5.5,5.0,5.5,1000,5.5,0.10000000000000009
1994-11-18,5.5,5.5,5.5,5.5,300,5.5,0.0
1994-11-21,5.0,5.5,5.0,5.5,800,5.5,0.0
1994-11-22,5.5,5.5,5.5,5.5,200,5.5,0.0
1994-11-23,5.38,5.38,5.38,5.38,1100,5.38,-0.021818181818181848
1994-11-25,5.0,5.0,5.0,5.0,300,5.0,-0.07063197026022305
1994-11-28,5.0,5.0,5.0,5.0,200,5.0,0.0
1994-11-29,5.0,5.25,5.0,5.25,1800,5.25,0.050000000000000044
1994-11-30,5.25,5.25,5.25,5.25,100,5.25,0.0
1994-12-02,5.25,5.25,5.25,5.25,200,5.25,0.0
1994-12-05,5.0,5.0,5.0,5.0,600,5.0,-0.04761904761904767
1994-12-06,5.25,5.25,5.25,5.25,300,5.25,0.050000000000000044
1994-12-08,5.25,5.25,5.25,5.25,600,5.25,0.0
1994-12-09,5.0,5.0,5.0,5.0,2400,5.0,-0.04761904761904767
1994-12-12,5.0,5.0,5.0,5.0,1900,5.0,0.0
1994-12-13,5.0,5.0,5.0,5.0,100,5.0,0.0
1994-12-15,4.25,4.25,4.25,4.25,1800,4.25,-0.15000000000000002
1994-12-16,5.0,5.0,5.0,5.0,2500,5.0,0.17647058823529416
1994-12-19,5.0,5.0,5.0,5.0,500,5.0,0.0
1994-12-20,5.0,5.0,5.0,5.0,100,5.0,0.0
1994-12-21,5.0,5.0,5.0,5.0,200,5.0,0.0
1994-12-22,5.0,5.0,4.25,4.5,1600,4.5,-0.09999999999999998
1994-12-23,4.25,4.25,4.25,4.25,1000,4.25,-0.05555555555555558
1994-12-28,4.5,4.75,4.5,4.75,2600,4.75,0.11764705882352944
1994-12-29,5.0,5.0,5.0,5.0,300,5.0,0.05263157894736836
1994-12-30,5.0,5.0,5.0,5.0,2800,5.0,0.0
1995-01-09,5.0,5.0,4.75,5.0,1600,5.0,0.0
1995-01-12,4.75,4.75,4.75,4.75,200,4.75,-0.050000000000000044
1995-01-17,4.75,4.75,4.75,4.75,400,4.75,0.0
1995-01-18,4.75,4.75,4.75,4.75,1000,4.75,0.0
1995-01-19,4.75,4.75,4.25,4.25,4500,4.25,-0.10526315789473684
1995-01-23,4.75,4.75,4.25,4.25,900,4.25,0.0
1995-01-24,4.5,4.5,3.94,4.25,3900,4.25,0.0
1995-01-26,4.5,4.5,4.5,4.5,100,4.5,0.05882352941176472
1995-01-27,4.25,4.5,4.25,4.5,1000,4.5,0.0
1995-01-31,4.25,4.5,4.25,4.5,900,4.5,0.0
1995-02-06,4.0,4.0,4.0,4.0,900,4.0,-0.11111111111111116
1995-02-07,4.5,4.5,4.5,4.5,200,4.5,0.125
1995-02-08,4.5,4.5,3.5,3.5,1300,3.5,-0.2222222222222222
1995-02-09,4.5,4.5,4.5,4.5,300,4.5,0.2857142857142858
1995-02-13,3.5,3.5,3.5,3.5,500,3.5,-0.2222222222222222
1995-02-14,3.5,3.5,3.5,3.5,1200,3.5,0.0
1995-02-16,4.5,4.5,4.5,4.5,200,4.5,0.2857142857142858
1995-02-21,4.5,4.5,3.5,3.5,1300,3.5,-0.2222222222222222
1995-02-24,3.5,3.5,3.5,3.5,300,3.5,0.0
1995-02-27,4.5,4.5,4.5,4.5,100,4.5,0.2857142857142858
1995-03-01,3.5,4.25,3.5,3.5,3200,3.5,-0.2222222222222222
1995-03-02,4.0,4.0,4.0,4.0,500,4.0,0.1428571428571428
1995-03-03,4.0,4.0,3.62,4.0,3800,4.0,0.0
1995-03-06,3.5,3.5,3.5,3.5,100,3.5,-0.125
1995-03-07,4.0,4.0,3.5,3.5,3500,3.5,0.0
1995-03-08,4.0,4.0,4.0,4.0,1700,4.0,0.1428571428571428
1995-03-09,4.0,4.0,3.5,3.5,1900,3.5,-0.125
1995-03-10,3.5,3.5,3.5,3.5,1000,3.5,0.0
1995-03-13,4.25,4.25,4.25,4.25,200,4.25,0.2142857142857142
1995-03-14,4.25,4.25,4.25,4.25,600,4.25,0.0
1995-03-15,4.25,4.25,4.25,4.25,400,4.25,0.0
1995-03-17,3.62,4.25,3.5,4.0,1200,4.0,-0.05882352941176472
1995-03-21,4.25,4.25,4.25,4.25,100,4.25,0.0625
1995-03-22,3.62,3.62,3.5,3.5,600,3.5,-0.17647058823529416
1995-03-27,3.25,4.25,3.25,4.25,700,4.25,0.2142857142857142
1995-03-28,4.25,4.25,4.25,4.25,300,4.25,0.0
1995-03-31,4.12,4.12,4.12,4.12,100,4.12,-0.030588235294117583
1995-04-03,4.0,4.0,4.0,4.0,1000,4.0,-0.029126213592232997
1995-04-04,4.12,4.12,3.5,3.5,400,3.5,-0.125
1995-04-05,4.25,4.25,4.25,4.25,100,4.25,0.2142857142857142
1995-04-10,4.12,4.12,3.62,3.62,1100,3.62,-0.14823529411764702
1995-04-12,3.25,4.12,3.25,4.12,500,4.12,0.13812154696132595
1995-04-18,3.25,4.12,3.25,4.12,500,4.12,0.0
1995-04-19,3.25,4.12,3.25,4.12,800,4.12,0.0
1995-04-21,3.25,3.88,3.25,3.88,1600,3.88,-0.058252427184466105
1995-04-24,3.0,3.88,3.0,3.0,1000,3.0,-0.22680412371134018
1995-04-27,3.88,3.88,3.88,3.88,200,3.88,0.2933333333333332
1995-05-01,3.88,3.88,3.88,3.88,500,3.88,0.0
1995-05-05,3.88,3.88,3.5,3.5,700,3.5,-0.09793814432989689
1995-05-08,3.88,3.88,3.88,3.88,700,3.88,0.10857142857142854
1995-05-09,3.88,3.88,3.88,3.88,400,3.88,0.0
1995-05-10,3.88,3.88,3.88,3.88,200,3.88,0.0
1995-05-11,3.88,3.88,3.88,3.88,100,3.88,0.0
1995-05-12,4.0,4.0,4.0,4.0,200,4.0,0.030927835051546504
1995-05-15,4.12,4.12,4.12,4.12,200,4.12,0.030000000000000027
1995-05-16,4.12,4.12,4.12,4.12,200,4.12,0.0
1995-05-22,4.12,4.12,4.12,4.12,1300,4.12,0.0
1995-05-23,3.5,4.12,3.5,4.12,1000,4.12,0.0
1995-05-25,3.5,3.5,3.5,3.5,300,3.5,-0.15048543689320393
1995-05-30,3.5,4.12,3.5,4.12,1800,4.12,0.17714285714285727
1995-06-01,3.62,3.62,3.62,3.62,600,3.62,-0.12135922330097082
1995-06-02,3.62,3.62,3.62,3.62,2000,3.62,0.0
1995-06-06,4.25,4.25,4.25,4.25,800,4.25,0.17403314917127077
1995-06-07,4.25,4.25,4.25,4.25,200,4.25,0.0
1995-06-08,3.62,3.62,3.62,3.62,600,3.62,-0.14823529411764702
1995-06-09,3.62,4.25,3.62,4.25,2700,4.25,0.17403314917127077
1995-06-12,4.25,4.25,4.12,4.12,6000,4.12,-0.030588235294117583
1995-06-14,3.62,3.62,3.62,3.62,400,3.62,-0.12135922330097082
1995-06-16,4.5,4.5,4.5,4.5,200,4.5,0.24309392265193375
1995-06-19,3.75,4.63,3.75,4.63,3700,4.63,0.028888888888888964
1995-06-20,4.63,4.63,4.63,4.63,300,4.63,0.0
1995-06-21,3.75,3.75,3.75,3.75,3000,3.75,-0.1900647948164147
1995-06-22,4.63,4.63,4.63,4.63,400,4.63,0.23466666666666658
1995-06-23,4.63,4.63,4.25,4.25,200,4.25,-0.0820734341252699
1995-06-26,3.75,4.63,3.62,3.62,1100,3.62,-0.14823529411764702
1995-06-28,4.63,4.63,4.63,4.63,100,4.63,0.27900552486187835
1995-07-05,4.0,4.63,3.62,3.75,3200,3.75,-0.1900647948164147
1995-07-06,4.63,4.63,4.25,4.25,700,4.25,0.1333333333333333
1995-07-07,3.62,3.62,3.62,3.62,900,3.62,-0.14823529411764702
1995-07-11,3.62,4.12,3.62,3.62,1800,3.62,0.0
1995-07-13,4.5,4.5,4.5,4.5,900,4.5,0.24309392265193375
1995-07-14,3.62,3.62,3.62,3.62,500,3.62,-0.19555555555555548
1995-07-17,4.5,4.5,3.62,3.75,1800,3.75,0.035911602209944826
1995-07-18,4.5,4.5,4.5,4.5,300,4.5,0.19999999999999996
1995-07-19,3.62,3.62,3.62,3.62,2100,3.62,-0.19555555555555548
1995-07-20,4.37,4.37,4.37,4.37,500,4.37,0.20718232044198892
1995-07-24,3.38,3.38,3.38,3.38,100,3.38,-0.22654462242562934
1995-07-25,4.25,4.25,3.38,3.38,1800,3.38,0.0
1995-07-26,3.38,4.12,3.38,3.5,2600,3.5,0.035502958579881616
1995-07-28,4.0,4.0,4.0,4.0,100,4.0,0.1428571428571428
1995-08-03,3.25,4.0,3.25,4.0,1600,4.0,0.0
1995-08-07,3.25,3.25,3.25,3.25,200,3.25,-0.1875
1995-08-08,4.0,4.0,4.0,4.0,200,4.0,0.23076923076923084
1995-08-15,3.25,3.25,3.25,3.25,600,3.25,-0.1875
1995-08-16,3.25,3.25,3.25,3.25,100,3.25,0.0
1995-08-18,3.25,3.75,2.5,3.0,8000,3.0,-0.07692307692307687
1995-08-21,3.0,3.0,2.38,2.38,4000,2.38,-0.20666666666666667
1995-08-22,3.0,3.0,3.0,3.0,2400,3.0,0.26050420168067223
1995-08-23,3.0,3.5,3.0,3.5,7000,3.5,0.16666666666666674
1995-08-25,4.25,4.25,3.75,3.75,1300,3.75,0.0714285714285714
1995-08-28,3.75,4.25,3.75,4.0,1800,4.0,0.06666666666666665
1995-08-31,4.25,4.25,4.25,4.25,400,4.25,0.0625
