Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-10-13,0.5,0.88,0.38,0.88,10300,11.72,0.0
1995-11-01,0.75,1.0,0.38,0.86,25900,11.51,-0.017918088737201465
1995-12-01,1.0,1.5,0.86,1.11,19200,14.86,0.2910512597741095
1996-01-02,1.17,1.75,1.0,1.61,36300,21.56,0.4508748317631224
1996-02-02,1.75,1.75,1.3,1.42,12000,19.04,-0.11688311688311692
1996-03-01,1.3,1.42,1.0,1.25,22100,16.74,-0.12079831932773111
1996-04-01,1.17,1.75,1.13,1.75,20100,23.44,0.4002389486260456
1996-05-01,1.63,1.75,1.3,1.42,32300,19.04,-0.1877133105802049
1996-06-03,1.3,1.63,1.3,1.5,41300,20.09,0.05514705882352944
1996-07-01,1.64,2.13,1.17,1.17,25500,15.7,-0.21851667496266802
1996-08-01,1.25,1.63,1.25,1.39,11100,18.63,0.18662420382165612
1996-09-03,1.25,1.42,1.13,1.25,4600,16.74,-0.10144927536231885
1996-10-03,1.25,1.38,0.88,1.25,19400,16.74,0.0
1996-11-01,1.28,1.28,1.13,1.13,11300,15.07,-0.09976105137395452
1996-12-02,1.13,1.13,0.91,0.97,7000,12.98,-0.13868613138686126
1997-01-02,0.91,1.03,0.78,1.03,8400,13.81,0.06394453004622491
1997-02-03,0.94,1.02,0.75,0.75,13500,10.05,-0.2722664735698769
1997-03-04,0.89,0.95,0.77,0.88,19200,11.72,0.1661691542288557
1997-04-01,0.88,0.88,0.63,0.63,3700,8.37,-0.2858361774744028
1997-05-01,0.63,0.83,0.5,0.83,62200,11.09,0.32497013142174436
1997-06-02,0.83,0.92,0.77,0.77,28200,10.26,-0.07484220018034271
1997-07-03,0.75,0.8,0.64,0.75,12600,10.05,-0.020467836257309857
1997-08-01,0.75,1.08,0.67,0.92,17500,12.35,0.22885572139303467
1997-09-03,0.95,0.95,0.67,0.8,20000,10.67,-0.1360323886639676
1997-10-01,0.8,1.0,0.7,0.7,24800,9.42,-0.11715089034676662
1997-11-03,0.77,0.92,0.67,0.75,12900,10.05,0.06687898089171984
1997-12-01,0.67,0.83,0.67,0.83,16000,11.09,0.1034825870646765
1998-01-02,0.88,0.88,0.67,0.7,21800,9.42,-0.15058611361587015
1998-02-02,0.64,0.75,0.58,0.64,21600,8.58,-0.08917197452229297
1998-03-02,0.67,0.75,0.55,0.64,13000,8.58,0.0
1998-04-01,0.64,0.92,0.58,0.88,25700,11.72,0.3659673659673661
1998-05-01,0.88,0.91,0.66,0.69,21500,9.21,-0.2141638225255973
1998-06-01,0.69,0.81,0.64,0.75,20200,10.05,0.0912052117263844
1998-07-01,0.75,0.88,0.75,0.84,53900,11.3,0.12437810945273631
1998-08-03,0.81,0.88,0.52,0.58,33400,7.74,-0.31504424778761064
1998-09-01,0.61,0.72,0.56,0.69,34400,9.21,0.18992248062015515
1998-10-01,0.69,0.78,0.53,0.75,25300,10.05,0.0912052117263844
1998-11-02,0.75,0.78,0.72,0.75,22500,10.05,0.0
1998-12-01,0.75,0.84,0.72,0.77,30800,10.26,0.020895522388059584
1999-01-04,0.81,0.84,0.75,0.84,27500,11.3,0.10136452241715399
1999-02-01,0.78,1.03,0.78,0.84,25200,11.3,0.0
1999-03-01,0.91,0.94,0.78,0.91,14100,12.14,0.07433628318584073
1999-04-01,0.84,1.09,0.84,0.94,31200,12.56,0.034596375617792496
1999-05-04,0.94,1.5,0.94,1.31,54000,17.58,0.39968152866242024
1999-06-01,1.25,1.31,1.06,1.09,19800,14.65,-0.16666666666666652
1999-07-01,1.09,1.13,0.97,0.97,18400,12.98,-0.11399317406143339
1999-08-02,0.97,0.97,0.75,0.88,21500,11.72,-0.09707241910631736
1999-09-01,0.88,0.88,0.75,0.75,20400,10.05,-0.14249146757679176
1999-10-04,0.75,0.81,0.72,0.72,8700,9.63,-0.04179104477611939
1999-11-02,0.73,0.78,0.72,0.78,17800,10.46,0.08618899273104885
1999-12-01,0.72,0.78,0.63,0.75,9000,10.05,-0.03919694072657742
2000-01-04,0.63,0.69,0.56,0.56,7400,7.53,-0.25074626865671645
2000-02-03,0.56,0.69,0.56,0.69,7800,9.21,0.22310756972111556
2000-03-01,0.69,0.69,0.55,0.55,9100,7.32,-0.2052117263843649
2000-04-03,0.55,0.66,0.53,0.59,18700,7.95,0.08606557377049184
2000-05-01,0.59,0.59,0.53,0.53,3300,7.12,-0.10440251572327042
2000-06-01,0.5,0.59,0.5,0.5,8800,6.7,-0.0589887640449438
2000-07-03,0.5,0.81,0.5,0.53,7100,7.12,0.0626865671641792
2000-08-01,0.53,0.69,0.53,0.56,38200,7.53,0.057584269662921406
2000-09-01,0.56,0.66,0.56,0.66,8200,8.79,0.1673306772908365
2000-10-02,0.56,0.56,0.47,0.52,2200,6.91,-0.2138794084186575
2000-11-01,0.63,0.63,0.53,0.59,31100,7.95,0.15050651230101297
2000-12-01,0.55,0.69,0.55,0.63,19000,8.37,0.05283018867924527
2001-01-02,0.63,0.63,0.56,0.56,1400,7.53,-0.10035842293906794
2001-02-01,0.56,0.63,0.56,0.56,11100,7.53,0.0
2001-03-01,0.69,0.69,0.56,0.59,2300,7.95,0.055776892430278835
2001-04-02,0.59,0.62,0.57,0.62,10200,8.3,0.04402515723270439
2001-05-01,0.62,0.67,0.6,0.6,2200,8.04,-0.03132530120481947
2001-06-01,0.61,0.65,0.58,0.58,7700,7.77,-0.033582089552238736
2001-07-02,0.54,0.58,0.51,0.52,6700,6.96,-0.10424710424710415
2001-08-01,0.53,0.56,0.47,0.47,12100,6.3,-0.09482758620689657
2001-09-04,0.47,0.5,0.47,0.5,21800,6.7,0.06349206349206349
2001-10-01,0.5,4.5,0.31,4.5,2400,4.02,-0.40000000000000013
2001-11-01,4.0,5.1,4.0,5.1,1100,4.55,0.13184079601990062
2001-12-03,5.1,6.0,4.85,6.0,900,5.36,0.17802197802197806
2002-01-02,6.0,6.2,6.0,6.2,0,5.54,0.033582089552238736
2002-02-04,6.2,6.2,5.25,5.25,0,4.69,-0.1534296028880866
2002-03-01,5.25,5.7,5.05,5.7,100,5.09,0.08528784648187626
2002-04-01,5.7,5.7,5.01,5.01,0,4.47,-0.12180746561886058
2002-05-01,5.01,5.25,4.95,4.95,400,4.42,-0.01118568232662187
2002-06-03,5.5,5.5,4.95,5.0,1700,4.46,0.009049773755656076
2002-07-01,5.0,5.0,4.95,4.95,100,4.42,-0.008968609865470878
2002-08-01,4.95,5.0,4.75,4.75,200,4.24,-0.040723981900452455
2002-09-03,4.75,4.8,4.25,4.25,300,3.79,-0.10613207547169812
2002-10-01,4.25,4.45,3.5,3.5,200,3.13,-0.1741424802110818
2002-11-01,3.5,3.5,3.2,3.3,600,2.95,-0.05750798722044714
2002-12-02,3.3,3.5,3.3,3.5,2000,3.13,0.0610169491525423
2003-01-02,3.5,7.5,3.5,7.5,5200,6.7,1.1405750798722045
2003-02-03,7.5,7.5,7.0,7.03,900,6.28,-0.06268656716417909
2003-03-03,7.03,7.03,6.35,6.6,800,5.89,-0.06210191082802552
2003-04-01,6.6,7.25,6.6,6.6,100,5.89,0.0
2003-05-01,8.0,8.0,7.75,8.0,200,7.14,0.21222410865874375
2003-06-02,8.0,8.0,7.75,7.86,300,7.02,-0.01680672268907568
2003-07-01,7.86,8.5,7.86,8.25,0,7.37,0.049857549857549976
2003-08-01,7.75,8.49,7.75,7.75,100,6.92,-0.06105834464043425
2003-09-02,8.48,8.55,8.0,8.01,100,7.15,0.033236994219653315
2003-10-01,8.01,8.49,6.6,7.0,700,6.25,-0.12587412587412594
2003-11-03,7.0,7.75,6.8,6.8,0,6.07,-0.028799999999999937
2003-12-01,6.8,6.91,6.8,6.91,0,6.17,0.016474464579901094
2004-01-02,6.91,6.98,6.91,6.91,200,6.17,0.0
2004-02-02,6.91,7.5,6.91,6.91,100,6.17,0.0
2004-03-01,6.91,7.75,6.91,7.01,200,6.26,0.014586709886547755
2004-04-01,7.01,7.25,6.96,7.25,300,6.47,0.033546325878594185
2004-05-03,7.0,7.01,5.75,6.55,1700,5.85,-0.09582689335394123
2004-06-01,6.55,6.55,6.0,6.03,400,5.38,-0.08034188034188028
2004-07-01,6.03,7.0,6.03,6.5,300,5.8,0.07806691449814118
2004-08-02,6.5,6.52,6.0,6.0,400,5.36,-0.07586206896551717
2004-09-01,6.6,6.6,5.8,6.5,800,5.8,0.08208955223880587
2004-10-01,6.55,6.55,5.62,5.63,700,5.03,-0.13275862068965505
2004-11-01,5.63,6.5,5.63,6.45,200,5.76,0.14512922465208744
2004-12-01,6.45,6.45,5.63,5.66,200,5.05,-0.12326388888888884
