Date,Open,High,Low,Close,Volume,Adj Close,Return
1993-09-17,24.0,25.5,21.0,23.5,1453100,23.5,0.0
1993-10-01,24.0,28.5,21.5,27.25,323500,27.25,0.15957446808510634
1993-11-01,27.0,30.25,24.25,27.5,223100,27.5,0.00917431192660545
1993-12-01,27.75,28.5,23.0,25.0,131300,25.0,-0.09090909090909094
1994-01-03,24.75,28.5,24.0,26.0,128300,26.0,0.040000000000000036
1994-02-01,25.0,27.25,18.5,21.5,331100,21.5,-0.17307692307692313
1994-03-01,21.5,23.75,19.25,19.88,156900,19.88,-0.07534883720930241
1994-04-04,19.25,27.0,18.75,26.87,288000,26.87,0.35160965794768617
1994-05-02,26.75,27.5,20.75,24.0,276000,24.0,-0.10681056940826206
1994-06-01,24.0,25.5,21.5,23.5,114100,23.5,-0.02083333333333337
1994-07-01,24.0,28.5,23.5,28.31,147000,28.31,0.20468085106382983
1994-08-01,28.5,38.5,27.75,37.75,310900,37.75,0.3334510773578241
1994-09-01,37.5,38.0,24.5,25.75,542100,25.75,-0.3178807947019867
1994-10-03,25.5,28.75,22.0,28.5,388700,28.5,0.10679611650485432
1994-11-01,28.0,28.75,22.5,25.63,245000,25.63,-0.10070175438596496
1994-12-01,25.63,26.0,15.0,18.38,461900,18.38,-0.2828716348029653
1995-01-03,18.5,20.75,16.75,16.75,234800,16.75,-0.08868335146898798
1995-02-01,17.12,23.87,16.75,21.75,277600,21.75,0.29850746268656714
1995-03-01,21.75,26.0,20.38,24.0,254300,24.0,0.10344827586206895
1995-04-03,24.0,26.75,22.25,24.75,253000,24.75,0.03125
1995-05-01,24.5,25.0,20.0,20.75,182100,20.75,-0.16161616161616166
1995-06-01,21.0,24.25,14.75,16.5,666300,16.5,-0.20481927710843373
1995-07-03,16.5,19.12,14.87,18.62,252600,18.62,0.12848484848484865
1995-08-01,18.5,19.75,16.75,17.87,191600,17.87,-0.04027926960257788
1995-09-01,17.62,17.87,13.0,13.37,260200,13.37,-0.25181869054280925
1995-10-02,12.88,13.37,11.12,12.38,158300,12.38,-0.07404637247569168
1995-11-01,12.38,15.5,11.75,14.5,183200,14.5,0.17124394184168001
1995-12-01,14.25,18.0,13.63,18.0,182000,18.0,0.24137931034482762
1996-01-02,17.5,18.0,14.87,15.0,118000,15.0,-0.16666666666666663
1996-02-01,15.0,19.63,14.5,17.5,197000,17.5,0.16666666666666674
1996-03-01,17.62,17.75,15.5,15.5,69800,15.5,-0.11428571428571432
1996-04-01,15.5,16.37,14.38,15.0,110300,15.0,-0.032258064516129004
1996-05-01,15.0,17.5,13.5,17.12,133800,17.12,0.1413333333333333
1996-06-03,16.75,18.25,15.88,15.88,125300,15.88,-0.07242990654205606
1996-07-01,15.88,16.37,13.5,15.0,52800,15.0,-0.055415617128463546
1996-08-01,15.13,15.62,13.88,13.88,22500,13.88,-0.07466666666666666
1996-09-03,13.88,16.25,13.75,14.62,59000,14.62,0.05331412103746391
1996-10-01,14.5,17.62,9.62,10.69,320800,10.69,-0.2688098495212038
1996-11-01,10.88,10.88,9.5,9.75,158700,9.75,-0.08793264733395689
1996-12-02,9.5,11.12,8.5,9.0,225800,9.0,-0.07692307692307687
1997-01-02,9.02,11.62,9.0,11.25,150500,11.25,0.25
1997-02-03,11.5,11.62,8.25,8.5,128100,8.5,-0.24444444444444446
1997-03-03,8.25,9.62,7.5,7.88,128800,7.88,-0.07294117647058829
1997-04-01,8.12,9.0,7.37,8.75,320300,8.75,0.11040609137055846
1997-05-01,8.87,12.38,8.5,12.38,328800,12.38,0.41485714285714304
1997-06-02,12.25,14.31,11.5,11.75,276700,11.75,-0.05088852988691439
1997-07-01,11.69,14.12,10.75,13.63,192500,13.63,0.16000000000000014
1997-08-01,13.69,13.94,12.5,13.5,91000,13.5,-0.009537784299339713
1997-09-02,13.25,15.38,11.75,11.75,174500,11.75,-0.12962962962962965
1997-10-01,12.13,16.37,12.0,15.75,511600,15.75,0.34042553191489366
1997-11-03,16.0,16.63,14.5,15.25,128400,15.25,-0.031746031746031744
1997-12-01,15.5,16.44,13.0,15.62,200000,15.62,0.02426229508196709
1998-01-02,15.88,16.5,12.75,13.0,162100,13.0,-0.16773367477592827
1998-02-02,13.12,13.12,10.37,11.81,331300,11.81,-0.09153846153846146
1998-03-02,12.0,17.94,11.75,15.0,501500,15.0,0.27011007620660443
1998-04-01,14.94,20.0,14.5,19.75,628100,19.75,0.31666666666666665
1998-05-01,19.63,21.0,17.87,19.16,383200,19.16,-0.02987341772151897
1998-06-01,19.63,24.25,18.38,23.19,415700,23.19,0.2103340292275575
1998-07-01,23.19,25.0,21.25,22.25,331500,22.25,-0.040534713238464914
1998-08-03,22.12,23.62,15.5,16.06,315600,16.06,-0.2782022471910113
1998-09-01,16.25,20.12,12.75,15.38,328900,15.38,-0.04234122042341204
1998-10-01,15.0,18.13,11.5,16.63,675500,16.63,0.0812743823146942
1998-11-02,16.88,21.0,16.12,18.5,349900,18.5,0.11244738424533973
1998-12-01,18.0,20.5,14.62,20.12,568700,20.12,0.08756756756756756
1999-01-04,20.19,25.75,18.0,22.25,525700,22.25,0.10586481113320079
1999-02-01,22.75,28.5,22.31,27.88,839500,27.88,0.25303370786516854
1999-03-01,27.62,29.69,18.62,21.5,1056400,21.5,-0.2288378766140602
1999-04-01,24.25,27.56,19.0,27.13,1115000,27.13,0.26186046511627903
1999-05-03,27.62,34.19,24.5,29.31,839700,29.31,0.08035385182454857
1999-06-01,29.44,32.06,25.69,32.06,608500,32.06,0.09382463323097934
1999-07-01,31.88,42.44,29.62,41.94,1009600,41.94,0.3081721771678101
1999-08-02,41.12,50.44,34.88,45.56,752700,45.56,0.08631378159275171
1999-09-01,45.19,55.25,43.0,53.12,855200,53.12,0.1659350307287093
1999-10-01,53.0,60.25,41.75,48.5,1197800,48.5,-0.08697289156626498
1999-11-01,48.38,58.5,44.38,56.0,710600,56.0,0.15463917525773185
1999-12-01,55.88,55.94,23.25,36.5,1694900,36.5,-0.3482142857142857
2000-01-03,37.75,41.75,28.94,39.13,1006300,39.13,0.07205479452054808
2000-02-01,38.69,54.0,33.56,52.94,1056400,52.94,0.3529261436238178
2000-03-01,53.0,61.25,38.62,44.81,684200,44.81,-0.15357007933509625
2000-04-03,44.94,54.0,34.37,53.75,1232900,53.75,0.19950903816112464
2000-05-01,54.0,54.06,41.5,50.25,510600,50.25,-0.06511627906976747
2000-06-01,50.0,57.0,37.12,41.56,638800,41.56,-0.17293532338308448
2000-07-03,41.44,50.0,35.38,37.81,512400,37.81,-0.09023099133782486
2000-08-01,38.0,46.25,35.0,36.06,553300,36.06,-0.04628405183813811
2000-09-01,36.06,36.06,20.44,29.5,1495000,29.5,-0.18191902384914038
2000-10-02,29.75,29.75,9.06,12.19,1674700,12.19,-0.5867796610169491
2000-11-01,11.56,15.5,6.88,8.19,1519700,8.19,-0.32813781788351104
2000-12-01,8.44,10.12,7.62,7.91,1109500,7.91,-0.03418803418803407
2001-01-02,7.84,14.38,7.56,13.94,900400,13.94,0.7623261694058154
2001-02-01,14.0,14.0,8.75,8.97,672800,8.97,-0.35652797704447625
2001-03-01,8.88,9.5,6.62,7.28,368500,7.28,-0.18840579710144933
2001-04-02,7.31,9.12,5.25,8.24,412600,8.24,0.13186813186813184
2001-05-01,8.39,14.09,8.17,11.68,512800,11.68,0.41747572815533984
2001-06-01,11.69,15.76,9.5,12.4,1165000,12.4,0.06164383561643838
2001-07-02,12.24,13.59,8.52,10.3,765300,10.3,-0.16935483870967738
2001-08-01,10.45,11.1,6.5,7.24,470100,7.24,-0.2970873786407767
2001-09-04,7.12,7.9,2.68,3.58,595300,3.58,-0.505524861878453
2001-10-01,3.58,6.3,3.18,5.89,681000,5.89,0.6452513966480447
2001-11-01,5.56,9.3,5.38,8.1,296000,8.1,0.37521222410865884
2001-12-03,7.74,11.65,7.7,9.76,506500,9.76,0.20493827160493838
2002-01-02,9.53,10.7,7.71,9.2,522400,9.2,-0.05737704918032793
2002-02-04,10.21,10.7,8.1,8.48,391500,8.48,-0.07826086956521727
2002-03-01,8.5,10.15,8.44,9.3,384000,9.3,0.09669811320754729
2002-04-01,9.28,9.9,7.92,8.68,508100,8.68,-0.06666666666666676
2002-05-01,8.55,9.47,6.38,6.5,736800,6.5,-0.25115207373271886
2002-06-03,6.5,6.98,3.13,4.48,1324400,4.48,-0.3107692307692307
2002-07-01,4.48,5.1,3.04,4.09,696700,4.09,-0.08705357142857151
2002-08-01,4.05,4.84,3.05,3.86,444200,3.86,-0.05623471882640585
2002-09-03,3.89,4.37,3.2,3.7,293500,3.7,-0.041450777202072464
2002-10-01,3.67,4.09,1.5,1.74,749700,1.74,-0.5297297297297298
2002-11-01,1.74,3.72,1.66,3.33,537100,3.33,0.913793103448276
2002-12-02,3.39,4.03,2.05,3.57,451300,3.57,0.072072072072072
2003-01-02,3.65,4.75,3.4,3.69,559100,3.69,0.03361344537815136
2003-02-03,3.67,5.73,3.61,4.8,661400,4.8,0.30081300813008127
2003-03-03,4.85,5.1,3.23,3.7,2325600,3.7,-0.22916666666666663
2003-04-01,3.73,5.18,3.63,3.9,846500,3.9,0.054054054054053946
2003-05-01,3.91,5.4,3.85,5.2,1123400,5.2,0.3333333333333335
2003-06-02,5.23,6.7,4.41,4.96,1848900,4.96,-0.04615384615384621
2003-07-01,4.91,5.46,4.16,4.99,945000,4.99,0.006048387096774244
2003-08-01,5.12,5.33,4.1,4.91,785500,4.91,-0.01603206412825653
2003-09-02,4.96,6.59,4.9,5.75,1460700,5.75,0.17107942973523427
2003-10-01,5.48,6.31,4.85,6.0,1203500,6.0,0.04347826086956519
2003-11-03,6.0,6.79,5.29,6.45,1601800,6.45,0.07499999999999996
2003-12-01,6.64,7.58,6.15,7.24,1861400,7.24,0.1224806201550388
2004-01-02,7.32,10.74,7.28,9.19,4180100,9.19,0.2693370165745854
2004-02-02,9.3,11.4,8.99,10.37,2451000,10.37,0.12840043525571265
2004-03-01,10.46,10.69,7.3,9.14,2691700,9.14,-0.11861137897782048
2004-04-01,9.2,9.92,5.88,5.98,3410200,5.98,-0.34573304157549234
2004-05-03,5.98,6.38,4.42,6.32,3077800,6.32,0.05685618729096986
2004-06-01,6.25,6.31,5.04,5.94,1657100,5.94,-0.060126582278481
2004-07-01,6.0,6.04,4.1,4.4,1325100,4.4,-0.2592592592592593
2004-08-02,4.38,4.71,3.73,4.56,1052600,4.56,0.036363636363636154
2004-09-01,4.53,5.35,4.45,5.22,714200,5.22,0.14473684210526327
2004-10-01,5.22,5.69,4.34,4.65,1259200,4.65,-0.1091954022988505
2004-11-01,4.64,5.96,4.6,5.69,958600,5.69,0.2236559139784946
2004-12-01,5.72,7.23,5.64,7.04,1484200,7.04,0.23725834797891032
2005-01-03,7.11,7.27,5.91,6.19,1287500,6.19,-0.12073863636363635
2005-02-01,6.29,6.95,5.45,6.35,1725900,6.35,0.025848142164781818
2005-03-01,6.3,6.93,6.2,6.91,1069800,6.91,0.08818897637795287
2005-04-01,6.92,7.84,6.28,7.53,1397600,7.53,0.08972503617945016
2005-05-02,7.64,8.8,7.39,8.66,1796600,8.66,0.1500664010624171
2005-06-01,8.62,9.18,8.13,8.71,1381400,8.71,0.005773672055427337
2005-07-01,8.65,11.5,8.5,11.04,1893100,11.04,0.2675086107921927
2005-08-01,11.28,11.5,9.95,10.49,1744400,10.49,-0.04981884057971009
2005-09-01,10.57,12.17,10.56,11.86,2076100,11.86,0.13060057197330788
2005-10-03,11.9,12.79,7.12,8.27,3597300,8.27,-0.30269814502529513
2005-11-01,8.27,9.73,7.99,9.72,2549100,9.72,0.17533252720677162
2005-12-01,9.72,11.0,9.31,9.47,1744600,9.47,-0.025720164609053464
2006-01-03,9.63,11.89,9.5,11.75,1710500,11.75,0.24076029567053836
2006-02-01,11.7,14.3,10.7,12.69,2693200,12.69,0.07999999999999985
2006-03-01,12.68,14.29,11.99,13.76,1609300,13.76,0.0843183609141056
2006-04-03,13.8,14.22,11.48,11.85,2495400,11.85,-0.1388081395348837
2006-05-01,12.24,13.01,10.66,12.02,2094100,12.02,0.014345991561181437
2006-06-01,11.95,13.13,10.85,13.12,1658100,13.12,0.09151414309484185
2006-07-03,13.1,13.12,9.25,10.69,2544500,10.69,-0.1852134146341463
2006-08-01,10.72,11.54,10.12,11.46,1286100,11.46,0.07202993451824158
2006-09-01,11.5,12.05,11.16,11.46,1222000,11.46,0.0
2006-10-02,11.49,13.8,10.84,13.4,2537300,13.4,0.16928446771378702
2006-11-01,13.47,13.47,11.38,11.92,3465600,11.92,-0.11044776119402988
2006-12-01,11.89,12.86,11.43,12.51,2168800,12.51,0.049496644295301984
2007-01-03,12.63,14.24,12.32,14.21,3365400,14.21,0.13589128697042385
2007-02-01,14.54,15.45,12.87,13.14,4011500,13.14,-0.0752990851513019
2007-03-01,12.83,14.22,12.63,14.08,2317700,14.08,0.07153729071537285
2007-04-02,14.15,16.3,13.93,14.82,3244200,14.82,0.05255681818181812
2007-05-01,15.3,16.45,14.77,16.45,1927100,16.45,0.10998650472334681
2007-06-01,16.5,17.74,15.2,17.59,2278900,17.59,0.06930091185410348
2007-07-02,17.67,17.89,14.21,14.82,2539200,14.82,-0.15747583854462766
2007-08-01,14.82,15.73,12.95,15.18,1877600,15.18,0.02429149797570851
2007-09-04,15.15,15.4,11.21,12.35,2907200,12.35,-0.186429512516469
2007-10-01,12.26,12.75,10.88,11.5,3406700,11.5,-0.06882591093117407
2007-11-01,11.29,11.52,9.63,10.43,2839800,10.43,-0.09304347826086956
2007-12-03,10.36,10.59,9.53,9.98,2347700,9.98,-0.043144774688398835
2008-01-02,9.92,10.03,6.91,8.79,3324600,8.79,-0.11923847695390799
2008-02-01,8.85,9.32,4.96,5.75,6614700,5.75,-0.3458475540386803
2008-03-03,5.72,6.16,5.21,5.82,3339900,5.82,0.012173913043478368
2008-04-01,5.99,8.44,5.84,8.1,3145500,8.1,0.39175257731958757
2008-05-01,8.08,9.41,7.64,9.36,3196200,9.36,0.15555555555555545
2008-06-02,9.31,10.39,8.25,8.45,2995800,8.45,-0.09722222222222221
2008-07-01,8.28,9.78,6.67,9.57,3593100,9.57,0.132544378698225
2008-08-01,9.55,10.02,9.0,9.46,1787700,9.46,-0.011494252873563204
2008-09-02,9.61,9.75,7.12,7.73,2197900,7.73,-0.18287526427061318
2008-10-01,7.65,7.97,4.47,6.91,2922800,6.91,-0.10608020698576981
2008-11-03,6.94,7.37,5.23,7.19,2132200,7.19,0.0405209840810421
2008-12-01,6.99,8.05,6.28,7.95,1820900,7.95,0.10570236439499303
2009-01-02,8.04,8.28,6.73,7.12,1779200,7.12,-0.10440251572327042
2009-02-02,7.01,7.27,5.91,6.12,2480000,6.12,-0.1404494382022472
2009-03-02,6.01,7.96,5.81,7.37,1552400,7.37,0.20424836601307184
2009-04-01,7.37,11.5,7.21,10.67,2731500,10.67,0.4477611940298507
2009-05-01,10.67,12.49,9.95,12.11,2596400,12.11,0.134957825679475
2009-06-01,12.3,12.91,11.12,12.17,2144000,12.17,0.0049545829892652105
2009-07-01,12.24,13.7,10.87,12.18,2242100,12.18,0.0008216926869351049
2009-08-03,12.37,13.74,12.12,13.26,1779100,13.26,0.08866995073891637
2009-09-01,13.22,13.75,12.13,13.01,1925500,13.01,-0.018853695324283604
2009-10-01,12.91,12.97,10.13,10.2,2308100,10.2,-0.21598770176787097
2009-11-02,10.29,11.15,9.82,9.99,1344700,9.99,-0.020588235294117574
2009-12-01,10.12,11.62,9.88,11.43,1380300,11.43,0.144144144144144
2010-01-04,11.58,11.78,9.94,10.04,1784700,10.04,-0.12160979877515321
2010-02-01,10.05,10.44,9.39,10.32,1663900,10.32,0.02788844621513964
2010-03-01,10.41,12.9,10.35,12.01,1839500,12.01,0.16375968992248047
2010-04-01,12.06,13.03,11.9,12.27,1778500,12.27,0.02164862614487917
2010-05-03,12.31,12.67,10.61,10.97,2104100,10.97,-0.10594947025264867
2010-06-01,10.88,11.26,10.11,10.19,1850900,10.19,-0.07110300820419335
2010-07-01,10.21,12.15,9.28,9.32,2054900,9.32,-0.08537782139352301
2010-08-02,9.42,9.68,8.16,8.18,1508500,8.18,-0.12231759656652363
2010-09-01,8.29,9.9,8.22,9.77,1430700,9.77,0.1943765281173595
2010-10-01,9.89,10.14,8.9,9.31,1905600,9.31,-0.04708290685772765
2010-11-01,9.37,10.49,9.06,10.01,1470700,10.01,0.07518796992481191
2010-12-01,10.19,11.32,10.14,11.22,935500,11.22,0.1208791208791209
2011-01-03,11.52,12.8,11.31,12.48,1487800,12.48,0.11229946524064172
2011-02-01,12.52,14.49,12.2,13.2,1690300,13.2,0.05769230769230771
2011-03-01,13.28,13.37,11.76,12.74,1150400,12.74,-0.034848484848484795
2011-04-01,12.77,13.06,11.54,12.01,1325600,12.01,-0.057299843014128715
2011-05-02,12.02,12.02,10.5,11.29,1514100,11.29,-0.05995004163197337
2011-06-01,11.29,11.7,10.37,11.61,1304100,11.61,0.02834366696191326
2011-07-01,11.59,12.59,10.89,12.0,1186900,12.0,0.033591731266150004
2011-08-01,12.13,12.24,9.6,10.92,1765900,10.92,-0.08999999999999997
2011-09-01,10.98,11.47,9.92,10.3,1286700,10.3,-0.056776556776556686
2011-10-03,10.27,12.75,9.81,10.76,1608500,10.76,0.044660194174757084
2011-11-01,10.52,11.2,9.97,10.75,1014900,10.75,-0.0009293680297397522
