Date,Open,High,Low,Close,Volume,Adj Close,Return
2007-01-23,25.0,26.22,22.6,22.87,1359900,22.87,0.0
2007-02-01,22.89,23.5,20.5,21.27,218800,21.27,-0.06996064713598604
2007-03-01,21.08,24.5,20.65,22.86,212300,22.86,0.07475317348377986
2007-04-02,22.77,23.71,21.17,21.4,96900,21.4,-0.06386701662292216
2007-05-01,21.4,22.61,20.38,20.76,83500,20.76,-0.02990654205607468
2007-06-01,21.0,23.43,20.05,20.61,119400,20.61,-0.007225433526011682
2007-07-02,20.79,22.58,19.55,19.59,151500,19.59,-0.049490538573507936
2007-08-01,19.5,21.0,17.97,19.76,103800,19.76,0.008677896886166492
2007-09-04,19.42,24.68,19.42,23.01,202700,23.01,0.16447368421052633
2007-10-01,22.96,26.93,22.5,25.73,164100,25.73,0.11820947414167748
2007-11-01,25.5,25.73,22.25,24.09,106600,24.09,-0.06373882627283334
2007-12-03,23.69,26.52,22.8,24.2,118900,24.2,0.004566210045662045
2008-01-02,24.72,25.4,20.26,23.01,125500,23.01,-0.04917355371900822
2008-02-01,23.15,24.1,21.24,21.24,113600,21.24,-0.0769230769230771
2008-03-03,21.25,21.51,18.44,20.45,168200,20.45,-0.0371939736346516
2008-04-01,20.25,24.35,19.86,23.91,153500,23.91,0.16919315403422996
2008-05-01,23.84,26.89,22.82,26.58,120600,26.58,0.11166875784190711
2008-06-02,26.68,28.7,24.54,27.18,231700,27.18,0.02257336343115135
2008-07-01,27.07,32.98,26.31,32.63,347200,32.63,0.20051508462104506
2008-08-01,32.91,34.61,30.53,33.46,153900,33.46,0.02543671467974251
2008-09-02,33.97,35.63,29.14,31.95,294700,31.95,-0.0451285116557083
2008-10-01,31.85,36.64,25.08,35.92,330900,35.92,0.1242566510172145
2008-11-03,36.0,38.7,28.5,32.23,378800,32.23,-0.10272828507795118
2008-12-01,31.5,37.6,29.69,36.81,453400,36.81,0.1421036301582379
2009-01-02,37.33,40.5,33.0,37.06,671000,37.06,0.006791632708503137
2009-02-02,37.35,41.22,30.85,31.22,460400,31.22,-0.15758229897463583
2009-03-02,30.41,34.39,18.5,20.9,798100,20.9,-0.33055733504164
2009-04-01,20.9,25.85,20.63,23.66,339600,23.66,0.13205741626794265
2009-05-01,23.91,29.38,23.15,27.92,267400,27.92,0.18005071851225707
2009-06-01,27.72,31.75,25.6,30.86,232200,30.86,0.10530085959885382
2009-07-01,31.5,32.9,27.82,28.44,161000,28.44,-0.07841866493843153
2009-08-03,28.58,29.92,27.12,28.13,166000,28.13,-0.010900140646976197
2009-09-01,28.14,30.74,26.63,28.09,229300,28.09,-0.0014219694276572659
2009-10-01,27.95,31.25,26.28,26.66,197600,26.66,-0.050907796368814484
2009-11-02,26.57,30.84,25.64,28.74,112700,28.74,0.07801950487621889
2009-12-01,28.73,31.45,28.12,29.08,186800,29.08,0.011830201809325036
2010-01-04,29.21,35.38,28.0,34.07,361900,34.07,0.1715955983493811
