Date,Open,High,Low,Close,Volume,Adj Close,Return
1981-12-31,18.31,18.62,18.0,18.62,334400,1.19,0.0
1982-01-04,18.37,28.0,17.12,27.0,3118400,1.76,0.47899159663865554
1982-02-01,27.0,27.37,20.75,21.25,2633500,1.38,-0.21590909090909094
1982-03-01,21.87,22.75,14.13,16.37,1075500,1.06,-0.2318840579710144
1982-04-01,16.5,18.25,16.37,17.5,824600,1.15,0.08490566037735836
1982-05-03,17.37,18.25,17.25,17.87,714100,1.18,0.026086956521739202
1982-06-01,18.12,21.5,18.0,20.75,558800,1.37,0.1610169491525426
1982-07-01,20.62,20.87,19.62,20.0,305300,1.34,-0.021897810218978075
1982-08-02,20.12,24.25,19.0,24.25,318100,1.62,0.20895522388059695
1982-09-01,24.25,26.25,23.12,23.25,327500,1.55,-0.04320987654320996
1982-10-01,23.5,27.5,23.12,25.25,489700,1.7,0.09677419354838701
1982-11-01,25.37,26.62,23.37,25.25,459200,1.7,0.0
1982-12-01,25.25,27.0,23.0,25.0,208500,1.69,-0.00588235294117645
1983-01-03,25.0,26.5,24.62,26.0,283300,1.77,0.047337278106508895
1983-02-01,26.0,28.5,25.75,27.0,168500,1.84,0.039548022598870025
1983-03-01,27.37,27.62,24.75,27.0,172800,1.84,0.0
1983-04-04,26.87,32.63,26.75,32.0,541100,2.2,0.19565217391304346
1983-05-02,31.87,37.63,31.12,37.38,410500,2.57,0.168181818181818
1983-06-01,37.38,44.25,36.5,39.0,378900,2.68,0.04280155642023353
1983-07-01,39.0,42.5,37.25,40.5,281000,2.8,0.04477611940298498
1983-08-01,40.25,40.63,37.25,39.0,1204300,2.7,-0.03571428571428559
1983-09-01,39.25,48.25,36.88,47.38,377700,3.28,0.21481481481481457
1983-10-03,47.63,51.75,46.75,47.5,521600,3.3,0.0060975609756097615
1983-11-01,47.75,52.25,25.75,26.5,453300,3.69,0.11818181818181817
1983-12-01,26.75,29.87,26.75,28.87,436100,4.02,0.08943089430894302
1984-01-03,28.62,32.25,26.62,27.0,366100,3.77,-0.06218905472636804
1984-02-01,27.0,28.75,24.0,24.87,362600,3.48,-0.07692307692307698
1984-03-01,24.87,27.5,24.0,27.12,350600,3.79,0.08908045977011492
1984-04-02,27.37,29.12,26.0,27.87,532600,3.92,0.03430079155672816
1984-05-01,27.5,28.87,23.75,25.5,333300,3.58,-0.08673469387755095
1984-06-01,25.62,29.75,25.62,29.0,310100,4.08,0.13966480446927365
1984-07-02,29.0,31.12,27.5,29.75,240800,4.21,0.0318627450980391
1984-08-01,29.87,36.25,29.87,35.38,425800,5.01,0.1900237529691211
1984-09-04,35.25,35.25,32.13,32.75,358000,4.63,-0.07584830339321358
1984-10-01,32.63,33.75,30.75,33.25,288200,4.73,0.02159827213822907
1984-11-01,33.63,35.75,31.12,31.37,349600,4.47,-0.05496828752642724
1984-12-03,31.62,34.13,28.25,33.88,445400,4.82,0.07829977628635354
1985-01-02,33.75,39.38,32.75,38.63,427100,5.54,0.14937759336099576
1985-02-01,38.75,40.75,37.63,39.5,239400,5.66,0.02166064981949467
1985-03-01,39.5,40.38,33.25,36.75,362400,5.27,-0.06890459363957602
1985-04-01,36.75,37.38,32.75,33.25,325700,4.8,-0.08918406072106255
1985-05-01,33.25,36.75,31.0,35.75,606500,5.16,0.07500000000000018
1985-06-03,35.75,38.5,35.63,36.88,394200,5.32,0.03100775193798455
1985-07-01,37.0,40.13,36.13,36.88,437600,5.36,0.007518796992481258
1985-08-01,37.0,37.88,34.75,34.75,256200,5.05,-0.05783582089552253
1985-09-03,35.0,36.0,34.0,35.75,374100,5.19,0.027722772277227747
1985-10-01,35.63,38.75,35.5,38.75,281800,5.67,0.09248554913294793
1985-11-01,39.13,42.25,38.25,42.0,389000,6.14,0.08289241622574961
1985-12-02,41.75,45.5,41.5,43.63,337000,6.38,0.039087947882736174
1986-01-02,43.63,49.88,43.25,49.63,295700,7.3,0.14420062695924774
1986-02-03,49.25,56.13,26.37,26.62,530700,7.84,0.07397260273972606
1986-03-03,26.75,34.25,25.87,33.13,484500,9.75,0.24362244897959195
1986-04-01,32.88,33.5,28.75,32.75,412000,9.68,-0.007179487179487243
1986-05-01,32.25,36.38,30.5,36.13,308900,10.68,0.10330578512396693
1986-06-02,36.13,38.75,34.88,35.38,234500,10.46,-0.020599250936329527
1986-07-01,37.0,39.38,32.25,33.0,312500,9.79,-0.06405353728489505
1986-08-01,33.0,34.0,31.0,32.38,274300,9.61,-0.018386108273748647
1986-09-02,32.5,33.38,26.5,28.62,233100,8.49,-0.1165452653485951
1986-10-01,28.62,32.13,27.25,31.87,224000,9.5,0.11896348645465249
1986-11-03,31.5,32.0,29.12,31.87,342000,9.5,0.0
1986-12-01,32.0,35.0,31.5,33.88,344100,10.1,0.06315789473684208
1987-01-02,34.38,39.13,34.13,37.25,366100,11.15,0.10396039603960405
1987-02-02,37.5,44.5,37.25,41.25,282900,12.35,0.10762331838565009
1987-03-02,41.25,49.5,40.88,48.0,315200,14.37,0.1635627530364372
1987-04-01,47.5,48.88,39.75,47.63,426100,14.31,-0.0041753653444676075
1987-05-01,47.5,48.5,42.63,45.88,285700,13.78,-0.03703703703703709
1987-06-01,46.0,48.88,22.5,24.0,401800,14.42,0.046444121915820036
1987-07-01,24.0,27.75,23.25,27.62,448900,16.64,0.15395284327323178
1987-08-03,27.37,30.25,26.87,29.5,417300,17.78,0.06850961538461542
1987-09-01,29.62,30.12,25.37,27.87,313500,16.79,-0.055680539932508544
1987-10-01,28.0,29.62,13.13,17.0,592800,10.27,-0.3883263847528291
1987-11-02,16.75,18.62,12.0,12.13,430300,7.33,-0.2862706913339824
1987-12-01,12.38,15.63,10.75,14.75,589200,8.92,0.21691678035470674
1988-01-04,15.25,17.75,14.5,17.75,379500,10.78,0.20852017937219736
1988-02-01,17.87,21.0,16.62,19.87,313700,12.07,0.11966604823747695
1988-03-01,20.12,24.12,19.75,23.5,431300,14.28,0.18309859154929575
1988-04-04,23.37,23.75,19.75,23.37,375100,14.26,-0.0014005602240896309
1988-05-02,23.37,23.62,20.37,22.5,227400,13.73,-0.03716690042075732
1988-06-01,22.37,23.75,20.5,21.5,365400,13.12,-0.04442825928623462
1988-07-01,21.62,22.12,20.5,22.12,256000,13.56,0.0335365853658538
1988-08-01,22.12,22.5,19.0,19.12,219900,11.72,-0.13569321533923306
1988-09-01,19.0,20.75,18.62,19.62,232200,12.03,0.026450511945392385
1988-10-03,19.37,20.12,17.5,18.12,497200,11.17,-0.07148794679966741
1988-11-01,18.0,18.75,16.87,17.25,214800,10.64,-0.047448522829006246
1988-12-01,17.0,18.0,16.25,16.87,381800,10.4,-0.022556390977443663
