Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-02-26,20.0,20.06,20.0,20.0,820900,19.08,0.0
2013-03-01,20.0,20.5,20.0,20.0,76700,19.08,0.0
2013-04-01,20.0,20.05,18.69,19.16,122000,18.38,-0.03668763102725359
2013-05-01,19.3,19.65,17.74,18.0,136300,17.38,-0.054406964091403665
2013-06-03,18.0,18.15,16.36,17.56,223400,17.07,-0.017836593785960808
2013-07-01,17.43,17.85,16.07,16.63,192200,16.28,-0.046280023432923256
2013-08-01,16.63,17.04,15.57,15.63,206800,15.41,-0.05343980343980348
2013-09-03,15.66,16.67,15.51,16.67,220500,16.55,0.073977936404932
2013-10-01,16.55,17.42,16.0,17.04,180100,17.04,0.029607250755286918
2013-11-01,17.02,17.35,16.67,16.79,156800,16.79,-0.01467136150234738
