Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-02-23,18.0,18.37,17.25,17.5,594200,28.17,0.0
1994-03-01,17.37,18.75,15.0,15.25,56400,24.55,-0.1285055023074193
1994-04-04,14.5,17.12,13.75,16.62,29200,26.76,0.09002036659877799
1994-05-02,16.37,16.75,15.63,16.37,13500,26.36,-0.014947683109118204
1994-06-01,16.12,16.25,14.0,15.25,10900,24.55,-0.06866464339908951
1994-07-01,15.13,16.62,14.75,14.75,4800,23.75,-0.03258655804480659
1994-08-01,15.0,15.25,14.13,14.88,6400,23.96,0.008842105263157984
1994-09-01,14.75,16.25,14.63,14.63,15700,23.55,-0.017111853088480844
1994-10-03,14.5,14.63,11.38,12.0,19900,19.32,-0.17961783439490442
1994-11-01,12.13,13.25,11.13,11.75,6500,18.92,-0.020703933747411973
1994-12-01,11.75,12.88,11.5,11.63,15500,18.72,-0.010570824524313016
1995-01-03,11.5,14.5,11.5,14.0,24600,22.54,0.204059829059829
1995-02-01,14.0,14.63,13.25,14.63,7300,23.55,0.04480922803904175
1995-03-01,14.63,14.63,12.5,13.5,19500,21.73,-0.07728237791932058
1995-04-03,13.5,14.25,13.38,14.25,4100,22.94,0.05568338702254949
1995-05-01,14.25,16.87,14.13,15.5,7900,24.95,0.0876198779424584
1995-06-01,15.5,16.62,15.0,16.62,11700,26.76,0.07254509018036082
1995-07-03,16.62,16.87,16.0,16.25,8400,26.16,-0.022421524663677195
1995-08-01,16.12,16.5,15.25,15.88,18600,25.57,-0.02255351681957185
1995-09-01,15.75,17.62,15.25,16.87,28700,27.16,0.06218224481814616
1995-10-02,17.0,18.37,16.25,17.5,24600,28.17,0.03718703976435944
1995-11-01,17.5,19.5,17.25,19.25,43200,30.99,0.10010649627263035
1995-12-01,19.37,20.62,18.25,20.62,25100,33.2,0.07131332687963865
1996-01-02,20.62,21.0,17.62,19.37,24900,31.19,-0.06054216867469886
1996-02-01,19.12,19.75,18.62,19.0,27800,30.59,-0.019236934915036863
1996-03-01,19.0,19.0,16.0,17.5,22400,28.17,-0.07911082052958474
1996-04-01,17.75,17.87,14.88,16.0,23800,25.76,-0.08555200567980126
1996-05-01,16.12,17.12,15.25,17.12,27200,27.56,0.06987577639751552
1996-06-03,17.25,18.37,15.25,16.0,21600,25.76,-0.06531204644412181
1996-07-01,16.0,16.5,15.13,15.88,13000,25.57,-0.007375776397515632
1996-08-01,16.12,17.0,14.38,14.5,18600,23.34,-0.08721157606570196
1996-09-03,14.63,14.75,13.63,14.38,38200,23.15,-0.008140531276778162
1996-10-01,14.38,15.5,13.63,13.88,17700,22.35,-0.03455723542116618
1996-11-01,13.75,16.12,13.75,16.12,38900,25.95,0.1610738255033557
1996-12-02,16.12,18.5,15.13,18.5,12800,29.78,0.1475915221579962
1997-01-02,18.37,18.5,15.5,16.12,29200,25.95,-0.12860980523841514
1997-02-03,16.0,16.62,15.88,16.25,18500,26.16,0.008092485549132888
1997-03-03,16.5,16.5,14.63,14.75,13600,23.75,-0.09212538226299694
1997-04-01,14.25,14.25,12.75,13.88,36300,22.35,-0.058947368421052526
1997-05-01,13.88,15.5,13.63,15.38,16400,24.76,0.10782997762863533
1997-06-02,15.38,17.25,15.38,16.0,22800,25.76,0.04038772213247177
1997-07-01,16.12,18.31,15.88,18.19,20800,29.29,0.13703416149068315
1997-08-01,18.44,20.56,18.31,18.87,16000,30.38,0.03721406623420953
1997-09-02,18.75,20.62,18.5,19.69,6800,31.7,0.04344963791968404
1997-10-01,19.75,20.0,18.62,19.12,5500,30.78,-0.02902208201892742
1997-11-03,19.12,19.69,17.69,17.81,16300,28.67,-0.0685510071474984
1997-12-01,17.81,19.94,17.81,19.94,15000,32.1,0.1196372514823858
1998-01-02,20.0,21.5,19.87,21.44,15300,34.52,0.07538940809968842
1998-02-02,21.19,23.75,19.94,23.75,22200,38.24,0.10776361529548084
1998-03-02,23.75,26.0,22.75,25.69,23300,41.36,0.08158995815899583
1998-04-01,25.81,27.12,23.0,24.37,36400,39.24,-0.05125725338491294
1998-05-01,24.31,24.31,21.0,22.75,28100,36.63,-0.0665137614678899
1998-06-01,22.94,25.94,22.5,25.94,18200,41.76,0.14004914004913993
1998-07-01,26.0,26.87,22.12,24.44,27100,39.35,-0.05771072796934862
1998-08-03,24.31,24.69,21.37,21.37,24700,34.41,-0.12554002541296072
1998-09-01,21.25,21.62,20.12,20.62,14200,33.2,-0.03516419645451885
1998-10-01,20.5,20.5,16.5,17.69,16300,28.48,-0.14216867469879524
1998-11-02,17.69,25.19,17.69,23.87,51700,38.43,0.3493679775280898
1998-12-01,23.87,25.81,22.94,25.0,18800,40.25,0.04735883424408005
1999-01-04,25.0,27.0,21.81,27.0,27100,43.47,0.08000000000000007
1999-02-01,27.12,27.37,21.75,21.75,29500,35.02,-0.19438693351736824
1999-03-01,21.75,22.37,19.75,21.0,22300,33.81,-0.034551684751570555
1999-04-01,21.25,24.44,19.69,23.06,18900,37.13,0.09819580005915407
1999-05-03,22.94,23.81,21.44,22.25,14700,35.82,-0.03528144357662277
1999-06-01,22.87,24.0,22.12,23.12,15800,37.22,0.03908431044109428
1999-07-01,23.44,25.56,23.25,25.37,12200,40.85,0.09752821063944128
1999-08-02,25.25,26.37,22.0,22.19,11100,35.73,-0.1253365973072217
1999-09-01,22.06,23.0,17.75,18.56,8900,29.88,-0.1637279596977329
1999-10-01,18.69,19.44,15.63,19.12,16200,30.78,0.030120481927710996
1999-11-01,19.31,20.75,18.62,18.94,15800,30.49,-0.009421702404158627
1999-12-01,18.81,20.12,17.19,19.25,16200,30.99,0.016398819285011523
2000-01-03,19.5,20.25,17.87,18.37,11600,29.58,-0.04549854791868346
2000-02-01,18.31,19.69,17.25,18.5,22300,29.78,0.006761325219743153
2000-03-01,18.5,19.37,17.06,18.75,23400,30.19,0.013767629281396854
2000-04-03,18.75,19.31,17.44,19.12,13400,30.78,0.01954289499834383
2000-05-01,19.25,22.19,18.37,18.37,12000,29.58,-0.03898635477582857
2000-06-01,18.56,19.87,17.81,18.25,8000,29.38,-0.006761325219743042
2000-07-03,18.31,21.12,18.25,21.06,9800,33.91,0.1541865214431586
2000-08-01,21.06,25.25,21.06,24.75,9300,39.85,0.17516956649955784
2000-09-01,24.87,27.37,23.06,27.25,12000,43.87,0.10087829360100375
2000-10-02,26.62,28.87,25.69,27.87,15000,44.87,0.02279462046956926
2000-11-01,28.0,34.44,28.0,31.31,19500,50.41,0.12346779585469125
2000-12-01,31.19,41.0,31.0,40.0,26000,64.4,0.2775243007339816
2001-01-02,41.63,50.24,33.69,47.9,86300,77.12,0.19751552795031047
2001-02-01,48.15,57.77,44.21,45.7,109500,73.58,-0.045902489626556076
2001-03-01,45.7,46.4,34.7,39.3,77000,63.27,-0.14011959771677085
2001-04-02,37.75,60.0,37.75,58.4,102400,94.02,0.4860123281175912
2001-05-01,58.25,69.5,53.8,60.0,162500,96.6,0.02744097000638157
2001-06-01,59.9,66.1,53.85,63.49,103500,102.22,0.058178053830227894
2001-07-02,63.09,79.35,63.0,72.96,171000,117.46,0.14909019761299147
2001-08-01,73.2,76.9,59.25,64.9,147600,104.49,-0.11042056870423977
2001-09-04,64.55,67.5,41.5,48.6,185300,78.25,-0.25112450952244225
2001-10-01,48.6,53.25,41.0,45.67,143400,73.53,-0.0603194888178914
2001-11-01,46.76,68.64,45.3,67.0,201400,107.87,0.4670202638378893
2001-12-03,66.75,77.1,64.4,73.17,208800,117.8,0.09205525169185114
2002-01-02,73.17,82.6,66.31,80.1,242900,128.96,0.09473684210526323
2002-02-04,83.2,92.39,80.25,90.55,282800,145.78,0.13042803970223327
2002-03-01,90.75,95.05,76.08,77.55,385300,124.85,-0.14357250651666897
2002-04-01,77.2,91.35,73.3,88.52,359200,142.52,0.14152983580296374
2002-05-01,88.5,92.48,76.51,78.22,309300,125.93,-0.11640471512770134
2002-06-03,77.72,82.35,70.91,80.0,338800,128.8,0.022790439132851725
2002-07-01,80.0,80.75,54.25,62.36,530900,100.4,-0.22049689440993792
2002-08-01,61.8,69.08,55.25,64.18,312000,103.33,0.029183266932270913
2002-09-03,62.9,73.3,58.25,61.05,461300,98.29,-0.048775766960224454
2002-10-01,61.95,68.99,51.4,65.73,472600,105.82,0.07661003153932233
2002-11-01,65.63,70.4,57.75,63.77,387800,102.67,-0.02976752976752972
2002-12-02,64.25,64.69,58.25,60.6,267100,97.57,-0.04967371189247105
2003-01-02,60.75,63.37,55.7,57.55,294200,92.65,-0.050425335656451686
2003-02-03,57.69,59.78,54.66,58.36,322800,93.96,0.014139233675121377
2003-03-03,58.47,63.93,52.49,58.81,386400,94.68,0.00766283524904221
2003-04-01,58.99,71.46,58.18,70.25,313200,113.1,0.19455006337135594
2003-05-01,70.38,86.15,68.96,84.8,372700,136.53,0.20716180371352788
2003-06-02,85.4,94.9,83.06,83.5,494700,134.43,-0.015381234893430018
2003-07-01,83.5,87.94,76.78,77.16,446400,124.23,-0.07587592055344794
2003-08-01,77.06,84.98,75.57,83.12,272700,133.82,0.07719552443049182
2003-09-02,83.12,87.67,80.0,84.4,280900,135.88,0.015393812584068245
