Date,Open,High,Low,Close,Volume,Adj Close,Return
2006-01-03,25.6,27.51,24.89,26.2,298900,20.94,0.0
2006-02-01,26.2,26.68,24.37,24.47,118700,19.68,-0.06017191977077374
2006-03-01,24.46,25.15,23.86,24.1,157200,19.39,-0.014735772357723498
2006-04-03,24.15,25.59,24.13,25.46,74400,20.48,0.056214543579164555
2006-05-01,25.46,26.8,24.86,25.9,71200,20.84,0.017578125
2006-06-01,25.77,27.77,25.59,27.06,73100,21.92,0.051823416506717956
2006-07-03,27.06,27.6,26.16,27.38,49900,22.18,0.011861313868613
2006-08-01,27.29,29.09,25.55,28.56,58700,23.3,0.0504959422903517
2006-09-01,28.81,29.75,28.0,28.22,52600,23.02,-0.012017167381974336
2006-10-02,28.21,29.25,27.72,28.97,54300,23.63,0.026498696785403952
2006-11-01,28.99,30.91,28.45,29.73,44100,24.41,0.03300888700804072
2006-12-01,29.8,32.01,29.46,31.22,72200,25.64,0.05038918476034415
2007-01-03,31.31,31.83,30.56,31.16,69600,25.59,-0.0019500780031201925
2007-02-01,31.4,32.27,28.73,30.4,112500,24.96,-0.02461899179366933
2007-03-01,30.0,31.29,29.16,30.61,58200,25.32,0.014423076923076872
2007-04-02,30.62,32.5,27.15,31.8,75100,26.31,0.0390995260663507
2007-05-01,31.8,33.66,31.29,33.23,126100,27.67,0.05169137210186259
2007-06-01,33.1,34.0,32.38,33.33,124500,27.76,0.003252620166245057
2007-07-02,33.55,35.54,31.49,31.66,69600,26.37,-0.050072046109510104
2007-08-01,31.5,32.71,28.87,31.46,66700,26.2,-0.006446719757300046
2007-09-04,31.65,32.95,30.25,31.51,98700,26.45,0.009541984732824416
2007-10-01,31.29,31.63,28.16,28.74,35800,24.13,-0.08771266540642719
2007-11-01,28.38,28.51,25.73,27.45,56700,23.26,-0.03605470368835462
2007-12-03,27.42,27.48,25.72,26.75,66900,22.67,-0.02536543422184001
2008-01-02,26.8,27.0,21.36,25.22,142400,21.37,-0.05734450816056469
2008-02-01,25.11,25.84,22.79,22.8,83300,19.53,-0.08610201216658864
2008-03-03,22.71,23.39,21.08,22.1,57200,18.93,-0.030721966205837226
2008-04-01,22.42,23.56,20.68,23.13,45800,19.81,0.04648705758055982
2008-05-01,23.13,24.99,21.53,21.53,52400,18.67,-0.057546693589096254
2008-06-02,21.59,22.31,19.31,19.48,33800,16.89,-0.09534011783610075
2008-07-01,19.19,19.4,16.16,16.38,31100,14.2,-0.15926583777383074
2008-08-01,16.42,18.46,15.78,16.19,28700,14.27,0.004929577464788837
2008-09-02,16.42,17.18,14.15,14.63,33700,12.89,-0.09670637701471607
2008-10-01,14.35,14.59,7.57,9.83,66900,8.66,-0.32816136539953455
2008-11-03,9.91,10.0,4.37,6.68,51900,5.89,-0.31986143187066984
2008-12-01,6.61,8.43,5.62,8.24,61200,7.61,0.29202037351443133
2009-01-02,8.3,9.16,5.76,5.78,42300,5.33,-0.29960578186596587
2009-02-02,5.67,6.6,4.3,4.32,32600,3.99,-0.25140712945590993
2009-03-02,4.14,4.99,3.06,3.92,36800,3.67,-0.08020050125313294
2009-04-01,3.81,7.77,3.75,7.12,45400,6.67,0.8174386920980927
2009-05-01,7.16,8.85,6.5,7.48,40300,7.01,0.050974512743628075
2009-06-01,7.58,9.49,6.7,6.97,19300,6.57,-0.06276747503566327
2009-07-01,7.05,8.25,5.69,8.21,15600,7.73,0.1765601217656012
2009-08-03,8.22,11.64,8.22,10.34,40600,9.74,0.26002587322121595
2009-09-01,10.3,13.17,9.73,12.06,30400,11.41,0.17145790554414786
2009-10-01,11.84,14.02,11.29,11.8,25000,11.17,-0.02103418054338302
2009-11-02,11.79,13.88,11.63,12.87,20800,12.18,0.09042076991942705
2009-12-01,13.02,14.58,12.74,14.07,30200,13.36,0.09688013136288998
2010-01-04,14.34,14.35,12.77,12.95,22900,12.3,-0.07934131736526939
2010-02-01,13.01,13.97,12.34,13.05,25000,12.4,0.008130081300812941
2010-03-01,13.12,14.94,13.12,13.94,20700,13.29,0.0717741935483871
2010-04-01,14.03,16.73,13.93,16.23,13500,15.47,0.16403310759969925
2010-05-03,16.49,16.94,13.2,14.63,21200,13.94,-0.098901098901099
2010-06-01,14.32,15.37,12.9,12.98,14200,12.46,-0.10616929698708744
2010-07-01,12.96,15.2,12.29,15.04,23900,14.44,0.15890850722311378
2010-08-02,15.25,15.74,13.05,13.83,9800,13.28,-0.08033240997229918
2010-09-01,14.05,16.19,14.05,15.9,15700,15.32,0.15361445783132543
2010-10-01,16.05,18.24,15.94,16.99,25200,16.37,0.06853785900783294
2010-11-01,17.06,17.75,16.05,16.85,15500,16.23,-0.008552229688454482
2010-12-01,17.17,19.82,17.09,19.03,14200,18.39,0.13308687615526793
2011-01-03,19.29,20.92,18.98,19.78,15200,19.11,0.039151712887438794
2011-02-01,20.03,24.05,19.86,24.05,8500,23.24,0.21611721611721602
2011-03-01,24.0,26.25,22.41,25.12,9900,24.32,0.04647160068846823
2011-04-01,25.23,25.76,23.53,25.15,6500,24.35,0.0012335526315789824
2011-05-02,25.03,28.48,25.03,28.15,7800,27.26,0.11950718685831618
2011-06-01,28.05,29.53,25.42,28.77,12300,27.96,0.02567865003668368
2011-07-01,29.02,30.03,27.36,27.61,10900,26.83,-0.040414878397711074
2011-08-01,27.96,28.14,21.32,25.41,9600,24.69,-0.07976146105106219
2011-09-01,25.5,25.75,20.36,20.61,4500,20.12,-0.1850951802349129
2011-10-03,20.5,27.08,18.36,26.37,9500,25.74,0.27932405566600393
2011-11-01,24.89,27.21,23.71,26.19,3800,25.56,-0.006993006993006978
2011-12-01,26.15,28.05,25.12,27.68,10100,27.12,0.06103286384976525
2012-01-03,28.11,30.0,27.82,29.19,3800,28.6,0.054572271386430726
2012-02-01,29.5,30.97,29.16,30.7,7700,30.08,0.051748251748251706
2012-03-01,30.73,34.26,29.56,34.26,9200,33.68,0.11968085106382986
2012-04-02,34.18,35.21,31.8,34.09,6300,33.51,-0.005047505938242325
2012-05-01,34.25,35.56,30.49,32.82,9100,32.26,-0.037302297821545816
2012-06-01,31.85,33.33,30.85,33.29,3100,32.82,0.017358958462492247
2012-07-02,33.49,34.13,30.55,33.7,6500,33.23,0.01249238269347952
2012-08-01,33.86,36.82,32.9,36.5,10300,35.99,0.08305747818236542
2012-09-04,36.5,38.46,35.65,36.42,18700,36.03,0.0011114198388439966
