Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-03-26,13.25,13.75,13.25,13.25,143300,0.21,0.0
1990-04-02,13.25,13.75,9.75,11.0,700400,0.17,-0.19047619047619035
1990-05-01,11.0,12.25,10.0,11.5,925000,0.18,0.0588235294117645
1990-06-01,12.0,12.25,11.38,11.88,559800,0.19,0.05555555555555558
1990-07-02,11.88,12.25,10.5,10.88,355300,0.17,-0.10526315789473684
1990-08-01,11.0,11.0,8.5,9.0,393700,0.14,-0.17647058823529405
1990-09-04,8.25,8.75,6.25,6.38,946100,0.1,-0.2857142857142857
1990-10-01,6.75,7.5,6.75,6.75,780200,0.11,0.09999999999999987
1990-11-01,7.13,9.5,6.75,9.13,973100,0.14,0.27272727272727293
1990-12-03,8.75,10.25,8.75,9.75,565700,0.15,0.0714285714285714
1991-01-02,9.5,11.25,9.5,10.75,768800,0.17,0.13333333333333353
1991-02-01,10.75,13.5,9.25,12.5,2669800,0.2,0.17647058823529416
1991-03-01,12.25,14.5,12.25,14.5,1160000,0.23,0.1499999999999999
1991-04-01,14.5,15.0,13.75,13.88,1008800,0.22,-0.0434782608695653
1991-05-01,13.25,14.75,12.5,14.75,1002400,0.23,0.045454545454545414
1991-06-03,14.25,16.0,13.75,15.0,1316800,0.23,0.0
1991-07-01,15.0,16.75,14.75,16.37,554700,0.26,0.13043478260869557
1991-08-01,16.25,17.75,15.5,17.25,360400,0.27,0.03846153846153855
1991-09-03,17.5,20.75,17.25,20.25,707800,0.32,0.18518518518518512
1991-10-01,20.75,24.0,19.75,23.5,1104400,0.37,0.15625
1991-11-01,24.0,25.0,19.25,20.25,1077700,0.32,-0.1351351351351351
1991-12-02,20.0,25.75,19.25,25.0,812400,0.39,0.21875
1992-01-02,24.5,30.5,22.75,27.62,1471700,0.43,0.10256410256410242
1992-02-03,27.75,33.75,25.25,32.5,2573100,0.51,0.18604651162790709
1992-03-02,32.5,40.75,31.0,36.75,3749500,0.57,0.11764705882352922
1992-04-01,36.75,42.75,33.75,38.5,1777900,0.6,0.05263157894736836
1992-05-01,39.25,40.75,18.5,23.5,1491300,0.73,0.21666666666666679
1992-06-01,24.0,26.25,22.0,25.5,1400100,0.8,0.09589041095890427
1992-07-01,25.5,33.0,24.0,33.0,1647100,1.03,0.28749999999999987
1992-08-03,33.0,33.5,29.0,31.0,1451700,0.97,-0.058252427184466105
1992-09-01,32.25,36.5,31.0,34.0,1568900,1.06,0.09278350515463929
