Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-04-03,25.3,25.55,25.0,25.42,345500,22.96,0.0
2012-05-01,25.54,25.75,24.81,25.64,124700,23.16,0.008710801393728262
2012-06-01,25.64,25.96,25.25,25.72,140700,23.62,0.019861830742659903
2012-07-02,25.66,26.95,25.57,26.67,179700,24.5,0.03725656223539375
2012-08-01,26.7,27.3,26.38,26.68,73900,24.5,0.0
2012-09-04,26.84,27.35,26.21,26.6,51000,24.83,0.01346938775510198
2012-10-01,26.72,27.18,26.3,26.63,41400,24.86,0.001208215867901874
2012-11-01,26.55,26.91,25.46,26.55,41600,24.79,-0.0028157683024939706
2012-12-03,26.35,26.66,25.78,26.4,37400,25.07,0.011294876966518874
2013-01-02,26.39,27.19,26.12,26.61,51000,25.27,0.00797766254487442
2013-02-01,26.77,27.1,25.65,26.5,80100,25.16,-0.004352987732489044
2013-03-01,26.45,27.1,26.43,26.82,39600,25.89,0.02901430842607322
2013-04-01,26.95,27.44,26.37,27.14,38900,26.19,0.011587485515643037
2013-05-01,27.24,28.98,26.1,26.1,59500,25.19,-0.03818251240931658
2013-06-03,26.19,26.22,24.0,25.85,74200,25.39,0.007939658594680488
2013-07-01,25.72,25.88,24.56,25.17,50000,24.72,-0.026388341866876774
2013-08-01,25.16,25.39,23.11,24.52,60300,24.08,-0.02588996763754048
2013-09-03,24.43,24.82,23.9,24.34,46200,24.34,0.010797342192691017
2013-10-01,24.4,24.86,23.61,24.71,49300,24.71,0.015201314708299218
2013-11-01,24.73,24.8,24.44,24.55,32200,24.55,-0.006475111290975333
