Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-09-09,10.5,13.0,10.5,12.88,30200,4.29,0.0
1994-10-03,13.0,13.25,12.5,12.5,18200,4.17,-0.027972027972028024
1994-11-01,12.5,12.5,10.75,12.25,67500,4.08,-0.021582733812949617
1994-12-01,12.38,13.25,12.38,13.25,8100,4.42,0.08333333333333326
1995-01-03,13.0,13.75,13.0,13.75,10000,4.58,0.03619909502262453
1995-02-07,13.75,14.12,13.5,14.12,38800,4.71,0.028384279475982543
1995-03-01,14.12,14.12,13.37,14.12,37500,4.71,0.0
1995-04-04,13.75,18.38,13.75,17.87,143200,5.96,0.26539278131634814
1995-05-01,18.0,18.25,17.25,18.0,62200,6.0,0.006711409395973256
1995-06-01,18.0,23.37,17.0,23.0,79000,7.67,0.2783333333333333
1995-07-03,22.5,29.12,22.25,29.0,46300,9.67,0.26075619295958274
1995-08-01,28.12,30.0,26.75,28.75,28900,9.58,-0.009307135470527417
1995-09-01,29.25,29.25,26.0,26.87,7700,8.96,-0.06471816283924836
1995-10-02,26.62,27.38,21.75,24.0,15800,8.0,-0.1071428571428572
1995-11-01,24.0,24.37,23.25,24.0,43500,8.0,0.0
1995-12-01,24.0,29.0,23.5,26.87,38500,8.96,0.1200000000000001
1996-01-02,26.62,30.62,26.62,30.0,28800,10.0,0.11607142857142838
1996-02-01,29.63,31.25,28.75,29.5,21200,9.83,-0.017000000000000015
1996-03-01,29.5,30.0,26.87,27.62,12300,9.21,-0.06307222787385547
1996-04-01,27.13,27.13,21.75,23.0,51600,7.67,-0.16720955483170474
1996-05-01,23.0,29.0,23.0,26.5,40500,8.83,0.15123859191655797
1996-06-04,25.88,27.13,25.25,25.5,27500,8.5,-0.03737259343148358
1996-07-01,25.5,28.25,24.75,27.5,14900,9.17,0.07882352941176474
1996-08-01,27.0,27.38,26.0,26.5,16300,8.83,-0.037077426390403456
1996-09-03,26.5,28.25,26.5,27.25,19800,9.08,0.028312570781426905
1996-10-01,27.62,31.88,27.25,30.75,45600,10.25,0.12885462555066085
1996-11-04,31.0,32.12,29.38,32.12,10600,10.71,0.044878048780487845
1996-12-02,31.25,31.25,28.5,29.5,8700,9.83,-0.08216619981325868
1997-01-02,28.87,28.87,25.0,26.87,9100,8.96,-0.08850457782299082
1997-02-03,26.0,26.62,24.0,24.37,21700,8.12,-0.09375000000000022
1997-03-03,24.37,26.0,22.0,26.0,9100,8.67,0.06773399014778336
1997-04-02,24.5,24.5,22.0,22.0,6800,7.33,-0.15455594002306805
1997-05-02,30.0,30.0,20.75,22.0,5100,7.33,0.0
1997-06-06,20.75,24.75,20.75,24.75,4900,8.25,0.1255115961800819
1997-07-01,25.0,27.0,23.0,25.0,13800,8.33,0.00969696969696976
