Date,Open,High,Low,Close,Volume,Adj Close,Return
2007-05-25,20.02,20.1,20.0,20.05,123700,9.69,0.0
2007-06-01,20.05,20.1,19.1,19.21,99000,9.29,-0.04127966976264197
2007-07-02,19.21,20.01,17.35,18.31,57200,8.93,-0.038751345532830994
2007-08-01,18.2,18.89,15.01,18.33,91800,9.03,0.011198208286674172
2007-09-04,18.37,18.5,17.67,17.77,77200,8.83,-0.022148394241417457
2007-10-01,17.73,18.92,16.75,17.36,86100,8.71,-0.013590033975084848
2007-11-01,17.09,17.31,15.2,16.37,129200,8.3,-0.04707233065442018
2007-12-03,16.59,17.13,15.61,16.02,177900,8.21,-0.010843373493975905
2008-01-02,16.11,16.7,14.5,16.15,93000,8.36,0.018270401948842663
2008-02-01,16.35,16.68,15.2,15.68,70600,8.2,-0.019138755980861233
2008-03-03,15.63,16.36,14.5,15.25,69800,8.07,-0.01585365853658527
2008-04-01,15.36,16.17,15.27,16.03,74000,8.57,0.061957868649318515
2008-05-01,16.15,16.79,15.9,16.34,74700,8.82,0.029171528588098017
2008-06-02,16.35,16.52,14.61,14.89,89800,8.13,-0.07823129251700678
2008-07-01,14.86,15.12,13.4,14.49,78800,8.0,-0.015990159901599132
2008-08-01,14.4,14.9,13.6,13.91,56000,7.77,-0.028750000000000053
2008-09-02,13.99,14.26,10.43,11.39,131800,6.46,-0.16859716859716856
2008-10-01,11.15,13.5,5.75,9.78,155000,5.64,-0.12693498452012386
2008-11-03,9.71,10.45,6.48,8.86,119700,5.2,-0.07801418439716301
2008-12-01,9.05,9.23,7.84,8.89,103000,5.32,0.023076923076922995
2009-01-02,8.81,10.19,8.6,8.89,106100,5.42,0.018796992481203034
2009-02-02,8.82,9.54,7.01,7.86,128300,4.89,-0.0977859778597786
2009-03-02,7.43,8.11,6.0,7.9,173800,5.02,0.026584867075664542
2009-04-01,7.67,9.6,7.62,9.19,127700,5.95,0.18525896414342635
2009-05-01,9.3,10.25,9.0,9.87,156400,6.5,0.09243697478991586
2009-06-01,9.95,11.08,9.9,10.95,142200,7.32,0.12615384615384628
2009-07-01,10.95,12.42,10.07,12.37,149300,8.4,0.14754098360655732
2009-08-03,13.11,13.11,11.07,11.5,174800,7.91,-0.05833333333333335
2009-09-01,11.55,12.83,11.02,12.3,151300,8.58,0.08470290771175737
2009-10-01,12.36,13.2,11.43,12.24,155300,8.64,0.006993006993007089
2009-11-02,12.71,13.2,12.14,12.78,137300,9.14,0.05787037037037046
2009-12-01,12.8,13.81,10.57,10.94,410500,7.92,-0.13347921225382942
2010-01-04,11.08,11.18,9.28,9.45,327000,6.9,-0.12878787878787878
2010-02-01,9.54,10.05,9.27,9.88,163200,7.28,0.05507246376811592
2010-03-01,9.9,10.69,9.84,10.62,131400,7.88,0.08241758241758235
2010-04-01,10.65,10.92,10.52,10.62,138800,7.95,0.008883248730964466
2010-05-03,10.65,10.72,8.02,9.96,173200,7.52,-0.05408805031446551
2010-06-01,9.83,10.54,9.43,9.73,96600,7.4,-0.015957446808510523
2010-07-01,9.83,10.1,9.31,9.96,86500,7.64,0.03243243243243232
2010-08-02,10.04,10.21,9.5,9.69,78600,7.5,-0.018324607329842868
2010-09-01,9.83,10.38,9.8,10.21,100500,7.97,0.06266666666666665
2010-10-01,10.29,10.49,10.18,10.24,106300,8.06,0.01129234629861986
2010-11-01,10.29,10.74,10.08,10.21,116900,8.1,0.004962779156327368
2010-12-01,10.39,10.64,10.28,10.38,113900,8.3,0.024691358024691468
2011-01-03,10.42,10.71,10.38,10.54,101900,8.43,0.015662650602409567
2011-02-01,10.58,11.1,10.58,11.02,128900,8.81,0.04507710557532629
2011-03-01,11.08,11.53,10.57,11.5,173400,9.41,0.06810442678774109
2011-04-01,11.64,12.14,11.34,12.11,167800,9.91,0.05313496280552599
2011-05-02,12.21,12.31,11.78,12.27,134300,10.04,0.013118062563067578
2011-06-01,12.27,12.33,10.65,11.41,146100,9.55,-0.04880478087649387
2011-07-01,11.48,11.88,10.5,10.9,125500,9.12,-0.045026178010471374
2011-08-01,11.15,11.2,9.28,10.72,178700,8.97,-0.016447368421052433
2011-09-01,10.76,10.84,9.5,9.52,119000,8.14,-0.09253065774804903
2011-10-03,9.33,10.44,8.6,10.18,154300,8.71,0.07002457002457008
2011-11-01,9.98,10.41,9.7,10.32,96200,8.83,0.013777267508610747
2011-12-01,10.33,10.6,9.76,10.16,102600,8.88,0.005662514156285381
2012-01-03,10.35,10.93,10.15,10.83,116100,9.47,0.06644144144144137
2012-02-01,10.91,11.24,10.78,11.13,111500,9.73,0.02745512143611406
2012-03-01,11.18,11.25,10.84,11.25,111200,10.03,0.03083247687564228
2012-04-02,11.27,11.35,10.71,11.12,114400,9.91,-0.011964107676968982
2012-05-01,11.14,11.26,10.2,10.44,99300,9.31,-0.06054490413723512
2012-06-01,10.33,10.85,10.08,10.83,100200,9.86,0.059076262083780806
2012-07-02,10.87,11.1,10.65,11.04,71400,10.05,0.019269776876267963
2012-08-01,11.08,11.23,10.87,11.08,64100,10.08,0.0029850746268655914
2012-09-04,11.11,11.45,11.01,11.14,93500,10.34,0.025793650793650702
2012-10-01,11.17,11.4,10.66,10.7,97000,9.93,-0.039651837524178
2012-11-01,10.73,10.89,9.72,10.58,129900,9.82,-0.011077542799597162
2012-12-03,10.65,10.92,10.5,10.73,121000,10.16,0.03462321792260692
2013-01-02,10.93,11.43,10.89,11.28,112800,10.68,0.051181102362204633
2013-02-01,11.3,11.46,11.16,11.41,116400,10.81,0.01217228464419473
2013-03-01,11.38,11.85,11.3,11.79,119100,11.38,0.052728954671600325
2013-04-01,11.83,12.0,11.58,11.91,114200,11.49,0.009666080843585112
2013-05-01,11.85,12.69,11.83,12.37,131100,11.93,0.03829416884247161
2013-06-03,12.41,12.54,11.36,12.17,157200,11.95,0.0016764459346185756
2013-07-01,12.29,12.69,12.21,12.3,94400,12.08,0.01087866108786617
2013-08-01,12.32,12.5,11.77,11.8,97700,11.59,-0.04056291390728484
2013-09-03,11.95,12.33,11.77,11.77,103900,11.77,0.015530629853321765
2013-10-01,11.86,12.62,11.55,12.58,84600,12.58,0.06881903143585388
2013-11-01,12.55,12.73,12.52,12.62,76500,12.62,0.0031796502384737746
