Date,Open,High,Low,Close,Volume,Adj Close,Return
2004-05-05,17.5,17.5,15.0,15.25,600,6.83,0.0
2004-06-01,15.0,15.0,14.8,15.0,900,6.72,-0.016105417276720435
2004-07-01,15.0,17.5,15.0,16.23,300,7.27,0.08184523809523814
2004-08-02,16.23,16.75,15.5,16.75,400,7.51,0.03301237964236581
2004-09-01,16.5,16.5,15.5,15.67,800,7.02,-0.06524633821571246
2004-10-01,15.67,17.15,15.67,16.75,100,7.51,0.06980056980056992
2004-11-01,16.75,18.25,16.75,17.75,700,7.95,0.05858854860186424
2004-12-01,17.75,17.75,17.35,17.7,300,7.93,-0.002515723270440362
2005-01-03,17.7,19.3,17.7,19.0,100,8.51,0.0731399747793191
2005-02-01,19.0,19.55,19.0,19.55,200,8.76,0.029377203290246845
2005-03-01,19.55,25.0,19.55,20.0,100,9.01,0.028538812785388057
2005-04-01,20.25,22.5,20.25,22.5,1000,10.13,0.12430632630410665
2005-05-02,22.5,30.0,22.5,24.0,600,10.81,0.06712734452122415
2005-06-01,24.0,25.0,23.0,25.0,500,11.26,0.04162812210915812
2005-07-01,25.0,25.5,25.0,25.25,0,11.37,0.009769094138543544
2005-08-01,25.25,27.75,25.05,26.0,800,11.71,0.02990325417766071
2005-09-01,26.0,26.0,25.25,25.5,300,11.49,-0.018787361229718247
2005-10-03,25.0,28.5,25.0,28.5,300,12.84,0.11749347258485643
2005-11-01,28.5,28.5,28.0,28.0,300,12.61,-0.01791277258566981
2005-12-01,28.0,34.25,28.0,32.0,600,14.41,0.14274385408406043
2006-01-03,32.0,33.0,31.0,31.0,100,14.11,-0.020818875780707846
2006-02-01,31.0,40.0,31.0,38.0,700,17.29,0.22537207654145996
2006-03-01,38.5,39.9,20.75,23.5,1000,21.39,0.2371312897628688
2006-04-03,25.0,27.5,24.1,24.72,700,22.5,0.05189340813464227
2006-05-01,24.72,24.72,19.95,24.5,300,22.3,-0.008888888888888835
2006-06-01,24.5,24.5,22.84,23.5,500,21.39,-0.04080717488789243
2006-07-03,23.5,24.19,21.01,21.6,600,19.66,-0.08087891538101921
2006-08-01,21.6,24.72,21.6,24.51,300,22.31,0.13479145473041698
2006-09-01,24.51,24.61,23.5,23.75,100,21.62,-0.030927835051546282
2006-10-02,23.75,24.61,22.25,24.61,400,22.4,0.0360777058279369
2006-11-01,24.61,28.3,24.5,26.4,200,24.03,0.07276785714285716
2006-12-01,30.0,36.46,29.0,30.25,800,27.53,0.14565126924677485
2007-01-03,30.25,30.4,27.91,29.0,200,26.4,-0.041046131492916915
2007-02-01,28.71,29.25,24.5,25.81,700,23.74,-0.10075757575757582
2007-03-01,25.07,25.74,23.5,23.62,600,21.72,-0.08508845829823086
2007-04-02,23.62,26.48,23.62,25.0,100,23.06,0.06169429097605894
2007-05-01,25.0,25.0,22.38,24.0,600,22.14,-0.039895923677363276
2007-06-01,24.0,24.99,23.0,24.99,400,23.05,0.04110207768744356
2007-07-02,24.99,24.99,22.41,22.54,100,20.79,-0.09804772234273329
2007-08-01,22.5,23.5,21.92,21.92,100,20.29,-0.0240500240500241
2007-09-04,21.56,22.0,21.54,21.54,0,19.94,-0.017249876786594287
2007-10-01,21.54,22.0,21.0,21.5,100,19.9,-0.0020060180541626726
2007-11-01,21.5,22.5,16.67,22.25,1100,20.67,0.03869346733668366
2007-12-03,21.5,21.75,19.74,21.5,100,19.97,-0.03386550556361889
2008-01-02,21.5,22.5,18.96,22.0,300,20.5,0.026539809714571927
2008-02-01,22.0,22.0,19.0,21.0,500,19.57,-0.045365853658536626
2008-03-03,20.61,20.8,20.5,20.8,100,19.39,-0.009197751660705134
2008-04-01,20.8,23.5,18.1,21.71,2300,20.23,0.04332129963898912
2008-05-01,21.71,23.5,19.3,19.3,100,18.05,-0.10776075135936725
2008-06-02,19.3,19.5,16.87,18.0,1600,16.83,-0.06759002770083111
2008-07-01,17.75,19.09,14.01,14.01,1600,13.16,-0.21806298276886504
2008-08-01,14.01,17.21,14.01,14.5,100,13.62,0.03495440729483268
2008-09-02,14.5,14.8,12.04,12.04,400,11.31,-0.16960352422907476
2008-10-01,12.25,16.5,11.97,13.4,200,12.59,0.11317418213969921
2008-11-03,15.8,15.8,12.5,12.51,0,11.75,-0.06671961874503574
2008-12-01,12.5,12.51,8.49,9.04,500,8.49,-0.2774468085106383
2009-01-02,8.0,9.74,6.51,9.11,300,8.56,0.008244994110718551
2009-02-02,8.06,8.59,7.25,7.25,300,6.81,-0.20443925233644866
2009-03-02,7.25,13.03,5.11,9.82,400,9.23,0.3553597650513951
2009-04-01,9.82,9.82,8.3,9.5,100,8.92,-0.03358613217768147
2009-05-01,9.5,12.47,8.5,9.97,1100,9.37,0.05044843049327352
2009-06-01,9.97,9.97,7.5,7.5,100,7.05,-0.24759871931696897
2009-07-01,7.5,8.74,7.06,7.23,400,6.79,-0.03687943262411342
2009-08-03,7.23,7.75,6.51,7.32,700,6.88,0.013254786450662692
2009-09-01,7.34,7.34,5.62,5.62,1000,5.28,-0.2325581395348837
2009-10-01,5.95,7.58,5.49,7.3,1200,6.86,0.2992424242424243
2009-11-02,7.3,8.0,6.84,7.02,200,6.59,-0.039358600583090486
2009-12-01,7.02,7.97,7.0,7.02,300,6.59,0.0
2010-01-04,7.02,10.55,7.02,9.3,200,8.74,0.32625189681335365
2010-02-01,9.75,12.14,7.32,9.0,500,8.52,-0.02517162471395884
2010-03-01,9.01,9.45,8.03,9.45,400,8.95,0.05046948356807501
2010-04-01,9.45,9.97,8.07,9.26,1300,8.77,-0.020111731843575398
2010-05-03,9.26,10.01,7.97,8.41,400,7.98,-0.09007981755986305
2010-06-01,8.05,8.8,7.35,7.35,200,6.98,-0.12531328320802004
2010-07-01,7.35,8.1,7.35,7.35,100,6.98,0.0
2010-08-02,8.0,8.78,7.79,8.01,600,7.63,0.09312320916905437
2010-09-01,8.01,9.98,8.0,9.98,600,9.53,0.24901703800786357
2010-10-01,9.98,9.99,8.0,8.45,1200,8.07,-0.15320041972717724
2010-11-01,8.6,10.0,8.15,9.0,200,8.59,0.06443618339529111
2010-12-01,9.0,10.25,8.21,8.5,600,8.12,-0.0547147846332946
2011-01-03,8.21,9.89,8.1,8.61,700,8.22,0.012315270935960854
2011-02-01,8.61,9.59,8.61,9.0,200,8.63,0.04987834549878345
2011-03-01,8.97,8.99,8.16,8.6,700,8.25,-0.04403244495944392
2011-04-01,8.6,8.97,8.6,8.97,600,8.6,0.042424242424242475
2011-05-02,8.7,11.07,8.29,10.25,1700,9.87,0.14767441860465103
2011-06-01,10.3,10.3,8.9,9.93,500,9.57,-0.03039513677811545
2011-07-01,9.79,10.0,9.0,9.0,100,8.67,-0.09404388714733547
2011-08-01,9.04,10.0,8.03,8.03,800,7.77,-0.10380622837370246
2011-09-01,8.47,10.0,8.06,8.57,900,8.29,0.06692406692406694
2011-10-03,8.12,8.47,6.95,8.0,800,7.74,-0.0663449939686368
2011-11-01,8.0,8.5,6.96,7.45,1300,7.24,-0.06459948320413433
2011-12-01,7.59,8.89,7.01,7.62,1500,7.41,0.023480662983425438
2012-01-03,7.2,8.29,7.1,8.0,1200,7.78,0.04993252361673406
2012-02-01,8.0,11.02,7.98,9.51,3600,9.29,0.19408740359897148
2012-03-01,9.72,9.72,8.69,9.25,900,9.03,-0.027987082884822323
2012-04-02,9.25,9.25,8.54,9.1,300,8.89,-0.015503875968992165
2012-05-01,9.1,9.25,8.66,9.11,900,8.93,0.004499437570303577
2012-06-01,9.03,9.25,8.75,9.21,1400,9.03,0.011198208286674172
2012-07-02,9.21,9.82,8.99,9.72,2600,9.53,0.05537098560354381
2012-08-01,9.6,10.52,9.25,9.67,2000,9.52,-0.0010493179433368471
2012-09-04,9.88,9.88,9.45,9.5,2900,9.35,-0.017857142857142905
2012-10-01,9.58,10.96,9.5,9.67,1900,9.52,0.018181818181818077
2012-11-01,9.74,10.3,9.13,9.5,1600,9.39,-0.013655462184873901
2012-12-03,9.51,9.6,9.24,9.42,1000,9.31,-0.008519701810436597
2013-01-02,9.42,10.66,9.42,10.3,2600,10.18,0.09344790547798065
2013-02-01,10.28,11.26,10.28,11.18,5500,11.09,0.0893909626719056
2013-03-01,11.18,12.49,11.12,11.66,2300,11.56,0.042380522993688
2013-04-01,11.99,13.0,11.5,11.88,2500,11.78,0.01903114186851207
2013-05-01,11.88,15.4,11.78,12.7,4900,12.63,0.07215619694397302
2013-06-03,12.7,13.92,12.7,12.9,1800,12.83,0.015835312747426666
2013-07-01,13.09,14.43,11.55,12.5,6500,12.43,-0.03117692907248637
2013-08-01,12.6,14.44,12.5,14.13,8000,14.09,0.13354786806114238
2013-09-03,14.13,14.96,13.5,14.0,1700,13.96,-0.009226401703335663
2013-10-01,14.02,16.6,13.02,14.7,5600,14.66,0.05014326647564471
2013-11-01,14.45,15.5,14.35,14.98,1500,14.98,0.021828103683492417
