Date,Open,High,Low,Close,Volume,Adj Close,Return
2000-03-08,8.0,8.0,5.0,7.0,700,4.67,0.0
2000-04-03,7.5,7.5,6.0,6.5,1300,4.33,-0.0728051391862955
2000-05-01,6.5,6.5,6.25,6.25,300,4.17,-0.036951501154734445
2000-06-01,6.25,8.0,6.25,8.0,100,5.33,0.2781774580335732
2000-07-03,8.0,8.0,6.0,6.12,200,4.08,-0.23452157598499057
2000-08-01,6.12,6.5,6.12,6.5,0,4.33,0.06127450980392157
2000-09-01,6.5,6.5,6.25,6.25,300,4.17,-0.036951501154734445
2000-10-02,6.25,7.38,6.19,7.0,800,4.67,0.11990407673860903
2000-11-01,7.0,7.38,5.0,5.25,1400,3.5,-0.2505353319057816
2000-12-01,5.25,6.0,4.25,5.0,900,3.33,-0.0485714285714286
2001-01-02,4.88,7.5,4.88,6.75,1200,4.5,0.3513513513513513
2001-02-01,6.75,7.34,6.75,7.0,400,4.67,0.03777777777777769
2001-03-01,7.0,8.25,7.0,8.0,1300,5.33,0.1413276231263383
2001-04-02,8.0,8.15,7.75,8.15,1200,5.43,0.018761726078799112
2001-05-01,8.15,9.0,8.03,9.0,400,6.0,0.1049723756906078
2001-06-01,9.0,9.13,9.0,9.0,300,6.0,0.0
2001-07-02,9.0,10.5,8.5,10.5,300,7.0,0.16666666666666674
2001-08-01,10.5,10.5,9.5,9.5,0,6.33,-0.09571428571428575
2001-09-04,9.5,9.5,7.0,8.5,200,5.67,-0.10426540284360186
2001-10-01,7.0,8.1,7.0,8.0,300,5.33,-0.059964726631393295
2001-11-01,8.0,8.2,6.6,7.8,600,5.2,-0.024390243902439046
2001-12-03,7.15,8.2,6.72,7.5,800,5.0,-0.03846153846153855
2002-01-02,7.5,8.25,7.5,8.25,400,5.5,0.10000000000000009
2002-02-04,8.25,8.25,8.1,8.25,0,5.5,0.0
2002-03-01,8.25,9.5,8.25,9.0,100,6.0,0.09090909090909083
2002-04-01,9.0,9.5,8.35,9.0,300,6.0,0.0
2002-05-01,9.0,11.0,9.0,9.25,5200,6.17,0.02833333333333332
2002-06-03,9.25,10.0,9.25,10.0,300,6.67,0.08103727714748787
2002-07-01,9.5,10.75,9.5,9.77,100,6.51,-0.02398800599700157
2002-08-01,9.75,10.4,9.75,10.4,200,6.93,0.06451612903225801
2002-09-03,10.4,10.5,10.05,10.05,100,6.7,-0.0331890331890331
2002-10-01,10.5,11.75,10.5,11.0,700,7.33,0.09402985074626868
2002-11-01,12.0,12.5,10.5,11.0,600,7.33,0.0
2002-12-02,11.0,11.0,10.5,10.5,100,7.0,-0.04502046384720326
2003-01-02,10.5,10.5,10.1,10.4,700,6.93,-0.010000000000000009
2003-02-03,10.4,10.87,10.25,10.8,300,7.2,0.038961038961039085
2003-03-03,10.8,12.0,10.55,11.0,400,7.33,0.01805555555555549
2003-04-01,11.0,12.75,11.0,12.75,200,8.5,0.15961800818553895
