Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-04-12,22.5,23.86,21.0,23.12,1660400,23.12,0.0
2012-05-01,23.17,23.47,20.81,21.48,497700,21.48,-0.0709342560553633
2012-06-01,19.26,21.23,18.73,19.69,561200,19.69,-0.08333333333333326
2012-07-02,19.69,21.15,18.6,20.84,323200,20.84,0.05840528186896887
2012-08-01,20.93,24.09,20.76,23.67,387900,23.67,0.13579654510556627
2012-09-04,23.77,25.78,23.06,24.32,368400,24.32,0.02746092099704267
2012-10-01,23.65,24.35,21.03,22.31,356500,22.31,-0.08264802631578949
2012-11-01,22.21,25.4,21.53,25.24,769000,25.24,0.1313312415956971
2012-12-03,25.82,25.82,23.91,24.75,443000,24.75,-0.019413629160063284
2013-01-02,25.47,26.83,24.02,25.51,424500,25.51,0.030707070707070683
2013-02-01,25.68,27.56,24.86,26.68,482300,26.68,0.04586436691493523
2013-03-01,26.55,29.19,25.14,28.76,485100,28.76,0.07796101949025491
2013-04-01,28.59,28.59,25.2,27.81,365700,27.81,-0.03303198887343539
2013-05-01,27.63,30.6,26.03,29.69,306500,29.69,0.06760158216468914
2013-06-03,29.42,32.52,29.16,30.43,544400,30.43,0.02492421690804969
2013-07-01,30.77,31.37,27.76,28.88,508800,28.88,-0.05093657574761745
2013-08-01,29.22,29.78,25.7,26.17,386700,26.17,-0.09383656509695282
2013-09-03,26.47,28.46,25.72,27.01,444300,27.01,0.03209782193351174
2013-10-01,26.94,31.35,26.94,29.26,318400,29.26,0.08330248056275447
2013-11-01,29.19,30.64,27.11,28.47,611000,28.47,-0.0269993164730008
