Date,Open,High,Low,Close,Volume,Adj Close,Return
2011-06-09,22.5,36.98,19.28,30.09,1902000,30.09,0.0
2011-07-01,30.08,35.67,27.6,29.61,701400,29.61,-0.015952143569292088
2011-08-01,30.54,30.69,20.41,25.04,692500,25.04,-0.1543397500844309
2011-09-01,25.15,25.15,14.9,19.0,763000,19.0,-0.2412140575079872
2011-10-03,18.69,35.6,16.83,31.02,692200,31.02,0.6326315789473684
2011-11-01,30.75,41.74,28.75,33.49,2914900,33.49,0.07962604771115411
2011-12-01,33.21,33.31,21.26,24.2,2706300,24.2,-0.27739623768289046
2012-01-03,26.96,30.49,22.79,23.11,1921400,23.11,-0.04504132231404956
2012-02-01,23.2,29.75,21.84,27.3,4013800,27.3,0.18130679359584612
2012-03-01,28.57,33.87,28.1,28.41,3542700,28.41,0.04065934065934074
2012-04-02,28.06,29.61,24.21,25.65,3286400,25.65,-0.09714889123548054
2012-05-01,25.59,25.59,19.42,20.88,3687700,20.88,-0.18596491228070178
2012-06-01,20.12,22.03,17.45,20.89,2866300,20.89,0.00047892720306519365
2012-07-02,21.16,22.43,17.7,19.12,1986200,19.12,-0.08472953566299668
2012-08-01,19.21,30.0,17.77,28.02,3740000,28.02,0.4654811715481171
2012-09-04,28.04,31.46,26.87,30.27,2506500,30.27,0.08029978586723763
2012-10-01,30.28,32.63,23.31,23.6,2913100,23.6,-0.22035018169805076
2012-11-01,23.46,25.28,21.14,23.33,2744800,23.33,-0.01144067796610182
2012-12-03,23.46,24.55,21.63,22.93,2243900,22.93,-0.017145306472353128
2013-01-02,23.84,24.18,16.5,17.48,5923300,17.48,-0.237679895333624
2013-02-01,17.56,17.96,15.1,16.88,2870100,16.88,-0.034324942791762125
2013-03-01,16.73,17.8,16.06,16.37,1559100,16.37,-0.030213270142180004
2013-04-01,16.28,20.2,13.99,18.78,2939900,18.78,0.14722052535125218
2013-05-01,18.9,18.98,13.13,14.47,6760600,14.47,-0.2294994675186368
2013-06-03,14.42,14.65,12.72,14.24,3724100,14.24,-0.015894955079474804
2013-07-01,14.26,15.45,13.6,14.42,2224000,14.42,0.012640449438202195
2013-08-01,14.52,15.59,10.38,10.69,4263800,10.69,-0.25866851595006934
2013-09-03,10.89,15.5,10.45,13.39,4792000,13.39,0.2525724976613659
2013-10-01,13.36,14.78,9.4,10.75,5065500,10.75,-0.19716206123973112
2013-11-01,10.76,10.92,10.23,10.46,2140600,10.46,-0.026976744186046453
