Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-11-18,17.0,17.68,16.06,16.99,5037400,8.49,0.0
2009-12-01,17.0,18.78,16.15,17.57,939600,8.78,0.03415783274440498
2010-01-04,17.88,20.59,16.12,17.23,998400,8.61,-0.019362186788154934
2010-02-01,17.29,17.75,15.18,17.18,589200,8.59,-0.0023228803716608404
2010-03-01,17.32,18.25,16.04,17.58,606600,8.79,0.023282887077997527
2010-04-01,17.75,19.21,15.86,17.78,802300,8.89,0.011376564277588264
2010-05-03,17.81,19.14,15.1,16.32,1820900,8.16,-0.08211473565804284
2010-06-01,16.12,17.74,14.78,16.44,2059500,8.22,0.007352941176470562
2010-07-01,16.55,18.17,14.72,18.01,1333000,9.01,0.09610705596107039
2010-08-02,18.1,21.7,16.84,20.38,1879700,10.19,0.13096559378468364
2010-09-01,20.52,25.63,20.35,25.0,2425900,12.5,0.22669283611383717
2010-10-01,25.23,31.65,23.56,30.0,1896400,15.0,0.19999999999999996
2010-11-01,36.72,36.77,29.1,31.87,2524700,15.94,0.06266666666666665
2010-12-01,32.3,34.0,30.62,32.35,925500,16.17,0.014429109159347586
2011-01-03,32.65,39.78,32.47,38.45,2166500,19.23,0.18923933209647492
2011-02-01,38.52,42.02,38.04,40.84,1804600,20.42,0.06188247529901192
2011-03-01,41.0,44.35,38.72,44.15,1496000,22.08,0.08129285014691456
2011-04-01,44.53,49.0,37.58,48.7,2519900,24.35,0.1028079710144929
2011-05-02,48.71,49.46,43.0,48.49,1609200,24.25,-0.004106776180698213
2011-06-01,48.57,50.8,22.25,27.29,2772700,27.29,0.12536082474226795
2011-07-01,27.13,28.56,18.9,20.32,3573400,20.32,-0.2554049102235251
2011-08-01,20.6,21.79,16.95,19.13,2628100,19.13,-0.05856299212598426
2011-09-01,19.12,19.6,15.78,16.8,2457500,16.8,-0.12179822268687912
2011-10-03,16.62,23.33,15.8,23.06,3275100,23.06,0.3726190476190474
2011-11-01,21.89,26.2,21.83,23.99,1967800,23.99,0.04032957502168255
2011-12-01,23.8,26.6,18.15,21.81,2074300,21.81,-0.09087119633180496
2012-01-03,22.21,23.19,19.61,22.81,2648900,22.81,0.04585052728106365
2012-02-01,25.09,27.66,24.53,27.05,2670600,27.05,0.18588338448049102
2012-03-01,27.12,28.1,25.53,27.65,1799500,27.65,0.02218114602587784
2012-04-02,27.5,28.82,25.48,26.12,2097200,26.12,-0.05533453887884254
2012-05-01,26.14,26.98,20.87,21.25,2679200,21.25,-0.186447166921899
2012-06-01,20.78,23.3,19.94,23.22,1960900,23.22,0.0927058823529412
2012-07-02,23.4,26.73,20.35,24.01,2467100,24.01,0.034022394487510876
2012-08-01,24.15,26.63,23.02,26.51,1662200,26.51,0.10412328196584753
2012-09-04,26.53,28.23,23.82,24.12,2621000,24.12,-0.09015465861938887
2012-10-01,24.01,25.1,19.0,19.37,4337900,19.37,-0.1969320066334992
2012-11-01,19.5,20.46,17.53,19.98,2711600,19.98,0.03149199793495083
2012-12-03,20.01,21.89,18.53,21.02,2048800,21.02,0.05205205205205199
2013-01-02,21.3,24.24,18.8,23.59,4288800,23.59,0.12226450999048533
2013-02-01,23.65,25.35,22.51,24.18,2876000,24.18,0.025010597710894533
2013-03-01,24.09,25.18,22.59,23.68,1898900,23.68,-0.02067824648469807
2013-04-01,23.51,23.54,17.26,17.96,3983100,17.96,-0.24155405405405406
2013-05-01,18.09,19.54,17.73,19.26,2503900,19.26,0.07238307349665929
2013-06-03,19.3,19.32,16.47,17.5,2308200,17.5,-0.0913811007268952
2013-07-01,17.51,22.09,17.05,21.25,3161700,21.25,0.2142857142857142
2013-08-01,21.5,21.62,19.69,19.8,1262500,19.8,-0.06823529411764706
2013-09-03,20.05,21.44,19.43,20.26,1662600,20.26,0.02323232323232327
2013-10-01,20.31,22.45,19.64,20.13,2520500,20.13,-0.006416584402764158
2013-11-01,20.22,20.29,19.21,19.77,1356600,19.77,-0.01788375558867361
