Date,Open,High,Low,Close,Volume,Adj Close,Return
2008-04-23,950.0,991.27,928.25,980.0,8400,587.66,0.0
2008-05-01,976.34,1011.38,956.25,983.0,13400,589.46,0.0030629956097063538
2008-06-02,997.97,997.97,650.0,700.0,13000,430.67,-0.269382146371255
2008-07-01,700.0,892.74,600.0,774.34,2800,476.4,0.10618338867346222
2008-08-01,800.0,875.0,750.13,821.27,1900,505.27,0.06060033585222513
2008-09-02,850.0,1065.89,709.83,776.1,3500,490.11,-0.030003760365745036
2008-10-01,791.13,974.7,628.75,900.0,2200,568.35,0.1596376323682438
2008-11-03,865.65,960.4,541.11,744.0,1400,469.84,-0.17332629541655675
2008-12-01,720.0,800.0,649.34,765.83,900,512.26,0.09028605482717533
2009-01-02,765.0,911.11,399.97,438.44,8800,293.27,-0.42749775504626564
2009-02-02,426.0,450.0,184.5,260.75,10600,174.41,-0.4052920516929791
2009-03-02,257.0,365.0,195.01,335.0,2800,238.18,0.3656327045467578
2009-04-01,339.01,585.79,328.02,510.0,2200,362.6,0.5223780334201025
2009-05-01,503.01,715.0,490.01,635.0,1300,451.47,0.24509100937672357
2009-06-01,647.75,775.0,610.0,740.0,2800,541.21,0.19877289742397064
2009-07-01,750.0,750.0,700.0,727.0,400,531.7,-0.01757173740322604
2009-08-03,747.06,887.4,740.0,875.0,500,639.94,0.20357344367124308
2009-09-01,865.0,877.0,831.0,870.0,1000,652.4,0.01947057536644059
2009-10-01,869.0,877.0,840.0,853.0,300,639.66,-0.019527896995708116
2009-11-02,855.0,865.0,842.02,852.0,400,638.91,-0.0011724978895037985
2009-12-01,855.0,880.0,836.0,855.01,1000,657.31,0.02879904837927083
2010-01-04,855.0,897.0,850.01,885.0,500,680.37,0.03508238122042884
2010-02-01,877.0,920.0,875.0,892.75,500,686.32,0.008745241559739547
2010-03-01,895.0,999.0,885.01,980.0,800,769.84,0.12169250495395723
2010-04-01,972.21,1059.95,970.0,1010.0,700,793.41,0.03061675153278598
2010-05-03,1010.0,1022.21,969.92,990.0,2100,777.7,-0.01980060750431667
2010-06-01,985.0,1035.0,980.0,1005.0,100,806.45,0.03696798251253686
2010-07-01,986.0,1039.96,973.75,1018.67,300,817.42,0.013602827205654311
2010-08-02,1019.75,1060.0,991.0,1048.0,200,840.95,0.028785691566147298
2010-09-01,1050.0,1079.99,1011.01,1055.0,200,863.64,0.02698139009453593
2010-10-01,1190.0,1190.0,1066.0,1075.0,400,880.01,0.018954657033023015
2010-11-01,1070.0,1175.0,1040.0,1075.0,200,880.01,0.0
2010-12-01,1075.0,1106.0,1050.0,1100.0,200,918.22,0.04341996113680535
2011-01-03,1100.0,1135.0,1095.0,1130.0,400,943.26,0.027270153122345375
2011-02-01,1138.49,1171.3,1130.0,1160.0,100,968.3,0.026546233276085074
2011-03-01,1155.0,1178.9,1136.0,1155.0,0,981.83,0.013972942269957711
2011-04-01,1157.18,1171.0,1130.0,1155.0,200,981.83,0.0
2011-05-02,1141.22,1157.35,1135.01,1155.0,200,981.83,0.0
2011-06-01,1155.0,1160.0,1140.0,1152.0,1000,997.55,0.016010918387093342
2011-07-01,1143.01,1155.0,1100.0,1144.0,300,990.62,-0.006947020199488674
2011-08-01,1140.0,1145.0,901.2,1100.0,200,952.52,-0.03846076194706349
2011-09-01,1099.7,1110.0,1025.25,1040.75,200,919.52,-0.03464494183849154
2011-10-03,1070.0,1075.0,1030.01,1070.0,100,945.36,0.02810161823560131
2011-11-01,1068.73,1075.0,1019.77,1048.0,500,925.93,-0.020553016840145655
2011-12-01,1051.0,1100.0,1045.0,1099.99,300,991.27,0.07056688950568613
2012-01-03,1090.0,1148.0,1061.05,1140.0,200,1027.33,0.036377576240580245
2012-02-01,1135.0,1150.0,1110.07,1130.01,300,1018.33,-0.008760573525546711
2012-03-01,1131.1,1170.0,1115.0,1150.0,200,1036.34,0.017685818938850684
2012-04-02,1149.83,1155.0,1126.0,1148.0,200,1034.54,-0.0017368817183549545
2012-05-01,1145.0,1169.87,1130.0,1159.0,200,1044.45,0.009579136621107098
2012-06-01,1163.88,1164.0,1134.0,1146.0,300,1052.06,0.007286131456747391
2012-07-02,1140.21,1200.0,1135.0,1200.0,200,1101.63,0.04711708457692554
2012-08-01,1200.0,1220.0,1181.9,1210.0,100,1110.81,0.00833310639688456
2012-09-04,1218.5,1300.0,1150.0,1275.0,200,1190.53,0.07176744897867327
2012-10-01,1275.0,1310.0,1213.0,1239.99,1600,1157.84,-0.027458358882178624
2012-11-01,1240.0,1258.87,1195.01,1239.9,4800,1157.76,-6.909417536093976e-05
2012-12-03,1240.0,1249.0,1200.0,1235.0,1100,1173.22,0.013353372028745092
2013-01-02,1233.35,1334.99,1207.0,1270.0,700,1206.47,0.028340805645999945
2013-02-01,1270.0,1289.99,1255.0,1270.0,700,1206.47,0.0
2013-03-01,1275.5,1310.0,1226.25,1280.0,1300,1236.4,0.024807910681575285
2013-04-01,1280.0,1359.68,1280.0,1346.0,400,1300.15,0.051560983500485325
2013-05-01,1347.11,1390.0,1323.0,1323.01,200,1277.94,-0.017082644310271955
2013-06-03,1330.0,1330.01,851.25,1225.0,1400,1204.09,-0.05778831557037112
2013-07-01,1225.0,1244.0,1210.1,1222.0,3100,1201.14,-0.0024499829746944535
2013-08-01,1235.0,1248.0,1205.25,1245.0,500,1223.75,0.01882378407179841
2013-09-03,1245.0,1286.0,1225.0,1240.0,300,1240.0,0.013278855975485282
2013-10-01,1244.5,1279.0,1203.87,1270.0,500,1270.0,0.024193548387096753
2013-11-01,1265.0,1284.48,1251.0,1259.99,100,1259.99,-0.00788188976377957
