Date,Open,High,Low,Close,Volume,Adj Close,Return
2006-01-31,20.31,23.33,20.25,23.1,20871000,14.94,0.0
2006-02-01,23.1,25.75,22.2,25.08,358700,16.22,0.08567603748326635
2006-03-01,24.94,29.9,24.94,29.12,317600,18.84,0.16152897657213328
2006-04-03,29.4,36.99,29.15,34.91,404800,22.58,0.1985138004246283
2006-05-01,35.07,42.05,28.76,29.75,466100,19.24,-0.1479185119574845
2006-06-01,29.75,31.98,23.2,29.45,318200,19.05,-0.009875259875259723
2006-07-03,28.95,31.73,25.49,26.48,254800,17.13,-0.10078740157480326
2006-08-01,26.32,29.69,24.32,26.07,276400,16.86,-0.015761821366024442
2006-09-01,26.32,26.32,22.39,24.39,211000,15.78,-0.06405693950177938
2006-10-02,24.18,27.63,23.6,26.83,206400,17.35,0.09949302915082403
2006-11-01,26.94,26.94,22.82,24.22,265500,15.67,-0.09682997118155623
2006-12-01,24.28,25.8,23.89,24.77,194300,16.02,0.02233567326100827
2007-01-03,24.99,25.04,23.06,23.54,157800,15.23,-0.049313358302122245
2007-02-01,23.55,27.7,23.55,26.41,278800,17.08,0.12147078135259348
2007-03-01,25.98,26.7,21.22,21.5,245000,13.91,-0.18559718969555028
2007-04-02,21.59,23.97,20.27,23.66,389600,15.3,0.09992810927390372
2007-05-01,23.36,28.26,23.36,26.12,241900,16.89,0.10392156862745106
2007-06-01,26.29,27.95,25.5,27.74,242100,17.94,0.06216696269982247
2007-07-02,27.7,30.59,25.42,27.17,295900,17.57,-0.02062430323299891
2007-08-01,27.07,28.31,17.38,20.56,450200,13.3,-0.24302788844621515
2007-09-04,20.5,20.59,16.56,17.98,254700,11.63,-0.1255639097744361
2007-10-01,18.01,20.23,16.73,17.63,209600,11.4,-0.019776440240756754
2007-11-01,17.29,19.97,15.0,17.27,398900,11.17,-0.02017543859649129
2007-12-03,17.42,20.12,16.32,18.88,297700,12.21,0.0931065353625784
2008-01-02,18.85,19.43,13.52,16.61,368900,10.74,-0.12039312039312045
2008-02-01,16.71,17.29,14.97,15.6,215300,10.09,-0.06052141527001864
2008-03-03,15.58,15.58,11.61,12.57,326600,8.13,-0.1942517343904855
2008-04-01,12.71,13.75,12.47,13.11,166800,8.48,0.043050430504304904
2008-05-01,13.07,14.82,12.58,14.05,238400,9.09,0.07193396226415083
2008-06-02,13.95,15.25,11.86,12.02,216400,7.77,-0.1452145214521452
2008-07-01,11.83,13.0,10.1,12.73,165600,8.23,0.05920205920205923
2008-08-01,12.78,15.07,9.4,14.11,249500,9.13,0.10935601458080191
2008-09-02,14.51,15.8,8.26,9.66,485400,6.25,-0.31544359255202636
2008-10-01,9.52,10.01,4.65,5.7,266400,3.69,-0.40959999999999996
2008-11-03,5.59,6.9,4.81,6.73,245400,4.35,0.17886178861788604
2008-12-01,6.48,7.89,5.29,7.71,194000,4.99,0.14712643678160942
2009-01-02,7.45,8.0,6.26,6.67,135500,4.31,-0.1362725450901805
2009-02-02,6.58,7.09,4.82,5.14,132500,3.32,-0.22969837587006958
2009-03-02,5.03,7.29,4.73,6.55,194000,4.24,0.2771084337349399
2009-04-01,6.42,8.08,6.07,7.53,171000,4.87,0.1485849056603774
2009-05-01,7.55,8.1,6.57,6.6,243400,4.27,-0.12320328542094472
2009-06-01,6.6,9.6,6.05,9.35,351900,6.05,0.4168618266978923
2009-07-01,9.43,11.08,8.73,10.64,194200,6.88,0.13719008264462818
2009-08-03,10.71,11.12,9.86,10.02,158200,6.48,-0.05813953488372081
2009-09-01,10.0,11.91,9.9,11.33,145100,7.33,0.13117283950617287
2009-10-01,11.2,12.53,10.32,10.6,103100,6.86,-0.06412005457025916
2009-11-02,10.65,11.08,8.75,9.26,104400,5.99,-0.1268221574344024
2009-12-01,9.38,11.8,9.21,10.5,112200,6.79,0.1335559265442403
2010-01-04,10.66,11.59,9.66,10.61,77500,6.86,0.010309278350515427
2010-02-01,10.55,11.35,9.13,9.71,51900,6.28,-0.08454810495626819
2010-03-01,9.8,11.03,9.66,10.78,60600,6.97,0.10987261146496796
2010-04-01,10.89,12.51,10.54,11.81,71200,7.64,0.09612625538020092
2010-05-03,11.86,12.51,9.65,9.99,112900,6.46,-0.15445026178010468
2010-06-01,9.85,10.39,7.45,7.49,137600,4.84,-0.25077399380804954
2010-07-01,7.54,9.83,7.2,8.7,89400,5.63,0.16322314049586772
2010-08-02,8.88,9.14,6.6,6.78,67100,4.39,-0.22024866785079933
2010-09-01,6.98,8.83,6.72,7.97,60800,5.16,0.17539863325740335
2010-10-01,8.07,10.03,7.51,9.72,84700,6.29,0.21899224806201545
2010-11-01,9.73,11.09,9.05,9.95,77300,6.44,0.02384737678855342
2010-12-01,10.27,12.2,9.85,11.57,87200,7.48,0.16149068322981375
2011-01-03,11.75,12.92,11.0,11.62,80500,7.52,0.0053475935828875
2011-02-01,11.79,16.18,11.79,15.68,189000,10.14,0.3484042553191491
2011-03-01,15.84,20.3,15.4,19.53,271300,12.63,0.24556213017751483
2011-04-01,19.77,20.4,18.13,19.9,212300,12.87,0.019002375296911955
2011-05-02,19.97,20.02,12.85,14.51,162300,9.39,-0.27039627039627034
